word	Malayalam-ml	emotion	emotion-intensity-score
threatening	ഭീഷണിപ്പെടുത്തുന്നു	anger	0.882
pissoff	പിസ്സോഫ്	anger	0.875
abhorrent	വെറുക്കുന്നു	anger	0.875
bloodthirsty	രക്തസ്രാവം	anger	0.875
fighting	യുദ്ധം	anger	0.868
annihilated	ഉന്മൂലനം	anger	0.865
attacking	ആക്രമിക്കുന്നു	anger	0.865
angriest	ഏറ്റവും രൂക്ഷമായ	anger	0.864
bloodshed	രക്തച്ചൊരിച്ചിൽ	anger	0.864
smite	അടിക്കുക	anger	0.862
brawl	കൊള്ളാം	anger	0.861
assault	കയ്യേറ്റം നടത്തുക	anger	0.859
malicious	ക്ഷമാപണം	anger	0.859
strangle	ഞെക്കുക	anger	0.859
tirade	കരയുക	anger	0.859
explode	പൊട്ടിത്തെറിക്കുക	anger	0.859
assassination	കൊലപാതകം	anger	0.859
hostility	ശത്രുത	anger	0.859
loathsome	വെറുക്കപ്പെട്ടവർ	anger	0.857
hell	നരകം	anger	0.853
murderous	കൊലയാളി	anger	0.853
attack	ആക്രമണം	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ഭീകരത	anger	0.851
beating	അടിക്കുന്നു	anger	0.849
desecration	വൃത്തികെട്ട	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ആക്ഷേപം	anger	0.848
stab	കുലുക്കി	anger	0.844
slaughter	അറുപ്പാനുള്ള ആടുകളെ തന്നേ	anger	0.844
violent	അക്രമാസക്തൻ	anger	0.844
destroying	നശിപ്പിക്കുന്നു	anger	0.844
abomination	മ്ളേച്ഛത	anger	0.844
tumultuous	ഞെരുക്കം	anger	0.844
irate	ക്ഷയിക്കുക	anger	0.844
infuriate	അപമാനിക്കരുത്	anger	0.844
obliterate	നശിപ്പിക്കുക	anger	0.843
belligerent	യുദ്ധവീരൻ	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	വെറുക്കുന്നു	anger	0.838
hostilities	യുദ്ധങ്ങൾ	anger	0.837
prick	പ്രാവി	anger	0.835
torture	പീഡിപ്പിക്കാനും	anger	0.833
rabid	കൊള്ളാം	anger	0.833
horrid	ഭയം	anger	0.833
rampage	വഞ്ചന	anger	0.833
cruelty	ക്രൂരത	anger	0.833
hate	വെറുക്കുന്നു	anger	0.828
demonic	ഭൂതാവിഷ്ടൻ	anger	0.828
hating	വെറുക്കുന്നു	anger	0.828
satanic	സാത്താനിക്	anger	0.828
tyrannical	നിരപരാധിയായ	anger	0.828
ragemode	രാഗം മോഡ്	anger	0.828
despicable	നിന്ദ്യമാണ്	anger	0.828
ruinous	നാശം	anger	0.825
condemn	കുറ്റംവിധിക്കുന്നു	anger	0.825
riots	കലാപം	anger	0.824
demolish	തകർക്കുക	anger	0.824
angry	ദേഷ്യം	anger	0.824
extermination	ഉന്മൂലനം	anger	0.824
dickhead	സിഖ്	anger	0.824
livid	നിശബ്ദമായി	anger	0.821
madman	ഭ്രാന്തൻ	anger	0.820
vindictive	വഞ്ചനാപരമായ	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	രോഷം	anger	0.818
venomous	വിഷം	anger	0.818
threaten	ഭീഷണിപ്പെടുത്തുക	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ഭീകരൻ	anger	0.818
abhor	വെറുക്കുക	anger	0.816
savage	വൃത്തികെട്ട	anger	0.814
atrocity	അതിക്രമം	anger	0.814
carnage	കൂട്ടക്കൊല	anger	0.814
berserk	ബെർസർ	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ദുരുപയോഗം	anger	0.812
tyrant	സ്വേച്ഛാധിപതി	anger	0.812
fucksake	ഫക്രെക്സെക്ക്	anger	0.812
pissedoff	ദേഷ്യപ്പെടുക	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ഭീകരമായ	anger	0.812
destroyer	നശിപ്പിക്കുക	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	പരിഭ്രാന്തി	anger	0.812
barbaric	വൃത്തികെട്ട	anger	0.812
anger	കോപം	anger	0.811
pieceofshit	അത്ര തന്നെ	anger	0.810
slam	സ്ലാം	anger	0.803
fights	വഴക്കുകൾ	anger	0.803
punched	തുരന്നു	anger	0.803
bitch	ബിച്ച്	anger	0.803
punching	പഞ്ച് ചെയ്യൽ	anger	0.803
homicide	കൊലപാതകം	anger	0.803
destructive	വിനാശകരമായ	anger	0.797
ruthless	രസകരമെന്നു പറയാം	anger	0.797
villainous	വില്ലൻ	anger	0.797
slap	സ്താപിക്കുക	anger	0.791
slaughterhouse	അടിമത്തം	anger	0.788
punishing	ശിക്ഷിക്കുക	anger	0.788
destroyed	നശിപ്പിച്ചു	anger	0.788
retaliatory	പ്രതികാരംചെയ്യൽ	anger	0.788
riot	കലാപം	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	വിളംബരം ചെയ്യുക	anger	0.788
growthefuckup	വളരുക	anger	0.788
diabolical	പൈശാചികമായ	anger	0.788
manslaughter	മൃതദേഹം	anger	0.783
clash	ഏറ്റുമുട്ടൽ	anger	0.783
bloody	രക്തരൂക്ഷിതമായ	anger	0.781
hellish	പാരിശ്	anger	0.781
loath	വെറുക്കുക	anger	0.781
detonation	വിഘടനം	anger	0.781
quarrel	വഴക്ക്	anger	0.781
sinister	ദുഷിച്ച	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ആരോപണം	anger	0.779
treacherous	വഞ്ചകൻ	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	പ്രതികാരം ചെയ്യൂ	anger	0.773
revulsion	വിദ്വേഷം	anger	0.773
madder	ഭ്രാന്തൻ	anger	0.773
horrific	ഭയങ്കര	anger	0.773
scorn	നിന്ദിക്കുക	anger	0.769
deplorable	വല്ലാത്ത	anger	0.766
bomb	ബോംബ്	anger	0.766
anarchist	അരാജകവാദി	anger	0.765
devastation	നശിപ്പിക്കുക	anger	0.765
resent	വെറുപ്പിക്കണം	anger	0.765
firestorm	തീപ്പൊള്ളൽ	anger	0.765
contemptible	അപമാനം	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ക്രൂരത	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	മാരകമായ	anger	0.758
smash	സ്മാഷ്	anger	0.758
rant	നാശം	anger	0.758
outburst	പൊട്ടിക്കുക	anger	0.757
snarl	സ്തർൽ	anger	0.754
profane	അശുദ്ധനാണ്	anger	0.750
offend	കുറ്റബോധം	anger	0.750
douchebags	ഡച്ച് ബാഗുകൾ	anger	0.750
growling	വളരുന്ന	anger	0.750
stfu	സ്റ്റഫ്	anger	0.750
vulgarity	അശ്ലീലം	anger	0.750
dontmesswithme	ഡോണ്ട്മാസ്	anger	0.750
crazed	ക്രെഡ്	anger	0.750
despise	തുച്ഛീകരിക്കുക	anger	0.750
horror	ഭയങ്കരതം	anger	0.750
aggravating	ഉപദ്രവിക്കൽ	anger	0.750
revolting	കലാപം	anger	0.750
fuckedoff	പ്രണയം	anger	0.742
threat	ഭീഷണി	anger	0.742
erupt	ഉരുകുക	anger	0.742
screaming	കരയുന്നു	anger	0.742
violence	അക്രമം	anger	0.742
horrible	ഭയങ്കര	anger	0.742
molestation	പീഡനം	anger	0.742
bastards	ബോസ്റ്റards	anger	0.741
revenge	പ്രതികാരം	anger	0.738
catastrophe	ദുരന്തം	anger	0.735
menacing	ഭീഷണി	anger	0.735
demon	ഭൂത	anger	0.735
crushing	തകർക്കുന്നു	anger	0.735
damn	കഷ്ടം	anger	0.735
persecute	ഉപദ്രവിക്കുക	anger	0.734
argue	വാദിക്കുക	anger	0.734
flog	മായ്ക്കുക	anger	0.734
revolt	കലാപം	anger	0.734
thrash	തട്ടുക	anger	0.734
deplore	വഞ്ചിക്കുക	anger	0.734
warfare	യുദ്ധം	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	കഠിനമായി	anger	0.734
riotous	കലാപം	anger	0.734
altercation	വഞ്ചന	anger	0.729
warlike	യുദ്ധവിവരം	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	കലാപം	anger	0.727
castrate	കാസ്റ്റേറ്റ്	anger	0.727
sabotage	അട്ടിമറി	anger	0.727
malevolent	വഞ്ചന	anger	0.721
strike	സമരം	anger	0.721
disaster	ദുരന്തം	anger	0.721
disastrous	വിനാശകരമായ	anger	0.720
tumult	ആലിംഗനം	anger	0.719
madden	മാഡൻ	anger	0.719
devil	പിശാച്	anger	0.719
scream	ആലപ്പുഴ	anger	0.719
brutal	മൃഗീയമായ	anger	0.719
treachery	വഞ്ചന	anger	0.719
scorching	തിളങ്ങുന്നു	anger	0.719
vermin	പേര	anger	0.719
arseholes	ആർസെഹോൾസ്	anger	0.719
horseshit	കുതിരലാടം	anger	0.719
aggravates	വർദ്ധിക്കുന്നു	anger	0.719
spiteful	സ്പഷ്ടമായ	anger	0.719
slay	കൊല്ലുക	anger	0.719
disdain	ധിക്കാരം	anger	0.719
choke	വീര്പ്പുമുട്ടുക	anger	0.719
bastarding	ബോസ്റ്റാർഡിംഗ്	anger	0.719
mangle	മാംഗി	anger	0.714
anarchism	അരാജകത്വം	anger	0.714
mutilation	മലിനീകരണം	anger	0.714
criminal	കുറ്റവാളി	anger	0.714
denunciation	ശിക്ഷ	anger	0.713
punch	പഞ്ച് ചെയ്യുക	anger	0.713
crucifixion	കുരിശിലേറ്റൽ	anger	0.712
virulence	വഞ്ചന	anger	0.712
battled	യുദ്ധത്തിൽ	anger	0.712
fatal	മാരകമായ	anger	0.712
holocaust	ഹോളോകോസ്റ്റ്	anger	0.712
blasphemous	ദൈവനിന്ദ	anger	0.712
hurting	വേദനിപ്പിക്കുന്നു	anger	0.712
dumbasses	ഡംബെസസ്	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	മന്ദഹസിച്ചു	anger	0.706
atrocious	അതിക്രമം	anger	0.706
evil	തിന്മ	anger	0.706
irritated	അസ്വസ്ഥനായിരുന്നു	anger	0.706
assassin	കൊലയാളി	anger	0.703
dicks	ഡിക്ക്	anger	0.703
persecution	ഉപദ്രവം	anger	0.703
slayer	കുല	anger	0.703
kidnap	തട്ടിക്കൊണ്ടുപോകുക	anger	0.703
scolding	സ്ക്രോൾഡ്	anger	0.703
intimidation	ഭീഷണി	anger	0.703
aggravated	വർദ്ധിച്ചു	anger	0.703
aggression	ആക്രമണം	anger	0.702
armed	ആയുധം	anger	0.700
poison	വിഷം	anger	0.697
snarling	വഞ്ചന	anger	0.697
venom	വിഷം	anger	0.697
battle	യുദ്ധം	anger	0.697
disgruntled	അസംബന്ധം	anger	0.693
insidious	വഞ്ചനാപരമായ	anger	0.691
assailant	പീഡിപ്പിക്കുന്നയാൾ	anger	0.691
resentment	നീരസം	anger	0.691
lynch	കഞ്ചാവ്	anger	0.690
contemptuous	ധിക്കാരികളായ	anger	0.690
temper	കോപം	anger	0.688
imprisonment	തടവ്	anger	0.688
disparage	അപമാനം	anger	0.688
bully	ശല്യപ്പെടുത്തൽ	anger	0.688
terrible	ഭയങ്കര	anger	0.688
lunatic	ഭ്രാന്തൻ	anger	0.688
curse	ശാപം	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	കടന്നുകളയുന്നു	anger	0.688
domination	ആധിപത്യം	anger	0.688
mad	ഭ്രാന്തൻ	anger	0.688
infanticide	കുപ്രസിദ്ധമായ	anger	0.688
volatility	അസ്ഥിരത	anger	0.687
eradication	നശീകരണം	anger	0.685
tantrum	അസ്വാസ്ഥ്യം	anger	0.682
devastate	നശിപ്പിക്കുക	anger	0.682
eradicate	ഉന്മൂലനം ചെയ്യുക	anger	0.682
scoundrel	തെമ്മാടി	anger	0.682
aggressively	വളരെയധികം	anger	0.680
agitation	പ്രക്ഷോഭം	anger	0.680
dictatorship	ഏകാധിപത്യം	anger	0.676
irritates	അസ്വസ്ഥമാക്കുന്നു	anger	0.676
profanity	വഞ്ചന	anger	0.673
egregious	അതിശയകരമായ	anger	0.672
expletive	എക്സപ്റ്റിക്	anger	0.672
nasty	വഷളനാണ്	anger	0.672
shove	കുതിക്കുക	anger	0.672
shot	ഷോട്ട്	anger	0.672
harmful	ഹാനികരമായ	anger	0.672
aggravation	ഉപദ്രവിക്കൽ	anger	0.672
contempt	അവജ്ഞ	anger	0.672
poisonous	വിഷം	anger	0.672
dastardly	മടിയാ	anger	0.672
shoot	ഷൂട്ട്	anger	0.672
corrupting	ദുഷിപ്പിക്കുക	anger	0.672
condemnation	ശിക്ഷാവിധി	anger	0.672
wreak	ഉണരുക	anger	0.672
crushed	തകർത്തു	anger	0.672
cruelly	ക്രൂരമായി	anger	0.672
crime	കുറ്റകൃത്യം	anger	0.672
maniac	വഞ്ചകൻ	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	വിപ്ലവം	anger	0.667
odious	അസാധാരണമാണ്	anger	0.667
shooting	ഷൂട്ടിംഗ്	anger	0.667
kick	തൊഴി	anger	0.667
aggressive	ആക്രമണാത്മക	anger	0.667
combat	പോരാടുക	anger	0.667
shout	ഷൌട്ട്	anger	0.667
hit	തട്ടുക	anger	0.667
fight	പൊരുതുക	anger	0.667
cutthroat	വെട്ടിക്കളഞ്ഞു	anger	0.667
enemy	ശത്രു	anger	0.667
irritable	രോഷം	anger	0.667
punished	ശിക്ഷിക്കപ്പെട്ടു	anger	0.662
ambush	പതിയിരുന്ന്	anger	0.661
yell	സജീവം	anger	0.661
harass	ശല്യപ്പെടുത്തൂ	anger	0.659
malignant	മാരകമായ	anger	0.656
aggressor	ആക്രമണകാരി	anger	0.656
antichrist	ആന്റിക്രൈസ്റ്റ്	anger	0.656
gore	ഗോര	anger	0.656
incense	ധൂപം	anger	0.656
expel	പുറത്താക്കുക	anger	0.656
destruction	നാശം	anger	0.656
grudge	വിഡ്ഢി	anger	0.656
cranky	ക്രാങ്കി	anger	0.653
offended	ഇടറിപ്പോയി	anger	0.652
spank	ചവിട്ടുക	anger	0.652
growl	വളരുന്ന	anger	0.652
insurrection	കലാപം	anger	0.652
reprisal	പ്രതികാരം	anger	0.652
slave	അടിമ	anger	0.652
denounce	നിരസിക്കുക	anger	0.652
animosity	വിദ്വേഷം	anger	0.652
insulting	അപമാനിക്കൽ	anger	0.652
clashing	ഏറ്റുമുട്ടൽ	anger	0.652
growls	മുത്തും	anger	0.649
executioner	ആരാച്ചാർ	anger	0.644
twat	തത്ത	anger	0.644
doomsday	ഡൂംസ്ഡേ	anger	0.643
daemon	ഡെമൻ	anger	0.641
obscenity	അസഭ്യം	anger	0.641
bombard	ബോംബാഡ്	anger	0.641
spat	തുപ്പുക	anger	0.641
havoc	ബി. ടി	anger	0.641
feud	മമത	anger	0.641
grr	grr	anger	0.641
arson	തീ പിടാക്കുക	anger	0.641
reprimand	താക്കീത്	anger	0.641
expulsion	പുറത്താക്കൽ	anger	0.641
inexcusable	ക്ഷമിക്കാത്തവനോ	anger	0.641
accused	കുറ്റാരോപിതൻ	anger	0.641
indignant	ഉഗ്രൻ	anger	0.641
shackle	ഇളക്കിക്കൊല്ലുക	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	മുറിവ്	anger	0.636
suicidal	ആത്മഹത്യ	anger	0.636
poisoned	വിഷം	anger	0.636
batter	batter	anger	0.636
kicking	തട്ടുന്ന	anger	0.636
hanging	തൂക്കിക്കൊല്ലൽ	anger	0.636
spanking	ചങ്കൂറ്റമുണ്ടാക്കി	anger	0.636
disgusting	മ്ളേച്ഛത	anger	0.636
combatant	പോരാടുന്നയാൾ	anger	0.636
frustrated	നിരാശരായി	anger	0.636
anarchy	അരാജകത്വം	anger	0.636
glaring	തിളങ്ങുന്നു	anger	0.636
inflict	പ്രേരിപ്പിക്കുക	anger	0.633
wrecked	തകർന്നു	anger	0.633
grievous	വേദന	anger	0.632
prosecute	പ്രോസിക്യൂട്ട് ചെയ്യുക	anger	0.630
agitated	ആശ്ചര്യപ്പെട്ടു	anger	0.630
cheat	ചതിക്കുക	anger	0.630
swastika	സ്വസ്തിക	anger	0.627
defamatory	അപകീർത്തിപ്പെടുത്തൽ	anger	0.625
suffocation	ശ്വാസംമുട്ടൽ	anger	0.625
strife	കലഹമാണ്	anger	0.625
provocation	പ്രകോപനം	anger	0.625
injure	ദ്രോഹിക്കുക	anger	0.625
harassing	ശല്യപ്പെടുത്തുന്ന	anger	0.625
scourge	ചമ്മന്തി	anger	0.625
cursing	ശാപം	anger	0.625
betray	വഞ്ചന	anger	0.625
indict	കുറ്റസമ്മതം	anger	0.625
raid	മിന്നല് പരിശോധന	anger	0.625
thundering	ഇടിമിന്നൽ	anger	0.625
enslaved	അടിമത്തത്തിലായിരുന്നു	anger	0.625
arsehole	ആർസെഹോൾ	anger	0.624
insane	ഭ്രാന്തൻ	anger	0.621
fiend	കൂലി	anger	0.621
irritate	നിരാശപ്പെടുത്തുക	anger	0.621
convict	കുറ്റവാളി	anger	0.621
jerk	തമാശ	anger	0.621
theft	മോഷണം	anger	0.621
retaliation	പ്രതികാരം	anger	0.621
deprivation	നഷ്ടം	anger	0.621
cussed	മടുത്തു	anger	0.619
turmoil	കലഹവും	anger	0.618
smack	മണം	anger	0.615
retribution	പ്രതികാരം	anger	0.614
twats	twats	anger	0.609
intolerable	അസഹനീയമായ	anger	0.609
rebellion	കലാപം	anger	0.609
injurious	ദ്രോഹിക്കുക	anger	0.609
oppressor	അടിച്ചമർത്തൽ	anger	0.609
slavery	അടിമത്തം	anger	0.609
irritability	ക്ഷോഭം	anger	0.609
collision	കൂട്ടിയിടി	anger	0.609
bitterly	കയ്പുള്ള	anger	0.609
gang	കൂട്ടം	anger	0.609
antagonism	എതിർപ്പ്	anger	0.609
battery	ബാറ്ററി	anger	0.609
adverse	പ്രതികൂലമായ	anger	0.609
disgraced	ലജ്ജാകരമായ	anger	0.608
irritating	പ്രകോപിപ്പിക്കരുത്	anger	0.606
revolution	വിപ്ലവം	anger	0.606
thug	തഗ്	anger	0.606
diatribe	ഡയാട്രിബ്	anger	0.606
bombardment	അധിനിവേശം	anger	0.606
blast	സ്ഫോടനം	anger	0.606
irks	അയാൾ പറഞ്ഞു	anger	0.606
sickening	വിരസത	anger	0.606
discrimination	വിവേചനം	anger	0.606
antagonistic	വിരുദ്ധമായ	anger	0.606
ranting	നൃത്തം	anger	0.606
asshole	ആസ്ഹോൾ	anger	0.606
frustrate	നിരാശപ്പെടുത്തുക	anger	0.604
manipulation	കൃത്രിമത്വം	anger	0.603
tension	പിരിമുറുക്കവും	anger	0.603
insult	അപമാനിക്കുക	anger	0.603
bigot	വലിയ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	വേദനിപ്പിക്കുന്നു	anger	0.603
oppression	പീഡനം	anger	0.603
disgust	വെറുപ്പ്	anger	0.602
spite	ആയിട്ടും	anger	0.600
intrusive	അത്യധികമായിരിക്കും	anger	0.598
harshness	ക്രൂരത	anger	0.597
slur	മങ്ങിക്കുക	anger	0.596
wretch	ഉപദ്രവിക്കുക	anger	0.594
inferno	അശ്ലീല	anger	0.594
invasion	അധിനിവേശം	anger	0.594
puncture	വേദനാശം	anger	0.594
miserable	ദുഖം	anger	0.594
assail	ആക്രമിക്കുക	anger	0.594
storming	കൊടുങ്കാറ്റ്	anger	0.594
casualty	അപകടസാധ്യത	anger	0.594
bitterness	കയ്പ്പ്	anger	0.594
morbidity	രോഗാവസ്ഥ	anger	0.594
tempest	കൊടുങ്കാറ്റ്	anger	0.594
consternation	വിദ്വേഷം	anger	0.592
depraved	അപ്രതീക്ഷിതമായി	anger	0.591
raving	രവി	anger	0.591
guillotine	ഗില്ലറ്റിൻ	anger	0.591
guilty	കുറ്റവാളി	anger	0.591
immoral	അധാർമികത	anger	0.591
forcibly	നിർബന്ധിതമായി	anger	0.591
overpowering	അമിത വർദ്ധിപ്പിക്കുക	anger	0.591
accursed	ശപിക്കപ്പെട്ടത്	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	അനുരഞ്ജനം	anger	0.588
invader	അധിനിവേശം	anger	0.588
scare	പേടിക്കേണ്ടതില്ല	anger	0.588
screwed	തെറിപ്പിച്ചു	anger	0.588
indignation	ക്രോധം	anger	0.587
jealousy	അസൂയ	anger	0.587
vexed	വിഷമത്തിലായി	anger	0.586
confront	നേരിടുക	anger	0.582
brute	ബ്രൂട്ട്	anger	0.581
throttle	ത്രോട്ടിൽ	anger	0.579
wreck	തകർക്കുക	anger	0.578
revolver	റെവോൾവർ	anger	0.578
slut	വൃത്തികെട്ട	anger	0.578
yousuck	നിങ്ങൾ നുകർന്നു	anger	0.578
damage	ക്ഷതം	anger	0.578
butcher	കശാപ്പ്	anger	0.578
conflict	സംഘർഷം	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	കുറ്റകൃത്യം	anger	0.578
bickering	ഉല്ലാസയാത്ര	anger	0.578
pillage	കവർച്ച	anger	0.578
blaze	വെട്ട്	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	അട്ടിമറി	anger	0.578
contentious	വിരുദ്ധമായ	anger	0.578
incarceration	തടവ്	anger	0.578
defiant	എതിർക്കുക	anger	0.578
provoking	പ്രകോപിപ്പിക്കരുത്	anger	0.578
lash	ലാഷ്	anger	0.578
cancer	അർബുദം	anger	0.577
frustration	നിരാശ	anger	0.576
gory	ഗോരി	anger	0.576
alienation	അന്യവൽക്കരണം	anger	0.576
discord	നിരസിക്കുക	anger	0.576
disturbance	ശല്യപ്പെടുത്തൽ	anger	0.576
grope	തുടച്ചുനീക്കുക	anger	0.576
condescension	സാന്ത്വന സങ്കോചം	anger	0.576
pernicious	വിദ്വേഷം	anger	0.576
blasphemy	ദൈവനിന്ദ	anger	0.576
discriminate	വിവേചനാധികാരം	anger	0.576
chaotic	കുഴപ്പമില്ല	anger	0.576
gun	തോക്ക്	anger	0.576
standoff	സ്റ്റാൻഡ്ഓഫ്	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	സ്നെർ	anger	0.574
lunacy	സൌമ്യ	anger	0.574
oppressive	അടിച്ചമർത്തൽ	anger	0.574
death	മരണം	anger	0.574
jab	ജബ്	anger	0.574
cursed	ശപിക്കപ്പെട്ടവ	anger	0.574
scandalous	അപരാധം	anger	0.574
monstrosity	മോൺസ്റ്റ്രോസിറ്റി	anger	0.574
shit	ഷീറ്റ്	anger	0.573
disparaging	ശോഭിക്കുന്നു	anger	0.571
slash	സ്ലാഷ്	anger	0.571
unfair	തെറ്റായ	anger	0.571
gallows	കഴുത്ത്	anger	0.570
escalate	വികസിക്കുക	anger	0.569
intolerant	അസഹിഷ്ണുത	anger	0.564
lawlessness	അധർമ്മം	anger	0.563
bluddy	ബ്ലഡി	anger	0.562
perdition	നാശമാണ്	anger	0.562
taunt	കൊള്ളാം	anger	0.562
grouchy	ഗ്രൗണ്ട്	anger	0.562
torpedo	ടോപ്പോഡോ	anger	0.562
deceived	വഞ്ചിക്കപ്പെട്ടു	anger	0.562
slander	ദൂഷണം	anger	0.562
retards	തുടരുന്നു	anger	0.562
bearish	മുഷിഞ്ഞ	anger	0.562
invade	ആക്രമിക്കുക	anger	0.562
bellows	ബെല്ലോസ്	anger	0.562
beast	മൃഗ	anger	0.562
frightful	ഭയം	anger	0.562
derogatory	അപമാനകരമായ	anger	0.562
glare	മിന്നല്	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ഭയങ്കര	anger	0.562
traitor	വഞ്ചകൻ	anger	0.562
malign	നശിപ്പിക്കുക	anger	0.562
wrangling	വിവാദം	anger	0.562
dissension	വിദ്വേഷം	anger	0.561
banshee	ബൻഷെ	anger	0.561
shatter	തകർക്കുക	anger	0.561
conflagration	ഏറ്റുമുട്ടൽ	anger	0.561
jeopardize	അപകടം ഉണ്ടാക്കുക	anger	0.561
thief	മോഷ്ടാവ്	anger	0.561
rave	കെടുത്തുക	anger	0.561
grating	വെടിവയ്ക്കുക	anger	0.561
devastating	വിനാശകരമായ	anger	0.561
idiots	ഇഡിയറ്റ്സ്	anger	0.561
betrayal	വഞ്ചന	anger	0.561
uncontrollable	അനിയന്ത്രിതമായ	anger	0.561
fits	യോജിക്കുന്നു	anger	0.561
cross	കുരിശ്	anger	0.561
hurt	വേദനിപ്പിക്കുന്നു	anger	0.561
disturbed	അസ്വസ്ഥനായിരുന്നു	anger	0.559
subjugation	അടിമത്തം	anger	0.559
stomped	സ്റ്റോർഡ്	anger	0.557
grab	പിടിച്ചെടുക്കുക	anger	0.557
ticked	തട്ടുക	anger	0.556
masochism	മാസോയിസം	anger	0.556
grievance	പരാതിപ്പെടൽ	anger	0.556
defiance	എതിർപ്പ്	anger	0.552
blackmail	ബ്ലാക്ക്മെയിൽ	anger	0.550
offensive	കുറ്റകൃത്യം	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ലംഘനം	anger	0.547
punishment	ശിക്ഷ	anger	0.547
shrill	വൃത്തിയാക്കുക	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ഇരുണ്ട വശം	anger	0.547
misery	ദുരിതം	anger	0.547
frustrates	നിരാശാജനകമാണ്	anger	0.547
disgraceful	ലജ്ജാകരമായ	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	അലഞ്ഞുതിരിയുന്നു	anger	0.547
disparity	അസമത്വം	anger	0.547
confine	തടസ്സപ്പെടുത്തുക	anger	0.547
