word	Frisian-fy	emotion	emotion-intensity-score
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	feroardieling	anger	0.818
venomous	geweldig	anger	0.818
threaten	bedrige	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	ôfhinklik	anger	0.816
savage	wyld	anger	0.814
atrocity	geweldigheid	anger	0.814
carnage	wapens	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	misbrûk	anger	0.812
tyrant	tirant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	lulk	anger	0.812
vendetta	vendetta	anger	0.812
fierce	fûl	anger	0.812
destroyer	ferdjer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbaar	anger	0.812
anger	lilkens	anger	0.811
pieceofshit	stik stront	anger	0.810
slam	slam	anger	0.803
fights	fjochtsjen	anger	0.803
punched	punched	anger	0.803
bitch	bitch	anger	0.803
punching	punching	anger	0.803
homicide	omroep	anger	0.803
destructive	destruktyf	anger	0.797
ruthless	rêstich	anger	0.797
villainous	ferrifelje	anger	0.797
slap	slap	anger	0.791
slaughterhouse	slachthús	anger	0.788
punishing	bestraft	anger	0.788
destroyed	ferwoaste	anger	0.788
retaliatory	ferhelje	anger	0.788
riot	riot	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolisch	anger	0.788
manslaughter	manslaughter	anger	0.783
clash	oandiel	anger	0.783
bloody	bloedich	anger	0.781
hellish	hellich	anger	0.781
loath	loath	anger	0.781
detonation	detonaasje	anger	0.781
quarrel	skeel	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	beswier	anger	0.779
treacherous	treacherous	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ferjilde	anger	0.773
revulsion	ûntslach	anger	0.773
madder	madder	anger	0.773
horrific	horrific	anger	0.773
scorn	skuorre	anger	0.769
deplorable	lekkerber	anger	0.766
bomb	bom	anger	0.766
anarchist	anarchist	anger	0.765
devastation	devastaasje	anger	0.765
resent	kwea-ôf nimme	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	ferachtlik	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	wreed	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	deadlik	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	útbrekke	anger	0.757
snarl	snarl	anger	0.754
profane	profane	anger	0.750
offend	oanstjit	anger	0.750
douchebags	douchebags	anger	0.750
growling	groeie	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgariteit	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	ferachtsje	anger	0.750
horror	ôfgriis	anger	0.750
aggravating	fergriemd	anger	0.750
revolting	wjerhâlden	anger	0.750
fuckedoff	ferdwûn	anger	0.742
threat	bedriging	anger	0.742
erupt	útbrekke	anger	0.742
screaming	skreauwe	anger	0.742
violence	geweld	anger	0.742
horrible	skriklik	anger	0.742
molestation	molestaasje	anger	0.742
bastards	bastards	anger	0.741
revenge	wraak	anger	0.738
catastrophe	katastrofe	anger	0.735
menacing	ferdoarn	anger	0.735
demon	demon	anger	0.735
crushing	smoarch	anger	0.735
damn	damn	anger	0.735
persecute	ferfolgje	anger	0.734
argue	argue	anger	0.734
flog	flog	anger	0.734
revolt	revolt	anger	0.734
thrash	thrash	anger	0.734
deplore	ôfbrekke	anger	0.734
warfare	oarloch	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	geweldich	anger	0.734
riotous	rûzjend	anger	0.734
altercation	oertsjûging	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	malevolent	anger	0.721
strike	slaan	anger	0.721
disaster	ramp	anger	0.721
disastrous	funest	anger	0.720
tumult	tumult	anger	0.719
madden	madden	anger	0.719
devil	duvel	anger	0.719
scream	skreau	anger	0.719
brutal	brutaal	anger	0.719
treachery	treachery	anger	0.719
scorching	skorching	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	hynder	anger	0.719
aggravates	fergruttet	anger	0.719
spiteful	spitich	anger	0.719
slay	slachje	anger	0.719
disdain	ferfalle	anger	0.719
choke	choke	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mingje	anger	0.714
anarchism	anarchisme	anger	0.714
mutilation	mutilaasje	anger	0.714
criminal	krimineel	anger	0.714
denunciation	Denominaasje	anger	0.713
punch	punch	anger	0.713
crucifixion	kruzifixion	anger	0.712
virulence	virulâns	anger	0.712
battled	fjochtsje	anger	0.712
fatal	fataal	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	blasphemous	anger	0.712
hurting	bliuwt	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	geweldig	anger	0.706
evil	kwea	anger	0.706
irritated	irritearre	anger	0.706
assassin	assassin	anger	0.703
dicks	diken	anger	0.703
persecution	ferfolging	anger	0.703
slayer	slayer	anger	0.703
kidnap	kidnap	anger	0.703
scolding	scolding	anger	0.703
intimidation	yntimidaasje	anger	0.703
aggravated	aggravearre	anger	0.703
aggression	agresje	anger	0.702
armed	beweard	anger	0.700
poison	fergif	anger	0.697
snarling	snarling	anger	0.697
venom	venom	anger	0.697
battle	fjildslach	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	insidious	anger	0.691
assailant	oanfaller	anger	0.691
resentment	resentment	anger	0.691
lynch	lynch	anger	0.690
contemptuous	ferachtlik	anger	0.690
temper	temper	anger	0.688
imprisonment	finzenis	anger	0.688
disparage	ferdwine	anger	0.688
bully	bully	anger	0.688
terrible	freeslik	anger	0.688
lunatic	lunatysk	anger	0.688
curse	flok	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	ferdwûn	anger	0.688
domination	dominaasje	anger	0.688
mad	Mad	anger	0.688
infanticide	infantyk	anger	0.688
volatility	volatiliteit	anger	0.687
eradication	fergrieming	anger	0.685
tantrum	trekker	anger	0.682
devastate	ferwoaste	anger	0.682
eradicate	fergriemje	anger	0.682
scoundrel	skuldrel	anger	0.682
aggressively	agressyf	anger	0.680
agitation	agitation	anger	0.680
dictatorship	Diktatuer	anger	0.676
irritates	irritearret	anger	0.676
profanity	profanity	anger	0.673
egregious	egregious	anger	0.672
expletive	expletive	anger	0.672
nasty	bang	anger	0.672
shove	skodzje	anger	0.672
shot	skot	anger	0.672
harmful	skealik	anger	0.672
aggravation	fergriemen	anger	0.672
contempt	ferachting	anger	0.672
poisonous	giftich	anger	0.672
dastardly	dastardly	anger	0.672
shoot	skine	anger	0.672
corrupting	ferdoarn	anger	0.672
condemnation	feroardieling	anger	0.672
wreak	wreak	anger	0.672
crushed	ferwûne	anger	0.672
cruelly	geweldig	anger	0.672
crime	misdie	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	útbarsting	anger	0.667
odious	ôfwike	anger	0.667
shooting	toerisme	anger	0.667
kick	skop	anger	0.667
aggressive	agressyf	anger	0.667
combat	striid	anger	0.667
shout	roppe	anger	0.667
hit	slaan	anger	0.667
fight	fjochtsje	anger	0.667
cutthroat	slachter	anger	0.667
enemy	fijân	anger	0.667
irritable	reizgje	anger	0.667
punished	straft	anger	0.662
ambush	ambút	anger	0.661
yell	yell	anger	0.661
harass	harass	anger	0.659
malignant	maligne	anger	0.656
aggressor	agressor	anger	0.656
antichrist	antykrist	anger	0.656
gore	gore	anger	0.656
incense	wijreek	anger	0.656
expel	fertsjinje	anger	0.656
destruction	ferneatiging	anger	0.656
grudge	grudge	anger	0.656
cranky	knyn	anger	0.653
offended	beleane	anger	0.652
spank	spank	anger	0.652
growl	groeie	anger	0.652
insurrection	opstân	anger	0.652
reprisal	reprisal	anger	0.652
slave	slaaf	anger	0.652
denounce	tsjinje	anger	0.652
animosity	animosity	anger	0.652
insulting	ferneatigje	anger	0.652
clashing	oandwaan	anger	0.652
growls	groeien	anger	0.649
executioner	útfierer	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenity	anger	0.641
bombard	bombardearje	anger	0.641
spat	spat	anger	0.641
havoc	havoc	anger	0.641
feud	Fete	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	reprimand	anger	0.641
expulsion	ekspedysje	anger	0.641
inexcusable	ûnbeskikber	anger	0.641
accused	beskuldige	anger	0.641
indignant	ûnrjocht	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	wûne	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	fergiftige	anger	0.636
batter	batter	anger	0.636
kicking	stjerre	anger	0.636
hanging	hingje	anger	0.636
spanking	spanking	anger	0.636
disgusting	ôfgryslik	anger	0.636
combatant	kommandant	anger	0.636
frustrated	frustreard	anger	0.636
anarchy	anargy	anger	0.636
glaring	gloarje	anger	0.636
inflict	tabringe	anger	0.633
wrecked	wraak	anger	0.633
grievous	swier	anger	0.632
prosecute	prosecute	anger	0.630
agitated	agitearre	anger	0.630
cheat	falsk	anger	0.630
swastika	swastika	anger	0.627
defamatory	defamatory	anger	0.625
suffocation	oandwaning	anger	0.625
strife	striid	anger	0.625
provocation	provokaasje	anger	0.625
injure	ferwûnje	anger	0.625
harassing	harassing	anger	0.625
scourge	skodzje	anger	0.625
cursing	ferflokt	anger	0.625
betray	ferriede	anger	0.625
indict	oantsjutte	anger	0.625
raid	raid	anger	0.625
thundering	dûnsje	anger	0.625
enslaved	enslavde	anger	0.625
arsehole	arsehole	anger	0.624
insane	geweldich	anger	0.621
fiend	fiend	anger	0.621
irritate	rypje	anger	0.621
convict	fonnisje	anger	0.621
jerk	jerk	anger	0.621
theft	stellerij	anger	0.621
retaliation	ferjilding	anger	0.621
deprivation	deprivaasje	anger	0.621
cussed	kâld	anger	0.619
turmoil	Reboelje	anger	0.618
smack	smack	anger	0.615
retribution	ferjilding	anger	0.614
twats	twats	anger	0.609
intolerable	yntolerabel	anger	0.609
rebellion	opstân	anger	0.609
injurious	ferwûnen	anger	0.609
oppressor	oppressor	anger	0.609
slavery	slavery	anger	0.609
irritability	rissigens	anger	0.609
collision	botsing	anger	0.609
bitterly	bitterly	anger	0.609
gang	gang	anger	0.609
antagonism	antagonisme	anger	0.609
battery	batterij	anger	0.609
adverse	negatyf	anger	0.609
disgraced	ôfgryslik	anger	0.608
irritating	irritearend	anger	0.606
revolution	revolúsje	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardemint	anger	0.606
blast	blast	anger	0.606
irks	earm	anger	0.606
sickening	skriklik	anger	0.606
discrimination	diskriminaasje	anger	0.606
antagonistic	antagonistysk	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustrearje	anger	0.604
manipulation	manipulaasje	anger	0.603
tension	spanning	anger	0.603
insult	beleane	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	swak	anger	0.603
oppression	ûnderdrukking	anger	0.603
disgust	wearze	anger	0.602
spite	spite	anger	0.600
intrusive	yndrukke	anger	0.598
harshness	hurdens	anger	0.597
slur	slur	anger	0.596
wretch	wretearje	anger	0.594
inferno	ynferno	anger	0.594
invasion	ynvaazje	anger	0.594
puncture	punt	anger	0.594
miserable	miserabele	anger	0.594
assail	oantsjutte	anger	0.594
storming	stoarmjend	anger	0.594
casualty	slachtoffer	anger	0.594
bitterness	ferbittering	anger	0.594
morbidity	morbiditeit	anger	0.594
tempest	tempest	anger	0.594
consternation	fersteanberens	anger	0.592
depraved	ferwûnen	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	skuldich	anger	0.591
immoral	ymmoreel	anger	0.591
forcibly	ferkeaplik	anger	0.591
overpowering	overpowering	anger	0.591
accursed	ferflokt	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	opnij	anger	0.588
invader	invader	anger	0.588
scare	eangst	anger	0.588
screwed	skreaun	anger	0.588
indignation	eangje	anger	0.587
jealousy	ealje	anger	0.587
vexed	ferwûne	anger	0.586
confront	konfrontearje	anger	0.582
brute	brute	anger	0.581
throttle	drosje	anger	0.579
wreck	wraak	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	do kinst der neat fan	anger	0.578
damage	skea	anger	0.578
butcher	slachter	anger	0.578
conflict	konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	kriminaliteit	anger	0.578
bickering	brakering	anger	0.578
pillage	piloat	anger	0.578
blaze	blaze	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	steatsgreep	anger	0.578
contentious	freugde	anger	0.578
incarceration	ynkarceraasje	anger	0.578
defiant	tsjinkomme	anger	0.578
provoking	provokearjen	anger	0.578
lash	lash	anger	0.578
cancer	kanker	anger	0.577
frustration	frustraasje	anger	0.576
gory	gory	anger	0.576
alienation	feriening	anger	0.576
discord	Ungelok	anger	0.576
disturbance	stoarm	anger	0.576
grope	groep	anger	0.576
condescension	condescension	anger	0.576
pernicious	pynlik	anger	0.576
blasphemy	blasphemy	anger	0.576
discriminate	diskriminearje	anger	0.576
chaotic	chaotysk	anger	0.576
gun	gun	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	oppressyf	anger	0.574
death	dea	anger	0.574
jab	jab	anger	0.574
cursed	ferflokke	anger	0.574
scandalous	skandalich	anger	0.574
monstrosity	monstrositeit	anger	0.574
shit	shit	anger	0.573
disparaging	disparaging	anger	0.571
slash	slash	anger	0.571
unfair	ûnearlik	anger	0.571
gallows	gallows	anger	0.570
escalate	eskalearje	anger	0.569
intolerant	ûnferdraachsum	anger	0.564
lawlessness	wetens	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdysje	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	ferrifield	anger	0.562
slander	rabberij	anger	0.562
retards	fermindert	anger	0.562
bearish	bearish	anger	0.562
invade	ynfalle	anger	0.562
bellows	bellen	anger	0.562
beast	bist	anger	0.562
frightful	frjemd	anger	0.562
derogatory	ôfwikend	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	dreadful	anger	0.562
traitor	ferrieder	anger	0.562
malign	malignearje	anger	0.562
wrangling	wrangling	anger	0.562
dissension	dissension	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	brânwacht	anger	0.561
jeopardize	jeopardearje	anger	0.561
thief	dief	anger	0.561
rave	rave	anger	0.561
grating	griente	anger	0.561
devastating	fergriemd	anger	0.561
idiots	idiots	anger	0.561
betrayal	ferrassing	anger	0.561
uncontrollable	ûnbehearrend	anger	0.561
fits	pas	anger	0.561
cross	krús	anger	0.561
hurt	wekker	anger	0.561
disturbed	fersteurde	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stompet	anger	0.557
grab	grave	anger	0.557
ticked	tickte	anger	0.556
masochism	masochisme	anger	0.556
grievance	grievens	anger	0.556
defiance	ferset	anger	0.552
blackmail	swart	anger	0.550
offensive	offensief	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ferwûning	anger	0.547
punishment	straf	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	donkere kant	anger	0.547
misery	lijen	anger	0.547
frustrates	frustraten	anger	0.547
disgraceful	skamje	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	oergean	anger	0.547
disparity	disparity	anger	0.547
confine	beheine	anger	0.547
firearms	firearms	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	rebel	anger	0.547
deceive	ferrifelje	anger	0.547
stolen	stole	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	heize	anger	0.545
ruined	ruïne	anger	0.545
menace	menace	anger	0.545
humiliate	fernederje	anger	0.545
tackle	tackle	anger	0.545
conspirator	konspirator	anger	0.545
foul	foul	anger	0.545
antagonist	antagonist	anger	0.545
resentful	wrokkerich	anger	0.545
prejudice	foaroardiel	anger	0.545
adversary	tsjinstanner	anger	0.545
argument	argumint	anger	0.545
skirmish	skermje	anger	0.545
callous	kâld	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ferbean	anger	0.544
robbery	raar	anger	0.544
sting	stekke	anger	0.544
outcry	opskrik	anger	0.544
grumble	grompe	anger	0.544
irreconcilable	ûnreplikbere	anger	0.543
resistance	ferset	anger	0.543
obstructive	obstruktyf	anger	0.542
dismay	ferrassing	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	badheid	anger	0.536
ridicule	ridicule	anger	0.534
incendiary	Wetter - Agrarwetter	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneraasje	anger	0.531
confinement	yninoar	anger	0.531
exacerbation	fergrutsje	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	opstân	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	reckless	anger	0.531
unbridled	unbridled	anger	0.531
allegation	beleanning	anger	0.531
communism	kommunisme	anger	0.531
whip	swipe	anger	0.531
intruder	intruder	anger	0.531
dispute	diskusje	anger	0.531
belittle	belittle	anger	0.531
bigoted	groeide	anger	0.530
offender	skuldiger	anger	0.530
hassle	hommel	anger	0.530
dissonance	dissonance	anger	0.530
unjust	ûnrjocht	anger	0.530
dictatorial	diktatorysk	anger	0.530
unjustifiable	net te bepalen	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	tackled	anger	0.530
renegade	renegade	anger	0.529
hot	hyt	anger	0.529
prison	gefangenis	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trespass	anger	0.529
suicide	selsmoard	anger	0.521
annoy	annoy	anger	0.520
leavemealone	Lit my allinnich	anger	0.517
idiotic	idiotysk	anger	0.516
distrust	mistrouwen	anger	0.516
depravity	ôfwikseling	anger	0.516
cretins	kretyen	anger	0.516
divorce	skieding	anger	0.516
broil	breil	anger	0.516
grrr	grrr	anger	0.516
venting	lucht	anger	0.516
inimical	ynimysk	anger	0.516
duress	duress	anger	0.516
disrespectful	disrespectful	anger	0.516
tortious	tortyf	anger	0.516
criticize	kritisearje	anger	0.516
prisoner	finzene	anger	0.516
dishonest	ûnearlik	anger	0.516
treason	Ferrie	anger	0.516
victimized	ferwûnen	anger	0.515
bile	bile	anger	0.515
unkind	ûnkind	anger	0.515
unforgiving	ûnfergjen	anger	0.515
unleash	ûntbrekke	anger	0.515
coercion	oandwaan	anger	0.515
scold	scold	anger	0.515
chaos	gaos	anger	0.515
grump	gromp	anger	0.515
roar	roar	anger	0.515
jerks	jerks	anger	0.515
poaching	poachje	anger	0.515
hangry	hingje	anger	0.515
pow	pow	anger	0.515
poachers	poachers	anger	0.515
argumentation	argumintaasje	anger	0.515
frustrating	frustrearjend	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	beskuldiging	anger	0.510
repudiation	repudiaasje	anger	0.510
enmity	fijân	anger	0.510
banish	ferbean	anger	0.509
disfigured	disfigured	anger	0.508
storm	stoarm	anger	0.507
shun	shun	anger	0.500
suppression	ûnderdrukking	anger	0.500
unruly	ûnrjochtich	anger	0.500
intractable	ûnbetrouber	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	bliuwe	anger	0.500
derogation	derogaasje	anger	0.500
fervor	fervor	anger	0.500
foaming	foaming	anger	0.500
derision	deris	anger	0.500
animus	animus	anger	0.500
rejects	wegere	anger	0.500
bout	bout	anger	0.500
spear	spear	anger	0.500
crazy	gek	anger	0.500
brazen	hurde	anger	0.500
antithesis	antithesis	anger	0.500
injustice	ûnrjocht	anger	0.500
banished	ferbjustere	anger	0.500
confined	beheind	anger	0.500
frenzied	frenzied	anger	0.500
dominate	dominje	anger	0.500
disrupting	ôfbrekke	anger	0.500
hammering	hammering	anger	0.500
fear	bangens	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	eangje	anger	0.500
brunt	brunt	anger	0.500
possessed	beset	anger	0.500
defy	defyzje	anger	0.500
scoff	scoff	anger	0.500
patronising	beskermje	anger	0.500
delusional	wierskynlik	anger	0.500
malpractice	malpractice	anger	0.500
reject	ôfwize	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	toughness	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	madness	anger	0.491
sinful	sûndich	anger	0.491
avarice	avarice	anger	0.490
oppress	oppress	anger	0.490
disapproved	ûntslein	anger	0.485
inhuman	ûnminsklik	anger	0.485
demand	eask	anger	0.485
abolish	ôfskaffe	anger	0.485
anathema	Anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	klacht	anger	0.485
disservice	disservice	anger	0.485
smuggler	smuggler	anger	0.485
revoke	ferwiderje	anger	0.485
infraction	infraction	anger	0.485
claw	claw	anger	0.485
dissident	dissident	anger	0.485
pervert	pervert	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	disobedient	anger	0.485
usurp	usurp	anger	0.485
alienate	alienate	anger	0.485
avenger	avenger	anger	0.485
annoyed	ferwûne	anger	0.485
cutting	ferwiderje	anger	0.485
disgrace	skande	anger	0.484
deceit	ferrifelje	anger	0.484
suspicious	fertrouwe	anger	0.484
thresh	thresh	anger	0.484
sucker	sûker	anger	0.484
strained	begelaat	anger	0.484
blame	skuld	anger	0.484
upheaval	opheffing	anger	0.484
renounce	ôfbrekke	anger	0.484
obnoxious	ûnmooglik	anger	0.484
restrain	ynbine	anger	0.484
oust	oust	anger	0.484
litigious	litig	anger	0.484
rivalry	rivaliteit	anger	0.484
penalty	straf	anger	0.484
imprisoned	yn 'e finzenis	anger	0.484
mocking	mocking	anger	0.484
opposed	tsjinst	anger	0.484
turbulence	turbulence	anger	0.483
pound	pûn	anger	0.481
coldness	kâldheid	anger	0.477
ungrateful	ûnredich	anger	0.472
battalion	bataal	anger	0.471
stoopid	stoopid	anger	0.471
hostage	Geast	anger	0.470
infidel	ferdoarn	anger	0.470
ram	raam	anger	0.470
accuser	accuser	anger	0.470
gall	gall	anger	0.470
subversion	subversion	anger	0.470
annoying	ferrassend	anger	0.470
adversity	ûngelok	anger	0.470
dispossessed	útstapke	anger	0.470
friction	wriuwing	anger	0.470
jealous	ealje	anger	0.470
feudalism	feodalisme	anger	0.470
armament	wapen	anger	0.470
thump	thump	anger	0.469
complain	klinke	anger	0.469
incite	incite	anger	0.469
steal	stelle	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	disobey	anger	0.469
injury	ferwûning	anger	0.469
simmer	simmer	anger	0.469
distress	need	anger	0.469
insanity	geweldigheid	anger	0.469
selfish	eigennamme	anger	0.469
huff	huff	anger	0.469
selfishness	selssucht	anger	0.469
backoff	efterút	anger	0.469
plunder	plunder	anger	0.469
stifled	stifle	anger	0.469
subversive	subversive	anger	0.469
exile	ballingskip	anger	0.469
offense	oanstjit	anger	0.469
objection	beswier	anger	0.469
recidivism	residivisme	anger	0.469
smother	smoargje	anger	0.469
perpetrator	feroardieler	anger	0.469
dislike	ôfwike	anger	0.469
disruption	disruption	anger	0.469
intolerance	yntolerânsje	anger	0.469
opposition	opposysje	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	mug	anger	0.467
agony	agony	anger	0.465
arrogant	eigenwiis	anger	0.461
