word	Luxembourgish-lb	emotion	emotion-intensity-score
madden	madden	anger	0.719
devil	Däiwel	anger	0.719
scream	geruff	anger	0.719
brutal	brutal	anger	0.719
treachery	Verrot	anger	0.719
scorching	blanche gelooss	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	Päerdsmaart	anger	0.719
aggravates	schloen	anger	0.719
spiteful	gehandelt huet	anger	0.719
slay	dagden	anger	0.719
disdain	Veruechtung	anger	0.719
choke	schéissen	anger	0.719
bastarding	bastardéieren	anger	0.719
mangle	kraachen	anger	0.714
anarchism	Anarchismus	anger	0.714
mutilation	Mutilatioun	anger	0.714
criminal	kriminell	anger	0.714
denunciation	ugeet	anger	0.713
punch	Schloo	anger	0.713
crucifixion	Crucificatioun	anger	0.712
virulence	Virulenz	anger	0.712
battled	Schluechten	anger	0.712
fatal	fatalen	anger	0.712
holocaust	der Holocaar	anger	0.712
blasphemous	blasphemesch	anger	0.712
hurting	gedoen hues	anger	0.712
dumbasses	Dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	verwiesselt huet	anger	0.706
atrocious	grausam sinn	anger	0.706
evil	béis	anger	0.706
irritated	irritéiert	anger	0.706
assassin	Erwuessenen	anger	0.703
dicks	dicks	anger	0.703
persecution	Verfolgung	anger	0.703
slayer	Doudeger geschitt	anger	0.703
kidnap	geklaut sinn	anger	0.703
scolding	opreegen	anger	0.703
intimidation	Intimidatioun	anger	0.703
aggravated	ergänzt	anger	0.703
aggression	Agressioun	anger	0.702
armed	bewaffnet	anger	0.700
poison	Gëft	anger	0.697
snarling	verstuerwen	anger	0.697
venom	Verdacht	anger	0.697
battle	Schluechtfeld	anger	0.697
disgruntled	enttäuscht	anger	0.693
insidious	verseet	anger	0.691
assailant	ze iwwerloossen	anger	0.691
resentment	Ressentiment	anger	0.691
lynch	lynch	anger	0.690
contemptuous	verzehrend	anger	0.690
temper	anzegoen	anger	0.688
imprisonment	Prisong	anger	0.688
disparage	ze verdréinen	anger	0.688
bully	schüchteren	anger	0.688
terrible	schrecklech	anger	0.688
lunatic	iwwerdriwwen	anger	0.688
curse	Fluch	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	ugepasst sinn	anger	0.688
domination	dominéiert	anger	0.688
mad	rosen	anger	0.688
infanticide	Infantit	anger	0.688
volatility	Volatilitéit	anger	0.687
eradication	Schlëmmeres	anger	0.685
tantrum	zitt	anger	0.682
devastate	devastéiert	anger	0.682
eradicate	zéien	anger	0.682
scoundrel	Haassel	anger	0.682
aggressively	aggressiv	anger	0.680
agitation	agitation	anger	0.680
dictatorship	Diktatur	anger	0.676
irritates	irritéiert	anger	0.676
profanity	Profanitéit	anger	0.673
egregious	onreegelméisslech	anger	0.672
expletive	expletiv	anger	0.672
nasty	béis	anger	0.672
shove	ze schafen	anger	0.672
shot	Goal geschoss huet	anger	0.672
harmful	schiedlech sinn	anger	0.672
aggravation	Agressioun	anger	0.672
contempt	Veruechtung	anger	0.672
poisonous	gëfteg	anger	0.672
dastardly	weeden	anger	0.672
shoot	ze schéissen	anger	0.672
corrupting	korrupt	anger	0.672
condemnation	Veruerteelung	anger	0.672
wreak	dréinen	anger	0.672
crushed	gebremst ginn	anger	0.672
cruelly	grausam	anger	0.672
crime	Verbriechen	anger	0.672
maniac	Maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	Eruption	anger	0.667
odious	verseet	anger	0.667
shooting	ze schéissen	anger	0.667
kick	ze verloosse	anger	0.667
aggressive	aggressiv sinn	anger	0.667
combat	ze kämpfen	anger	0.667
shout	gejaut	anger	0.667
hit	Hit ginn	anger	0.667
fight	ze kämpfen	anger	0.667
cutthroat	zevill gedronk	anger	0.667
enemy	Feind ass	anger	0.667
irritable	reizbar sinn	anger	0.667
punished	bestrooft ginn	anger	0.662
ambush	ambushéiert	anger	0.661
yell	schreift	anger	0.661
harass	belästegt	anger	0.659
malignant	béiswëlleg	anger	0.656
aggressor	Agressor	anger	0.656
antichrist	Antichrist	anger	0.656
gore	Äerdbord	anger	0.656
incense	Räuchelcher	anger	0.656
expel	ofginn	anger	0.656
destruction	zerstéiert	anger	0.656
grudge	Gruef	anger	0.656
cranky	verwäerten	anger	0.653
offended	beleidegt	anger	0.652
spank	Spann	anger	0.652
growl	growl	anger	0.652
insurrection	Opstänn	anger	0.652
reprisal	Repressalien	anger	0.652
slave	Sklave	anger	0.652
denounce	ze veruerteelen	anger	0.652
animosity	Animositéit	anger	0.652
insulting	beleidegt	anger	0.652
clashing	iwwerdroën	anger	0.652
growls	growlt	anger	0.649
executioner	Auswee	anger	0.644
twat	Twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	Daemon	anger	0.641
obscenity	Onsécherheet	anger	0.641
bombard	bombardéiert	anger	0.641
spat	amen	anger	0.641
havoc	Défense konzentréiert	anger	0.641
feud	Feud	anger	0.641
grr	grr	anger	0.641
arson	Brand	anger	0.641
reprimand	z'ënnerstëtzen	anger	0.641
expulsion	ausgeschloen	anger	0.641
inexcusable	onerlaabt	anger	0.641
accused	beschëllegt	anger	0.641
indignant	enttäuscht	anger	0.641
shackle	gefuddelen	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	Wound	anger	0.636
suicidal	Suizid	anger	0.636
poisoned	vergëft	anger	0.636
batter	batter	anger	0.636
kicking	drun	anger	0.636
hanging	hänkeg	anger	0.636
spanking	beetschen	anger	0.636
disgusting	ekbäi	anger	0.636
combatant	ze kämpfen	anger	0.636
frustrated	frustréiert	anger	0.636
anarchy	Anarchie	anger	0.636
glaring	glanz	anger	0.636
inflict	zerstéiert	anger	0.633
wrecked	verschwonne war	anger	0.633
grievous	schlëmmsten	anger	0.632
prosecute	veruerteelt ginn	anger	0.630
agitated	opgerëchtert	anger	0.630
cheat	bedrunn	anger	0.630
swastika	schwastika	anger	0.627
defamatory	diffamatesch	anger	0.625
suffocation	Éierlechkeet	anger	0.625
strife	Sträit	anger	0.625
provocation	Provokatiounen	anger	0.625
injure	blesséiert	anger	0.625
harassing	belästegt	anger	0.625
scourge	Schold	anger	0.625
cursing	Verfluchs	anger	0.625
betray	ausliwwert	anger	0.625
indict	ze indictéieren	anger	0.625
raid	Rumm ginn	anger	0.625
thundering	Donnerwieder	anger	0.625
enslaved	versklavt	anger	0.625
arsehole	arsehole	anger	0.624
insane	verréckt	anger	0.621
fiend	fuerderen	anger	0.621
irritate	irritéieren	anger	0.621
convict	ze bewierken	anger	0.621
jerk	Ruck	anger	0.621
theft	Wéie fannt	anger	0.621
retaliation	retaliation	anger	0.621
deprivation	Entzuch	anger	0.621
cussed	geraumt	anger	0.619
turmoil	zimlech roueg	anger	0.618
smack	gefillt	anger	0.615
retribution	verginn	anger	0.614
twats	Twatz	anger	0.609
intolerable	net toleréiert	anger	0.609
rebellion	Rebellioun	anger	0.609
injurious	verletzen	anger	0.609
oppressor	oppressor	anger	0.609
slavery	Sklaverei	anger	0.609
irritability	Irritabilitéit	anger	0.609
collision	Kollisioun	anger	0.609
bitterly	bitterly	anger	0.609
gang	Bësch	anger	0.609
antagonism	Antagonismus	anger	0.609
battery	Batterie	anger	0.609
adverse	ongewollt	anger	0.609
disgraced	vergraben	anger	0.608
irritating	reizend	anger	0.606
revolution	Revolutioun	anger	0.606
thug	Thug	anger	0.606
diatribe	Haaptstrooss	anger	0.606
bombardment	bombardéiert	anger	0.606
blast	Héichuewen	anger	0.606
irks	gefleckt	anger	0.606
sickening	ze krank sinn	anger	0.606
discrimination	Diskriminatioun	anger	0.606
antagonistic	antagonistesch	anger	0.606
ranting	gewaart	anger	0.606
asshole	gelauschtert	anger	0.606
frustrate	ze frustréieren	anger	0.604
manipulation	Manipulatioun	anger	0.603
tension	Spannungen	anger	0.603
insult	ze rächen	anger	0.603
bigot	Bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	geféierlech	anger	0.603
oppression	Ënnerdréckung	anger	0.603
disgust	Ekus	anger	0.602
spite	stécht	anger	0.600
intrusive	zevill intim	anger	0.598
harshness	aarmséileg	anger	0.597
slur	Stier	anger	0.596
wretch	den Trouscht	anger	0.594
inferno	Inferno	anger	0.594
invasion	Invasioun	anger	0.594
puncture	Punkte	anger	0.594
miserable	miserabel	anger	0.594
assail	beliwwert	anger	0.594
storming	Stuerm	anger	0.594
casualty	Affer	anger	0.594
bitterness	Batterkeet	anger	0.594
morbidity	morbid	anger	0.594
tempest	Stuerm	anger	0.594
consternation	stierwen	anger	0.592
depraved	Schildkröt	anger	0.591
raving	raving	anger	0.591
guillotine	Guillotine	anger	0.591
guilty	schëlleg sinn	anger	0.591
immoral	onmoralesch	anger	0.591
forcibly	gleeën	anger	0.591
overpowering	ze iwwerwannen	anger	0.591
accursed	verfloss wier	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	invader	anger	0.588
scare	Angscht ze maachen	anger	0.588
screwed	ofgespaart	anger	0.588
indignation	ze distanzéieren	anger	0.587
jealousy	Jalousie	anger	0.587
vexed	eriwwer	anger	0.586
confront	konfrontéieren	anger	0.582
brute	frësch	anger	0.581
throttle	Gas	anger	0.579
wreck	Wrack	anger	0.578
revolver	Revolver	anger	0.578
slut	Streech	anger	0.578
yousuck	du gees mer op d'Nerven	anger	0.578
damage	Schued	anger	0.578
butcher	Metzler	anger	0.578
conflict	Konflikt war	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	Kriminalitéit	anger	0.578
bickering	ze iwwerstoen	anger	0.578
pillage	Pëllen	anger	0.578
blaze	Feier ëmkreest	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	Staatsstreech	anger	0.578
contentious	gefuerdert	anger	0.578
incarceration	Inkarnatioun	anger	0.578
defiant	beandrockt	anger	0.578
provoking	ze provozéieren	anger	0.578
lash	ze verlaangen	anger	0.578
cancer	Kriibs	anger	0.577
frustration	Frustratioun	anger	0.576
gory	gory	anger	0.576
alienation	Ausland	anger	0.576
discord	verglaichen	anger	0.576
disturbance	Stéierunge sinn	anger	0.576
grope	Tëschefäll	anger	0.576
condescension	condescension	anger	0.576
pernicious	verwonnerlech	anger	0.576
blasphemy	Gotteslästerung	anger	0.576
discriminate	diskriminéieren	anger	0.576
chaotic	chaotesch	anger	0.576
gun	Waff	anger	0.576
standoff	ofgefälscht	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	zejoert	anger	0.574
lunacy	Luna	anger	0.574
oppressive	oppressiv	anger	0.574
death	Doud	anger	0.574
jab	Stéck	anger	0.574
cursed	verflucht sidd	anger	0.574
scandalous	skandaléis	anger	0.574
monstrosity	Monstrositéit	anger	0.574
shit	Scheiss	anger	0.573
disparaging	sech verännert	anger	0.571
slash	schlitze	anger	0.571
unfair	ongerecht sinn	anger	0.571
gallows	Galgen	anger	0.570
escalate	ze erhaalen	anger	0.569
intolerant	intolerant sinn	anger	0.564
lawlessness	Gesetzlechkeet	anger	0.563
bluddy	roueg	anger	0.562
perdition	ofgedeelt	anger	0.562
taunt	opgeruff	anger	0.562
grouchy	verleegent	anger	0.562
torpedo	Torpedo	anger	0.562
deceived	gestéiert	anger	0.562
slander	verfloss	anger	0.562
retards	Retard	anger	0.562
bearish	bearish	anger	0.562
invade	Invasioun	anger	0.562
bellows	Balleg	anger	0.562
beast	Béischt	anger	0.562
frightful	Angscht huet	anger	0.562
derogatory	Ausname	anger	0.562
glare	Glanz	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	schrecklech	anger	0.562
traitor	Veräinsgeschicht	anger	0.562
malign	ze brengen	anger	0.562
wrangling	verréckt	anger	0.562
dissension	Drohung	anger	0.561
banshee	banshee	anger	0.561
shatter	zerschmettert	anger	0.561
conflagration	Konflikt	anger	0.561
jeopardize	ze ernimmen	anger	0.561
thief	Déif kënnt	anger	0.561
rave	z'erreechen	anger	0.561
grating	Gitter	anger	0.561
devastating	devastéiert	anger	0.561
idiots	Idioten	anger	0.561
betrayal	ze verréngeren	anger	0.561
uncontrollable	onkontrollabel	anger	0.561
fits	passt	anger	0.561
cross	Kräiz	anger	0.561
hurt	blesséiert	anger	0.561
disturbed	gestéiert ginn	anger	0.559
subjugation	Eruewerungen	anger	0.559
stomped	gehummert	anger	0.557
grab	erreechen	anger	0.557
ticked	ugekräizt	anger	0.556
masochism	Maschismus	anger	0.556
grievance	ze rekrutéieren	anger	0.556
defiance	Héichwaasser	anger	0.552
blackmail	Häre brengen	anger	0.550
offensive	offensiv	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	Verletzung	anger	0.547
punishment	bestrooft	anger	0.547
shrill	schüchteren	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	däischter Säit	anger	0.547
misery	Misère	anger	0.547
frustrates	ze frustréieren	anger	0.547
disgraceful	Onglécklech	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	iwwerdréit	anger	0.547
disparity	Unerkennung	anger	0.547
confine	beschränken	anger	0.547
firearms	Feierwaffen	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	Rebell	anger	0.547
deceive	unzeschmieren	anger	0.547
stolen	geklaut	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	geckeg	anger	0.545
heated	gehëtzt	anger	0.545
ruined	zerstéiert	anger	0.545
menace	Menace	anger	0.545
humiliate	degustéieren	anger	0.545
tackle	uginn	anger	0.545
conspirator	Conspirator	anger	0.545
foul	gaangen	anger	0.545
antagonist	Antagonist	anger	0.545
resentful	verwinnt	anger	0.545
prejudice	Viruerteeler	anger	0.545
adversary	Géigner	anger	0.545
argument	Argument	anger	0.545
skirmish	Schprack	anger	0.545
callous	sougenannt	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	erweidert huet	anger	0.544
robbery	Raiber	anger	0.544
sting	zeechent	anger	0.544
outcry	rosen	anger	0.544
grumble	schloen	anger	0.544
irreconcilable	net erlaabt sinn	anger	0.543
resistance	Widderstand	anger	0.543
obstructive	Obstruktiv	anger	0.542
dismay	net kadréiert	anger	0.540
mob	gefuer	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	schlecht	anger	0.536
ridicule	lächerlech ze maachen	anger	0.534
incendiary	blouf	anger	0.533
flares	Nuets	anger	0.532
degeneracy	degeneréieren	anger	0.531
confinement	ofgeschloss	anger	0.531
exacerbation	Verlobung	anger	0.531
prejudicial	viru Geriicht	anger	0.531
uprising	Opstand	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	onkloer	anger	0.531
unbridled	verbonnen	anger	0.531
allegation	bezeechent	anger	0.531
communism	Kommunismus	anger	0.531
whip	Fielsen	anger	0.531
intruder	Intruder	anger	0.531
dispute	Dispute	anger	0.531
belittle	belittle	anger	0.531
bigoted	gefouert ginn	anger	0.530
offender	Täter	anger	0.530
hassle	halen	anger	0.530
dissonance	Dissonanz	anger	0.530
unjust	net gerecht	anger	0.530
dictatorial	Diktatorescht	anger	0.530
unjustifiable	net gerechtfäerdeg sinn	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	Perversioun	anger	0.530
tackled	unzepaken	anger	0.530
renegade	Renegade	anger	0.529
hot	waarm ass	anger	0.529
prison	Prisong	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	Iwwertriedung	anger	0.529
suicide	Suizid	anger	0.521
annoy	ze rächen	anger	0.520
leavemealone	looss mech eleng	anger	0.517
idiotic	idiotesch	anger	0.516
distrust	Mësstrauen	anger	0.516
depravity	Schiedlechkeet	anger	0.516
cretins	kretschen	anger	0.516
divorce	Scheedung	anger	0.516
broil	verdeelt	anger	0.516
grrr	grrr	anger	0.516
venting	lëngt	anger	0.516
inimical	onheemlech	anger	0.516
duress	duergestallt	anger	0.516
disrespectful	respektvoll	anger	0.516
tortious	Onsécherheet	anger	0.516
criticize	kritiséieren	anger	0.516
prisoner	Gefaangenen	anger	0.516
dishonest	Räich	anger	0.516
treason	Verrot huet	anger	0.516
victimized	votéiert	anger	0.515
bile	Galle	anger	0.515
unkind	ongerueden	anger	0.515
unforgiving	Onvergiess	anger	0.515
unleash	entfouert	anger	0.515
coercion	Zwang ausgesat	anger	0.515
scold	opreegen	anger	0.515
chaos	Chaos	anger	0.515
grump	Gromp	anger	0.515
roar	bréngen	anger	0.515
jerks	ënnerbrach	anger	0.515
poaching	Pochung	anger	0.515
hangry	hongereg	anger	0.515
pow	pow	anger	0.515
poachers	Becher	anger	0.515
argumentation	Argumentatioun	anger	0.515
frustrating	frustréiernd	anger	0.515
tussle	lëschteg	anger	0.514
bane	veruerteelt ginn	anger	0.511
accusation	Beschuldigung	anger	0.510
repudiation	Ausgrenzung	anger	0.510
enmity	rächen	anger	0.510
banish	ze verbannen	anger	0.509
disfigured	z'entwéckelen	anger	0.508
storm	Stuerm	anger	0.507
shun	zoumaachen	anger	0.500
suppression	Ennerdréckung	anger	0.500
unruly	onheelbar	anger	0.500
intractable	intractable	anger	0.500
ordeal	Épuiss	anger	0.500
obstruct	hemmen	anger	0.500
derogation	Ausname ginn	anger	0.500
fervor	onglécklech	anger	0.500
foaming	verschount	anger	0.500
derision	ofgerappt	anger	0.500
animus	animus	anger	0.500
rejects	refuséiert	anger	0.500
bout	ofgeschloss	anger	0.500
spear	Speer	anger	0.500
crazy	Verréckt	anger	0.500
brazen	Hëtzt	anger	0.500
antithesis	Antithese fonnt	anger	0.500
injustice	Ongerechtegkeet	anger	0.500
banished	verbannt	anger	0.500
confined	agespaart	anger	0.500
frenzied	versteet	anger	0.500
dominate	dominéieren	anger	0.500
disrupting	ze stéieren	anger	0.500
hammering	gehummert	anger	0.500
fear	Angscht	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	Neie	anger	0.500
brunt	brunt	anger	0.500
possessed	besat	anger	0.500
defy	sech erausfuerderen	anger	0.500
scoff	scoff	anger	0.500
patronising	beandrockt	anger	0.500
delusional	Wahnwurz	anger	0.500
malpractice	Handlungsfähegkeet	anger	0.500
reject	ze refuséieren	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	Zähegkeet	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	Wahnsinn	anger	0.491
sinful	sënnegt	anger	0.491
avarice	zevill	anger	0.490
oppress	ze dréien	anger	0.490
disapproved	net ofgebrach	anger	0.485
inhuman	onmënschlech	anger	0.485
demand	gefuerdert	anger	0.485
abolish	ofschafen	anger	0.485
anathema	Anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	beschwéiert	anger	0.485
disservice	ze zerwéieren	anger	0.485
smuggler	Smuggler	anger	0.485
revoke	ze zéien	anger	0.485
infraction	Infektioun	anger	0.485
claw	Klauen	anger	0.485
dissident	Dissident	anger	0.485
pervert	pervert	anger	0.485
incest	Inzest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ongefrot	anger	0.485
usurp	erakoum	anger	0.485
alienate	verginn	anger	0.485
avenger	de Renger	anger	0.485
annoyed	veruersaacht	anger	0.485
cutting	ze schneiden	anger	0.485
disgrace	Schreck	anger	0.484
deceit	Onwourechte	anger	0.484
suspicious	suspekt wor	anger	0.484
thresh	dréint	anger	0.484
sucker	Sauger	anger	0.484
strained	ugespaant	anger	0.484
blame	zouloossen	anger	0.484
upheaval	Ëmbroch	anger	0.484
renounce	ze refuséieren	anger	0.484
obnoxious	bemängelt	anger	0.484
restrain	ze stoppen	anger	0.484
oust	entsteet	anger	0.484
