word	Dutch-nl	emotion	emotion-intensity-score
despicable	verachtelijk	anger	0.828
ruinous	verderfelijk	anger	0.825
condemn	veroordelen	anger	0.825
riots	rellen	anger	0.824
demolish	slopen	anger	0.824
angry	boos	anger	0.824
extermination	uitroeiing	anger	0.824
dickhead	eikel	anger	0.824
livid	razend	anger	0.821
madman	gek	anger	0.820
vindictive	wraakzuchtig	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	wildheid	anger	0.818
venomous	giftig	anger	0.818
threaten	dreigen	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	verafschuwen	anger	0.816
savage	wilde	anger	0.814
atrocity	gruweldaad	anger	0.814
carnage	bloedbad	anger	0.814
berserk	gek	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	misbruik	anger	0.812
tyrant	tiran	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	kwaad	anger	0.812
vendetta	vendetta	anger	0.812
fierce	woest	anger	0.812
destroyer	torpedojager	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	rokend	anger	0.812
barbaric	barbaars	anger	0.812
anger	boosheid	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	dichtslaan	anger	0.803
fights	gevechten	anger	0.803
punched	geponst	anger	0.803
bitch	teef	anger	0.803
punching	ponsen	anger	0.803
homicide	moordenaar	anger	0.803
destructive	vernietigend	anger	0.797
ruthless	meedogenloos	anger	0.797
villainous	schurkachtig	anger	0.797
slap	klap	anger	0.791
slaughterhouse	slachthuis	anger	0.788
punishing	te straffen	anger	0.788
destroyed	vernietigd	anger	0.788
retaliatory	vergeldings-	anger	0.788
riot	herrie	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	schreeuwen	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	duivels	anger	0.788
manslaughter	doodslag	anger	0.783
clash	botsen	anger	0.783
bloody	bloedig	anger	0.781
hellish	hels	anger	0.781
loath	afkerig	anger	0.781
detonation	ontploffing	anger	0.781
quarrel	ruzie	anger	0.781
sinister	sinister	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	beschuldigen	anger	0.779
treacherous	verraderlijk	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	vergelden	anger	0.773
revulsion	afkeer	anger	0.773
madder	meekrap	anger	0.773
horrific	gruwelijk	anger	0.773
scorn	hoon	anger	0.769
deplorable	betreurenswaardig	anger	0.766
bomb	bom	anger	0.766
anarchist	anarchist	anger	0.765
devastation	verwoesting	anger	0.765
resent	aanstoot nemen	anger	0.765
firestorm	vuurstorm	anger	0.765
contemptible	verachtelijk	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	wreed	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	dodelijk	anger	0.758
smash	intrappen	anger	0.758
rant	uitvaren	anger	0.758
outburst	uitbarsting	anger	0.757
snarl	grauwen	anger	0.754
profane	ontheiligen	anger	0.750
offend	beledigen	anger	0.750
douchebags	douchebags	anger	0.750
growling	grommen	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgariteit	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	krankzinnige	anger	0.750
despise	verachten	anger	0.750
horror	verschrikking	anger	0.750
aggravating	verzwarend	anger	0.750
revolting	weerzinwekkend	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	bedreiging	anger	0.742
erupt	uitbarsten	anger	0.742
screaming	schreeuwen	anger	0.742
violence	geweld	anger	0.742
horrible	verschrikkelijk	anger	0.742
molestation	molestering	anger	0.742
bastards	klootzakken	anger	0.741
revenge	wraak	anger	0.738
catastrophe	catastrofe	anger	0.735
menacing	dreigend	anger	0.735
demon	demon	anger	0.735
crushing	breken	anger	0.735
damn	vloek	anger	0.735
persecute	vervolgen	anger	0.734
argue	argumenteren	anger	0.734
flog	geselen	anger	0.734
revolt	opstand	anger	0.734
thrash	slaan	anger	0.734
deplore	betreuren	anger	0.734
warfare	oorlogvoering	anger	0.734
fedup	beu	anger	0.734
vehement	heftig	anger	0.734
riotous	oproerig	anger	0.734
altercation	woordenwisseling	anger	0.729
warlike	oorlogszuchtig	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	muiterij	anger	0.727
castrate	castreren	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	kwaadwillig	anger	0.721
strike	staking	anger	0.721
disaster	ramp	anger	0.721
disastrous	noodlottig	anger	0.720
tumult	tumult	anger	0.719
madden	gek maken	anger	0.719
devil	duivel	anger	0.719
scream	schreeuw	anger	0.719
brutal	brutaal	anger	0.719
treachery	verraad	anger	0.719
scorching	gloeiend	anger	0.719
vermin	ongedierte	anger	0.719
arseholes	klootzakken	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	verergert	anger	0.719
spiteful	hatelijk	anger	0.719
slay	doden	anger	0.719
disdain	minachting	anger	0.719
choke	stikken	anger	0.719
bastarding	bastarding	anger	0.719
mangle	mangel	anger	0.714
anarchism	anarchisme	anger	0.714
mutilation	verminking	anger	0.714
criminal	crimineel	anger	0.714
denunciation	aanklacht	anger	0.713
punch	stempel	anger	0.713
crucifixion	kruisiging	anger	0.712
virulence	kwaadaardigheid	anger	0.712
battled	vochten	anger	0.712
fatal	dodelijk	anger	0.712
holocaust	brandoffer	anger	0.712
blasphemous	godslasterlijk	anger	0.712
hurting	kwetsen	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	zinneloos	anger	0.706
atrocious	afgrijselijk	anger	0.706
evil	onheil	anger	0.706
irritated	geërgerd	anger	0.706
assassin	moordenaar	anger	0.703
dicks	lullen	anger	0.703
persecution	vervolging	anger	0.703
slayer	moordenaar	anger	0.703
kidnap	ontvoeren	anger	0.703
scolding	uitbrander	anger	0.703
intimidation	intimidatie	anger	0.703
aggravated	verergerd	anger	0.703
aggression	agressie	anger	0.702
armed	gewapend	anger	0.700
poison	vergiftigen	anger	0.697
snarling	snauwen	anger	0.697
venom	venijn	anger	0.697
battle	strijd	anger	0.697
disgruntled	ontevreden	anger	0.693
insidious	verraderlijk	anger	0.691
assailant	aanvaller	anger	0.691
resentment	wrok	anger	0.691
lynch	lynchen	anger	0.690
contemptuous	minachtend	anger	0.690
temper	temperen	anger	0.688
imprisonment	gevangenisstraf	anger	0.688
disparage	geringschatten	anger	0.688
bully	bullebak	anger	0.688
terrible	verschrikkelijk	anger	0.688
lunatic	gek	anger	0.688
curse	vloek	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	overheersing	anger	0.688
mad	boos	anger	0.688
infanticide	kindermoord	anger	0.688
volatility	volatiliteit	anger	0.687
eradication	uitroeiing	anger	0.685
tantrum	woedeaanval	anger	0.682
devastate	verwoesten	anger	0.682
eradicate	uitroeien	anger	0.682
scoundrel	schurk	anger	0.682
aggressively	agressief	anger	0.680
agitation	agitatie	anger	0.680
dictatorship	dictatuur	anger	0.676
irritates	irriteert	anger	0.676
profanity	heiligschennis	anger	0.673
egregious	flagrante	anger	0.672
expletive	vloek	anger	0.672
nasty	smerig	anger	0.672
shove	duw	anger	0.672
shot	schot	anger	0.672
harmful	schadelijk	anger	0.672
aggravation	verergering	anger	0.672
contempt	minachting	anger	0.672
poisonous	giftig	anger	0.672
dastardly	lafhartig	anger	0.672
shoot	schieten	anger	0.672
corrupting	corrumperende	anger	0.672
condemnation	veroordeling	anger	0.672
wreak	aanrichten	anger	0.672
crushed	verpletterd	anger	0.672
cruelly	wreed	anger	0.672
crime	misdrijf	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	uitbarsting	anger	0.667
odious	verfoeilijk	anger	0.667
shooting	het schieten	anger	0.667
kick	trap	anger	0.667
aggressive	agressief	anger	0.667
combat	gevecht	anger	0.667
shout	roepen	anger	0.667
hit	raken	anger	0.667
fight	strijd	anger	0.667
cutthroat	moordenaar	anger	0.667
enemy	vijand	anger	0.667
irritable	prikkelbaar	anger	0.667
punished	gestraft	anger	0.662
ambush	hinderlaag	anger	0.661
yell	Gil	anger	0.661
harass	kwellen	anger	0.659
malignant	kwaadaardig	anger	0.656
aggressor	agressor	anger	0.656
antichrist	antichrist	anger	0.656
gore	geronnen bloed	anger	0.656
incense	wierook	anger	0.656
expel	verdrijven	anger	0.656
destruction	verwoesting	anger	0.656
grudge	wrok	anger	0.656
cranky	humeurig	anger	0.653
offended	beledigd	anger	0.652
spank	afranselen	anger	0.652
growl	grommen	anger	0.652
insurrection	opstand	anger	0.652
reprisal	represaille	anger	0.652
slave	slaaf	anger	0.652
denounce	opzeggen	anger	0.652
animosity	vijandigheid	anger	0.652
insulting	beledigend	anger	0.652
clashing	botsende	anger	0.652
growls	gegrom	anger	0.649
executioner	beul	anger	0.644
twat	twat	anger	0.644
doomsday	dag des oordeels	anger	0.643
daemon	demon	anger	0.641
obscenity	obsceniteit	anger	0.641
bombard	bombarderen	anger	0.641
spat	slobkous	anger	0.641
havoc	verwoesting	anger	0.641
feud	vete	anger	0.641
grr	grr	anger	0.641
arson	brandstichting	anger	0.641
reprimand	berisping	anger	0.641
expulsion	verdrijving	anger	0.641
inexcusable	onvergeeflijk	anger	0.641
accused	verdachte	anger	0.641
indignant	verontwaardigd	anger	0.641
shackle	sluiting	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	wond	anger	0.636
suicidal	suïcidaal	anger	0.636
poisoned	vergiftigd	anger	0.636
batter	beslag	anger	0.636
kicking	schoppen	anger	0.636
hanging	opknoping	anger	0.636
spanking	spanking	anger	0.636
disgusting	walgelijk	anger	0.636
combatant	strijder	anger	0.636
frustrated	gefrustreerd	anger	0.636
anarchy	anarchie	anger	0.636
glaring	schreeuwend	anger	0.636
inflict	toebrengen	anger	0.633
wrecked	vernielde	anger	0.633
grievous	smartelijk	anger	0.632
prosecute	vervolgen	anger	0.630
agitated	opgewonden	anger	0.630
cheat	bedriegen	anger	0.630
swastika	swastika	anger	0.627
defamatory	lasterlijk	anger	0.625
suffocation	verstikking	anger	0.625
strife	strijd	anger	0.625
provocation	provocatie	anger	0.625
injure	verwonden	anger	0.625
harassing	storend	anger	0.625
scourge	geselen	anger	0.625
cursing	gevloek	anger	0.625
betray	verraden	anger	0.625
indict	aanklagen	anger	0.625
raid	inval	anger	0.625
thundering	donderende	anger	0.625
enslaved	geknecht	anger	0.625
arsehole	arsehole	anger	0.624
insane	krankzinnig	anger	0.621
fiend	duivel	anger	0.621
irritate	irriteren	anger	0.621
convict	veroordelen	anger	0.621
jerk	ruk	anger	0.621
theft	diefstal	anger	0.621
retaliation	wraak	anger	0.621
deprivation	beroving	anger	0.621
cussed	koppig	anger	0.619
turmoil	beroering	anger	0.618
smack	slaan	anger	0.615
retribution	vergelding	anger	0.614
twats	twats	anger	0.609
intolerable	ondraaglijk	anger	0.609
rebellion	opstand	anger	0.609
injurious	schadelijk	anger	0.609
oppressor	onderdrukker	anger	0.609
slavery	slavernij	anger	0.609
irritability	prikkelbaarheid	anger	0.609
collision	botsing	anger	0.609
bitterly	bitter	anger	0.609
gang	bende	anger	0.609
antagonism	antagonisme	anger	0.609
battery	accu	anger	0.609
adverse	nadelige	anger	0.609
disgraced	schande	anger	0.608
irritating	irritant	anger	0.606
revolution	revolutie	anger	0.606
thug	gangster	anger	0.606
diatribe	schimprede	anger	0.606
bombardment	bombardement	anger	0.606
blast	ontploffing	anger	0.606
irks	irks	anger	0.606
sickening	misselijk	anger	0.606
discrimination	discriminatie	anger	0.606
antagonistic	vijandig	anger	0.606
ranting	ranting	anger	0.606
asshole	lul	anger	0.606
frustrate	frustreren	anger	0.604
manipulation	manipulatie	anger	0.603
tension	spanning	anger	0.603
insult	belediging	anger	0.603
bigot	onverdraaglijke	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	schadelijk	anger	0.603
oppression	onderdrukking	anger	0.603
disgust	walg	anger	0.602
spite	wrok	anger	0.600
intrusive	opdringerig	anger	0.598
harshness	hardheid	anger	0.597
slur	smet	anger	0.596
wretch	ellendeling	anger	0.594
inferno	hel	anger	0.594
invasion	invasie	anger	0.594
puncture	prik	anger	0.594
miserable	ellendig	anger	0.594
assail	aanranden	anger	0.594
storming	bestorming	anger	0.594
casualty	ongeval	anger	0.594
bitterness	bitterheid	anger	0.594
morbidity	ziektecijfers	anger	0.594
tempest	storm	anger	0.594
consternation	consternatie	anger	0.592
depraved	verdorven	anger	0.591
raving	ijlend	anger	0.591
guillotine	guillotine	anger	0.591
guilty	schuldig	anger	0.591
immoral	onzedelijk	anger	0.591
forcibly	gedwongen	anger	0.591
overpowering	overweldigend	anger	0.591
accursed	vervloekt	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	weerspannige	anger	0.588
invader	binnendringer	anger	0.588
scare	laten schrikken	anger	0.588
screwed	geschroefd	anger	0.588
indignation	verontwaardiging	anger	0.587
jealousy	jaloezie	anger	0.587
vexed	veelomstreden	anger	0.586
confront	confronteren	anger	0.582
brute	bruut	anger	0.581
throttle	smoorklep	anger	0.579
wreck	wrak	anger	0.578
revolver	revolver	anger	0.578
slut	slet	anger	0.578
yousuck	je bakt er niks van	anger	0.578
damage	schade	anger	0.578
butcher	slager	anger	0.578
conflict	conflict	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminaliteit	anger	0.578
bickering	gekibbel	anger	0.578
pillage	plundering	anger	0.578
blaze	bles	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	omstreden	anger	0.578
incarceration	opsluiting	anger	0.578
defiant	uitdagend	anger	0.578
provoking	provoceren	anger	0.578
lash	zweepslag	anger	0.578
cancer	kanker	anger	0.577
frustration	frustratie	anger	0.576
gory	bloederig	anger	0.576
alienation	vervreemding	anger	0.576
discord	onenigheid	anger	0.576
disturbance	verstoring	anger	0.576
grope	tasten	anger	0.576
condescension	genadigheid	anger	0.576
pernicious	verderfelijk	anger	0.576
blasphemy	godslastering	anger	0.576
discriminate	onderscheiden	anger	0.576
chaotic	chaotisch	anger	0.576
gun	geweer	anger	0.576
standoff	impasse	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	grijns	anger	0.574
lunacy	krankzinnigheid	anger	0.574
oppressive	onderdrukkend	anger	0.574
death	dood	anger	0.574
jab	steek	anger	0.574
cursed	vervloekt	anger	0.574
scandalous	schandalig	anger	0.574
monstrosity	wangedrocht	anger	0.574
shit	stront	anger	0.573
disparaging	minachtend	anger	0.571
slash	schuine streep	anger	0.571
unfair	oneerlijk	anger	0.571
gallows	galg	anger	0.570
escalate	uitbreiden	anger	0.569
intolerant	onverdraagzaam	anger	0.564
lawlessness	wetteloosheid	anger	0.563
bluddy	bluddy	anger	0.562
perdition	verderf	anger	0.562
taunt	beschimpen	anger	0.562
grouchy	knorrig	anger	0.562
torpedo	torpedo-	anger	0.562
deceived	bedrogen	anger	0.562
slander	laster	anger	0.562
retards	retards	anger	0.562
bearish	nors	anger	0.562
invade	binnenvallen	anger	0.562
bellows	blaasbalg	anger	0.562
beast	beest	anger	0.562
frightful	verschrikkelijk	anger	0.562
derogatory	denigrerende	anger	0.562
glare	schittering	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	vreselijk	anger	0.562
traitor	verrader	anger	0.562
malign	kwaadaardig	anger	0.562
wrangling	geruzie	anger	0.562
dissension	tweedracht	anger	0.561
banshee	banshee	anger	0.561
shatter	breken	anger	0.561
conflagration	vuurzee	anger	0.561
jeopardize	in gevaar brengen	anger	0.561
thief	dief	anger	0.561
rave	rave	anger	0.561
grating	rooster	anger	0.561
devastating	verwoestende	anger	0.561
idiots	idioten	anger	0.561
betrayal	verraad	anger	0.561
uncontrollable	niet te beheersen	anger	0.561
fits	past bij	anger	0.561
cross	kruis	anger	0.561
hurt	pijn doen	anger	0.561
disturbed	verstoord	anger	0.559
subjugation	onderwerping	anger	0.559
stomped	stampte	anger	0.557
grab	grijpen	anger	0.557
ticked	aangevinkt	anger	0.556
masochism	masochisme	anger	0.556
grievance	grief	anger	0.556
defiance	tarting	anger	0.552
blackmail	chantage	anger	0.550
offensive	aanvallend	anger	0.549
decry	afkeuren	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	schending	anger	0.547
punishment	straf	anger	0.547
shrill	schel	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	duistere kant	anger	0.547
misery	ellende	anger	0.547
frustrates	frustreert	anger	0.547
disgraceful	schandelijk	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	aanmatigend	anger	0.547
disparity	ongelijkheid	anger	0.547
confine	beperken	anger	0.547
firearms	vuurwapens	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ongerijmd	anger	0.547
rebel	rebel	anger	0.547
deceive	misleiden	anger	0.547
stolen	gestolen	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	verhitte	anger	0.545
ruined	geruïneerd	anger	0.545
menace	bedreiging	anger	0.545
humiliate	vernederen	anger	0.545
tackle	aanpakken	anger	0.545
conspirator	samenzweerder	anger	0.545
foul	vals	anger	0.545
antagonist	antagonist	anger	0.545
resentful	haatdragend	anger	0.545
prejudice	vooroordeel	anger	0.545
adversary	tegenstander	anger	0.545
argument	argument	anger	0.545
skirmish	schermutseling	anger	0.545
callous	ongevoelig	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	verward	anger	0.544
robbery	diefstal	anger	0.544
sting	steek	anger	0.544
outcry	geschreeuw	anger	0.544
grumble	mopperen	anger	0.544
irreconcilable	onverzoenlijk	anger	0.543
resistance	weerstand	anger	0.543
obstructive	belemmerend	anger	0.542
dismay	ontzetting	anger	0.540
mob	bende	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	slechtheid	anger	0.536
ridicule	belachelijk maken	anger	0.534
incendiary	brandstichter	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneratie	anger	0.531
confinement	opsluiting	anger	0.531
exacerbation	exacerbatie	anger	0.531
prejudicial	schadelijk	anger	0.531
uprising	opstand	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	roekeloos	anger	0.531
unbridled	tomeloos	anger	0.531
allegation	bewering	anger	0.531
communism	communisme	anger	0.531
whip	zweep	anger	0.531
intruder	indringer	anger	0.531
dispute	geschil	anger	0.531
belittle	kleineren	anger	0.531
bigoted	kwezelachtig	anger	0.530
offender	overtreder	anger	0.530
hassle	gedoe	anger	0.530
dissonance	dissonant	anger	0.530
unjust	onrechtvaardig	anger	0.530
dictatorial	dictatoriaal	anger	0.530
unjustifiable	niet te rechtvaardigen	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	verdraaiing	anger	0.530
tackled	aangepakt	anger	0.530
renegade	afvallige	anger	0.529
hot	warm	anger	0.529
prison	gevangenis	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	overtreding	anger	0.529
suicide	zelfmoord	anger	0.521
annoy	ergeren	anger	0.520
leavemealone	laat me alleen	anger	0.517
idiotic	idioot	anger	0.516
distrust	wantrouwen	anger	0.516
depravity	verdorvenheid	anger	0.516
cretins	cretins	anger	0.516
divorce	scheiden	anger	0.516
broil	braden	anger	0.516
grrr	grrr	anger	0.516
venting	ontluchting	anger	0.516
inimical	vijandig	anger	0.516
duress	dwang	anger	0.516
disrespectful	oneerbiedig	anger	0.516
tortious	onrechtmatig	anger	0.516
criticize	bekritiseren	anger	0.516
prisoner	gevangene	anger	0.516
dishonest	oneerlijk	anger	0.516
treason	verraad	anger	0.516
victimized	slachtoffer	anger	0.515
bile	gal	anger	0.515
unkind	onaardig	anger	0.515
unforgiving	onverzoenlijk	anger	0.515
unleash	ontketenen	anger	0.515
coercion	dwang	anger	0.515
scold	schelden	anger	0.515
chaos	chaos	anger	0.515
grump	grump	anger	0.515
roar	brullen	anger	0.515
jerks	schokken	anger	0.515
poaching	stroperij	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	stropers	anger	0.515
argumentation	redenering	anger	0.515
frustrating	frustrerend	anger	0.515
tussle	worsteling	anger	0.514
bane	verderf	anger	0.511
accusation	beschuldiging	anger	0.510
repudiation	verstoting	anger	0.510
enmity	vijandschap	anger	0.510
banish	verbannen	anger	0.509
disfigured	bedorven	anger	0.508
storm	storm	anger	0.507
shun	vlieden	anger	0.500
suppression	onderdrukking	anger	0.500
unruly	onhandelbaar	anger	0.500
intractable	onhandelbaar	anger	0.500
ordeal	beproeving	anger	0.500
obstruct	belemmeren	anger	0.500
derogation	afbreuk	anger	0.500
fervor	ijver	anger	0.500
foaming	schuimend	anger	0.500
derision	spot	anger	0.500
animus	animositeit	anger	0.500
rejects	verwerpt	anger	0.500
bout	aanval	anger	0.500
spear	speer	anger	0.500
crazy	gek	anger	0.500
brazen	bronzen	anger	0.500
antithesis	tegenstelling	anger	0.500
injustice	onrecht	anger	0.500
banished	verbannen	anger	0.500
confined	beperkt	anger	0.500
frenzied	waanzinnig	anger	0.500
dominate	heersen	anger	0.500
disrupting	openbreken	anger	0.500
hammering	gehamer	anger	0.500
fear	angst	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angst	anger	0.500
brunt	dupe	anger	0.500
possessed	bezeten	anger	0.500
defy	trotseren	anger	0.500
scoff	spotten	anger	0.500
patronising	neerbuigend	anger	0.500
delusional	waanvoorstellingen	anger	0.500
malpractice	wangedrag	anger	0.500
reject	afwijzen	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	taaiheid	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	krankzinnigheid	anger	0.491
sinful	zondig	anger	0.491
avarice	gierigheid	anger	0.490
oppress	onderdrukken	anger	0.490
disapproved	afgekeurd	anger	0.485
inhuman	onmenselijk	anger	0.485
demand	vraag naar	anger	0.485
abolish	afschaffen	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	klacht	anger	0.485
disservice	ondienst	anger	0.485
smuggler	smokkelaar	anger	0.485
revoke	intrekken	anger	0.485
infraction	inbreuk	anger	0.485
claw	klauw	anger	0.485
dissident	dissident	anger	0.485
pervert	verdraaien	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ongehoorzaam	anger	0.485
usurp	usurperen	anger	0.485
alienate	vervreemden	anger	0.485
avenger	wreker	anger	0.485
annoyed	geërgerd	anger	0.485
cutting	snijdend	anger	0.485
disgrace	schande	anger	0.484
deceit	bedrog	anger	0.484
suspicious	verdacht	anger	0.484
thresh	dorsen	anger	0.484
sucker	zuignap	anger	0.484
strained	gespannen	anger	0.484
blame	de schuld geven	anger	0.484
upheaval	omwenteling	anger	0.484
renounce	afstand doen van	anger	0.484
obnoxious	onaangenaam	anger	0.484
restrain	in bedwang houden	anger	0.484
oust	verdrijven	anger	0.484
litigious	betwistbaar	anger	0.484
rivalry	rivaliteit	anger	0.484
penalty	boete	anger	0.484
imprisoned	gevangen	anger	0.484
mocking	spotachtig	anger	0.484
opposed	gekant tegen	anger	0.484
turbulence	onstuimigheid	anger	0.483
pound	pond	anger	0.481
coldness	koude	anger	0.477
ungrateful	ondankbaar	anger	0.472
battalion	bataljon	anger	0.471
stoopid	Stoopid	anger	0.471
hostage	gijzelaar	anger	0.470
infidel	ongelovige	anger	0.470
ram	RAM	anger	0.470
accuser	aanklager	anger	0.470
gall	gal	anger	0.470
subversion	omverwerping	anger	0.470
annoying	vervelend	anger	0.470
adversity	tegenslag	anger	0.470
dispossessed	onteigend	anger	0.470
friction	wrijving	anger	0.470
jealous	jaloers	anger	0.470
feudalism	leenstelsel	anger	0.470
armament	bewapening	anger	0.470
thump	stomp	anger	0.469
complain	klagen	anger	0.469
incite	aansporen	anger	0.469
steal	stelen	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	niet gehoorzamen	anger	0.469
injury	letsel	anger	0.469
simmer	sudderen	anger	0.469
distress	nood	anger	0.469
insanity	krankzinnigheid	anger	0.469
selfish	egoïstisch	anger	0.469
huff	tieren	anger	0.469
selfishness	egoïsme	anger	0.469
backoff	backoff	anger	0.469
plunder	plunderen	anger	0.469
