word	Kyrgyz-ky	emotion	emotion-intensity-score
hellish	кептелген	anger	0.781
loath	каалаган	anger	0.781
detonation	жарылуусунан	anger	0.781
quarrel	уруш	anger	0.781
sinister	коркунучтуу	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	айыпташты	anger	0.779
treacherous	митаам	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	жооп	anger	0.773
revulsion	күнөөлөбөй	anger	0.773
madder	сүйө	anger	0.773
horrific	коркунучтуу	anger	0.773
scorn	арылт	anger	0.769
deplorable	кейиштүү	anger	0.766
bomb	бомба	anger	0.766
anarchist	анархиялык	anger	0.765
devastation	кыйроо	anger	0.765
resent	таарынуу	anger	0.765
firestorm	Firestorm	anger	0.765
contemptible	жек көрүнчү	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ырайымсыз	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	өлтүрө турган	anger	0.758
smash	талкалануу	anger	0.758
rant	чууларын	anger	0.758
outburst	ташкын	anger	0.757
snarl	чочуп	anger	0.754
profane	четке каккан	anger	0.750
offend	күнөө кылуу	anger	0.750
douchebags	douchebags	anger	0.750
growling	арылдаган	anger	0.750
stfu	STFU	anger	0.750
vulgarity	одоно	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	акылсыздардай	anger	0.750
despise	жек көрүү	anger	0.750
horror	үрөй учуу	anger	0.750
aggravating	оордогон	anger	0.750
revolting	жийиркеничтүү	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	коркунуч	anger	0.742
erupt	жарылуу	anger	0.742
screaming	кыйкырыктан	anger	0.742
violence	зордук	anger	0.742
horrible	укмуштуу	anger	0.742
molestation	мексика	anger	0.742
bastards	Сармерден	anger	0.741
revenge	өч	anger	0.738
catastrophe	ойрон	anger	0.735
menacing	коркунуч туудуруучу	anger	0.735
demon	шайтан	anger	0.735
crushing	майдалоо	anger	0.735
damn	шайтан алгыр	anger	0.735
persecute	Силерди куугунтуктагандарга	anger	0.734
argue	талашып-	anger	0.734
flog	сабап	anger	0.734
revolt	көтөрүлүш	anger	0.734
thrash	бастырат	anger	0.734
deplore	жек көрүшөт	anger	0.734
warfare	согуш	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	катуу	anger	0.734
riotous	эрегишүү	anger	0.734
altercation	үнүн көтөрбөйт	anger	0.729
warlike	жоокер	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	бийликтери	anger	0.727
castrate	бычуу	anger	0.727
sabotage	саботаж	anger	0.727
malevolent	ачуулуу	anger	0.721
strike	иш таштоо	anger	0.721
disaster	кырсык	anger	0.721
disastrous	кырсыктуу	anger	0.720
tumult	ызы-	anger	0.719
madden	Madden	anger	0.719
devil	шайтан	anger	0.719
scream	кыйкыруу	anger	0.719
brutal	орой	anger	0.719
treachery	чыккынчылык	anger	0.719
scorching	куйкалаган	anger	0.719
vermin	акмак	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	күчөшүнө негиз	anger	0.719
spiteful	ачуулуу	anger	0.719
slay	өлтүрүү	anger	0.719
disdain	жек көрүү	anger	0.719
choke	муунтуу	anger	0.719
bastarding	bastarding	anger	0.719
mangle	бүтөбүз	anger	0.714
anarchism	анархизм	anger	0.714
mutilation	жаракат	anger	0.714
criminal	кылмышкер	anger	0.714
denunciation	жокко чыгаруу	anger	0.713
punch	удар	anger	0.713
crucifixion	Ыйсанын айкаш жыгачка кадалышы	anger	0.712
virulence	көрүүнүн	anger	0.712
battled	менен аларга каршы согушту,	anger	0.712
fatal	өлүмдүү	anger	0.712
holocaust	бүтүндөй өрттөлүүчү	anger	0.712
blasphemous	колдун	anger	0.712
hurting	зыян	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	бекерчи	anger	0.706
atrocious	тыйды	anger	0.706
evil	жаман	anger	0.706
irritated	кыжырданды	anger	0.706
assassin	канкор аял	anger	0.703
dicks	юк	anger	0.703
persecution	куугунтук	anger	0.703
slayer	киши өлтүргөн адам	anger	0.703
kidnap	уурдоо	anger	0.703
scolding	коюу	anger	0.703
intimidation	коркутуу	anger	0.703
aggravated	татаалданып	anger	0.703
aggression	агрессия	anger	0.702
armed	куралданган	anger	0.700
poison	уу	anger	0.697
snarling	улуй	anger	0.697
venom	Александра	anger	0.697
battle	салгылашуу	anger	0.697
disgruntled	нааразы	anger	0.693
insidious	коркунучтуу	anger	0.691
assailant	токтоп	anger	0.691
resentment	таарынуу	anger	0.691
lynch	Линч	anger	0.690
contemptuous	басынтылганына	anger	0.690
temper	жүрүш-туруш	anger	0.688
imprisonment	аяктоо	anger	0.688
disparage	кемитүү	anger	0.688
bully	кордошот	anger	0.688
terrible	коркунучтуу	anger	0.688
lunatic	лунатик	anger	0.688
curse	каргыш	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	www.bizdin.kg электрондук	anger	0.688
domination	үстөмдүгү	anger	0.688
mad	жинди	anger	0.688
infanticide	жашар бала	anger	0.688
volatility	өзгөрмөлүүлүгү	anger	0.687
eradication	кылуу	anger	0.685
tantrum	чыр	anger	0.682
devastate	кыйратуу	anger	0.682
eradicate	жок	anger	0.682
scoundrel	шүмшүк	anger	0.682
aggressively	душмандык	anger	0.680
agitation	үгүт	anger	0.680
dictatorship	диктарура	anger	0.676
irritates	кыжырым	anger	0.676
profanity	уят	anger	0.673
egregious	чектен чыккан	anger	0.672
expletive	жүрөккө тие	anger	0.672
nasty	жийиркеничтүү	anger	0.672
shove	түртүлүш	anger	0.672
shot	атылуу	anger	0.672
harmful	зыяндуу	anger	0.672
aggravation	оордоо	anger	0.672
contempt	жек көрүү	anger	0.672
poisonous	уулуу	anger	0.672
dastardly	алакөөдөндүк	anger	0.672
shoot	атуу	anger	0.672
corrupting	зыяндуу	anger	0.672
condemnation	айыптоо	anger	0.672
wreak	жасайт	anger	0.672
crushed	моюн сунган	anger	0.672
cruelly	катуу	anger	0.672
crime	кылмыш	anger	0.672
maniac	Жин	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	атырылып чыгуу	anger	0.667
odious	жек көрүндү	anger	0.667
shooting	атуу	anger	0.667
kick	бут менен тебүү	anger	0.667
aggressive	агрессивдүү	anger	0.667
combat	салгылаш	anger	0.667
shout	кыйкыруу	anger	0.667
hit	уруу	anger	0.667
fight	салгылаш	anger	0.667
cutthroat	таш боор	anger	0.667
enemy	душман	anger	0.667
irritable	кыжырландыруучу	anger	0.667
punished	жазасын	anger	0.662
ambush	буктурма	anger	0.661
yell	кыйкырык	anger	0.661
harass	тынчын алуу	anger	0.659
malignant	каардуу	anger	0.656
aggressor	агрессор	anger	0.656
antichrist	Дажжал	anger	0.656
gore	Гор	anger	0.656
incense	жыпар жыттуу зат түтөтүлүүчү	anger	0.656
expel	кууп жиберүү	anger	0.656
destruction	талкалоо	anger	0.656
grudge	кек	anger	0.656
cranky	сиркеси суу	anger	0.653
offended	таарынган	anger	0.652
spank	Spank	anger	0.652
growl	ырылдоо	anger	0.652
insurrection	кылмышкер	anger	0.652
reprisal	репрессалия	anger	0.652
slave	кул	anger	0.652
denounce	чечиндирүү	anger	0.652
animosity	душмандык	anger	0.652
insulting	кордогон түрдө	anger	0.652
clashing	кагылышты	anger	0.652
growls	арылдайт	anger	0.649
executioner	айып	anger	0.644
twat	twat	anger	0.644
doomsday	Акыр заман	anger	0.643
daemon	Daemon	anger	0.641
obscenity	уятсыздык	anger	0.641
bombard	амалкөйлүк	anger	0.641
spat	түкүрүп	anger	0.641
havoc	талкалоо	anger	0.641
feud	душманчылык	anger	0.641
grr	GRR	anger	0.641
arson	күйгүзүү	anger	0.641
reprimand	сөгүш	anger	0.641
expulsion	чыгаруу	anger	0.641
inexcusable	актана	anger	0.641
accused	айыпталуучу	anger	0.641
indignant	ачууланган	anger	0.641
shackle	кишендеп койгон	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	жара	anger	0.636
suicidal	өзүн-өзү өлтүрүү	anger	0.636
poisoned	уу	anger	0.636
batter	Клярдагы	anger	0.636
kicking	тепкилеп	anger	0.636
hanging	илинип	anger	0.636
spanking	кубалайм	anger	0.636
disgusting	жийиркенгендик	anger	0.636
combatant	күжүрмөн	anger	0.636
frustrated	нааразы	anger	0.636
anarchy	анархия	anger	0.636
glaring	айкын	anger	0.636
inflict	алып келүү	anger	0.633
wrecked	кыйрады	anger	0.633
grievous	оор	anger	0.632
prosecute	сот аркылуу куугунтуктоо	anger	0.630
agitated	Тынчым	anger	0.630
cheat	алдоо	anger	0.630
swastika	Гарринин	anger	0.627
defamatory	жалаа	anger	0.625
suffocation	муунтуу	anger	0.625
strife	чыр-чатак	anger	0.625
provocation	чагым	anger	0.625
injure	зыян келтирүү	anger	0.625
harassing	асылууда	anger	0.625
scourge	кыргын	anger	0.625
cursing	сөгүнүп-	anger	0.625
betray	алдоо	anger	0.625
indict	жоопко тартуу	anger	0.625
raid	тийип	anger	0.625
thundering	Күн күркүрөп,	anger	0.625
enslaved	кул	anger	0.625
arsehole	эшек тешик	anger	0.624
insane	акылсыз	anger	0.621
fiend	шайтан алгыр	anger	0.621
irritate	ачуулантуу	anger	0.621
convict	айыпталган аял	anger	0.621
jerk	жинди	anger	0.621
theft	уурулук	anger	0.621
retaliation	өч алуу	anger	0.621
deprivation	ажыратуу	anger	0.621
cussed	минтти	anger	0.619
turmoil	ызы чуу	anger	0.618
smack	Бурундучки	anger	0.615
retribution	өч алуу	anger	0.614
twats	twats	anger	0.609
intolerable	чыдагыз	anger	0.609
rebellion	козголоң	anger	0.609
injurious	зыяндуу	anger	0.609
oppressor	баскын	anger	0.609
slavery	кулчулук	anger	0.609
irritability	кыжырдануу	anger	0.609
collision	кагылышуу	anger	0.609
bitterly	катуу	anger	0.609
gang	группа	anger	0.609
antagonism	антагонизм	anger	0.609
battery	батарея	anger	0.609
adverse	зыян	anger	0.609
disgraced	уятка	anger	0.608
irritating	кыжырданткан	anger	0.606
revolution	төңкөрүш	anger	0.606
thug	кесер	anger	0.606
diatribe	чууларын	anger	0.606
bombardment	бомбалоонун	anger	0.606
blast	жарылуу	anger	0.606
irks	кыжырына тийди	anger	0.606
sickening	аябай	anger	0.606
discrimination	дискриминация	anger	0.606
antagonistic	антагонисттик	anger	0.606
ranting	күлсө	anger	0.606
asshole	Акмак	anger	0.606
frustrate	бузуу	anger	0.604
manipulation	менен иштөө	anger	0.603
tension	чымыркануу	anger	0.603
insult	шылдыңдоо	anger	0.603
bigot	бан	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	зыян	anger	0.603
oppression	кыскандык	anger	0.603
disgust	жийиркенүү	anger	0.602
spite	карабастан,	anger	0.600
intrusive	катуу	anger	0.598
harshness	катаалдыгы	anger	0.597
slur	Коронду	anger	0.596
wretch	мусапырлар	anger	0.594
inferno	күрөшүштү	anger	0.594
invasion	кол салуу	anger	0.594
puncture	жыртык	anger	0.594
miserable	аянычтуу	anger	0.594
assail	болоюн	anger	0.594
storming	штурм	anger	0.594
casualty	кокустук	anger	0.594
bitterness	ачуу	anger	0.594
morbidity	оору	anger	0.594
tempest	бороон	anger	0.594
consternation	опокшош	anger	0.592
depraved	бузулган	anger	0.591
raving	тийиптир	anger	0.591
guillotine	жака	anger	0.591
guilty	күнөөлүү	anger	0.591
immoral	адеп-ахлаксыз	anger	0.591
forcibly	күч	anger	0.591
overpowering	такыр	anger	0.591
accursed	каргышка	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	жаралды	anger	0.588
invader	басып алуучу	anger	0.588
scare	коркутуу	anger	0.588
screwed	рэп	anger	0.588
indignation	каарым	anger	0.587
jealousy	кызгануу	anger	0.587
vexed	ачууланат	anger	0.586
confront	бетме бет чыгуу	anger	0.582
brute	орой	anger	0.581
throttle	дроссель	anger	0.579
wreck	талкаланганы	anger	0.578
revolver	мылтык	anger	0.578
slut	анал	anger	0.578
yousuck	барчы ары	anger	0.578
damage	зыян	anger	0.578
butcher	касапчы	anger	0.578
conflict	жаңжал	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	кылмыштуулук	anger	0.578
bickering	талашышы	anger	0.578
pillage	каракчылык	anger	0.578
blaze	Өрт	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	төңкөрүш	anger	0.578
contentious	талаш	anger	0.578
incarceration	камоо	anger	0.578
defiant	каршы	anger	0.578
provoking	ойлондурарлык	anger	0.578
lash	Камчынын	anger	0.578
cancer	рак	anger	0.577
frustration	бузулуу	anger	0.576
gory	каканактаган	anger	0.576
alienation	ээликтен ажыратуу	anger	0.576
discord	келишпестиктерге	anger	0.576
disturbance	чочулоо	anger	0.576
grope	сыйпалап	anger	0.576
condescension	Ыйсадагы	anger	0.576
pernicious	күрөшүүчү	anger	0.576
blasphemy	кудайды мазактоо	anger	0.576
discriminate	ажыратып билүү	anger	0.576
chaotic	иретсиз	anger	0.576
gun	курал	anger	0.576
standoff	тиреш	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	митинг	anger	0.574
lunacy	койлук алы	anger	0.574
oppressive	залим	anger	0.574
death	өлүм	anger	0.574
jab	сен маган	anger	0.574
cursed	каргышка	anger	0.574
scandalous	чуулгандуу	anger	0.574
monstrosity	Monstrosity	anger	0.574
shit	какая	anger	0.573
disparaging	басынтып	anger	0.571
slash	слэш	anger	0.571
unfair	адилеттүү	anger	0.571
gallows	жыгач	anger	0.570
escalate	көбөйүү	anger	0.569
intolerant	чыдагыз	anger	0.564
lawlessness	мыйзамсыздыктын	anger	0.563
bluddy	bluddy	anger	0.562
perdition	азап	anger	0.562
taunt	ылакап	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	Торпедо	anger	0.562
deceived	алданган	anger	0.562
slander	ушак	anger	0.562
retards	ёскюрбей	anger	0.562
bearish	лүкүлдөш	anger	0.562
invade	кол салуу	anger	0.562
bellows	көөрүк	anger	0.562
beast	айбан	anger	0.562
frightful	коркунучтуу	anger	0.562
derogatory	кол	anger	0.562
glare	тике кароо	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	коркунучтуу	anger	0.562
traitor	чыккынчы	anger	0.562
malign	аташса	anger	0.562
wrangling	талаш	anger	0.562
dissension	Талаш	anger	0.561
banshee	бруклина	anger	0.561
shatter	сындыруу	anger	0.561
conflagration	өрт	anger	0.561
jeopardize	коркунуч	anger	0.561
thief	ууру аял	anger	0.561
rave	мактаса	anger	0.561
grating	тор	anger	0.561
devastating	катуу	anger	0.561
idiots	акмактар,	anger	0.561
betrayal	чыккынчылык	anger	0.561
uncontrollable	ээ бербеген	anger	0.561
fits	алдыруу	anger	0.561
cross	кесип	anger	0.561
hurt	зыян	anger	0.561
disturbed	бузулган	anger	0.559
subjugation	шылуун	anger	0.559
stomped	-тепседи	anger	0.557
grab	кармоо	anger	0.557
ticked	түгөнүп,	anger	0.556
masochism	Masochism	anger	0.556
grievance	таарыныч	anger	0.556
defiance	ачык баш ийбөөчүлүк	anger	0.552
blackmail	опузалоо	anger	0.550
offensive	кордогон	anger	0.549
decry	ойдо	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	бузуу	anger	0.547
punishment	жаза	anger	0.547
shrill	сындалууда	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	караңгы тарабы	anger	0.547
misery	бактысыздык	anger	0.547
frustrates	талкаларына	anger	0.547
disgraceful	маскаралык	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	өкүмчүл	anger	0.547
disparity	Кыргызстандын түштүгүнүн келечеги	anger	0.547
confine	кармоо	anger	0.547
firearms	ок атуучу курал-жарак	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	кептей	anger	0.547
rebel	козголоңчу аял	anger	0.547
deceive	алдоо	anger	0.547
stolen	уурдалган	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	кызуу	anger	0.545
ruined	талкаланган	anger	0.545
menace	коркунуч	anger	0.545
humiliate	кемсинтүү	anger	0.545
tackle	чечүү	anger	0.545
conspirator	бириктирген	anger	0.545
foul	жин	anger	0.545
antagonist	соттошот	anger	0.545
resentful	таарынган	anger	0.545
prejudice	адатка айланган көз караш	anger	0.545
adversary	теңтайлашуучу	anger	0.545
argument	далил	anger	0.545
skirmish	атышуу	anger	0.545
callous	ырайымсыз	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	чырмалып	anger	0.544
robbery	уурдоо	anger	0.544
sting	чагып алуу	anger	0.544
outcry	өкүрүк	anger	0.544
grumble	наалыгыдай	anger	0.544
irreconcilable	карама-каршы	anger	0.543
resistance	каршылык көрсөтүү	anger	0.543
obstructive	тосуучу	anger	0.542
dismay	коркунуч	anger	0.540
mob	топ	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	жамандык	anger	0.536
ridicule	мазактарынан	anger	0.534
incendiary	күйүүчү май	anger	0.533
flares	этүүлөрдөн	anger	0.532
degeneracy	бузулууну	anger	0.531
confinement	түрмөгө камоо	anger	0.531
exacerbation	курчуу	anger	0.531
prejudicial	зыян келтирүү	anger	0.531
uprising	көтөрүлүш	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	акылсыз	anger	0.531
unbridled	ооздукталбаган	anger	0.531
allegation	үн берүү	anger	0.531
communism	коммунизм	anger	0.531
whip	сабоо	anger	0.531
intruder	кара ниет эркек	anger	0.531
dispute	талаш-тартыш	anger	0.531
belittle	басынтуу	anger	0.531
bigoted	тайкы	anger	0.530
offender	кылмышкер	anger	0.530
hassle	убарасы	anger	0.530
dissonance	диссонанстык	anger	0.530
unjust	адилетсиз	anger	0.530
dictatorial	диктатордук	anger	0.530
unjustifiable	акталууга мүмкүн болбогон	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	бурмалоо	anger	0.530
tackled	тапшырмалар	anger	0.530
renegade	ишенимсиз	anger	0.529
hot	ысык	anger	0.529
prison	түрмө	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	айып үчүн чалынуучу	anger	0.529
suicide	өзүн өзү өлтүрүү	anger	0.521
annoy	жадатуу	anger	0.520
leavemealone	мени жалгыз калтыр	anger	0.517
idiotic	келесоолук	anger	0.516
distrust	ишенбөөчүлүк	anger	0.516
depravity	уятсыз жүрүм-турум	anger	0.516
cretins	шоматчы	anger	0.516
divorce	ажырашуу	anger	0.516
broil	да сенатор	anger	0.516
grrr	Grrr	anger	0.516
venting	желдеткичтин	anger	0.516
inimical	душманы	anger	0.516
duress	мажбурлоо	anger	0.516
disrespectful	сыйлабас	anger	0.516
tortious	алдамчылык	anger	0.516
criticize	сындоо	anger	0.516
prisoner	камактагы аял	anger	0.516
dishonest	чындыкка жатпаган	anger	0.516
treason	чыккынчылык	anger	0.516
victimized	жабыр	anger	0.515
bile	өт	anger	0.515
unkind	кыянат	anger	0.515
unforgiving	Кечиримдүү	anger	0.515
unleash	коё	anger	0.515
coercion	мажбурлоо	anger	0.515
scold	урушуу	anger	0.515
chaos	баш аламан	anger	0.515
grump	grump	anger	0.515
roar	издейт	anger	0.515
jerks	кенчинен	anger	0.515
poaching	бүлгүнчүлөр	anger	0.515
hangry	hangry	anger	0.515
pow	батарея	anger	0.515
poachers	оз мезгилинде жаратылышка зыян келтирүүгө	anger	0.515
argumentation	аргументтөө	anger	0.515
frustrating	чөктүрүшү	anger	0.515
tussle	АКШдан кийинки	anger	0.514
bane	Бейн	anger	0.511
accusation	айыптоо	anger	0.510
repudiation	Баш тартпастык	anger	0.510
enmity	душмандык	anger	0.510
banish	айдап жиберүү	anger	0.509
disfigured	кебетеси	anger	0.508
storm	катуу бороон	anger	0.507
shun	кач	anger	0.500
suppression	бөгөт коюу	anger	0.500
unruly	ууга	anger	0.500
intractable	кыйын	anger	0.500
ordeal	оор	anger	0.500
obstruct	өткөөлдү тосуу	anger	0.500
derogation	абал	anger	0.500
fervor	толкундоо	anger	0.500
foaming	ооналактап	anger	0.500
derision	күлкү	anger	0.500
animus	animus	anger	0.500
rejects	четке кагат	anger	0.500
bout	сурайбыз	anger	0.500
spear	найза	anger	0.500
crazy	акылсыз	anger	0.500
brazen	жез	anger	0.500
antithesis	менен карама-каршы	anger	0.500
injustice	адилетсиз	anger	0.500
banished	жашыр	anger	0.500
confined	чектелген	anger	0.500
frenzied	Жаалы	anger	0.500
dominate	үстөмдүк кылуу	anger	0.500
disrupting	Disrupting	anger	0.500
hammering	кескич	anger	0.500
fear	коркунуч	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	азап	anger	0.500
brunt	башы-	anger	0.500
possessed	бар	anger	0.500
defy	маскара	anger	0.500
scoff	Жабагы	anger	0.500
patronising	камкордук	anger	0.500
delusional	Баракелде	anger	0.500
malpractice	кылмыш-жаза жоопкерчилигин тартышат	anger	0.500
reject	баш тартуу	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	катаалдык	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	наадандык	anger	0.491
sinful	күнөөлүү	anger	0.491
avarice	айал	anger	0.490
oppress	кысуу	anger	0.490
disapproved	бекитилген	anger	0.485
inhuman	адамкерчиликсиз	anger	0.485
demand	талап	anger	0.485
abolish	жокко чыгаруу	anger	0.485
anathema	каргыш	anger	0.485
fricking	fricking	anger	0.485
complaint	арыз берүү	anger	0.485
disservice	билип коём	anger	0.485
smuggler	аткезчилигине	anger	0.485
revoke	жокко чыгаруу	anger	0.485
infraction	табылса,	anger	0.485
claw	тырмак	anger	0.485
dissident	диссидент	anger	0.485
pervert	бурмалабайт	anger	0.485
incest	кан алмашуу	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	баш ийбес	anger	0.485
usurp	ээлеп	anger	0.485
alienate	ээликтен ажыратуу	anger	0.485
avenger	кууган	anger	0.485
annoyed	кыжырданган	anger	0.485
cutting	кесүү	anger	0.485
disgrace	каарга калуу	anger	0.484
deceit	алдоо	anger	0.484
suspicious	шектүү	anger	0.484
