word	Khmer-km	emotion	emotion-intensity-score
assassination	ឃាតកម្ម	anger	0.859
hostility	អរិភាព	anger	0.859
loathsome	ស្អប់ខ្ពើម	anger	0.857
hell	ឋាននរក	anger	0.853
murderous	ឃាតកម្ម	anger	0.853
attack	ការវាយប្រហារ	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	ភេរវកម្ម	anger	0.851
beating	វាយដំ	anger	0.849
desecration	ការប្រមាថ	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	កំហឹង	anger	0.848
stab	ចាក់	anger	0.844
slaughter	សំលាប់	anger	0.844
violent	ហិង្សា	anger	0.844
destroying	បំផ្លាញ	anger	0.844
abomination	គួរស្អប់ខ្ពើម	anger	0.844
tumultuous	ច្របូកច្របល់	anger	0.844
irate	ខឹង	anger	0.844
infuriate	កំហឹង	anger	0.844
obliterate	obliterate	anger	0.843
belligerent	ប្រទូសរ៉ាយ	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ស្អប់ខ្ពើម	anger	0.838
hostilities	អរិភាព	anger	0.837
prick	ចាក់	anger	0.835
torture	ការធ្វើទារុណកម្ម	anger	0.833
rabid	ឆ្អែត	anger	0.833
horrid	រន្ធត់	anger	0.833
rampage	rampage	anger	0.833
cruelty	ភាពសាហាវឃោរឃៅ	anger	0.833
hate	ស្អប់	anger	0.828
demonic	អារក្ស	anger	0.828
hating	ស្អប់	anger	0.828
satanic	សាតាំង	anger	0.828
tyrannical	tyrannical	anger	0.828
ragemode	ragemode	anger	0.828
despicable	គួរឱ្យស្អប់ខ្ពើម	anger	0.828
ruinous	ខូចខាត	anger	0.825
condemn	ថ្កោលទោស	anger	0.825
riots	កុបកម្ម	anger	0.824
demolish	រុះរើ	anger	0.824
angry	ខឹង	anger	0.824
extermination	ការសម្លាប់រង្គាល	anger	0.824
dickhead	dickhead	anger	0.824
livid	livid	anger	0.821
madman	ឆ្កួត	anger	0.820
vindictive	ចងក្រង	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	កំហឹង	anger	0.818
venomous	ពិស	anger	0.818
threaten	គំរាមកំហែង	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ភេរវករ	anger	0.818
abhor	ស្អប់ខ្ពើម	anger	0.816
savage	savage	anger	0.814
atrocity	អំពើឃោរឃៅ	anger	0.814
carnage	ការសម្លាប់រង្គាល	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ការរំលោភបំពាន	anger	0.812
tyrant	tyrant	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	លក់	anger	0.812
fierce	កាចសាហាវ	anger	0.812
destroyer	នាវាពិឃាត	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	ព្រៃផ្សៃ	anger	0.812
anger	កំហឹង	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	ការប្រយុទ្ធ	anger	0.803
punched	ដាល់	anger	0.803
bitch	ឆ្កេញី	anger	0.803
punching	ដាល់	anger	0.803
homicide	ឃាតកម្ម	anger	0.803
destructive	បំផ្លាញ	anger	0.797
ruthless	គ្មានមេត្តា	anger	0.797
villainous	villainous	anger	0.797
slap	ទះ	anger	0.791
slaughterhouse	ឃាតកម្ម	anger	0.788
punishing	punishing	anger	0.788
destroyed	បំផ្លាញ	anger	0.788
retaliatory	សងសឹក	anger	0.788
riot	កុបកម្ម	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	ស្រែក	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	ការសម្លាប់មនុស្ស	anger	0.783
clash	ប៉ះទង្គិច	anger	0.783
bloody	បង្ហូរឈាម	anger	0.781
hellish	hellish	anger	0.781
loath	ស្អប់	anger	0.781
detonation	ការបំផ្ទុះ	anger	0.781
quarrel	ឈ្លោះប្រកែកគ្នា	anger	0.781
sinister	អាក្រក់	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ចោទប្រកាន់	anger	0.779
treacherous	កខ្វក់	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	សងសឹក	anger	0.773
revulsion	ការបោកប្រាស់	anger	0.773
madder	madder	anger	0.773
horrific	គួរឱ្យរន្ធត់	anger	0.773
scorn	ចំអក	anger	0.769
deplorable	គួរឱ្យស្អប់ខ្ពើម	anger	0.766
bomb	គ្រាប់បែក	anger	0.766
anarchist	អនាធិបតេយ្យ	anger	0.765
devastation	ការបំផ្លិចបំផ្លាញ	anger	0.765
resent	អាក់អន់ចិត្ត	anger	0.765
firestorm	ភ្លើងឆេះ	anger	0.765
contemptible	មើលងាយ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ឃោរឃៅ	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ស្លាប់	anger	0.758
smash	កម្ទេច	anger	0.758
rant	rant	anger	0.758
outburst	ផ្ទុះចេញ	anger	0.757
snarl	snarl	anger	0.754
profane	អាសគ្រាម	anger	0.750
offend	ពិរុទ្ធករ	anger	0.750
douchebags	douchebags	anger	0.750
growling	ស្រែកច្រៀង	anger	0.750
stfu	stfu	anger	0.750
vulgarity	ភាពអាសអាភាស	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	មើលងាយ	anger	0.750
horror	ភ័យរន្ធត់	anger	0.750
aggravating	aggravating	anger	0.750
revolting	ការបះបោរ	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	គំរាម	anger	0.742
erupt	ផ្ទុះ	anger	0.742
screaming	ស្រែក	anger	0.742
violence	អំពើហឹង្សា	anger	0.742
horrible	អាក្រក់	anger	0.742
molestation	ការរំលោភបំពាន	anger	0.742
bastards	ពពោះ	anger	0.741
revenge	សងសឹក	anger	0.738
catastrophe	មហន្តរាយ	anger	0.735
menacing	គំរាមកំហែង	anger	0.735
demon	អារក្ស	anger	0.735
crushing	កំទេច	anger	0.735
damn	damn	anger	0.735
persecute	ធ្វើទុក្ខបុកម្នេញ	anger	0.734
argue	ជជែកតវ៉ា	anger	0.734
flog	ឆេះ	anger	0.734
revolt	ការបះបោរ	anger	0.734
thrash	វាយ	anger	0.734
deplore	សោកស្តាយ	anger	0.734
warfare	សង្គ្រាម	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	យ៉ាងខ្លាំង	anger	0.734
riotous	កុប្បកម្ម	anger	0.734
altercation	altercation	anger	0.729
warlike	សង្គ្រាម	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	ការបះបោរ	anger	0.727
castrate	castrate	anger	0.727
sabotage	sabotage	anger	0.727
malevolent	មនុស្សប្រុស	anger	0.721
strike	កូដកម្ម	anger	0.721
disaster	គ្រោះមហន្តរាយ	anger	0.721
disastrous	គ្រោះមហន្តរាយ	anger	0.720
tumult	ចលាចល	anger	0.719
madden	madden	anger	0.719
devil	អារក្ស	anger	0.719
scream	ស្រែក	anger	0.719
brutal	ឃោរឃៅ	anger	0.719
treachery	ការក្បត់	anger	0.719
scorching	scorching	anger	0.719
vermin	សំបុក	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	សេះ	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	ធ្វេសប្រហែស	anger	0.719
slay	សំលាប់	anger	0.719
disdain	ប្រមាថ	anger	0.719
choke	ញ័រ	anger	0.719
bastarding	អាក្រក់	anger	0.719
mangle	ធូប	anger	0.714
anarchism	អនាធិបតេយ្យ	anger	0.714
mutilation	ការវះកាត់	anger	0.714
criminal	ឧក្រិដ្ឋជន	anger	0.714
denunciation	ការថ្កោលទោស	anger	0.713
punch	កណ្តាប់ដៃ	anger	0.713
crucifixion	ការឆ្កាង	anger	0.712
virulence	virulence	anger	0.712
battled	ប្រកួត	anger	0.712
fatal	ធ្ងន់ធ្ងរ	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	ប្រមាថព្រះ	anger	0.712
hurting	ឈឺចាប់	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	រារាំង	anger	0.706
atrocious	យ៉ាងឃោឃៅ	anger	0.706
evil	អាក្រក់	anger	0.706
irritated	ខឹង	anger	0.706
assassin	ឃាតក	anger	0.703
dicks	dicks	anger	0.703
persecution	ការបៀតបៀន	anger	0.703
slayer	slayer	anger	0.703
kidnap	ចាប់ជំរិត	anger	0.703
scolding	scolding	anger	0.703
intimidation	ការបំភិតបំភ័យ	anger	0.703
aggravated	aggravated	anger	0.703
aggression	ការឈ្លានពាន	anger	0.702
armed	ប្រដាប់អាវុធ	anger	0.700
poison	ថ្នាំពុល	anger	0.697
snarling	snarling	anger	0.697
venom	ពិស	anger	0.697
battle	សមរភូមិ	anger	0.697
disgruntled	មិនពេញចិត្ត	anger	0.693
insidious	insidious	anger	0.691
assailant	assailant	anger	0.691
resentment	អាក់អន់ចិត្ត	anger	0.691
lynch	lynch	anger	0.690
contemptuous	មើលងាយ	anger	0.690
temper	កំហឹង	anger	0.688
imprisonment	ការដាក់ពន្ធនាគារ	anger	0.688
disparage	disparage	anger	0.688
bully	ឃាតករ	anger	0.688
terrible	គួរឱ្យខ្លាច	anger	0.688
lunatic	ឆ្កួត	anger	0.688
curse	បណ្ដាសា	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	ការត្រួតត្រា	anger	0.688
mad	ឆ្កួត	anger	0.688
infanticide	ទារក	anger	0.688
volatility	ភាពប្រែប្រួល	anger	0.687
eradication	ការលុបបំបាត់	anger	0.685
tantrum	កំហឹង	anger	0.682
devastate	បំផ្លិចបំផ្លាញ	anger	0.682
eradicate	លុបបំបាត់	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	យ៉ាងខ្លាំង	anger	0.680
agitation	ការរំជើបរំជួល	anger	0.680
dictatorship	របបផ្តាច់ការ	anger	0.676
irritates	ឆាប់ខឹង	anger	0.676
profanity	អំពើប្រមាថ	anger	0.673
egregious	ឧទាន	anger	0.672
expletive	ឧទហរណ៍	anger	0.672
nasty	អាក្រក់	anger	0.672
shove	shove	anger	0.672
shot	បាញ់	anger	0.672
harmful	មានះថាក់	anger	0.672
aggravation	aggravation	anger	0.672
contempt	មើលងាយ	anger	0.672
poisonous	ពុល	anger	0.672
dastardly	dastardly	anger	0.672
shoot	បាញ់	anger	0.672
corrupting	ខូច	anger	0.672
condemnation	ការផ្តន្ទាទោស	anger	0.672
wreak	wreak	anger	0.672
crushed	ផលប៉ះពាល់	anger	0.672
cruelly	យ៉ាងឃោរឃៅ	anger	0.672
crime	ឧក្រិដ្ឋកម្ម	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ការផ្ទុះ	anger	0.667
odious	ជេរប្រមាថ	anger	0.667
shooting	បាញ់	anger	0.667
kick	ទាត់	anger	0.667
aggressive	ឈ្លានពាន	anger	0.667
combat	ប្រយុទ្ធ	anger	0.667
shout	ស្រែក	anger	0.667
hit	បុក	anger	0.667
fight	ប្រយុទ្ធ	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	សត្រូវ	anger	0.667
irritable	ឆាប់ខឹង	anger	0.667
punished	ពិន័យ	anger	0.662
ambush	ការ​វាយឆ្មក់	anger	0.661
yell	ស្រែក	anger	0.661
harass	រំខាន	anger	0.659
malignant	សាហាវ	anger	0.656
aggressor	អ្នកឈ្លានពាន	anger	0.656
antichrist	មេប្រឆាំងព្រះគ្រិស្ដ	anger	0.656
gore	gore	anger	0.656
incense	គ្រឿងក្រអូប	anger	0.656
expel	expel	anger	0.656
destruction	ការបំផ្លាញ	anger	0.656
grudge	ការខឹងសម្បារ	anger	0.656
cranky	ឆ្គង	anger	0.653
offended	អាក់អន់ចិត្ត	anger	0.652
spank	spank	anger	0.652
growl	រោម	anger	0.652
insurrection	ការបះបោរ	anger	0.652
reprisal	សងសឹក	anger	0.652
slave	ទាសករ	anger	0.652
denounce	បរិហារ	anger	0.652
animosity	ស្អប់ខ្ពើម	anger	0.652
insulting	ប្រមាថ	anger	0.652
clashing	ប៉ះទង្គិច	anger	0.652
growls	ហិង្សា	anger	0.649
executioner	ពេជ្ឈឃាដ	anger	0.644
twat	twat	anger	0.644
doomsday	doomsday	anger	0.643
daemon	ដេមិន	anger	0.641
obscenity	អាសគ្រាម	anger	0.641
bombard	bombard	anger	0.641
spat	spat	anger	0.641
havoc	បំផ្លាញ	anger	0.641
feud	ជម្លោះ	anger	0.641
grr	grr	anger	0.641
arson	ការឆេះ	anger	0.641
reprimand	រិះគន់	anger	0.641
expulsion	ការបណ្តេញ	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	ចោទ	anger	0.641
indignant	ខឹង	anger	0.641
shackle	ចង្កេះ	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	មុខរបួស	anger	0.636
suicidal	ធ្វើអត្តឃាត	anger	0.636
poisoned	បំពុល	anger	0.636
batter	batter	anger	0.636
kicking	ទាត់	anger	0.636
hanging	ព្យួរ	anger	0.636
spanking	spanking	anger	0.636
disgusting	គួរឱ្យខ្ពើមរអើម	anger	0.636
combatant	អ្នកប្រយុទ្ធ	anger	0.636
frustrated	ខកចិត្ត	anger	0.636
anarchy	អនាធិបតេយ្យ	anger	0.636
glaring	ចាំង	anger	0.636
inflict	ធ្វើឱ្យឈឺចាប់	anger	0.633
wrecked	ខូច	anger	0.633
grievous	អាក្រក់	anger	0.632
prosecute	ចោទប្រកាន់	anger	0.630
agitated	ញ័រ	anger	0.630
cheat	ក្លែងបន្លំ	anger	0.630
swastika	swastika	anger	0.627
defamatory	ប្រមាថ	anger	0.625
suffocation	ការថប់ដង្ហើម	anger	0.625
strife	ជម្លោះ	anger	0.625
provocation	ការញុះញង់	anger	0.625
injure	រងរបួស	anger	0.625
harassing	រំខាន	anger	0.625
scourge	scourge	anger	0.625
cursing	cursing	anger	0.625
betray	ក្បត់	anger	0.625
indict	ចោទប្រកាន់	anger	0.625
raid	ការវាយឆ្មក់	anger	0.625
thundering	ផ្គរលាន់	anger	0.625
enslaved	enslaved	anger	0.625
arsehole	arsehole	anger	0.624
insane	ឆ្កួត ៗ	anger	0.621
fiend	ព្យុះ	anger	0.621
irritate	ឆាប់ខឹង	anger	0.621
convict	ផ្តន្ទាទោស	anger	0.621
jerk	jerk	anger	0.621
theft	ចោរកម្ម	anger	0.621
retaliation	ការសងសឹក	anger	0.621
deprivation	ការខ្វះខាត	anger	0.621
cussed	cussed	anger	0.619
turmoil	ភាពចលាចល	anger	0.618
smack	smack	anger	0.615
retribution	ទណ្ឌកម្ម	anger	0.614
twats	twats	anger	0.609
intolerable	មិនអាចអត់ទ្រាំបាន	anger	0.609
rebellion	ការបះបោរ	anger	0.609
injurious	រងរបួស	anger	0.609
oppressor	អ្នកជិះជាន់	anger	0.609
slavery	ទាសភាព	anger	0.609
irritability	ឆាប់ខឹង	anger	0.609
collision	បុក	anger	0.609
bitterly	ជូរចត់	anger	0.609
gang	ទំនើង	anger	0.609
antagonism	បដិបក្ខ	anger	0.609
battery	ថ្ម	anger	0.609
adverse	អវិជ្ជមាន	anger	0.609
disgraced	ខកចិត្ត	anger	0.608
irritating	ឆាប់ខឹង	anger	0.606
revolution	បដិវត្ត	anger	0.606
thug	ប្លន់	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	បំផ្ទុះគ្រាប់បែក	anger	0.606
blast	ផ្ទុះ	anger	0.606
irks	irks	anger	0.606
sickening	ឈឺ	anger	0.606
discrimination	ការរើសអើង	anger	0.606
antagonistic	ប្រឆាំង	anger	0.606
ranting	ស្រែក	anger	0.606
asshole	ជ្រលង	anger	0.606
frustrate	ខកចិត្ត	anger	0.604
manipulation	រៀបចំ	anger	0.603
tension	ភាពតានតឹង	anger	0.603
insult	ប្រមាថ	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ឈឺចាប់	anger	0.603
oppression	ការគៀបសង្កត់	anger	0.603
disgust	ស្អប់ខ្ពើម	anger	0.602
spite	ថ្វី	anger	0.600
intrusive	ទុកចិត្ត	anger	0.598
harshness	ភាពតឹងរ៉ឹង	anger	0.597
slur	ខ្ជះខ្ជាយ	anger	0.596
wretch	wretch	anger	0.594
inferno	ភ្លើង	anger	0.594
invasion	ការលុកលុយ	anger	0.594
puncture	puncture	anger	0.594
miserable	វេទនា	anger	0.594
assail	វាយប្រហារ	anger	0.594
storming	ព្យុះ	anger	0.594
casualty	គ្រោះថ្នាក់	anger	0.594
bitterness	ជូរចត់	anger	0.594
morbidity	ជំងឺ	anger	0.594
tempest	ព្យុះ	anger	0.594
consternation	ការងងឹត	anger	0.592
depraved	ខូចអាក្រក់	anger	0.591
raving	raving	anger	0.591
guillotine	កន្ត្រាក់	anger	0.591
guilty	មានកំហុស	anger	0.591
immoral	អសីលធម៌	anger	0.591
forcibly	ដោយបង្ខំ	anger	0.591
overpowering	overpowering	anger	0.591
accursed	ត្រូវបានគេធ្វើបាប	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	ឈ្លានពាន	anger	0.588
scare	ភ័យខ្លាច	anger	0.588
screwed	screwed	anger	0.588
indignation	កំហឹង	anger	0.587
jealousy	ការច្រណែន	anger	0.587
vexed	រំខាន	anger	0.586
confront	ប្រឈមមុខ	anger	0.582
brute	brute	anger	0.581
throttle	បិទបើក	anger	0.579
wreck	ខូច	anger	0.578
revolver	កាំភ្លើងវែង	anger	0.578
slut	ស្លុត	anger	0.578
yousuck	yousuck	anger	0.578
damage	ខូច	anger	0.578
butcher	លក់ទំនិញ	anger	0.578
conflict	ទំនាស់	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ឧក្រិដ្ឋកម្ម	anger	0.578
bickering	ជម្លោះ	anger	0.578
pillage	ប្លន់	anger	0.578
blaze	ឆេះ	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	រដ្ឋប្រហារ	anger	0.578
contentious	ចម្រូងចម្រាស	anger	0.578
incarceration	ឃុំឃាំង	anger	0.578
defiant	defiant	anger	0.578
provoking	ញុះញង់	anger	0.578
lash	រោមភ្នែក	anger	0.578
cancer	ជំងឺមហារីក	anger	0.577
frustration	ការខកចិត្ត	anger	0.576
gory	gory	anger	0.576
alienation	alienation	anger	0.576
discord	វិវាទ	anger	0.576
disturbance	ការ​រំខាន	anger	0.576
grope	ចាប៉ី	anger	0.576
condescension	condescension	anger	0.576
pernicious	បំពុល	anger	0.576
blasphemy	ប្រមាថព្រះ	anger	0.576
discriminate	រើសអើង	anger	0.576
chaotic	វឹកវរ	anger	0.576
gun	កាំភ្លើង	anger	0.576
standoff	ការតស៊ូ	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	ល្ហិតល្ហៃ	anger	0.574
oppressive	សង្កត់សង្កិន	anger	0.574
death	ស្លាប់	anger	0.574
jab	jab	anger	0.574
cursed	cursed	anger	0.574
scandalous	រឿងអាស្រូវ	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	លាមក	anger	0.573
disparaging	រំលោភបំពាន	anger	0.571
slash	សញ្ញា	anger	0.571
unfair	មិនយុត្តិធម៌	anger	0.571
gallows	gallows	anger	0.570
escalate	កើនឡើង	anger	0.569
intolerant	មិនអត់ឱន	anger	0.564
lawlessness	ច្បាប់គ្មានច្បាប់	anger	0.563
bluddy	bluddy	anger	0.562
perdition	perdition	anger	0.562
taunt	ទាត់	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	បានបញ្ឆោត	anger	0.562
slander	បង្កាច់បង្ខូច	anger	0.562
retards	ពន្យារពេល	anger	0.562
bearish	ធ្លាក់ចុះ	anger	0.562
invade	ឈ្លានពាន	anger	0.562
bellows	កណ្តឹង	anger	0.562
beast	សត្វ	anger	0.562
frightful	ភ័យខ្លាច	anger	0.562
derogatory	ប្រមាថ	anger	0.562
glare	ចាំង	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	គួរឱ្យខ្លាច	anger	0.562
traitor	ក្បត់	anger	0.562
malign	អាក្រក់	anger	0.562
wrangling	wrangling	anger	0.562
dissension	វិវាទ	anger	0.561
banshee	banshee	anger	0.561
shatter	រលំ	anger	0.561
conflagration	ការបង្ក្រាប	anger	0.561
jeopardize	ធ្វើឱ្យអន្តរាយ	anger	0.561
thief	ចោរ	anger	0.561
rave	rave	anger	0.561
grating	សូមថ្លែងអំណរគុណយ៉ាងជ្រាលជ្រៅ	anger	0.561
devastating	បំផ្លិចបំផ្លាញ	anger	0.561
idiots	ឆ្កួត ៗ	anger	0.561
betrayal	ក្បត់	anger	0.561
uncontrollable	មិនអាចគ្រប់គ្រងបាន	anger	0.561
fits	សម	anger	0.561
cross	ឆ្លង	anger	0.561
hurt	ឈឺចាប់	anger	0.561
disturbed	រំខាន	anger	0.559
subjugation	subjugation	anger	0.559
stomped	ដើរ	anger	0.557
grab	ចាប់	anger	0.557
ticked	បានធីក	anger	0.556
masochism	ម៉ាសសូឈីស	anger	0.556
grievance	ការប្តឹង	anger	0.556
defiance	defiance	anger	0.552
blackmail	blackmail	anger	0.550
offensive	ការវាយលុក	anger	0.549
decry	រិះគន់	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ការរំលោភ	anger	0.547
punishment	ការដាក់ទណ្ឌកម្ម	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ផ្នែក​ដែល​ងងឹត	anger	0.547
misery	ទុក្ខវេទនា	anger	0.547
frustrates	ខកចិត្ត	anger	0.547
disgraceful	អាម៉ាស់	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	overbearing	anger	0.547
disparity	ភាពខុសគ្នា	anger	0.547
confine	បង្ខូច	anger	0.547
firearms	អាវុធ	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ប្រុងប្រយ័ត្ន	anger	0.547
rebel	បះបោរ	anger	0.547
deceive	បញ្ឆោត	anger	0.547
stolen	លួច	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	កំដៅ	anger	0.545
ruined	ខូច	anger	0.545
menace	គំរាមកំហែង	anger	0.545
humiliate	អាម៉ាស់	anger	0.545
tackle	ដោះស្រាយ	anger	0.545
conspirator	អ្នកក្បត់	anger	0.545
foul	អាក្រក់	anger	0.545
antagonist	antagonist	anger	0.545
resentful	អន់ណាស់	anger	0.545
prejudice	ការរើសអើង	anger	0.545
adversary	សត្រូវ	anger	0.545
argument	អាគុយម៉ង់	anger	0.545
skirmish	ប៉ះទង្គិចគ្នា	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ជាប់គាំង	anger	0.544
robbery	ប្លន់	anger	0.544
sting	ចំពុះ	anger	0.544
outcry	ការបះបោរ	anger	0.544
grumble	ក្រោកឡើង	anger	0.544
irreconcilable	មិនអាចផ្សះផ្សាបាន	anger	0.543
resistance	ធន់ទ្រាំ	anger	0.543
obstructive	ស្ទះ	anger	0.542
dismay	ស្រងាកចិត្ត	anger	0.540
mob	ហ្វូងមនុស្ស	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	អាក្រក់	anger	0.536
ridicule	គួរឱ្យអស់សំណើច	anger	0.534
incendiary	ឆេះ	anger	0.533
flares	បញ្ហា	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	ការបង្ខាំង	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	ការរើសអើង	anger	0.531
uprising	ការបះបោរ	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	មិនប្រុងប្រយ័ត្ន	anger	0.531
unbridled	unbridled	anger	0.531
allegation	ចោទ	anger	0.531
communism	កុម្មុយនិស្ត	anger	0.531
whip	whip	anger	0.531
intruder	អ្នកឈ្លានពាន	anger	0.531
dispute	វិវាទ	anger	0.531
belittle	មើលងាយ	anger	0.531
bigoted	bigoted	anger	0.530
offender	ជនល្មើស	anger	0.530
hassle	រំខាន	anger	0.530
dissonance	dissonance	anger	0.530
unjust	អយុត្តិធម៌	anger	0.530
dictatorial	ផ្តាច់ការ	anger	0.530
unjustifiable	មិនសមហេតុផល	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	ចម្លែក	anger	0.530
tackled	ដោះស្រាយ	anger	0.530
renegade	លះបង់ចោល	anger	0.529
hot	ក្តៅ	anger	0.529
prison	ពន្ធនាគារ	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	ការរំលោភបំពាន	anger	0.529
suicide	ការធ្វើអត្តឃាត	anger	0.521
annoy	រំខាន	anger	0.520
leavemealone	ទុក​អោយ​ខ្ញុំ​នៅ​ម្នាក់ឯង​បាន​ហើយ	anger	0.517
idiotic	រញ៉េរញ៉ៃ	anger	0.516
distrust	មិនទុកចិត្ត	anger	0.516
depravity	ភាពគ្មានគុណធម៌	anger	0.516
cretins	cretins	anger	0.516
divorce	លែងលះ	anger	0.516
