word	Myanmar (Burmese)-my	emotion	emotion-intensity-score
assassination	ခြောငျးမွောငျးသတျဖွတျခွငျး	anger	0.859
hostility	ရန်ငြိုး	anger	0.859
loathsome	စက်ဆုပ်ဘွယ် ဖြစ်.	anger	0.857
hell	ငရဲ	anger	0.853
murderous	သတ်ဖြတ်	anger	0.853
attack	တိုက်ခိုက်	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	အကြမ်းဘက်ဝါဒ	anger	0.851
beating	ရိုက်နှက်ခြင်း	anger	0.849
desecration	desecration	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	ဒေါသ	anger	0.848
stab	ထိုး	anger	0.844
slaughter	အသေသတ်ခြင်း	anger	0.844
violent	ပြင်းထန်သော	anger	0.844
destroying	ဖျက်ဆီး	anger	0.844
abomination	စက်ဆုပ်ရွံရှာတော်မူ၏	anger	0.844
tumultuous	ထောင်လွှား	anger	0.844
irate	irate	anger	0.844
infuriate	ဒေါပွအောင်လုပ်	anger	0.844
obliterate	ချေဖျက်ရန်	anger	0.843
belligerent	တိုက်ခိုက်နေသော	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	စက်ဆုပ်ရွံ့ရှာဘွယ်သော	anger	0.838
hostilities	ရန်လိုမုန်းတီးမှု	anger	0.837
prick	ဖောက်ရာ	anger	0.835
torture	ညှဉ်းပမ်း	anger	0.833
rabid	ခွေးရူးပြန်ရောဂါ	anger	0.833
horrid	horrid	anger	0.833
rampage	သောင်းကျန်း	anger	0.833
cruelty	ရက်စက်မှု	anger	0.833
hate	မုန်းထား	anger	0.828
demonic	နတ်ဆိုး	anger	0.828
hating	မုန်း	anger	0.828
satanic	စာတ	anger	0.828
tyrannical	အာဏာရှင်ဆန်တဲ့	anger	0.828
ragemode	ragemode	anger	0.828
despicable	စက်ဆုပ်ရွံ	anger	0.828
ruinous	မဖြစ်အောင်ပျက်စီး	anger	0.825
condemn	အပြစ်တင်	anger	0.825
riots	အဓိကရုဏ်း	anger	0.824
demolish	ဖြိုချ	anger	0.824
angry	အမျက်ထွက်သော	anger	0.824
extermination	ဖျက်သိမ်းခြင်း	anger	0.824
dickhead	dickhead	anger	0.824
livid	အရမ်းဒေါသထွက်သွားတယ်	anger	0.821
madman	အရူး	anger	0.820
vindictive	လကျစားခတြေတျသော	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ရက်စက်သော	anger	0.818
venomous	အဆိပ်အပြင်း	anger	0.818
threaten	ခြိမ်းခြောက်	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	အကြမ်းဖက်	anger	0.818
abhor	ရွံရှာ	anger	0.816
savage	ရိုင်းသော	anger	0.814
atrocity	ယုတ်မာသောလုပ်ရပ်များ	anger	0.814
carnage	ရက်စက်စွာသတ်ဖြတ်ခြင်း	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	အလွဲသုံးစားမှု	anger	0.812
tyrant	အာဏာရှင်	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	စိတ်ဆိုးသည်	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ပြင်းထန်သော	anger	0.812
destroyer	အရံစစ်သငေ်္ဘာ	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	ရိုင်းစိုင်းသော	anger	0.812
anger	အမျက်ဒေါသ	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	Slam	anger	0.803
fights	တိုက်ပွဲတွေလည်း	anger	0.803
punched	လက်သီးဖြင့်ထိုးနှက်	anger	0.803
bitch	ခှေးမ	anger	0.803
punching	လာကြတယ်	anger	0.803
homicide	လူသတ်သမား	anger	0.803
destructive	ဖျက်ဆီးတတ်သော	anger	0.797
ruthless	ရက်စက်သော	anger	0.797
villainous	villain	anger	0.797
slap	ရိုက်ပုတ်	anger	0.791
slaughterhouse	slaughterhouse	anger	0.788
punishing	ဒဏျခတျ	anger	0.788
destroyed	ဖျက်ဆီးပစ်	anger	0.788
retaliatory	လက်တုံ့ပြန်	anger	0.788
riot	ပုန်ကန်	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	အော်ဟစ်	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	diabolical	anger	0.788
manslaughter	လူသတ်မှု	anger	0.783
clash	တိုက်ခိုက်	anger	0.783
bloody	သှေးပါသော	anger	0.781
hellish	မခွဲခြားခြင်း	anger	0.781
loath	ရွံမုန်းတဲ့	anger	0.781
detonation	detonation	anger	0.781
quarrel	ရန်ဖြစ်	anger	0.781
sinister	ဆိုးညစ်ယုတ်မာတဲ့	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	စွပ်စွဲ	anger	0.779
treacherous	သစ္စာပျက်သော	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ကလဲ့စားချေ	anger	0.773
revulsion	ခံစားချက်များကို	anger	0.773
madder	madder	anger	0.773
horrific	ကြောက်မက်ဖွယ်	anger	0.773
scorn	ကဲ့ရဲ့ခြင်း	anger	0.769
deplorable	deplorable	anger	0.766
bomb	ဗုံး	anger	0.766
anarchist	မင်းမဲ့စရိုက်	anger	0.765
devastation	ပျက်စီးမှုများ	anger	0.765
resent	ဒေါသကြီး	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	ရွံရှာဘွယ်ကောင်းသော	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ရက်စက်သော	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	သေစေနိုင်သော	anger	0.758
smash	ခခြှေဲ	anger	0.758
rant	rant	anger	0.758
outburst	ပေါကျကှဲခွငျး	anger	0.757
snarl	snarl	anger	0.754
profane	အဓမ္မ	anger	0.750
offend	စိတ်ထိခိုက်စေ	anger	0.750
douchebags	douchebags	anger	0.750
growling	မာန်ဖီ	anger	0.750
stfu	stfu	anger	0.750
vulgarity	ရိုင်းသော	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	တပ်	anger	0.750
despise	ရွံရှာ	anger	0.750
horror	ကွောကျလနျ့ခွငျး	anger	0.750
aggravating	တိုး။ လေးစေသော	anger	0.750
revolting	တော်လှန်ရေး	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ခြိမ်းခြောက်မှု	anger	0.742
erupt	ပေါ်ထွက်လာ	anger	0.742
screaming	အော်ဟစ်	anger	0.742
violence	အကြမ်းဖက်မှုများ	anger	0.742
horrible	ကွောကျစရာကောငျးလှသော	anger	0.742
molestation	ဗလက္	anger	0.742
bastards	bastards	anger	0.741
revenge	လကျစားခခြွေငျး	anger	0.738
catastrophe	ကပ်ဘေးဒုက္ခ	anger	0.735
menacing	ဆိုထားပါသည်	anger	0.735
demon	နတ်ဆိုး	anger	0.735
crushing	ကြိတ်ခွဲ	anger	0.735
damn	သေတာပဲ	anger	0.735
persecute	ညှဉ်းပန်း	anger	0.734
argue	ဆငျခွေကနျ	anger	0.734
flog	flog	anger	0.734
revolt	တော်လှန်ရေး	anger	0.734
thrash	အနိုင်ယူပြီးလက်ကျန်	anger	0.734
deplore	deplore	anger	0.734
warfare	စစ်ဆင်ရေး	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	အလှနျပူ	anger	0.734
riotous	ကြူး	anger	0.734
altercation	ခိုက်ရန်ဖြစ်ပွါးမှုကို	anger	0.729
warlike	warlike	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	စိတ်ရင်း	anger	0.727
castrate	သင်း	anger	0.727
sabotage	လြှို့ဝှကျလုပျကွံမှု	anger	0.727
malevolent	malevolent	anger	0.721
strike	သပိတ်	anger	0.721
disaster	ဘေးအန္တရာယ်	anger	0.721
disastrous	ဒုက္ခကြီးစွာရောက်သော	anger	0.720
tumult	အသံဗလံ	anger	0.719
madden	Madden	anger	0.719
devil	နတ်ဆိုး	anger	0.719
scream	အော်ဟစ်	anger	0.719
brutal	ကြမ်းကြုတ်သော	anger	0.719
treachery	သစ္စာဖောက်	anger	0.719
scorching	လောင်သော	anger	0.719
vermin	vermin	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	တိုး။ လေးစေသော	anger	0.719
spiteful	ရန်ငြိုးထားသော	anger	0.719
slay	ကွပ်မျက်	anger	0.719
disdain	အထင်အမြင်သေး	anger	0.719
choke	နင်စေ	anger	0.719
bastarding	bastarding	anger	0.719
mangle	အစိတ်အပိုင်းများ	anger	0.714
anarchism	မင်းမဲ့ဝါဒ	anger	0.714
mutilation	ဖြတ်တောက်မှု	anger	0.714
criminal	ရာဇဝတ်ကောင်	anger	0.714
denunciation	ကျြ	anger	0.713
punch	လာကြတယ်	anger	0.713
crucifixion	ကားစင်တင်	anger	0.712
virulence	အငြိုးတကြီးနဲ့	anger	0.712
battled	တိုက်ပွဲတွေ	anger	0.712
fatal	မလှမရှောငျနိုငျသော	anger	0.712
holocaust	မီးရှို့	anger	0.712
blasphemous	စော်ကား	anger	0.712
hurting	နာကျင်	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	ရက်စက်စွာ	anger	0.706
evil	ဆိုးသော	anger	0.706
irritated	စိတ်ဆိုး	anger	0.706
assassin	ခြောငျးမွောငျးသတျဖွတျသူ	anger	0.703
dicks	Dick	anger	0.703
persecution	နှိပ်စက်ညှဉ်းပန်း	anger	0.703
slayer	လူသတ်လက်သို့အပ်	anger	0.703
kidnap	ပွနျပေးဆှဲ	anger	0.703
scolding	ကျိန်ဆဲ	anger	0.703
intimidation	ခြောကျလှနျ့ခွငျး	anger	0.703
aggravated	ပိုမိုဆိုးရှား	anger	0.703
aggression	ကြူးကျြောမှု	anger	0.702
armed	လက်နက်ပါ	anger	0.700
poison	အဆိပ်	anger	0.697
snarling	snarling	anger	0.697
venom	အဆိပ်	anger	0.697
battle	စစ်တိုက်ခြင်း	anger	0.697
disgruntled	disgruntled	anger	0.693
insidious	Insidious	anger	0.691
assailant	assailant	anger	0.691
resentment	ဒေါသမာန်ထခြင်း	anger	0.691
lynch	Lynch	anger	0.690
contemptuous	ထီလေးစားပြုသော	anger	0.690
temper	သဘောထား	anger	0.688
imprisonment	ထောင်ချခြင်း	anger	0.688
disparage	ကဲ့ရဲ့ရှု	anger	0.688
bully	အနိုင်ကျင့်	anger	0.688
terrible	ကြောက်မက်ဘွယ်သော	anger	0.688
lunatic	ရူးရူး	anger	0.688
curse	ကျိန်စာ	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	လွှမ်းမိုးမှုကို	anger	0.688
mad	ရူးသွပ်သော	anger	0.688
infanticide	ကလေး	anger	0.688
volatility	မတည်ငြိမ်မှု	anger	0.687
eradication	ပပျောက်ရေး	anger	0.685
tantrum	ဝုန်းဒိုင်းကြဲ	anger	0.682
devastate	လုယက်ဖျက်ဆီး	anger	0.682
eradicate	ပပျောက်ရေး	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	မှထုတ်ပြန်သော	anger	0.680
agitation	လှုံ့ဆော်မှု	anger	0.680
dictatorship	အာဏာရှင်စနစ်	anger	0.676
irritates	Irritable	anger	0.676
profanity	အယုတ္တအနတ္တ	anger	0.673
egregious	ကွာဟ	anger	0.672
expletive	expletive	anger	0.672
nasty	စက်ဆုတ်ဘွယ်ဖြစ်သော	anger	0.672
shove	တွန်းထိုး	anger	0.672
shot	ပစ်ခတ်ခြင်း	anger	0.672
harmful	အန္တရာယ်ဖြစ်နိုင်	anger	0.672
aggravation	တိုး။ လေးစေခြင်း	anger	0.672
contempt	မထီမဲ့မြင်	anger	0.672
poisonous	အဆိပ်အတောက်ဖြစ်သော	anger	0.672
dastardly	dastardly	anger	0.672
shoot	ပစ်ခတ်	anger	0.672
corrupting	မကောင်းတဲ့	anger	0.672
condemnation	အပြစ်တင်ချက်	anger	0.672
wreak	ပါသညျ	anger	0.672
crushed	နှိပ်စက်ခြင်းကိုခံရ	anger	0.672
cruelly	အထပ်ထပ်	anger	0.672
crime	ရာဇဝတ်မှု	anger	0.672
maniac	အရူး	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ပေါ်ထွက်လာခြင်း	anger	0.667
odious	ဆိုးတပါး	anger	0.667
shooting	သေနတ်ပစ်	anger	0.667
kick	ကန်	anger	0.667
aggressive	ကြူးကျြောသော	anger	0.667
combat	တိုကျပှဲ	anger	0.667
shout	အော်	anger	0.667
hit	ထိုး	anger	0.667
fight	တိုကျပှဲ	anger	0.667
cutthroat	ကပ်တရုပ်တေးဂီတ	anger	0.667
enemy	ရန်သူ	anger	0.667
irritable	စိတ်ထွက်လွယ်သော	anger	0.667
punished	အပြစ်ပေး	anger	0.662
ambush	တပ်ပုန်းထား	anger	0.661
yell	အော်ဟစ်	anger	0.661
harass	မောပန်းစေ	anger	0.659
malignant	ရန်ငြိုးထားသော	anger	0.656
aggressor	ကြူးကျြောသူ	anger	0.656
antichrist	အန္တိခရစ်	anger	0.656
gore	သှေးထှကျသံယို	anger	0.656
incense	နံ့သာပေါင်းကို	anger	0.656
expel	ထုတ်ပယ်	anger	0.656
destruction	ဖျက်ဆီးခြင်း	anger	0.656
grudge	အာဃာတ	anger	0.656
cranky	cranky	anger	0.653
offended	စေတနာစိတ်ပျက်	anger	0.652
spank	ရိုက်တာ	anger	0.652
growl	ဟိန်းသံ	anger	0.652
insurrection	ပုန်ကန်	anger	0.652
reprisal	လက်တုံ့ပြန်လည်ယူခြင်း	anger	0.652
slave	ကျွန်	anger	0.652
denounce	အပစ်တင်	anger	0.652
animosity	အမျက်ထွက်ခြင်း	anger	0.652
insulting	စော်ကားချက်ပါသော	anger	0.652
clashing	အဲဒီလိုရှုပ်ရှက်ခတ်	anger	0.652
growls	ဟိန်းသံ	anger	0.649
executioner	အာဏာ	anger	0.644
twat	twat	anger	0.644
doomsday	ကမ္ဘာပျက်	anger	0.643
daemon	daemons	anger	0.641
obscenity	ညစ်ညမ်းမှု	anger	0.641
bombard	တရ	anger	0.641
spat	အငြင်းပွားမှု	anger	0.641
havoc	ဖျက်ဆီးပယ်ရှားခြင်း	anger	0.641
feud	ရန်ငြိုးထားခြင်း	anger	0.641
grr	grr	anger	0.641
arson	မီးရှို့ခွငျး	anger	0.641
reprimand	ပြစ်တင်ကြိမ်းမောင်းစကား	anger	0.641
expulsion	ထုတ်ပယ်ခြင်း	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	တရားခံ	anger	0.641
indignant	ဒေါသ	anger	0.641
shackle	ခြေချင်း	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ဒဏ်ရာ	anger	0.636
suicidal	သတ်သေ	anger	0.636
poisoned	အဆိပ်သင့်	anger	0.636
batter	Battery ကို	anger	0.636
kicking	ကန်	anger	0.636
hanging	ဆွဲထား	anger	0.636
spanking	ရိုက်တာ	anger	0.636
disgusting	စက်ဆုတ်ဘွယ်ဖြစ်သော	anger	0.636
combatant	တိုက်ခိုက်ရေး	anger	0.636
frustrated	စိတ်ပျက်	anger	0.636
anarchy	မင်းမဲ့ဖြစ်ခြင်း	anger	0.636
glaring	ထင်ရှားတဲ့	anger	0.636
inflict	ကျရောက်စေ	anger	0.633
wrecked	ပျက်စီး	anger	0.633
grievous	ကြမ်းတမ်းသော	anger	0.632
prosecute	အမှုစှဲဆို	anger	0.630
agitated	တုန်	anger	0.630
cheat	လိမ်လည်	anger	0.630
swastika	swastika	anger	0.627
defamatory	အသေရေဖျက်	anger	0.625
suffocation	ညှစ်သတ်ခြင်း	anger	0.625
strife	ခိုက်ရန်	anger	0.625
provocation	ဒေါသသည်	anger	0.625
injure	နာကျင်စေ	anger	0.625
harassing	နှောင့်ယှက်	anger	0.625
scourge	ဘေး	anger	0.625
cursing	ကျိန်ဆဲ	anger	0.625
betray	သစ္စာဖေါက်	anger	0.625
indict	အပွစျစှဲဆို	anger	0.625
raid	ဝင်. တိုက်ခိုက်	anger	0.625
thundering	အသံ	anger	0.625
enslaved	ကျွန်ခံရ	anger	0.625
arsehole	arsehole	anger	0.624
insane	စိတ်မကောင်းသော	anger	0.621
fiend	fiend	anger	0.621
irritate	နာကျင်စေ	anger	0.621
convict	အပြစ်ဒဏ်ပေး	anger	0.621
jerk	လူရှုပ်	anger	0.621
theft	ခိုးမှု	anger	0.621
retaliation	အပြစ်ဒဏ်	anger	0.621
deprivation	ဆင်းရဲချို့တဲ့	anger	0.621
cussed	cussed	anger	0.619
turmoil	ပွငျးစှာနှောငျ့ယှကျခွငျး	anger	0.618
smack	ဖြစ်မှာပါ	anger	0.615
retribution	အပြစ်ဒဏ်	anger	0.614
twats	twats	anger	0.609
intolerable	သည်းမခံနိုင်သော	anger	0.609
rebellion	တော်လှန်ရေး	anger	0.609
injurious	မကောငျးသော	anger	0.609
oppressor	ညှဉ်းဆဲတတ်သော	anger	0.609
slavery	ကျွန်ခံနေရာ	anger	0.609
irritability	စိတ်တိုတာတွေ	anger	0.609
collision	ထိခိုက်ခြင်း	anger	0.609
bitterly	ပြင်းစွာ	anger	0.609
gang	အစု	anger	0.609
antagonism	ဆန့်ကျင်ဘက်ဖြစ်ခြင်း	anger	0.609
battery	ဘက်ထရီ	anger	0.609
adverse	ဆန့်ကျင့်ဘက်ဖြစ်သော	anger	0.609
disgraced	မျက်နှာပျက်ခြင်းရှိကြ	anger	0.608
irritating	နာကျင်ကျိန်းစပ်	anger	0.606
revolution	တော်လှန်ရေး	anger	0.606
thug	လူရမ်းကား	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardments	anger	0.606
blast	ပေါက်ကွဲမှု	anger	0.606
irks	တော်တော်စိတ်ညစ်စရာ	anger	0.606
sickening	ဆီးရီးယားနဲ့အစ်စ	anger	0.606
discrimination	ခွဲခြားဆက်ဆံခံရမှု	anger	0.606
antagonistic	ရန်	anger	0.606
ranting	ranting	anger	0.606
asshole	သေနာကောင်	anger	0.606
frustrate	ပျက်ယွင်းစေ	anger	0.604
manipulation	ခြယ်လှယ်	anger	0.603
tension	တင်းမာမှု	anger	0.603
insult	စော်ကား	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ဘေးအန္တရာယ်ရှိသော	anger	0.603
oppression	ဖိနှိပ်မှု	anger	0.603
disgust	စက်ဆုတ်ခြင်း	anger	0.602
spite	ကြားမှ	anger	0.600
intrusive	ကျူးကျော်ဝင်ရောက်လာသော	anger	0.598
harshness	ကွမျးတမျး	anger	0.597
slur	အမှတ်အသား	anger	0.596
wretch	ငြိုငြင်	anger	0.594
inferno	ငရဲမီး	anger	0.594
invasion	ဝင်ရောက်စွက်ဖက်မှု	anger	0.594
puncture	ထိုးဖေါက်ခြင်း	anger	0.594
miserable	စိတ်ဒုက္ခရောက်သော	anger	0.594
assail	assail	anger	0.594
storming	ဝင်တိုက်	anger	0.594
casualty	ဒဏ်ရာရသူ	anger	0.594
bitterness	အခါး	anger	0.594
morbidity	ရောဂါ	anger	0.594
tempest	မိုဃ်းသက်မုန်တိုင်း	anger	0.594
consternation	consternation	anger	0.592
depraved	ငျြ့ပ	anger	0.591
raving	raving	anger	0.591
guillotine	guillotine	anger	0.591
guilty	အပြစ်ရှိသော	anger	0.591
immoral	အကျင့်ပျက်	anger	0.591
forcibly	အတင်းအကြပ်	anger	0.591
overpowering	overpowering	anger	0.591
accursed	ကျိန်	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	ကြူးကျြောသူ	anger	0.588
scare	ခြောကျလှနျ့	anger	0.588
screwed	လွဲချော်သွားတာ	anger	0.588
indignation	အမျက်	anger	0.587
jealousy	မနာလိုမှု	anger	0.587
vexed	ညှင်းဆဲ	anger	0.586
confront	ထိပ်တိုက်ရင်ဆိုင်	anger	0.582
brute	brute	anger	0.581
throttle	အခိုးအငှေ့ညှိရာကိရိယာ	anger	0.579
wreck	ချုံးချုံးကျသွားတယ်	anger	0.578
revolver	ခြောက်လုံးပြူး	anger	0.578
slut	slut	anger	0.578
yousuck	အသုံးမကျဘူး	anger	0.578
damage	ပျက်စီးဆုံးရှုံးမှု	anger	0.578
butcher	အသားရောင်းသူ	anger	0.578
conflict	ပဋိပက္ခ	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	မှု	anger	0.578
bickering	ငြင်းခုံမှုမရှိသလောက်	anger	0.578
pillage	လု ယူ.	anger	0.578
blaze	မီးလောင်	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	အောင်မြင်ခြင်း	anger	0.578
contentious	အငြင်းပွားဖွယ်	anger	0.578
incarceration	ထောင်ချခြင်း	anger	0.578
defiant	ခိုင်မာသောစိတ်သဘော	anger	0.578
provoking	စားစရာ	anger	0.578
lash	မျက်တောင်	anger	0.578
cancer	ကင်ဆာ	anger	0.577
frustration	ပျက်ယွင်းစေခြင်း	anger	0.576
gory	gory	anger	0.576
alienation	လွှဲပေးခြင်း	anger	0.576
discord	စိတ်တိုးပွား	anger	0.576
disturbance	မှေနှောကျခွငျး	anger	0.576
grope	စမ်းသပ်	anger	0.576
condescension	condescension	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	ဘုရားတရားပြစ်မှားခြင်း	anger	0.576
discriminate	ပိုင်းခြား	anger	0.576
chaotic	ကမောက်ကမဖြစ်သော	anger	0.576
gun	အမွောကျ	anger	0.576
standoff	လူကြိုက်များ	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	ဖိနှိပ်ချုပ်ချယ်	anger	0.574
death	သေဆုံးခြင်း	anger	0.574
jab	ထိုး	anger	0.574
cursed	ကိုကျိန်ဆဲ	anger	0.574
scandalous	ရှုတျခပြွောဆိုခွငျး	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	Shit	anger	0.573
disparaging	အဆိုးကိုအဆိုး	anger	0.571
slash	မျဉ်းစောင်း	anger	0.571
unfair	မတရားသော	anger	0.571
gallows	လည်ဆွဲချတိုင်	anger	0.570
escalate	ပြင်းထန်စေ	anger	0.569
intolerant	သည်းမခံသော	anger	0.564
lawlessness	မတရားမှုကို	anger	0.563
bluddy	bluddy	anger	0.562
perdition	ဖျက်ဆီးခြင်း	anger	0.562
taunt	ကဲ့ရဲ့	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	တော်ပီဒို	anger	0.562
deceived	လှည့်ဖြား	anger	0.562
slander	အတင်းစကား	anger	0.562
retards	နှောင့်နှေး	anger	0.562
bearish	bearish	anger	0.562
invade	ဝင်ရောက်စွက်ဖက်	anger	0.562
bellows	ဖို	anger	0.562
beast	သားရဲ၏	anger	0.562
frightful	ကွော	anger	0.562
derogatory	ထောင်ချီ	anger	0.562
glare	တောက်ပခြင်း	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ကြောက်မက်ဘွယ်သော	anger	0.562
traitor	သစ္စဖေါက်	anger	0.562
malign	ရန်ငြိုးထားသော	anger	0.562
wrangling	wrangling	anger	0.562
dissension	စိတျဝမျးကှဲ	anger	0.561
banshee	Banshees	anger	0.561
shatter	အစိတျအစိတျခှဲ	anger	0.561
conflagration	မီး	anger	0.561
jeopardize	ထိခိုက်	anger	0.561
thief	သူခိုး	anger	0.561
rave	စည်းချက်မြန်အီလက်ထရွန်နစ်	anger	0.561
grating	ဆန်ခါ	anger	0.561
devastating	ကြီးကျယ်သော	anger	0.561
idiots	Idiots	anger	0.561
betrayal	သစ္စာဖေါက်မှု	anger	0.561
uncontrollable	မချုပ်တည်းနိုင်သော	anger	0.561
fits	ကိုက်ညီတဲ့	anger	0.561
cross	လက်ဝါးကပ်တိုင်	anger	0.561
hurt	နာကျင်စေ	anger	0.561
disturbed	ပြီးစိတ်ပျက်	anger	0.559
subjugation	လက်အောက်ခံ	anger	0.559
stomped	တက်နင်း	anger	0.557
grab	ဆုပ်ကိုင်	anger	0.557
ticked	အမှန်ခြစ်	anger	0.556
masochism	masochism	anger	0.556
grievance	စိတ်နာကြည်းခြင်း	anger	0.556
defiance	တော်လှန်ခြင်း	anger	0.552
blackmail	ခွိမျးခြောကျ။ ကွေးငှေတောငျးယူး	anger	0.550
offensive	ထိုးစစ်ဆင်သော	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ခြိုးဖောကျ	anger	0.547
punishment	ပြစ်ဒဏ်	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	darkside	anger	0.547
misery	စိတ်ဒုက္ခ	anger	0.547
