word	Catalan-ca	emotion	emotion-intensity-score
strangle	estrangular	anger	0.859
tirade	tirade	anger	0.859
explode	explotar	anger	0.859
assassination	assassinat	anger	0.859
hostility	hostilitat	anger	0.859
loathsome	desconcertant	anger	0.857
hell	infern	anger	0.853
murderous	assassí	anger	0.853
attack	atac	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	terrorisme	anger	0.851
beating	batre	anger	0.849
desecration	profanació	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	indignació	anger	0.848
stab	apunyalar	anger	0.844
slaughter	matança	anger	0.844
violent	violent	anger	0.844
destroying	destruint	anger	0.844
abomination	abominació	anger	0.844
tumultuous	tumultuós	anger	0.844
irate	irate	anger	0.844
infuriate	enfuriar-se	anger	0.844
obliterate	esborrar	anger	0.843
belligerent	bel·ligerant	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	hostilitats	anger	0.837
prick	picar	anger	0.835
torture	tortura	anger	0.833
rabid	rabiós	anger	0.833
horrid	horrible	anger	0.833
rampage	enrenou	anger	0.833
cruelty	crueltat	anger	0.833
hate	odi	anger	0.828
demonic	demoníac	anger	0.828
hating	odiar	anger	0.828
satanic	satànic	anger	0.828
tyrannical	tiràniques	anger	0.828
ragemode	ragemode	anger	0.828
despicable	despreciable	anger	0.828
ruinous	ruïnós	anger	0.825
condemn	condemnar	anger	0.825
riots	motins	anger	0.824
demolish	demolir	anger	0.824
angry	enutjat	anger	0.824
extermination	extermini	anger	0.824
dickhead	dickhead	anger	0.824
livid	líquid	anger	0.821
madman	boig	anger	0.820
vindictive	venjatiu	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ferocitat	anger	0.818
venomous	venenoso	anger	0.818
threaten	amenaça	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorista	anger	0.818
abhor	abhor	anger	0.816
savage	salvatge	anger	0.814
atrocity	atrocitat	anger	0.814
carnage	carnisseria	anger	0.814
berserk	boig	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	abús	anger	0.812
tyrant	tirà	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	emprenyat	anger	0.812
vendetta	vendetta	anger	0.812
fierce	ferotge	anger	0.812
destroyer	destructor	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fumant	anger	0.812
barbaric	bàrbar	anger	0.812
anger	ràbia	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	slam	anger	0.803
fights	lluites	anger	0.803
punched	perforat	anger	0.803
bitch	puta	anger	0.803
punching	punxonament	anger	0.803
homicide	homicidi	anger	0.803
destructive	destructiu	anger	0.797
ruthless	cruel	anger	0.797
villainous	vilà	anger	0.797
slap	boig	anger	0.791
slaughterhouse	escorxador	anger	0.788
punishing	castigar	anger	0.788
destroyed	destruït	anger	0.788
retaliatory	represàlia	anger	0.788
riot	motí	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	cridant	anger	0.788
growthefuckup	créixer-se	anger	0.788
diabolical	diabòlic	anger	0.788
manslaughter	homicidi	anger	0.783
clash	xoc	anger	0.783
bloody	sagnant	anger	0.781
hellish	infernal	anger	0.781
loath	repugnància	anger	0.781
detonation	detonació	anger	0.781
quarrel	baralla	anger	0.781
sinister	sinistre	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	acusant	anger	0.779
treacherous	traïdor	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	prendre represàlies	anger	0.773
revulsion	repulsió	anger	0.773
madder	madder	anger	0.773
horrific	horrible	anger	0.773
scorn	menyspreu	anger	0.769
deplorable	deplorable	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarquista	anger	0.765
devastation	devastació	anger	0.765
resent	ressentir	anger	0.765
firestorm	tempesta de tempesta	anger	0.765
contemptible	despreciable	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	cruel	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	mortal	anger	0.758
smash	aixafar	anger	0.758
rant	esclat	anger	0.758
outburst	explosió	anger	0.757
snarl	ronca	anger	0.754
profane	profà	anger	0.750
offend	ofendre	anger	0.750
douchebags	douchebags	anger	0.750
growling	rosegant	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgaritat	anger	0.750
dontmesswithme	no importam mai	anger	0.750
crazed	embogit	anger	0.750
despise	menysprear	anger	0.750
horror	horror	anger	0.750
aggravating	agreujant	anger	0.750
revolting	revoltant	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	amenaça	anger	0.742
erupt	esclatar	anger	0.742
screaming	cridant	anger	0.742
violence	violència	anger	0.742
horrible	horrible	anger	0.742
molestation	molestation	anger	0.742
bastards	bastards	anger	0.741
revenge	venjança	anger	0.738
catastrophe	catàstrofe	anger	0.735
menacing	amenaçador	anger	0.735
demon	dimoni	anger	0.735
crushing	aixafament	anger	0.735
damn	maleïda	anger	0.735
persecute	perseguir	anger	0.734
argue	argumentar	anger	0.734
flog	flog	anger	0.734
revolt	revolta	anger	0.734
thrash	thrash	anger	0.734
deplore	deplorar	anger	0.734
warfare	guerra	anger	0.734
fedup	alimentació	anger	0.734
vehement	vehement	anger	0.734
riotous	molest	anger	0.734
altercation	altercació	anger	0.729
warlike	guerrer	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	mutiny	anger	0.727
castrate	castrar	anger	0.727
sabotage	sabotatge	anger	0.727
malevolent	malevolent	anger	0.721
strike	colpejar	anger	0.721
disaster	desastre	anger	0.721
disastrous	desastrós	anger	0.720
tumult	tumult	anger	0.719
madden	boig	anger	0.719
devil	diable	anger	0.719
scream	crit	anger	0.719
brutal	brutal	anger	0.719
treachery	traïció	anger	0.719
scorching	escumejant	anger	0.719
vermin	vermí	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horsehit	anger	0.719
aggravates	s'agreuja	anger	0.719
spiteful	lamentable	anger	0.719
slay	matar	anger	0.719
disdain	menyspreu	anger	0.719
choke	sufocar	anger	0.719
bastarding	Bastarding	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarquisme	anger	0.714
mutilation	mutilació	anger	0.714
criminal	criminal	anger	0.714
denunciation	denúncia	anger	0.713
punch	punxó	anger	0.713
crucifixion	crucifixió	anger	0.712
virulence	virulència	anger	0.712
battled	lluitat	anger	0.712
fatal	mortal	anger	0.712
holocaust	holocaust	anger	0.712
blasphemous	blasfem	anger	0.712
hurting	fer mal	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	deranged	anger	0.706
atrocious	atroç	anger	0.706
evil	dolent	anger	0.706
irritated	irritat	anger	0.706
assassin	assassí	anger	0.703
dicks	polles	anger	0.703
persecution	persecució	anger	0.703
slayer	assassí	anger	0.703
kidnap	segrestar	anger	0.703
scolding	rega	anger	0.703
intimidation	intimidació	anger	0.703
aggravated	agreujat	anger	0.703
aggression	agressió	anger	0.702
armed	armat	anger	0.700
poison	verí	anger	0.697
snarling	roncant	anger	0.697
venom	verí	anger	0.697
battle	batalla	anger	0.697
disgruntled	descontent	anger	0.693
insidious	insidiosa	anger	0.691
assailant	assaltant	anger	0.691
resentment	ressentiment	anger	0.691
lynch	linxar	anger	0.690
contemptuous	despectiu	anger	0.690
temper	temperament	anger	0.688
imprisonment	empresonament	anger	0.688
disparage	disparage	anger	0.688
bully	intimidació	anger	0.688
terrible	terrible	anger	0.688
lunatic	lunàtic	anger	0.688
curse	maledicció	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	dominació	anger	0.688
mad	boig	anger	0.688
infanticide	infanticidi	anger	0.688
volatility	volatilitat	anger	0.687
eradication	eradicació	anger	0.685
tantrum	birra	anger	0.682
devastate	devastar	anger	0.682
eradicate	eradicar	anger	0.682
scoundrel	canalla	anger	0.682
aggressively	agressivament	anger	0.680
agitation	agitació	anger	0.680
dictatorship	dictadura	anger	0.676
irritates	irrita	anger	0.676
profanity	profanitat	anger	0.673
egregious	exagerat	anger	0.672
expletive	expletiu	anger	0.672
nasty	desagradable	anger	0.672
shove	empènyer	anger	0.672
shot	tir	anger	0.672
harmful	perjudicial	anger	0.672
aggravation	agreujament	anger	0.672
contempt	menyspreu	anger	0.672
poisonous	verinós	anger	0.672
dastardly	dastardly	anger	0.672
shoot	disparar	anger	0.672
corrupting	corrompido	anger	0.672
condemnation	condemna	anger	0.672
wreak	provoca	anger	0.672
crushed	aixafat	anger	0.672
cruelly	cruelmente	anger	0.672
crime	crim	anger	0.672
maniac	maníac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	erupció	anger	0.667
odious	odiós	anger	0.667
shooting	tirar	anger	0.667
kick	patada	anger	0.667
aggressive	agressiu	anger	0.667
combat	combat	anger	0.667
shout	crit	anger	0.667
hit	colpejar	anger	0.667
fight	lluitar	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	enemic	anger	0.667
irritable	irritable	anger	0.667
punished	castigat	anger	0.662
ambush	emboscada	anger	0.661
yell	grit	anger	0.661
harass	assetjar	anger	0.659
malignant	maligne	anger	0.656
aggressor	agressor	anger	0.656
antichrist	anticristo	anger	0.656
gore	gore	anger	0.656
incense	encens	anger	0.656
expel	expulsar	anger	0.656
destruction	destrucció	anger	0.656
grudge	rencor	anger	0.656
cranky	cruixent	anger	0.653
offended	ofès	anger	0.652
spank	assotar	anger	0.652
growl	créixer	anger	0.652
insurrection	insurrecció	anger	0.652
reprisal	represàlia	anger	0.652
slave	esclau	anger	0.652
denounce	denunciar	anger	0.652
animosity	animositat	anger	0.652
insulting	insultant	anger	0.652
clashing	xocant	anger	0.652
growls	rosegades	anger	0.649
executioner	botxí	anger	0.644
twat	twat	anger	0.644
doomsday	dia del final del judici	anger	0.643
daemon	dimoni	anger	0.641
obscenity	obscenitat	anger	0.641
bombard	bombard	anger	0.641
spat	escopir	anger	0.641
havoc	estralls	anger	0.641
feud	disputa	anger	0.641
grr	Grr	anger	0.641
arson	incendi	anger	0.641
reprimand	reprimenda	anger	0.641
expulsion	expulsió	anger	0.641
inexcusable	inexcusable	anger	0.641
accused	acusat	anger	0.641
indignant	indignat	anger	0.641
shackle	grillons	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ferida	anger	0.636
suicidal	suïcida	anger	0.636
poisoned	enverinat	anger	0.636
batter	batedor	anger	0.636
kicking	puntades	anger	0.636
hanging	penjant	anger	0.636
spanking	spanking	anger	0.636
disgusting	desagradable	anger	0.636
combatant	combatent	anger	0.636
frustrated	frustrat	anger	0.636
anarchy	anarquia	anger	0.636
glaring	boig	anger	0.636
inflict	infligir	anger	0.633
wrecked	destrossat	anger	0.633
grievous	dolent	anger	0.632
prosecute	perseguir	anger	0.630
agitated	agitat	anger	0.630
cheat	enganyar	anger	0.630
swastika	esvàstica	anger	0.627
defamatory	difamatori	anger	0.625
suffocation	asfíxia	anger	0.625
strife	lluita	anger	0.625
provocation	provocació	anger	0.625
injure	ferir	anger	0.625
harassing	assetjament	anger	0.625
scourge	plaga	anger	0.625
cursing	maleït	anger	0.625
betray	trair	anger	0.625
indict	acusació	anger	0.625
raid	incursió	anger	0.625
thundering	fulminant	anger	0.625
enslaved	esclau	anger	0.625
arsehole	arsehole	anger	0.624
insane	boig	anger	0.621
fiend	fiend	anger	0.621
irritate	irritar	anger	0.621
convict	condemnat	anger	0.621
jerk	estrèpit	anger	0.621
theft	robatori	anger	0.621
retaliation	represàlia	anger	0.621
deprivation	privació	anger	0.621
cussed	cussed	anger	0.619
turmoil	confusió	anger	0.618
smack	cop	anger	0.615
retribution	retribució	anger	0.614
twats	twats	anger	0.609
intolerable	intolerable	anger	0.609
rebellion	rebel·lió	anger	0.609
injurious	injuriosa	anger	0.609
oppressor	opressor	anger	0.609
slavery	esclavitud	anger	0.609
irritability	irritabilitat	anger	0.609
collision	col.lisió	anger	0.609
bitterly	amargament	anger	0.609
gang	colla	anger	0.609
antagonism	antagonisme	anger	0.609
battery	bateria	anger	0.609
adverse	advers	anger	0.609
disgraced	desgraciat	anger	0.608
irritating	irritant	anger	0.606
revolution	revolució	anger	0.606
thug	brètol	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardeig	anger	0.606
blast	explosió	anger	0.606
irks	irks	anger	0.606
sickening	malestar	anger	0.606
discrimination	discriminació	anger	0.606
antagonistic	antagonista	anger	0.606
ranting	desviació	anger	0.606
asshole	asshole	anger	0.606
frustrate	frustrar	anger	0.604
manipulation	manipulació	anger	0.603
tension	tensió	anger	0.603
insult	insult	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	perjudicial	anger	0.603
oppression	opressió	anger	0.603
disgust	disgustat	anger	0.602
spite	malgrat tot	anger	0.600
intrusive	intrusiu	anger	0.598
harshness	duresa	anger	0.597
slur	boig	anger	0.596
wretch	desgraciat	anger	0.594
inferno	inferno	anger	0.594
invasion	invasió	anger	0.594
puncture	punxada	anger	0.594
miserable	miserable	anger	0.594
assail	assail	anger	0.594
storming	tempestat	anger	0.594
casualty	víctima	anger	0.594
bitterness	amargor	anger	0.594
morbidity	morbiditat	anger	0.594
tempest	Tempesta	anger	0.594
consternation	consternació	anger	0.592
depraved	depravat	anger	0.591
raving	fastigós	anger	0.591
guillotine	guillotina	anger	0.591
guilty	culpable	anger	0.591
immoral	immoral	anger	0.591
forcibly	forçat	anger	0.591
overpowering	Overpowering	anger	0.591
accursed	maldestre	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	invasor	anger	0.588
scare	espantar	anger	0.588
screwed	cargolat	anger	0.588
indignation	indignació	anger	0.587
jealousy	gelosia	anger	0.587
vexed	molest	anger	0.586
confront	confrontar	anger	0.582
brute	brute	anger	0.581
throttle	accelerador	anger	0.579
wreck	naufragi	anger	0.578
revolver	revòlver	anger	0.578
slut	puta	anger	0.578
yousuck	Yousuck	anger	0.578
damage	dany	anger	0.578
butcher	carnisser	anger	0.578
conflict	conflicte	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminalitat	anger	0.578
bickering	discutint	anger	0.578
pillage	pillatge	anger	0.578
blaze	flames	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	cop d'estat	anger	0.578
contentious	controvertit	anger	0.578
incarceration	encarceració	anger	0.578
defiant	desafiant	anger	0.578
provoking	provocant	anger	0.578
lash	pestanya	anger	0.578
cancer	càncer	anger	0.577
frustration	frustració	anger	0.576
gory	gory	anger	0.576
alienation	alienació	anger	0.576
discord	discòrdia	anger	0.576
disturbance	pertorbació	anger	0.576
grope	estirar-se	anger	0.576
condescension	condescension	anger	0.576
pernicious	perniciosa	anger	0.576
blasphemy	blasfèmia	anger	0.576
discriminate	discriminar	anger	0.576
chaotic	caòtic	anger	0.576
gun	arma de foc	anger	0.576
standoff	estancament	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	espiar-se	anger	0.574
lunacy	ludeig	anger	0.574
oppressive	opressiu	anger	0.574
death	mort	anger	0.574
jab	jab	anger	0.574
cursed	Maleït	anger	0.574
scandalous	escandalós	anger	0.574
monstrosity	monstruositat	anger	0.574
shit	merda	anger	0.573
disparaging	despectiva	anger	0.571
slash	barra inclinada	anger	0.571
unfair	injust	anger	0.571
gallows	forca	anger	0.570
escalate	escalada	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	angoixa	anger	0.563
bluddy	confús	anger	0.562
perdition	perdició	anger	0.562
taunt	taunt	anger	0.562
grouchy	groc	anger	0.562
torpedo	torpede	anger	0.562
deceived	enganyat	anger	0.562
slander	calúmnia	anger	0.562
retards	retards	anger	0.562
bearish	baixista	anger	0.562
invade	envair	anger	0.562
bellows	fuelle	anger	0.562
beast	bèstia	anger	0.562
frightful	espantós	anger	0.562
derogatory	derogatori	anger	0.562
glare	resplendor	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	terrible	anger	0.562
traitor	traïdor	anger	0.562
malign	maligne	anger	0.562
wrangling	interferència	anger	0.562
dissension	dissensió	anger	0.561
banshee	Banshee	anger	0.561
shatter	fer miques	anger	0.561
conflagration	conflagració	anger	0.561
jeopardize	compromès	anger	0.561
thief	lladre	anger	0.561
rave	deliri	anger	0.561
grating	reixeta	anger	0.561
devastating	devastador	anger	0.561
idiots	idiotes	anger	0.561
betrayal	traïció	anger	0.561
uncontrollable	incontrolable	anger	0.561
fits	encaixa	anger	0.561
cross	creu	anger	0.561
hurt	ferit	anger	0.561
disturbed	pertorbat	anger	0.559
subjugation	submissió	anger	0.559
stomped	estroncat	anger	0.557
grab	agafar	anger	0.557
ticked	marcada	anger	0.556
masochism	masoquisme	anger	0.556
grievance	queixa	anger	0.556
defiance	desafiament	anger	0.552
blackmail	xantatge	anger	0.550
offensive	ofensiu	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	violació	anger	0.547
punishment	càstig	anger	0.547
shrill	estrident	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	costat fosc	anger	0.547
misery	misèria	anger	0.547
frustrates	frustra	anger	0.547
disgraceful	vergonyós	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	superació	anger	0.547
disparity	disparitat	anger	0.547
confine	confine	anger	0.547
firearms	armes de foc	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurd	anger	0.547
rebel	rebel	anger	0.547
deceive	enganyar	anger	0.547
stolen	robat	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	s'escalfa	anger	0.545
ruined	arruïnat	anger	0.545
menace	amenaça	anger	0.545
humiliate	humiliar	anger	0.545
tackle	abordar	anger	0.545
conspirator	conspirador	anger	0.545
foul	falta	anger	0.545
antagonist	antagonista	anger	0.545
resentful	ressentit	anger	0.545
prejudice	prejudici	anger	0.545
adversary	adversari	anger	0.545
argument	argument	anger	0.545
skirmish	escaramussa	anger	0.545
callous	callós	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	Enredat	anger	0.544
robbery	robatori	anger	0.544
sting	picada	anger	0.544
outcry	crit	anger	0.544
grumble	callar	anger	0.544
irreconcilable	irreconciliable	anger	0.543
resistance	resistència	anger	0.543
obstructive	obstructiva	anger	0.542
dismay	consternació	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	maldat	anger	0.536
ridicule	ridícul	anger	0.534
incendiary	incendiari	anger	0.533
flares	bengales	anger	0.532
degeneracy	degeneració	anger	0.531
confinement	confinament	anger	0.531
exacerbation	exacerbació	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	aixecament	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	imprudent	anger	0.531
unbridled	desenfrenat	anger	0.531
allegation	al · legació	anger	0.531
communism	comunisme	anger	0.531
whip	fuet	anger	0.531
intruder	intrús	anger	0.531
dispute	disputa	anger	0.531
belittle	menyspreu	anger	0.531
bigoted	granat	anger	0.530
offender	delinqüent	anger	0.530
hassle	molèsties	anger	0.530
dissonance	dissonància	anger	0.530
unjust	injust	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	injustificable	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversió	anger	0.530
tackled	abordat	anger	0.530
renegade	renegat	anger	0.529
hot	calenta	anger	0.529
prison	presó	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	transgressió	anger	0.529
suicide	suïcidi	anger	0.521
annoy	molestar	anger	0.520
leavemealone	Deixa'm sol	anger	0.517
idiotic	idiota	anger	0.516
distrust	desconfiança	anger	0.516
depravity	depravació	anger	0.516
cretins	cretins	anger	0.516
divorce	divorci	anger	0.516
broil	broil	anger	0.516
grrr	Grrr	anger	0.516
venting	ventilació	anger	0.516
inimical	inimical	anger	0.516
duress	molestia	anger	0.516
disrespectful	irrespectuosa	anger	0.516
tortious	tortuós	anger	0.516
criticize	criticar	anger	0.516
prisoner	pres	anger	0.516
dishonest	deshonest	anger	0.516
treason	traïció	anger	0.516
victimized	víctima	anger	0.515
bile	bilis	anger	0.515
unkind	desconsiderat	anger	0.515
unforgiving	implacable	anger	0.515
unleash	desencadenar	anger	0.515
coercion	coerció	anger	0.515
scold	escolta	anger	0.515
chaos	Chaos	anger	0.515
grump	grump	anger	0.515
roar	rugit	anger	0.515
jerks	ximples	anger	0.515
poaching	caça furtiva	anger	0.515
hangry	penjat	anger	0.515
pow	pow	anger	0.515
poachers	caçadors furtius	anger	0.515
argumentation	argumentació	anger	0.515
frustrating	frustrant	anger	0.515
tussle	impacte	anger	0.514
bane	bane	anger	0.511
accusation	acusació	anger	0.510
repudiation	repudi	anger	0.510
enmity	enemistat	anger	0.510
banish	desterrar	anger	0.509
disfigured	desfigurada	anger	0.508
storm	tempesta	anger	0.507
shun	rebuig	anger	0.500
suppression	supressió	anger	0.500
unruly	indisciplinat	anger	0.500
intractable	intractable	anger	0.500
ordeal	calvície	anger	0.500
obstruct	obstruir	anger	0.500
derogation	excepció	anger	0.500
fervor	fervor	anger	0.500
foaming	escuma	anger	0.500
derision	burla	anger	0.500
animus	animus	anger	0.500
rejects	rebutja	anger	0.500
bout	combat	anger	0.500
spear	llança	anger	0.500
crazy	boig	anger	0.500
brazen	descarat	anger	0.500
antithesis	antitesis	anger	0.500
injustice	injustícia	anger	0.500
banished	desterrat	anger	0.500
confined	confinat	anger	0.500
frenzied	frenètic	anger	0.500
dominate	dominar	anger	0.500
disrupting	interrompre	anger	0.500
hammering	martellejar	anger	0.500
fear	por	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angoixa	anger	0.500
brunt	pitjor	anger	0.500
possessed	posseït	anger	0.500
defy	desafiar	anger	0.500
scoff	burlar-se	anger	0.500
patronising	patronització	anger	0.500
delusional	delirant	anger	0.500
malpractice	negligència	anger	0.500
reject	rebutjar	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	duresa	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	bogeria	anger	0.491
sinful	pecaminós	anger	0.491
avarice	avarícia	anger	0.490
oppress	opressió	anger	0.490
disapproved	rebutjat	anger	0.485
inhuman	inhumans	anger	0.485
demand	demanda	anger	0.485
abolish	abolir	anger	0.485
anathema	anatema	anger	0.485
fricking	fricking	anger	0.485
complaint	queixa	anger	0.485
disservice	disservice	anger	0.485
smuggler	contrabandista	anger	0.485
revoke	revocar	anger	0.485
infraction	infracció	anger	0.485
claw	urpa	anger	0.485
dissident	dissident	anger	0.485
pervert	pervertit	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	desobedient	anger	0.485
usurp	Usurp	anger	0.485
alienate	alienar	anger	0.485
avenger	vengador	anger	0.485
annoyed	molest	anger	0.485
cutting	tall	anger	0.485
disgrace	desgràcia	anger	0.484
deceit	engany	anger	0.484
suspicious	sospitós	anger	0.484
thresh	trilla	anger	0.484
sucker	aixovador	anger	0.484
strained	tensió	anger	0.484
blame	culpa	anger	0.484
upheaval	trastorn	anger	0.484
renounce	renunciar	anger	0.484
obnoxious	desagradable	anger	0.484
restrain	refrenar	anger	0.484
oust	expulsió	anger	0.484
litigious	litigiosos	anger	0.484
rivalry	rivalitat	anger	0.484
penalty	penalització	anger	0.484
imprisoned	empresonat	anger	0.484
mocking	burlant	anger	0.484
opposed	oposat	anger	0.484
turbulence	turbulència	anger	0.483
pound	lliura	anger	0.481
coldness	fredor	anger	0.477
ungrateful	ingrat	anger	0.472
battalion	batalló	anger	0.471
stoopid	estopí	anger	0.471
hostage	ostatge	anger	0.470
infidel	infidel	anger	0.470
ram	Ram	anger	0.470
accuser	acusador	anger	0.470
gall	gall	anger	0.470
subversion	subversió	anger	0.470
annoying	molest	anger	0.470
adversity	adversitat	anger	0.470
dispossessed	desposseït	anger	0.470
friction	fricció	anger	0.470
jealous	gelós	anger	0.470
feudalism	feudalisme	anger	0.470
armament	armament	anger	0.470
thump	batec	anger	0.469
complain	queixar-se	anger	0.469
incite	incitar	anger	0.469
steal	robar	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	desobeir	anger	0.469
injury	ferida	anger	0.469
simmer	cuinar a foc lent	anger	0.469
distress	angoixa	anger	0.469
insanity	la bogeria	anger	0.469
selfish	egoista	anger	0.469
huff	huff	anger	0.469
selfishness	egoisme	anger	0.469
backoff	marxa enrere	anger	0.469
plunder	saqueig	anger	0.469
stifled	sofocada	anger	0.469
subversive	subversiu	anger	0.469
exile	exili	anger	0.469
offense	delicte	anger	0.469
objection	objecció	anger	0.469
recidivism	reincidència	anger	0.469
smother	sofriment	anger	0.469
perpetrator	autor	anger	0.469
dislike	No m'agrada	anger	0.469
disruption	interrupció	anger	0.469
intolerance	intolerància	anger	0.469
opposition	oposició	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	tassa	anger	0.467
agony	agonia	anger	0.465
arrogant	arrogant	anger	0.461
sux	Sux	anger	0.456
vent	vent	anger	0.456
elimination	eliminació	anger	0.456
picketing	piquet	anger	0.456
haughty	altivesa	anger	0.456
troublesome	problemàtic	anger	0.455
clamor	clamor	anger	0.455
busted	busted	anger	0.455
constraint	restricció	anger	0.455
crabby	crabby	anger	0.455
veto	veto	anger	0.455
stubbed	trepitjat	anger	0.455
mislead	enganyar	anger	0.455
illicit	il·lícit	anger	0.455
dying	morint	anger	0.455
grated	ratllat	anger	0.455
idiocy	idiotes	anger	0.455
illegality	il·legalitat	anger	0.455
flagrant	flagrant	anger	0.455
impermeable	impermeable	anger	0.455
bad	dolent	anger	0.453
