word	Hebrew-iw	emotion	emotion-intensity-score
robbery	שׁוֹד	anger	0.544
sting	לַעֲקוֹץ	anger	0.544
outcry	זְעָקָה	anger	0.544
grumble	לִרְטוֹן	anger	0.544
irreconcilable	בִּלתִי מִתפַּשֵׁר	anger	0.543
resistance	הִתנַגְדוּת	anger	0.543
obstructive	סוֹתֵם	anger	0.542
dismay	תַדְהֵמָה	anger	0.540
mob	הָמוֹן	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	רוֹע	anger	0.536
ridicule	לַעַג	anger	0.534
incendiary	מַבעִיר	anger	0.533
flares	זיקוקים	anger	0.532
degeneracy	ניוון	anger	0.531
confinement	כליאה	anger	0.531
exacerbation	הַחרָפָה	anger	0.531
prejudicial	פּוֹגֵעַ	anger	0.531
uprising	מֶרֶד	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	לֹא זָהִיר	anger	0.531
unbridled	לֹא מְרוּסָן	anger	0.531
allegation	טענה	anger	0.531
communism	קוֹמוּנִיזם	anger	0.531
whip	שׁוֹט	anger	0.531
intruder	פּוֹלֵשׁ	anger	0.531
dispute	מַחֲלוֹקֶת	anger	0.531
belittle	לִזַלזֵל בְּעֵרכּוֹ	anger	0.531
bigoted	גדול	anger	0.530
offender	עברי	anger	0.530
hassle	טִרחָה	anger	0.530
dissonance	דִיסוֹנַנס	anger	0.530
unjust	לֹא צוֹדֵק	anger	0.530
dictatorial	רוֹדָנִי	anger	0.530
unjustifiable	לא מוצדק	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	סְטִיָה	anger	0.530
tackled	טופל	anger	0.530
renegade	עָרִיק	anger	0.529
hot	חַם	anger	0.529
prison	בית כלא	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	הַסָגַת גְבוּל	anger	0.529
suicide	הִתאַבְּדוּת	anger	0.521
annoy	לְהַרְגִיז	anger	0.520
leavemealone	עזוב אותי לבד	anger	0.517
idiotic	אִידיוֹטִי	anger	0.516
distrust	חוסר אמון	anger	0.516
depravity	שְׁחִיתוּת	anger	0.516
cretins	cretins	anger	0.516
divorce	לְהִתְגַרֵשׁ	anger	0.516
broil	לִצְלוֹת	anger	0.516
grrr	גרר	anger	0.516
venting	אוורור	anger	0.516
inimical	עוֹיֵן	anger	0.516
duress	לַחַץ	anger	0.516
disrespectful	חסר כבוד	anger	0.516
tortious	נזיקין	anger	0.516
criticize	לְבַקֵר	anger	0.516
prisoner	אָסִיר	anger	0.516
dishonest	לֹא יָשָׁר	anger	0.516
treason	בגידה	anger	0.516
victimized	קורבן	anger	0.515
bile	מָרָה	anger	0.515
unkind	רַע	anger	0.515
