word	Amharic-am	emotion	emotion-intensity-score
punched	ተበሳጧል	anger	0.803
bitch	ጩኽት	anger	0.803
punching	መቦካከር	anger	0.803
homicide	ነፍስ ግድያ	anger	0.803
destructive	አጥፊ	anger	0.797
ruthless	ጨካኝ	anger	0.797
villainous	ክፉኛ	anger	0.797
slap	ድብደባ	anger	0.791
slaughterhouse	የማረፊያ ቤት	anger	0.788
punishing	መቀጣት	anger	0.788
destroyed	ተደምስሷል	anger	0.788
retaliatory	በቀል አድራጊነት	anger	0.788
riot	ግፍ	anger	0.788
ragetweet	ራጋፔታ	anger	0.788
yelling	ጩኸት	anger	0.788
growthefuckup	ማደግ	anger	0.788
diabolical	ጣፋጭ	anger	0.788
manslaughter	ነፍስ ግድያ	anger	0.783
clash	ተጋጨ	anger	0.783
bloody	ደም	anger	0.781
hellish	ዒላማ	anger	0.781
loath	ቁጣ	anger	0.781
detonation	ነዳጅ	anger	0.781
quarrel	መጣላት	anger	0.781
sinister	ክፉኛ	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	በማስመሰል	anger	0.779
treacherous	ተንኮለኛ	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	በቀል	anger	0.773
revulsion	ጸጸት	anger	0.773
madder	እብሪተኛ	anger	0.773
horrific	አስፈሪ	anger	0.773
scorn	መሳለብ	anger	0.769
deplorable	አሳዛኝ	anger	0.766
bomb	ቦምብ	anger	0.766
anarchist	ኢነርሲስት	anger	0.765
devastation	ውድመት	anger	0.765
resent	ችላ ብሎት	anger	0.765
firestorm	እሳት አደጋ	anger	0.765
contemptible	አታላይ	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ጨካኝ	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ገዳይ	anger	0.758
smash	ፍጭ	anger	0.758
rant	ድንገት	anger	0.758
outburst	ብስጭት	anger	0.757
snarl	አጭበርባሪ	anger	0.754
profane	ርኩስ	anger	0.750
offend	መሰናከል	anger	0.750
douchebags	ገመዶች	anger	0.750
growling	የሚያለቅስ	anger	0.750
stfu	stuu	anger	0.750
vulgarity	ስድብ	anger	0.750
dontmesswithme	ከከንቱ ጋር	anger	0.750
crazed	ድብቅ	anger	0.750
despise	ሞገስን	anger	0.750
horror	አስፈሪ	anger	0.750
aggravating	የሚያባብስ	anger	0.750
revolting	ዓመፅ	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ማስፈራራት	anger	0.742
erupt	ፈነጠቀ	anger	0.742
screaming	ጩኸት	anger	0.742
violence	ረብሻ	anger	0.742
horrible	አስከፊ	anger	0.742
molestation	ወሲባዊ በደል	anger	0.742
bastards	ጥፋቶች	anger	0.741
revenge	በቀል	anger	0.738
catastrophe	አደጋ	anger	0.735
menacing	አደገኛ	anger	0.735
demon	ጋኔን	anger	0.735
crushing	ፍሳሽ	anger	0.735
damn	ጉድለት	anger	0.735
persecute	ስደት	anger	0.734
argue	ክርክር	anger	0.734
flog	እፉኝት	anger	0.734
revolt	ዓመፅ	anger	0.734
thrash	ድብደባ	anger	0.734
deplore	አገደ	anger	0.734
warfare	ጦርነት	anger	0.734
fedup	መሰልቸት	anger	0.734
vehement	ብርቱ	anger	0.734
riotous	አስደንጋጭ	anger	0.734
altercation	ውርወራ	anger	0.729
warlike	ጦረኛ	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	መጭበርበር	anger	0.727
castrate	ድብደባ	anger	0.727
sabotage	ሴራቦር	anger	0.727
malevolent	ተባእት	anger	0.721
strike	አድማ	anger	0.721
disaster	አደጋ	anger	0.721
disastrous	አስከፊ	anger	0.720
tumult	ሁከት	anger	0.719
madden	ሞልቶ	anger	0.719
devil	ዲያቢሎስ	anger	0.719
scream	ጩኸት	anger	0.719
brutal	ጭካኔ	anger	0.719
treachery	ክህደት	anger	0.719
scorching	እብጠት	anger	0.719
vermin	ቫርሚን	anger	0.719
arseholes	ባርኔጣዎች	anger	0.719
horseshit	ፈረስ	anger	0.719
aggravates	እየባሰ ይሄዳል	anger	0.719
spiteful	አደገኛ	anger	0.719
slay	ተገደለ	anger	0.719
disdain	ንቀት	anger	0.719
choke	ተቆጣ	anger	0.719
bastarding	ድንቁርናን	anger	0.719
mangle	እንሰት	anger	0.714
anarchism	ኢነርሲዝም	anger	0.714
mutilation	የሰውነት መቆረጥ	anger	0.714
criminal	ወንጀለኛ	anger	0.714
denunciation	ውግዘት	anger	0.713
punch	ቡጢ	anger	0.713
crucifixion	መሰቀል	anger	0.712
virulence	ድካም	anger	0.712
battled	ተዋግቷል	anger	0.712
fatal	ሞት የሚያስከትል	anger	0.712
holocaust	የሚቃጠል	anger	0.712
blasphemous	ተሳድቧል	anger	0.712
hurting	በመጉዳት	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	የተደናገጠ	anger	0.706
atrocious	በጣም አስፈሪ	anger	0.706
evil	ክፉ	anger	0.706
irritated	ተቆጣ	anger	0.706
assassin	አረፈ	anger	0.703
dicks	ዱላዎች	anger	0.703
persecution	ስደት	anger	0.703
slayer	ገዳይ	anger	0.703
kidnap	እገዳው	anger	0.703
scolding	እቀጣ	anger	0.703
intimidation	ማስፈራራት	anger	0.703
aggravated	ተባብሷል	anger	0.703
aggression	ጠበኝነት	anger	0.702
armed	የታጠቀ	anger	0.700
poison	መርዝ	anger	0.697
snarling	የሚንቀጠቀጥ	anger	0.697
venom	መርዝ	anger	0.697
battle	ውጊያ	anger	0.697
disgruntled	ተረብሾ ነበር	anger	0.693
insidious	ቀስቃሽ	anger	0.691
assailant	ጥቃት ፈጻሚ	anger	0.691
resentment	ቂም መያዝ	anger	0.691
lynch	lynch	anger	0.690
contemptuous	ተንኮል	anger	0.690
temper	ቁጣ	anger	0.688
imprisonment	እስር	anger	0.688
disparage	ማጭበርበር	anger	0.688
bully	ጉልበተኛ	anger	0.688
terrible	አስከፊ	anger	0.688
lunatic	ጩኸት	anger	0.688
curse	እርግማን	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	የተስተካከለ	anger	0.688
domination	የበላይነት	anger	0.688
mad	እብድ	anger	0.688
infanticide	ገደለ	anger	0.688
volatility	መበታተን	anger	0.687
eradication	ማጥፋት	anger	0.685
tantrum	እኩይ ምግባር	anger	0.682
devastate	ከባድ	anger	0.682
eradicate	አጥፋ	anger	0.682
scoundrel	ተላላፊ	anger	0.682
aggressively	በኃይል	anger	0.680
agitation	አስፈሪነት	anger	0.680
dictatorship	አምባገነንነት	anger	0.676
irritates	ቁጣዎች	anger	0.676
profanity	ብልግና	anger	0.673
egregious	ቸልተኛ	anger	0.672
expletive	አስገራሚ	anger	0.672
nasty	አስከፊ	anger	0.672
shove	ጫፍ	anger	0.672
shot	ተኩስ	anger	0.672
harmful	ጎጂ	anger	0.672
aggravation	መጨመር	anger	0.672
contempt	ንቀትን	anger	0.672
poisonous	መርዛማ	anger	0.672
dastardly	ድንቅ	anger	0.672
shoot	ተኩራ	anger	0.672
corrupting	ብልሹ	anger	0.672
condemnation	ኩነኔ	anger	0.672
wreak	ተሰባበረ	anger	0.672
crushed	የተደመሰሰ	anger	0.672
cruelly	ጭካኔ ነው	anger	0.672
crime	ወንጀል	anger	0.672
maniac	ሽባ	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ፍንዳታ	anger	0.667
odious	መጥፎ	anger	0.667
shooting	ተኩስ	anger	0.667
kick	ኳስ	anger	0.667
aggressive	ጠበኛ	anger	0.667
combat	ትግል	anger	0.667
shout	ጩኸት	anger	0.667
hit	ገደል	anger	0.667
fight	ተዋጉ	anger	0.667
cutthroat	ቆርቆሮ	anger	0.667
enemy	ጠላት	anger	0.667
irritable	ቁጣ	anger	0.667
punished	ተቀጣጠለ	anger	0.662
ambush	ድብደባ	anger	0.661
yell	ጮኸ	anger	0.661
harass	ወከባ	anger	0.659
malignant	አደገኛ	anger	0.656
aggressor	አጥቂ	anger	0.656
antichrist	ፀረ-ክርስቶስ	anger	0.656
gore	ግር	anger	0.656
incense	ዕጣን	anger	0.656
expel	አስወጣ	anger	0.656
destruction	መጥፋት	anger	0.656
grudge	ቂም	anger	0.656
cranky	እብሪተኛ	anger	0.653
offended	ተበሳጨ	anger	0.652
spank	እፉኝት	anger	0.652
growl	ያድራል	anger	0.652
insurrection	ሽርሽር	anger	0.652
reprisal	መበቀል	anger	0.652
slave	ባሪያ	anger	0.652
denounce	አወገዘ	anger	0.652
animosity	ጥላቻ	anger	0.652
insulting	መሳደብ	anger	0.652
clashing	ግጭት	anger	0.652
growls	የሚያድግ	anger	0.649
executioner	አስገዳጅ	anger	0.644
twat	twat	anger	0.644
doomsday	የዓለም መጨረሻ	anger	0.643
daemon	ዳነም	anger	0.641
obscenity	አስጸያፊ ነገር	anger	0.641
bombard	ፍንዳታ	anger	0.641
spat	እፉኝት	anger	0.641
havoc	አስከሬን	anger	0.641
feud	ዘለፋ	anger	0.641
grr	grr	anger	0.641
arson	አስደንጋጭ	anger	0.641
reprimand	ማረም	anger	0.641
expulsion	ማስወጣት	anger	0.641
inexcusable	ያለመቻል	anger	0.641
accused	ተከሳ	anger	0.641
indignant	ቁጡ	anger	0.641
shackle	መሸፈኛ	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ቁስል	anger	0.636
suicidal	ራስን መግደል	anger	0.636
poisoned	ተመርዟል	anger	0.636
batter	ባትሪ	anger	0.636
kicking	እግር	anger	0.636
hanging	በመስቀል ላይ	anger	0.636
spanking	ሳባ	anger	0.636
disgusting	አስጸያፊ	anger	0.636
combatant	ተዋጊ	anger	0.636
frustrated	የተበሳጨ	anger	0.636
anarchy	አረመኔ	anger	0.636
glaring	ግልጽ ሆኖ	anger	0.636
inflict	አስከፉ	anger	0.633
wrecked	ተሰነጠቀ	anger	0.633
grievous	ከባድ	anger	0.632
prosecute	ክስ ይመሰርታል	anger	0.630
agitated	ተበሳጨ	anger	0.630
cheat	አታላይ	anger	0.630
swastika	ስዋስቲካ	anger	0.627
defamatory	ስም አጥፊ	anger	0.625
suffocation	ድብደባ	anger	0.625
strife	ግጭት	anger	0.625
provocation	ማስፈራራት	anger	0.625
injure	አጎዳ	anger	0.625
harassing	ትንኮሳ	anger	0.625
scourge	መቅሰፍት	anger	0.625
cursing	መረገም	anger	0.625
betray	ክዷል	anger	0.625
indict	ተከሷል	anger	0.625
raid	ዘራፊ	anger	0.625
thundering	ነጎድጓድ	anger	0.625
enslaved	ባሪያ	anger	0.625
arsehole	ጉሮሮ	anger	0.624
insane	እብድ	anger	0.621
fiend	ድብቅ	anger	0.621
irritate	አስቆጣ	anger	0.621
convict	ወንጀለኛ	anger	0.621
jerk	ረጭም	anger	0.621
theft	ስርቆት	anger	0.621
retaliation	በቀል	anger	0.621
deprivation	ማቋረጥ	anger	0.621
cussed	ተጎድቷል	anger	0.619
turmoil	ሁከት	anger	0.618
smack	smack	anger	0.615
retribution	ቅጣት	anger	0.614
twats	መከለያዎች	anger	0.609
intolerable	የማይታሰብ	anger	0.609
rebellion	ዓመፅ	anger	0.609
injurious	ጎጂ	anger	0.609
oppressor	ጭቆና	anger	0.609
slavery	ባርነት	anger	0.609
irritability	ቁጣ	anger	0.609
collision	ግጭት	anger	0.609
bitterly	መራራ	anger	0.609
gang	ዱርዬ	anger	0.609
antagonism	ጠላትነት	anger	0.609
battery	ባትሪ	anger	0.609
adverse	ተቃራኒ	anger	0.609
disgraced	ውርደት	anger	0.608
irritating	አስቆጣ	anger	0.606
revolution	አብዮት	anger	0.606
thug	ዘራፊ	anger	0.606
diatribe	ተረት	anger	0.606
bombardment	የቦንብ ፍንዳታ	anger	0.606
blast	ፍንዳታ	anger	0.606
irks	እብጠት	anger	0.606
sickening	ማመቻቸት	anger	0.606
discrimination	መድልዎ	anger	0.606
antagonistic	ተቃዋሚ	anger	0.606
ranting	ጩኸት	anger	0.606
asshole	ጅል	anger	0.606
frustrate	ማቆሚያ	anger	0.604
manipulation	ማሸብለል	anger	0.603
tension	ውጥረት	anger	0.603
insult	ስድብ	anger	0.603
bigot	ትልቅ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ጎጂ	anger	0.603
oppression	ጭቆና	anger	0.603
disgust	መጸጸት	anger	0.602
spite	እፉኝት	anger	0.600
intrusive	ጣልቃ መግባት	anger	0.598
harshness	ትዕግስት	anger	0.597
slur	ስኳር	anger	0.596
wretch	ክፉዎች	anger	0.594
inferno	እብጠት	anger	0.594
invasion	ወረራ	anger	0.594
puncture	መቆረጥ	anger	0.594
miserable	አሰቃቂ	anger	0.594
assail	ድብደባ	anger	0.594
storming	አውሎ ነፋስ	anger	0.594
casualty	ድንገተኛ አደጋ	anger	0.594
bitterness	መራራነት	anger	0.594
morbidity	ሕመም	anger	0.594
tempest	አውሎ ነፋስ	anger	0.594
consternation	መጨነቅ	anger	0.592
depraved	ተበላሽቷል	anger	0.591
raving	እራት	anger	0.591
guillotine	ተጋሪ	anger	0.591
guilty	ጥፋተኛ	anger	0.591
immoral	ሥነ ምግባር የጎደለው	anger	0.591
forcibly	በኃይል	anger	0.591
overpowering	መትረፍ	anger	0.591
accursed	የተረገመ	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	ዘለቄታ ያለው	anger	0.588
invader	ወራሪው	anger	0.588
scare	አስፈራራ	anger	0.588
screwed	ተስሏል	anger	0.588
indignation	ቁጣ	anger	0.587
jealousy	ቅናት	anger	0.587
vexed	ተረብሾ ነበር	anger	0.586
confront	ተጋድሎ	anger	0.582
brute	ብሩክ	anger	0.581
throttle	ስሮትል	anger	0.579
wreck	ተሰነጠቀ	anger	0.578
revolver	ዘራፊ	anger	0.578
slut	ስላም	anger	0.578
yousuck	ትደብራለህ	anger	0.578
damage	ጉዳት	anger	0.578
butcher	ቢቸር	anger	0.578
conflict	ግጭት	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ወንጀል	anger	0.578
bickering	መጮህ	anger	0.578
pillage	ዘረፋ	anger	0.578
blaze	እሳቱ	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	መፈንቅለቂያ	anger	0.578
contentious	ተከራካሪ	anger	0.578
incarceration	ማሰር	anger	0.578
defiant	እምቢተኛ	anger	0.578
provoking	የሚያነሳሳ	anger	0.578
lash	ጩኸት	anger	0.578
cancer	ካንሰር	anger	0.577
frustration	ብስጭት	anger	0.576
gory	ዋይ	anger	0.576
alienation	ዝውውር	anger	0.576
discord	አለመግባባት	anger	0.576
disturbance	ብጥብጥ	anger	0.576
grope	ዘፍጋ	anger	0.576
condescension	ትግስት	anger	0.576
pernicious	አደገኛ	anger	0.576
blasphemy	መሳደብ	anger	0.576
discriminate	መድልዎ	anger	0.576
chaotic	ሞቅ ያለ	anger	0.576
gun	ጠመንጃ	anger	0.576
standoff	ተጋድሎ	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	ማሾፍ	anger	0.574
lunacy	ዝባዝን	anger	0.574
oppressive	ጭቆና	anger	0.574
death	ሞት	anger	0.574
jab	እምብርት	anger	0.574
cursed	የተረገመ	anger	0.574
scandalous	አስጸያፊ	anger	0.574
monstrosity	ጭካኔ የተሞላ	anger	0.574
shit	shit	anger	0.573
disparaging	መበከል	anger	0.571
slash	ገደብ	anger	0.571
unfair	ፍትሃዊነት	anger	0.571
gallows	ጋጣዎች	anger	0.570
escalate	ወደ ላይ ከፍ አለ	anger	0.569
intolerant	እምቢተኛ	anger	0.564
lawlessness	ሕገ ወጥነት	anger	0.563
bluddy	ቁልቁለት	anger	0.562
perdition	ጥፋት	anger	0.562
taunt	መኩራት	anger	0.562
grouchy	አባባ	anger	0.562
torpedo	ማዶፕዶ	anger	0.562
deceived	ተታለለ	anger	0.562
slander	ስም ማጥፋት	anger	0.562
retards	መዘግየት	anger	0.562
bearish	ደካማ	anger	0.562
invade	ወረራ	anger	0.562
bellows	ወፎዎች	anger	0.562
beast	አውሬ	anger	0.562
frightful	አስፈሪ	anger	0.562
derogatory	መሳለብ	anger	0.562
glare	ብሩህ	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	አስፈሪ	anger	0.562
traitor	ከሃዲ ነው	anger	0.562
malign	ክፉኛ	anger	0.562
wrangling	መጨቃጨቅ	anger	0.562
dissension	አለመግባባት	anger	0.561
banshee	banshee	anger	0.561
shatter	ተሰባበረ	anger	0.561
conflagration	መፈናጠጥ	anger	0.561
jeopardize	አደጋ ላይ ደረሰ	anger	0.561
thief	ሌባ	anger	0.561
rave	ረባ	anger	0.561
grating	ፍርግርግ	anger	0.561
devastating	አውዳሚ	anger	0.561
idiots	ብልጭታ	anger	0.561
betrayal	ክህደት	anger	0.561
uncontrollable	መቆጣጠር የማይቻል	anger	0.561
fits	የሚስማማ	anger	0.561
cross	መስቀል	anger	0.561
hurt	ጎድቷል	anger	0.561
disturbed	የተረበሸ	anger	0.559
subjugation	ድብደባ	anger	0.559
stomped	ተጓዙ	anger	0.557
grab	ያዘ	anger	0.557
ticked	ምልክት ተደርጎበታል	anger	0.556
masochism	ማሶሺዝም	anger	0.556
grievance	ቅሬታ	anger	0.556
defiance	እምቢተኛ	anger	0.552
blackmail	ጥቁር	anger	0.550
offensive	አስከፊ	anger	0.549
decry	ፈረደ	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ጥሰት	anger	0.547
punishment	ቅጣት	anger	0.547
shrill	ቀዳዳ	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	ጨለማ	anger	0.547
misery	መከራ	anger	0.547
frustrates	አስፈራረቀ	anger	0.547
disgraceful	እብሪተኛ	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	መራመድ	anger	0.547
disparity	አለመመጣጠን	anger	0.547
confine	እጥብ	anger	0.547
firearms	ጠመንጃዎች	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	አስቀያሚ	anger	0.547
rebel	ዓመፀኛ	anger	0.547
deceive	አታላይ	anger	0.547
stolen	ተሰረቀ	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	ሞቃታማ	anger	0.545
ruined	የተበላሸ	anger	0.545
menace	ማስፈራራት	anger	0.545
humiliate	አዋረዱ	anger	0.545
tackle	ተከራይ	anger	0.545
conspirator	አስደንጋጭ	anger	0.545
foul	ርኩስ	anger	0.545
antagonist	ጠላት ገላ	anger	0.545
resentful	ቂም	anger	0.545
prejudice	ጭፍን ጥላቻ	anger	0.545
adversary	ጠላት	anger	0.545
argument	ክርክር	anger	0.545
skirmish	ግጭቶች	anger	0.545
callous	ቸልተኛ	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ተጣደፈ	anger	0.544
robbery	ዘረፋ	anger	0.544
sting	ቁልቁል	anger	0.544
outcry	ጩኸት	anger	0.544
grumble	አጉረመረመ	anger	0.544
irreconcilable	የማይነጣጠሉ	anger	0.543
resistance	መቋቋም	anger	0.543
obstructive	እንቅፋት	anger	0.542
dismay	አስደንጋጭ	anger	0.540
mob	ረብሻ	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	ክፋት	anger	0.536
ridicule	ፌዝ	anger	0.534
incendiary	ተኳሽ	anger	0.533
flares	ፍንጣዎች	anger	0.532
degeneracy	ድክመቶች	anger	0.531
confinement	መታሰር	anger	0.531
exacerbation	አስከፊነት	anger	0.531
prejudicial	ጎጂ	anger	0.531
uprising	መነሳሳት	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ያለቀለለ	anger	0.531
unbridled	ያልተደባለቀ	anger	0.531
allegation	ክስ	anger	0.531
communism	ኮሙኒዝም	anger	0.531
whip	ጅራፍ	anger	0.531
intruder	ጠላፊ	anger	0.531
dispute	ክርክር	anger	0.531
belittle	ታዋቂነት	anger	0.531
bigoted	ትልቅ	anger	0.530
offender	ወንጀለኛ	anger	0.530
hassle	አሰናብት	anger	0.530
dissonance	መፈናፈኛ	anger	0.530
unjust	ፍትሃዊ	anger	0.530
dictatorial	አምባገነናዊ	anger	0.530
unjustifiable	ሊስተካከል የማይችል	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	ብልሹነት	anger	0.530
tackled	ተስተካክሏል	anger	0.530
renegade	እንደገና መራመድ	anger	0.529
hot	ሞቃት	anger	0.529
prison	እስር ቤት	anger	0.529
cantstandit	መደርደሪያ	anger	0.529
trespass	መጣስ	anger	0.529
suicide	ራስን መግደል	anger	0.521
annoy	ማናደድ	anger	0.520
leavemealone	ብቻዬን ልሁንበት	anger	0.517
idiotic	ፈላጭነት	anger	0.516
distrust	አለመተማመን	anger	0.516
depravity	መበተንን	anger	0.516
cretins	ክሪስታንስ	anger	0.516
divorce	ፍቺ	anger	0.516
broil	ቡቃያ	anger	0.516
grrr	grrr	anger	0.516
venting	መዘጋት	anger	0.516
inimical	አስደንጋጭ	anger	0.516
duress	አስጨናቂ	anger	0.516
disrespectful	አክብሮት የጎደለው	anger	0.516
tortious	ተንኮል	anger	0.516
criticize	ትችት	anger	0.516
prisoner	እስረኛ	anger	0.516
dishonest	ሐቀኛ	anger	0.516
treason	ክህደት	anger	0.516
victimized	ተጎጂ	anger	0.515
bile	ቢል	anger	0.515
unkind	ክፉኛ	anger	0.515
unforgiving	ይቅር ማለት	anger	0.515
unleash	ፍቀድ	anger	0.515
coercion	ማስገደድ	anger	0.515
scold	ተቆለፈ	anger	0.515
chaos	ጭቅጭቅ	anger	0.515
grump	ፍርፍ	anger	0.515
roar	ጩኸት	anger	0.515
jerks	ፈረሶች	anger	0.515
poaching	መጥፊ	anger	0.515
hangry	አስቂኝ	anger	0.515
pow	ፖው	anger	0.515
poachers	አዳኞች	anger	0.515
argumentation	ክርክር	anger	0.515
frustrating	ተስፋ አስቆራጭ	anger	0.515
tussle	ተፉ	anger	0.514
bane	ቡን	anger	0.511
accusation	ክስ	anger	0.510
repudiation	ማጭበርበር	anger	0.510
enmity	ጠላትነት	anger	0.510
banish	ማባረር	anger	0.509
disfigured	ተበላሽቷል	anger	0.508
storm	አውሎ ነፋስ	anger	0.507
shun	ይርቁ	anger	0.500
suppression	ማጥፋት	anger	0.500
unruly	ያልተገራ	anger	0.500
intractable	የማይቻል	anger	0.500
ordeal	የመከራ	anger	0.500
obstruct	አግድ	anger	0.500
derogation	ማጭበርበር	anger	0.500
