word	German-de	emotion	emotion-intensity-score
douchebags	Spucktüten	anger	0.750
growling	knurrt	anger	0.750
stfu	stfu	anger	0.750
vulgarity	Vulgarität	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	verrückt	anger	0.750
despise	verachten	anger	0.750
horror	Grusel	anger	0.750
aggravating	erschwerend	anger	0.750
revolting	widerlich	anger	0.750
fuckedoff	abgefickt	anger	0.742
threat	Bedrohung	anger	0.742
erupt	ausbrechen	anger	0.742
screaming	schreiend	anger	0.742
violence	Gewalt	anger	0.742
horrible	schrecklich	anger	0.742
molestation	Belästigung	anger	0.742
bastards	Bastarde	anger	0.741
revenge	Rache	anger	0.738
catastrophe	Katastrophe	anger	0.735
menacing	bedrohlich	anger	0.735
demon	Dämon	anger	0.735
crushing	Zerkleinern	anger	0.735
damn	Verdammt	anger	0.735
persecute	verfolgen	anger	0.734
argue	streiten	anger	0.734
flog	prügeln	anger	0.734
revolt	Revolte	anger	0.734
thrash	Thrash	anger	0.734
deplore	bedauern	anger	0.734
warfare	Krieg	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	aufrührerisch	anger	0.734
altercation	Auseinandersetzung	anger	0.729
warlike	kriegerisch	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	Meuterei	anger	0.727
castrate	kastrieren	anger	0.727
sabotage	Sabotage	anger	0.727
malevolent	böswillig	anger	0.721
strike	Streik	anger	0.721
disaster	Katastrophe	anger	0.721
disastrous	katastrophal	anger	0.720
tumult	Tumult	anger	0.719
madden	verrückt machen	anger	0.719
devil	Teufel	anger	0.719
scream	Schrei	anger	0.719
brutal	brutal	anger	0.719
treachery	Verrat	anger	0.719
scorching	sengend	anger	0.719
vermin	Ungeziefer	anger	0.719
arseholes	Arschlöcher	anger	0.719
horseshit	Pferdescheiße	anger	0.719
aggravates	verschlimmert	anger	0.719
spiteful	boshaft	anger	0.719
slay	erschlagen	anger	0.719
disdain	Verachtung	anger	0.719
choke	Choke	anger	0.719
bastarding	Bastardieren	anger	0.719
mangle	Mangel	anger	0.714
anarchism	Anarchismus	anger	0.714
mutilation	Verstümmelung	anger	0.714
criminal	kriminell	anger	0.714
denunciation	Denunziation	anger	0.713
punch	schlagen	anger	0.713
crucifixion	Kreuzigung	anger	0.712
virulence	Virulenz	anger	0.712
battled	gekämpft	anger	0.712
fatal	tödlich	anger	0.712
holocaust	Holocaust	anger	0.712
blasphemous	blasphemisch	anger	0.712
hurting	verletzt	anger	0.712
dumbasses	Dummköpfe	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	geistesgestört	anger	0.706
atrocious	scheußlich	anger	0.706
evil	böse	anger	0.706
irritated	irritiert	anger	0.706
assassin	Attentäter	anger	0.703
dicks	Schwänze	anger	0.703
persecution	Verfolgung	anger	0.703
slayer	Jägerin	anger	0.703
kidnap	entführen	anger	0.703
scolding	Schelte	anger	0.703
intimidation	Einschüchterung	anger	0.703
aggravated	verschärft	anger	0.703
aggression	Aggression	anger	0.702
armed	bewaffnet	anger	0.700
poison	Gift	anger	0.697
snarling	knurrend	anger	0.697
venom	Gift	anger	0.697
battle	Schlacht	anger	0.697
disgruntled	verärgert	anger	0.693
insidious	heimtückisch	anger	0.691
assailant	Angreifer	anger	0.691
resentment	Groll	anger	0.691
lynch	lynchen	anger	0.690
contemptuous	verächtlich	anger	0.690
temper	Temperament	anger	0.688
imprisonment	Haft	anger	0.688
disparage	verunglimpfen	anger	0.688
bully	Bully	anger	0.688
terrible	furchtbar	anger	0.688
lunatic	verrückt	anger	0.688
curse	Fluch	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	verärgert	anger	0.688
domination	Herrschaft	anger	0.688
mad	wütend	anger	0.688
infanticide	Kindestötung	anger	0.688
volatility	Volatilität	anger	0.687
eradication	Ausrottung	anger	0.685
tantrum	Wutanfall	anger	0.682
devastate	verwüsten	anger	0.682
eradicate	auszurotten	anger	0.682
scoundrel	Schurke	anger	0.682
aggressively	aggressiv	anger	0.680
agitation	Agitation	anger	0.680
dictatorship	Diktatur	anger	0.676
irritates	irritiert	anger	0.676
profanity	Profanität	anger	0.673
egregious	ungeheuerlich	anger	0.672
expletive	Kraftausdruck	anger	0.672
nasty	böse	anger	0.672
shove	schieben	anger	0.672
shot	Schuss	anger	0.672
harmful	schädlich	anger	0.672
aggravation	Verschlimmerung	anger	0.672
contempt	Verachtung	anger	0.672
poisonous	giftig	anger	0.672
dastardly	heimtückisch	anger	0.672
shoot	schießen	anger	0.672
corrupting	korrumpierend	anger	0.672
condemnation	Verurteilung	anger	0.672
wreak	anrichten	anger	0.672
crushed	zerkleinert	anger	0.672
cruelly	grausam	anger	0.672
crime	Kriminalität	anger	0.672
maniac	Wahnsinniger	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	Eruption	anger	0.667
odious	abscheulich	anger	0.667
shooting	Schießen	anger	0.667
kick	Kick	anger	0.667
aggressive	aggressiv	anger	0.667
combat	Kampf	anger	0.667
shout	schreien	anger	0.667
hit	schlagen	anger	0.667
fight	Kampf	anger	0.667
cutthroat	Halsabschneider	anger	0.667
enemy	Feind	anger	0.667
irritable	reizbar	anger	0.667
punished	bestraft	anger	0.662
ambush	Hinterhalt	anger	0.661
yell	Schrei	anger	0.661
harass	belästigen	anger	0.659
malignant	maligne	anger	0.656
aggressor	Aggressor	anger	0.656
antichrist	Antichrist	anger	0.656
gore	Blut	anger	0.656
incense	Weihrauch	anger	0.656
expel	vertreiben	anger	0.656
destruction	Zerstörung	anger	0.656
grudge	Groll	anger	0.656
cranky	verschroben	anger	0.653
offended	beleidigt	anger	0.652
spank	versohlen	anger	0.652
growl	knurren	anger	0.652
insurrection	Aufstand	anger	0.652
reprisal	Repressalie	anger	0.652
slave	Sklave	anger	0.652
denounce	anprangern	anger	0.652
animosity	Feindseligkeit	anger	0.652
insulting	beleidigend	anger	0.652
clashing	zusammenstoßen	anger	0.652
growls	knurrt	anger	0.649
executioner	Henker	anger	0.644
twat	Twat	anger	0.644
doomsday	Weltuntergang	anger	0.643
daemon	Daemon	anger	0.641
obscenity	Obszönität	anger	0.641
bombard	bombardieren	anger	0.641
spat	gespuckt	anger	0.641
havoc	Verwüstung	anger	0.641
feud	Fehde	anger	0.641
grr	grr	anger	0.641
arson	Brandstiftung	anger	0.641
reprimand	Verweis	anger	0.641
expulsion	Vertreibung	anger	0.641
inexcusable	unentschuldbar	anger	0.641
accused	Angeklagte	anger	0.641
indignant	empört	anger	0.641
shackle	Schäkel	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	Wunde	anger	0.636
suicidal	lebensmüde	anger	0.636
poisoned	vergiftet	anger	0.636
batter	Teig	anger	0.636
kicking	treten	anger	0.636
hanging	hängend	anger	0.636
spanking	Prügel	anger	0.636
disgusting	widerlich	anger	0.636
combatant	Kämpfer	anger	0.636
frustrated	frustriert	anger	0.636
anarchy	Anarchie	anger	0.636
glaring	grell	anger	0.636
inflict	zufügen	anger	0.633
wrecked	zerstört	anger	0.633
grievous	schwer	anger	0.632
prosecute	verfolgen	anger	0.630
agitated	aufgeregt	anger	0.630
cheat	betrügen	anger	0.630
swastika	Hakenkreuz	anger	0.627
defamatory	verleumderisch	anger	0.625
suffocation	Erstickung	anger	0.625
strife	Streit	anger	0.625
provocation	Provokation	anger	0.625
injure	verletzen	anger	0.625
harassing	belästigend	anger	0.625
scourge	Geißel	anger	0.625
cursing	Fluchen	anger	0.625
betray	verraten	anger	0.625
indict	anklagen	anger	0.625
raid	Überfall	anger	0.625
thundering	donnernd	anger	0.625
enslaved	versklavt	anger	0.625
arsehole	Arschloch	anger	0.624
insane	wahnsinnig	anger	0.621
fiend	Teufel	anger	0.621
irritate	reizen	anger	0.621
convict	überführen	anger	0.621
jerk	Trottel	anger	0.621
theft	Diebstahl	anger	0.621
retaliation	Vergeltung	anger	0.621
deprivation	Entbehrung	anger	0.621
cussed	geärgert	anger	0.619
turmoil	Aufruhr	anger	0.618
smack	klatschen	anger	0.615
retribution	Vergeltung	anger	0.614
twats	Fotzen	anger	0.609
intolerable	unerträglich	anger	0.609
rebellion	Rebellion	anger	0.609
injurious	schädlich	anger	0.609
oppressor	Unterdrücker	anger	0.609
slavery	Sklaverei	anger	0.609
irritability	Reizbarkeit	anger	0.609
collision	Kollision	anger	0.609
bitterly	bitterlich	anger	0.609
gang	Gang	anger	0.609
antagonism	Antagonismus	anger	0.609
battery	Batterie	anger	0.609
adverse	ungünstig	anger	0.609
disgraced	blamiert	anger	0.608
irritating	irritierend	anger	0.606
revolution	Revolution	anger	0.606
thug	Schläger	anger	0.606
diatribe	Schmährede	anger	0.606
bombardment	Bombardierung	anger	0.606
blast	sprengen	anger	0.606
irks	ärgert	anger	0.606
sickening	widerlich	anger	0.606
discrimination	Diskriminierung	anger	0.606
antagonistic	antagonistisch	anger	0.606
ranting	schimpfend	anger	0.606
asshole	Arschloch	anger	0.606
frustrate	vereiteln	anger	0.604
manipulation	Manipulation	anger	0.603
tension	Spannung	anger	0.603
insult	Beleidigung	anger	0.603
bigot	Frömmler	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	verletzend	anger	0.603
oppression	Unterdrückung	anger	0.603
disgust	der Ekel	anger	0.602
spite	Trotz	anger	0.600
intrusive	aufdringlich	anger	0.598
harshness	Härte	anger	0.597
slur	Bogen	anger	0.596
wretch	Unglücklicher	anger	0.594
inferno	Inferno	anger	0.594
invasion	Invasion	anger	0.594
puncture	Punktion	anger	0.594
miserable	elend	anger	0.594
assail	angreifen	anger	0.594
storming	stürmend	anger	0.594
casualty	Opfer	anger	0.594
bitterness	Bitterkeit	anger	0.594
morbidity	Morbidität	anger	0.594
tempest	Sturm	anger	0.594
consternation	Bestürzung	anger	0.592
depraved	verdorben	anger	0.591
raving	tobend	anger	0.591
guillotine	Guillotine	anger	0.591
guilty	schuldig	anger	0.591
immoral	unmoralisch	anger	0.591
forcibly	gewaltsam	anger	0.591
overpowering	überwältigend	anger	0.591
accursed	verflucht	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	widerspenstig	anger	0.588
invader	Eindringling	anger	0.588
scare	Schrecken	anger	0.588
screwed	geschraubt	anger	0.588
indignation	Empörung	anger	0.587
jealousy	Eifersucht	anger	0.587
vexed	ärgerlich	anger	0.586
confront	konfrontieren	anger	0.582
brute	Brute	anger	0.581
throttle	drosseln	anger	0.579
wreck	Wrack	anger	0.578
revolver	Revolver	anger	0.578
slut	Schlampe	anger	0.578
yousuck	du gehtst mir auf die Nerven	anger	0.578
damage	Beschädigung	anger	0.578
butcher	Metzger	anger	0.578
conflict	Konflikt	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	Kriminalität	anger	0.578
bickering	Gezänk	anger	0.578
pillage	plündern	anger	0.578
blaze	Flamme	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	Coup	anger	0.578
contentious	umstritten	anger	0.578
incarceration	Einkerkerung	anger	0.578
defiant	trotzig	anger	0.578
provoking	provozieren	anger	0.578
lash	Peitsche	anger	0.578
cancer	Krebs	anger	0.577
frustration	Frustration	anger	0.576
gory	blutrot	anger	0.576
alienation	Entfremdung	anger	0.576
discord	Zwietracht	anger	0.576
disturbance	Störung	anger	0.576
grope	tasten	anger	0.576
condescension	Herablassung	anger	0.576
pernicious	verderblich	anger	0.576
blasphemy	Blasphemie	anger	0.576
discriminate	diskriminieren	anger	0.576
chaotic	chaotisch	anger	0.576
gun	Gewehr	anger	0.576
standoff	Abstand	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	spotten	anger	0.574
lunacy	Wahnsinn	anger	0.574
oppressive	bedrückend	anger	0.574
death	Tod	anger	0.574
jab	Jab	anger	0.574
cursed	verflucht	anger	0.574
scandalous	skandalös	anger	0.574
monstrosity	Ungeheuerlichkeit	anger	0.574
shit	Scheisse	anger	0.573
disparaging	herabsetzend	anger	0.571
slash	Schrägstrich	anger	0.571
unfair	unfair	anger	0.571
gallows	Galgen	anger	0.570
escalate	eskalieren	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	Gesetzlosigkeit	anger	0.563
bluddy	Blöddy	anger	0.562
perdition	Verderben	anger	0.562
taunt	Spott	anger	0.562
grouchy	mürrisch	anger	0.562
torpedo	Torpedo	anger	0.562
deceived	betrogen	anger	0.562
slander	Verleumdung	anger	0.562
retards	verzögert sich	anger	0.562
bearish	bearish	anger	0.562
invade	einfallen	anger	0.562
bellows	Balg	anger	0.562
beast	Tier	anger	0.562
frightful	furchtbar	anger	0.562
derogatory	abfällig	anger	0.562
glare	Blendung	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	furchtbar	anger	0.562
traitor	Verräter	anger	0.562
malign	verleumden	anger	0.562
wrangling	Gerangel	anger	0.562
dissension	Uneinigkeit	anger	0.561
banshee	Banshee	anger	0.561
shatter	zerschmettern	anger	0.561
conflagration	Feuersbrunst	anger	0.561
jeopardize	gefährden	anger	0.561
thief	Dieb	anger	0.561
rave	Rave	anger	0.561
grating	Gitter	anger	0.561
devastating	verheerend	anger	0.561
idiots	Idioten	anger	0.561
betrayal	Verrat	anger	0.561
uncontrollable	unkontrollierbar	anger	0.561
fits	passt	anger	0.561
cross	Kreuz	anger	0.561
hurt	verletzt	anger	0.561
disturbed	gestört	anger	0.559
subjugation	Unterwerfung	anger	0.559
stomped	gestampft	anger	0.557
grab	greifen	anger	0.557
ticked	angekreuzt	anger	0.556
masochism	Masochismus	anger	0.556
grievance	Beschwerde	anger	0.556
defiance	Trotz	anger	0.552
blackmail	Erpressung	anger	0.550
offensive	beleidigend	anger	0.549
decry	anprangern	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	Verstoß	anger	0.547
punishment	Bestrafung	anger	0.547
shrill	schrillen	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	dunkle Seite	anger	0.547
misery	Elend	anger	0.547
frustrates	frustriert	anger	0.547
disgraceful	schändlich	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	anmaßend	anger	0.547
disparity	Ungleichheit	anger	0.547
confine	beschränken	anger	0.547
firearms	Feuerarme	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurd	anger	0.547
rebel	Rebell	anger	0.547
deceive	täuschen	anger	0.547
stolen	gestohlen	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	Wichser	anger	0.545
heated	erhitzt	anger	0.545
ruined	ruiniert	anger	0.545
menace	Bedrohung	anger	0.545
humiliate	demütigen	anger	0.545
tackle	angehen	anger	0.545
conspirator	Verschwörer	anger	0.545
foul	Foul	anger	0.545
antagonist	Gegner	anger	0.545
resentful	nachtragend	anger	0.545
prejudice	Vorurteil	anger	0.545
adversary	Gegner	anger	0.545
argument	Streit	anger	0.545
skirmish	Scharmützel	anger	0.545
callous	gefühllos	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	verstrickt	anger	0.544
robbery	Raub	anger	0.544
sting	Stachel	anger	0.544
outcry	Aufschrei	anger	0.544
grumble	murren	anger	0.544
irreconcilable	unvereinbar	anger	0.543
resistance	Widerstand	anger	0.543
obstructive	hinderlich	anger	0.542
dismay	Bestürzung	anger	0.540
mob	Mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	Schlechtigkeit	anger	0.536
ridicule	Spott	anger	0.534
incendiary	Brandstiftung	anger	0.533
flares	Aufflackern	anger	0.532
degeneracy	Entartung	anger	0.531
confinement	Gefangenschaft	anger	0.531
exacerbation	Exazerbation	anger	0.531
prejudicial	abträglich	anger	0.531
uprising	Aufstand	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	leichtsinnig	anger	0.531
unbridled	ungezügelt	anger	0.531
allegation	Behauptung	anger	0.531
communism	Kommunismus	anger	0.531
whip	Peitsche	anger	0.531
intruder	Eindringling	anger	0.531
dispute	Streit	anger	0.531
belittle	schmälern	anger	0.531
bigoted	bigott	anger	0.530
offender	Täter	anger	0.530
hassle	Ärger	anger	0.530
dissonance	Dissonanz	anger	0.530
unjust	ungerecht	anger	0.530
dictatorial	diktatorisch	anger	0.530
unjustifiable	nicht vertretbar	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	Perversion	anger	0.530
tackled	in Angriff genommen	anger	0.530
renegade	Renegat	anger	0.529
hot	heiß	anger	0.529
prison	Gefängnis	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	Übertretung	anger	0.529
suicide	Selbstmord	anger	0.521
annoy	Nerven	anger	0.520
leavemealone	Lass mich allein	anger	0.517
idiotic	idiotisch	anger	0.516
distrust	Misstrauen	anger	0.516
depravity	Verderbtheit	anger	0.516
cretins	Kretinen	anger	0.516
divorce	Scheidung	anger	0.516
broil	grillen	anger	0.516
grrr	Grrr	anger	0.516
venting	Entlüftung	anger	0.516
inimical	feindlich	anger	0.516
duress	Zwang	anger	0.516
disrespectful	respektlos	anger	0.516
tortious	unerträglich	anger	0.516
criticize	kritisieren	anger	0.516
prisoner	Häftling	anger	0.516
dishonest	unehrlich	anger	0.516
treason	Verrat	anger	0.516
victimized	Opfer	anger	0.515
bile	Galle	anger	0.515
unkind	nicht nett	anger	0.515
unforgiving	unversöhnlich	anger	0.515
unleash	entfesseln	anger	0.515
coercion	Zwang	anger	0.515
scold	schelten	anger	0.515
chaos	Chaos	anger	0.515
grump	Grummel	anger	0.515
roar	brüllen	anger	0.515
jerks	Idioten	anger	0.515
poaching	Wilderei	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	Wilderer	anger	0.515
argumentation	Argumentation	anger	0.515
frustrating	frustrierend	anger	0.515
tussle	Kampf	anger	0.514
bane	Fluch	anger	0.511
accusation	Anklage	anger	0.510
repudiation	Zurückweisung	anger	0.510
enmity	Feindschaft	anger	0.510
banish	verbannen	anger	0.509
disfigured	entstellt	anger	0.508
storm	Sturm	anger	0.507
shun	meiden	anger	0.500
suppression	Unterdrückung	anger	0.500
unruly	widerspenstig	anger	0.500
intractable	hartnäckig	anger	0.500
ordeal	Tortur	anger	0.500
obstruct	behindern	anger	0.500
derogation	Ausnahmeregelung	anger	0.500
fervor	Inbrunst	anger	0.500
foaming	schäumend	anger	0.500
derision	Spott	anger	0.500
animus	Animus	anger	0.500
rejects	lehnt ab	anger	0.500
bout	Kampf	anger	0.500
spear	Speer	anger	0.500
crazy	verrückt	anger	0.500
brazen	unverschämt	anger	0.500
antithesis	Antithese	anger	0.500
injustice	Ungerechtigkeit	anger	0.500
banished	verbannt	anger	0.500
confined	beschränkt	anger	0.500
frenzied	rasend	anger	0.500
dominate	dominieren	anger	0.500
disrupting	störend	anger	0.500
hammering	Hämmern	anger	0.500
fear	Angst	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	Pein	anger	0.500
brunt	Hauptlast	anger	0.500
possessed	besessen	anger	0.500
defy	trotzen	anger	0.500
scoff	spotten	anger	0.500
patronising	herablassend	anger	0.500
delusional	wahnhaft	anger	0.500
malpractice	Kunstfehler	anger	0.500
reject	ablehnen	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	Zähigkeit	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	Wahnsinn	anger	0.491
sinful	sündig	anger	0.491
avarice	Habsucht	anger	0.490
oppress	unterdrücken	anger	0.490
disapproved	abgelehnt	anger	0.485
inhuman	unmenschlich	anger	0.485
demand	Nachfrage	anger	0.485
abolish	abschaffen	anger	0.485
anathema	Anathema	anger	0.485
fricking	Fröschen	anger	0.485
complaint	Beschwerde	anger	0.485
disservice	Bärendienst	anger	0.485
smuggler	Schmuggler	anger	0.485
revoke	widerrufen	anger	0.485
infraction	Übertretung	anger	0.485
claw	Klaue	anger	0.485
dissident	Dissident	anger	0.485
pervert	pervers	anger	0.485
incest	Inzest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ungehorsam	anger	0.485
usurp	usurpieren	anger	0.485
alienate	entfremden	anger	0.485
avenger	Rächer	anger	0.485
annoyed	verärgert	anger	0.485
cutting	Schneiden	anger	0.485
disgrace	Schande	anger	0.484
deceit	Betrug	anger	0.484
suspicious	verdächtig	anger	0.484
thresh	dreschen	anger	0.484
sucker	Saugnapf	anger	0.484
strained	angespannt	anger	0.484
blame	Schuld	anger	0.484
upheaval	Umwälzung	anger	0.484
renounce	verzichten	anger	0.484
obnoxious	anstößig	anger	0.484
restrain	zurückhalten	anger	0.484
oust	verdrängen	anger	0.484
litigious	streitsüchtig	anger	0.484
rivalry	Rivalität	anger	0.484
penalty	Elfmeter	anger	0.484
imprisoned	eingesperrt	anger	0.484
mocking	Verspottung	anger	0.484
opposed	entgegengesetzt	anger	0.484
turbulence	Turbulenz	anger	0.483
pound	Pfund	anger	0.481
coldness	Kälte	anger	0.477
ungrateful	undankbar	anger	0.472
battalion	Bataillon	anger	0.471
stoopid	stoisch	anger	0.471
hostage	Geisel	anger	0.470
infidel	ungläubig	anger	0.470
ram	RAM	anger	0.470
accuser	Ankläger	anger	0.470
gall	Galle	anger	0.470
