word	Telugu-te	emotion	emotion-intensity-score
terrorism	తీవ్రవాదం	anger	0.851
beating	బీటింగ్	anger	0.849
desecration	అపవిత్రం	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	దౌర్జన్యం	anger	0.848
stab	కత్తిపోటు	anger	0.844
slaughter	స్లాటర్	anger	0.844
violent	హింసాత్మక	anger	0.844
destroying	నాశనం	anger	0.844
abomination	అసహ్యకరమైనది	anger	0.844
tumultuous	గందరగోళ	anger	0.844
irate	ఆగ్రహించిన	anger	0.844
infuriate	అమితమైన ఆగ్రహం	anger	0.844
obliterate	తుడుచు	anger	0.843
belligerent	పోరాడే	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	ద్వేషించడం	anger	0.838
hostilities	ఘర్షణలు	anger	0.837
prick	బుడతడు	anger	0.835
torture	హింస	anger	0.833
rabid	అత్యధికమైన	anger	0.833
horrid	భయంకలిగించు	anger	0.833
rampage	వినాశనం	anger	0.833
cruelty	క్రూరత్వం	anger	0.833
hate	ద్వేషం	anger	0.828
demonic	దెయ్యాల	anger	0.828
hating	అసహ్యించుకుంటూ ఉంటాడని	anger	0.828
satanic	సైతాను	anger	0.828
tyrannical	నిరంకుశ	anger	0.828
ragemode	NO TRANSLATION	anger	0.828
despicable	తుచ్చమైనది	anger	0.828
ruinous	ruinous	anger	0.825
condemn	ఖండించాయి	anger	0.825
riots	అల్లర్లు	anger	0.824
demolish	పడగొట్టి	anger	0.824
angry	కోపం	anger	0.824
extermination	నిర్మూలన	anger	0.824
dickhead	మూర్ఖుడు	anger	0.824
livid	నీలవర్ణము	anger	0.821
madman	పిచ్చివాడికి	anger	0.820
vindictive	ప్రతీకారేచ్చ	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	దాల్చింది	anger	0.818
venomous	విషపూరిత	anger	0.818
threaten	బెదిరించే	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	తీవ్రవాద	anger	0.818
abhor	అసహాయపడు	anger	0.816
savage	సావేజ్	anger	0.814
atrocity	దురాగతాన్ని	anger	0.814
carnage	మారణహోమం	anger	0.814
berserk	మోటుయోధుడు	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	తిట్టు	anger	0.812
tyrant	క్రూర	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	వి	anger	0.812
fierce	తీవ్ర	anger	0.812
destroyer	డిస్ట్రాయర్	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	రేగే	anger	0.812
barbaric	మొరటు	anger	0.812
anger	కోపం	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	నేలకి కొట్టటం	anger	0.803
fights	పోరాటాలు	anger	0.803
punched	పంచ్	anger	0.803
bitch	బిచ్	anger	0.803
punching	గుద్దటం	anger	0.803
homicide	నరహత్య	anger	0.803
destructive	విధ్వంసక	anger	0.797
ruthless	క్రూరమైన	anger	0.797
villainous	ప్రతినాయక	anger	0.797
slap	చరుపు	anger	0.791
slaughterhouse	కబేళా	anger	0.788
punishing	శిక్షించడం	anger	0.788
destroyed	ధ్వంసమైంది	anger	0.788
retaliatory	ప్రతీకార	anger	0.788
riot	అల్లర్లు	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	పదాన్ని	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	లక్ష్యోద్దేశంతో చూస్తే అది క్రూరమయినది	anger	0.788
manslaughter	మారణకాండ	anger	0.783
clash	క్లాష్	anger	0.783
bloody	బ్లడీ	anger	0.781
hellish	పాపిష్	anger	0.781
loath	ఇష్టపడరు	anger	0.781
detonation	పేలిన	anger	0.781
quarrel	వైరం	anger	0.781
sinister	చెడు	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	నిందిస్తూ	anger	0.779
treacherous	ప్రమాదకరమైన	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ప్రతిఘటిస్తారని	anger	0.773
revulsion	ఉన్నట్టుండి ఏర్పడు నష్టము	anger	0.773
madder	మాంజిష్ట	anger	0.773
horrific	భయంకరమైన	anger	0.773
scorn	సాహసించరు	anger	0.769
deplorable	ఒక్కసారి	anger	0.766
bomb	బాంబు	anger	0.766
anarchist	అరాచక	anger	0.765
devastation	వినాశనం	anger	0.765
resent	బాధపడతారు	anger	0.765
firestorm	తుఫానుకు	anger	0.765
contemptible	నీచమైన	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	క్రూరమైన	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ఘోరమైన	anger	0.758
smash	స్మాష్	anger	0.758
rant	నాటకీయంగా సంభాషించుట	anger	0.758
outburst	వెల్లడిలో	anger	0.757
snarl	చిందర వందర	anger	0.754
profane	అపవిత్ర	anger	0.750
offend	నేరం	anger	0.750
douchebags	Douchebags	anger	0.750
growling	growling	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	క్రేస్ద్	anger	0.750
despise	ద్వేషిస్తారు	anger	0.750
horror	హర్రర్	anger	0.750
aggravating	ప్రేరేపించేవి	anger	0.750
revolting	విప్లవాన్ని	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	ముప్పు	anger	0.742
erupt	రావు	anger	0.742
screaming	విసరడం	anger	0.742
violence	హింస	anger	0.742
horrible	భయంకరమైన	anger	0.742
molestation	వేధింపుల	anger	0.742
bastards	బాస్టర్డ్స్	anger	0.741
revenge	ప్రతీకారం	anger	0.738
catastrophe	విపత్తు	anger	0.735
menacing	భయంకరమైన	anger	0.735
demon	భూతం	anger	0.735
crushing	అణిచివేయడం	anger	0.735
damn	తిట్టు	anger	0.735
persecute	హింసిస్తారు	anger	0.734
argue	వాదిస్తారు	anger	0.734
flog	శిక్షించు	anger	0.734
revolt	తిరుగుబాటు	anger	0.734
thrash	త్రాష్	anger	0.734
deplore	నిందించినా	anger	0.734
warfare	యుద్ధం	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	తీక్షణమైన	anger	0.734
riotous	అల్లరి మూక	anger	0.734
altercation	వాగ్యుద్ధం	anger	0.729
warlike	యుద్ధం తరహాలో	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	తిరుగుబాటు	anger	0.727
castrate	క్యాస్ట్రేట్	anger	0.727
sabotage	విద్రోహ	anger	0.727
malevolent	కపటి	anger	0.721
strike	సమ్మె	anger	0.721
disaster	విపత్తు	anger	0.721
disastrous	ఘోరమైన	anger	0.720
tumult	సువిశాల	anger	0.719
madden	మాడెన్	anger	0.719
devil	డెవిల్	anger	0.719
scream	స్క్రీం	anger	0.719
brutal	క్రూరమైన	anger	0.719
treachery	ద్రోహానికి	anger	0.719
scorching	కాలిపోయాయి	anger	0.719
vermin	క్రిమికీటకాలు	anger	0.719
arseholes	ఆర్స్హోల్స్	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	తీవ్రమవుతుంది	anger	0.719
spiteful	ద్వేషపూరిత	anger	0.719
slay	చంపు	anger	0.719
disdain	రోతను	anger	0.719
choke	చౌక్	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	అరాజకవాదం	anger	0.714
mutilation	వైకల్యం	anger	0.714
criminal	నేర	anger	0.714
denunciation	నింద	anger	0.713
punch	పంచ్	anger	0.713
crucifixion	శిలువ	anger	0.712
virulence	తీవ్రత	anger	0.712
battled	పోరాడారు	anger	0.712
fatal	ప్రాణాంతకమైన	anger	0.712
holocaust	హోలోకాస్ట్	anger	0.712
blasphemous	దైవ	anger	0.712
hurting	దెబ్బతీయకుండా	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	కలతపెట్టే	anger	0.706
atrocious	దారుణమైన	anger	0.706
evil	చెడు	anger	0.706
irritated	విసుగు	anger	0.706
assassin	హంతకుడు	anger	0.703
dicks	dicks	anger	0.703
persecution	హింసను	anger	0.703
slayer	సంహర్త	anger	0.703
kidnap	అపహరించి	anger	0.703
scolding	దూషిస్తూ గడిపినప్పటికీ	anger	0.703
intimidation	బెదిరింపుల	anger	0.703
aggravated	అధికం	anger	0.703
aggression	దూకుడు	anger	0.702
armed	సాయుధ	anger	0.700
poison	పాయిజన్	anger	0.697
snarling	కర్కశమైన	anger	0.697
venom	విషం	anger	0.697
battle	యుద్ధంలో	anger	0.697
disgruntled	అసంతృప్త	anger	0.693
insidious	కృత్రిమ	anger	0.691
assailant	దుండగుడు	anger	0.691
resentment	ఆగ్రహం	anger	0.691
lynch	లించ్	anger	0.690
contemptuous	ధిక్కరిస్తూ	anger	0.690
temper	నిగ్రహాన్ని	anger	0.688
imprisonment	ఖైదు	anger	0.688
disparage	అప్రతిష్ట	anger	0.688
bully	రౌడీ	anger	0.688
terrible	భయంకరమైన	anger	0.688
lunatic	వెర్రివాడు	anger	0.688
curse	శాపం	anger	0.688
makesmemad	makesmemad	anger	0.688
peeved	peeved	anger	0.688
domination	ఆధిపత్యం	anger	0.688
mad	పిచ్చి	anger	0.688
infanticide	శిశుహత్య	anger	0.688
volatility	అస్థిరత	anger	0.687
eradication	నిర్మూలన	anger	0.685
tantrum	ప్రకోపము	anger	0.682
devastate	తీరాన్ని	anger	0.682
eradicate	నిర్మూలించేందుకు	anger	0.682
scoundrel	దుష్టుడు	anger	0.682
aggressively	దూకుడుగా	anger	0.680
agitation	ఆందోళన	anger	0.680
dictatorship	నియంతృత్వాన్ని	anger	0.676
irritates	చికాకుపెడుతుంది	anger	0.676
profanity	అశ్లీల	anger	0.673
egregious	అతిశయించిన	anger	0.672
expletive	పూరకం	anger	0.672
nasty	దుష్ట	anger	0.672
shove	బలంగా త్రోయు	anger	0.672
shot	షాట్	anger	0.672
harmful	హానికర	anger	0.672
aggravation	మరింత ఉధృతం	anger	0.672
contempt	ధిక్కార	anger	0.672
poisonous	విష	anger	0.672
dastardly	dastardly	anger	0.672
shoot	షూట్	anger	0.672
corrupting	చెడగొట్టే	anger	0.672
condemnation	ఖండించారు	anger	0.672
wreak	ప్రకటించు	anger	0.672
crushed	చూర్ణం	anger	0.672
cruelly	దంతాలు	anger	0.672
crime	నేర	anger	0.672
maniac	ఉన్మాది	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	విస్ఫోటనం	anger	0.667
odious	అప్రియమైన	anger	0.667
shooting	షూటింగ్	anger	0.667
kick	కిక్	anger	0.667
aggressive	దూకుడు	anger	0.667
combat	పోరాట	anger	0.667
shout	అరవడం	anger	0.667
hit	హిట్	anger	0.667
fight	పోరాటం	anger	0.667
cutthroat	కట్ త్రోట్	anger	0.667
enemy	శత్రువు	anger	0.667
irritable	ప్రకోప	anger	0.667
punished	శిక్ష	anger	0.662
ambush	ఆకస్మిక	anger	0.661
yell	అరుస్తుంటారు	anger	0.661
harass	వేధించడానికి	anger	0.659
malignant	ప్రాణాంతక	anger	0.656
aggressor	దూకుడు	anger	0.656
antichrist	పాకులాడే	anger	0.656
gore	గోరే	anger	0.656
incense	ధూపం	anger	0.656
expel	తొలగించటానికి	anger	0.656
destruction	విధ్వంసం	anger	0.656
grudge	పగ	anger	0.656
cranky	cranky	anger	0.653
offended	మనస్తాపం	anger	0.652
spank	వేగంగా కదిలించు	anger	0.652
growl	కేక	anger	0.652
insurrection	ఈ తిరుగుబాటులో	anger	0.652
reprisal	ప్రతీకారం	anger	0.652
slave	బానిస	anger	0.652
denounce	బహిరంగంగా	anger	0.652
animosity	శత్రుత్వం	anger	0.652
insulting	అవమానకరమైన	anger	0.652
clashing	వివాదస్పద	anger	0.652
growls	కూతలు	anger	0.649
executioner	తలారి	anger	0.644
twat	ట్వాట్	anger	0.644
doomsday	డూమ్స్డే	anger	0.643
daemon	డెమోన్	anger	0.641
obscenity	అసభ్య	anger	0.641
bombard	బిక్కిరి	anger	0.641
spat	ఉమ్మివేసారు	anger	0.641
havoc	ఆగ్రహంతో	anger	0.641
feud	వైరం	anger	0.641
grr	grr	anger	0.641
arson	ఆర్సన్	anger	0.641
reprimand	తీవ్రంగా మందలించు	anger	0.641
expulsion	బహిష్కరణ	anger	0.641
inexcusable	క్షమార్హం	anger	0.641
accused	ఆరోపణలు	anger	0.641
indignant	ఆగ్రహించిన	anger	0.641
shackle	సంకెలతో	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	గాయం	anger	0.636
suicidal	ఆత్మహత్య	anger	0.636
poisoned	విష	anger	0.636
batter	పిండి	anger	0.636
kicking	తన్నడం	anger	0.636
hanging	వేలాడుతున్న	anger	0.636
spanking	పిరుదులపై	anger	0.636
disgusting	విసుగుగా	anger	0.636
combatant	ప్రత్యక్ష పోరులో	anger	0.636
frustrated	విసుగు	anger	0.636
anarchy	అనార్కి	anger	0.636
glaring	మెరుస్తున్న	anger	0.636
inflict	కలిగించలేకపోయింది	anger	0.633
wrecked	శిధిలమైన	anger	0.633
grievous	దారుణ	anger	0.632
prosecute	శిక్షించడానికి	anger	0.630
agitated	ఆందోళనగా	anger	0.630
cheat	మోసం	anger	0.630
swastika	స్వస్తిక	anger	0.627
defamatory	అపవాదు	anger	0.625
suffocation	ఊపిరి	anger	0.625
strife	కలహాలు	anger	0.625
provocation	రెచ్చగొట్టే	anger	0.625
injure	గాయపరిచే	anger	0.625
harassing	వేధించడమే	anger	0.625
scourge	శాపంగా	anger	0.625
cursing	cursing	anger	0.625
betray	ద్రోహం	anger	0.625
indict	ఆరోపించారు	anger	0.625
raid	దాడి	anger	0.625
thundering	గర్జించే	anger	0.625
enslaved	బానిసలుగా	anger	0.625
arsehole	ఆర్స్హోల్	anger	0.624
insane	పిచ్చి	anger	0.621
fiend	క్రూరుడు	anger	0.621
irritate	చికాకుపరచు	anger	0.621
convict	అపరాధి	anger	0.621
jerk	కుదుపు	anger	0.621
theft	దొంగతనం	anger	0.621
retaliation	ప్రతీకార	anger	0.621
deprivation	లేమి	anger	0.621
cussed	cussed	anger	0.619
turmoil	సంక్షోభం	anger	0.618
smack	స్మాక్	anger	0.615
retribution	ప్రతీకారం	anger	0.614
twats	twats	anger	0.609
intolerable	మోయలేని	anger	0.609
rebellion	తిరుగుబాటు	anger	0.609
injurious	గాయ	anger	0.609
oppressor	హింసించేవాడు	anger	0.609
slavery	బానిసత్వం	anger	0.609
irritability	చిరాకు	anger	0.609
collision	ఖండించు	anger	0.609
bitterly	క్రూరంగా	anger	0.609
gang	ముఠా	anger	0.609
antagonism	చైనాతో	anger	0.609
battery	బ్యాటరీ	anger	0.609
adverse	ప్రతికూల	anger	0.609
disgraced	పరాభవించబడిన	anger	0.608
irritating	చిరాకు	anger	0.606
revolution	విప్లవం	anger	0.606
thug	దోపిడీదారుడు	anger	0.606
diatribe	దూషణను	anger	0.606
bombardment	బాంబు	anger	0.606
blast	పేలుడు	anger	0.606
irks	irks	anger	0.606
sickening	sickening	anger	0.606
discrimination	వివక్ష	anger	0.606
antagonistic	విరుద్ధమైన	anger	0.606
ranting	అరిచాడు	anger	0.606
asshole	గాడిద	anger	0.606
frustrate	భంగము	anger	0.604
manipulation	తారుమారు	anger	0.603
tension	ఉద్రిక్తత	anger	0.603
insult	అవమానాన్ని	anger	0.603
bigot	దురభిమాని	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	బాధించేవి	anger	0.603
oppression	అణచివేతకు	anger	0.603
disgust	అసహ్యము	anger	0.602
spite	ఉన్నప్పటికీ	anger	0.600
intrusive	అనుచిత	anger	0.598
harshness	ఒగరు	anger	0.597
slur	తొందరపాటుతో నిర్లక్ష్యంగా	anger	0.596
wretch	దౌర్భాగ్యుడు	anger	0.594
inferno	దావానలం	anger	0.594
invasion	దాడి	anger	0.594
puncture	పంక్చర్	anger	0.594
miserable	బాధాకరమైన	anger	0.594
assail	assail	anger	0.594
storming	ముట్టడితో	anger	0.594
casualty	ప్రమాద	anger	0.594
bitterness	చేదును	anger	0.594
morbidity	రోగాలకీ	anger	0.594
tempest	టెంపెస్ట్	anger	0.594
consternation	దిగ్భ్రాంతి	anger	0.592
depraved	నైతికంగా హీనమైన	anger	0.591
raving	రావింగ్	anger	0.591
guillotine	గిలెటిన్	anger	0.591
guilty	నేరాన్ని	anger	0.591
immoral	అనైతిక	anger	0.591
forcibly	బలవంతంగా	anger	0.591
overpowering	అమితమైన	anger	0.591
accursed	శాపగ్రస్తుడైన	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	అవిధేయత	anger	0.588
invader	ఆక్రమణదారులను	anger	0.588
scare	భయ పెట్టు	anger	0.588
screwed	ఇరుక్కొనిపోయింది	anger	0.588
indignation	కోపం	anger	0.587
jealousy	అసూయ	anger	0.587
vexed	విసిగిపోయి	anger	0.586
confront	అదుపుచేయలేని	anger	0.582
brute	బ్రూట్	anger	0.581
throttle	థొరెటల్	anger	0.579
wreck	శిధిలాల	anger	0.578
revolver	రివాల్వర్	anger	0.578
slut	నీతి	anger	0.578
yousuck	yousuck	anger	0.578
damage	నష్టం	anger	0.578
butcher	కసాయి	anger	0.578
conflict	సంఘర్షణ	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	నేరప్రవృత్తి	anger	0.578
bickering	అంతర్గత కుమ్ములాటలతో	anger	0.578
pillage	దోచుకోబడటానికి	anger	0.578
blaze	మెరుపు	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	తిరుగుబాటు	anger	0.578
contentious	వివాదస్పద	anger	0.578
incarceration	కారాగారవాసం	anger	0.578
defiant	ధిక్కార	anger	0.578
provoking	రేకెత్తిస్తూ	anger	0.578
lash	కొరడా దెబ్బ	anger	0.578
cancer	కాన్సర్	anger	0.577
frustration	నిరాశ	anger	0.576
gory	నెత్తురు	anger	0.576
alienation	పరాయీకరణ	anger	0.576
discord	అసమ్మతి	anger	0.576
disturbance	భంగం	anger	0.576
grope	చేతులతో నేలపై వెదకు	anger	0.576
condescension	condescension	anger	0.576
pernicious	హానికరంగా	anger	0.576
blasphemy	దైవదూషణ	anger	0.576
discriminate	వివక్ష	anger	0.576
chaotic	అస్తవ్యస్తమైన	anger	0.576
gun	తుపాకీ	anger	0.576
standoff	ప్రతిష్టంభన	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	వెక్కిరించు	anger	0.574
lunacy	మతిభ్రమణానికి	anger	0.574
oppressive	భారంగా	anger	0.574
death	మరణం	anger	0.574
jab	జబ్	anger	0.574
cursed	నిందించారు	anger	0.574
scandalous	స్కాండలస్	anger	0.574
monstrosity	వికారంగా	anger	0.574
shit	ఒంటి	anger	0.573
disparaging	చౌకబారు	anger	0.571
slash	స్లాష్	anger	0.571
unfair	అన్యాయం	anger	0.571
gallows	ఉరి	anger	0.570
escalate	దిగారు	anger	0.569
intolerant	సరిపడని	anger	0.564
lawlessness	అక్రమము	anger	0.563
bluddy	bluddy	anger	0.562
perdition	విధ్వంసం	anger	0.562
taunt	ఆక్షేపణ	anger	0.562
grouchy	దిశ	anger	0.562
torpedo	టార్పెడో	anger	0.562
deceived	మోసపోయానని	anger	0.562
slander	అపవాదు	anger	0.562
retards	retards	anger	0.562
bearish	బేరిష్	anger	0.562
invade	దాడి	anger	0.562
bellows	కొలిమితిత్తి	anger	0.562
beast	మృగం	anger	0.562
frightful	ఘోరముగా	anger	0.562
derogatory	అమర్యాదకరమైన	anger	0.562
glare	కాంతి	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	భయంకరంగా	anger	0.562
traitor	దేశద్రోహి	anger	0.562
malign	దూషించాడు	anger	0.562
wrangling	తలలు పట్టుకుంటున్న	anger	0.562
dissension	అసమ్మతిని	anger	0.561
banshee	Banshee	anger	0.561
shatter	పగిలిపోతాయి	anger	0.561
conflagration	అగ్ని ప్రమాదం	anger	0.561
jeopardize	హాని	anger	0.561
thief	దొంగ	anger	0.561
rave	రావే	anger	0.561
grating	అసహ్యకరమైన	anger	0.561
devastating	విధ్వంసకర	anger	0.561
idiots	ఇడియట్స్	anger	0.561
betrayal	ద్రోహం	anger	0.561
uncontrollable	అనియంత్ర	anger	0.561
fits	నవ్వు	anger	0.561
cross	క్రాస్	anger	0.561
hurt	హర్ట్	anger	0.561
disturbed	చెదిరిన	anger	0.559
subjugation	అణచివేతకు	anger	0.559
stomped	చిందులు	anger	0.557
grab	లాగు	anger	0.557
ticked	ticked	anger	0.556
masochism	మాసుకిజం	anger	0.556
grievance	ఉపద్రవము	anger	0.556
defiance	ధిక్కరణ	anger	0.552
blackmail	బ్లాక్మెయిల్	anger	0.550
offensive	ప్రమాదకర	anger	0.549
decry	ఖండిస్తారు	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ఉల్లంఘన	anger	0.547
punishment	శిక్ష	anger	0.547
shrill	కీచు	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	చీకటి వైపు	anger	0.547
misery	కష్టాలు	anger	0.547
frustrates	విసిగిస్తాడు	anger	0.547
disgraceful	అవమానకరమైన	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	లొంగదీసుకొని నిర్లక్ష్యంగా తయారుచేస్తుంది	anger	0.547
disparity	అంతరానికి	anger	0.547
confine	నిర్బంధించడానికి	anger	0.547
firearms	తుపాకీలను	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	అర్థరహితంగా	anger	0.547
rebel	తిరుగుబాటు	anger	0.547
deceive	మోసం	anger	0.547
stolen	దోచుకున్న	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	పనికిరాని వ్యక్తి	anger	0.545
heated	వేడి	anger	0.545
ruined	వ్యర్థమైంది	anger	0.545
menace	కీడు	anger	0.545
humiliate	కించపరచడం	anger	0.545
tackle	అధిగమించేందుకు	anger	0.545
conspirator	కుట్రదారుగా	anger	0.545
foul	ఫౌల్	anger	0.545
antagonist	ప్రతినాయకుడు	anger	0.545
resentful	తేలింది	anger	0.545
prejudice	పక్షపాతం	anger	0.545
adversary	విరోధి	anger	0.545
argument	వాదన	anger	0.545
skirmish	వాగ్వివాదం	anger	0.545
callous	విచక్షణాజ్ఞానం	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	చిక్కుకొన్న	anger	0.544
robbery	దోపిడీ	anger	0.544
sting	స్టింగ్	anger	0.544
outcry	గొడవ	anger	0.544
grumble	చిలిపి పేచీలు వేయు	anger	0.544
irreconcilable	సాధ్యంకాని	anger	0.543
resistance	ప్రతిఘటన	anger	0.543
obstructive	అబ్స్ట్రక్టివ్	anger	0.542
dismay	బెదిరిస్తూ	anger	0.540
mob	మాబ్	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	చెరుపు	anger	0.536
ridicule	హేళన	anger	0.534
incendiary	దాహక	anger	0.533
flares	మంటలు	anger	0.532
degeneracy	క్షీణించుట	anger	0.531
confinement	నిర్బంధంలో	anger	0.531
exacerbation	ముదిరినప్పుడు	anger	0.531
prejudicial	పక్షపాతం లేకుండా	anger	0.531
uprising	తిరుగుబాటు	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	నిర్లక్ష్యంగా	anger	0.531
unbridled	హద్దులేని	anger	0.531
allegation	ఆరోపణలను	anger	0.531
communism	కమ్యూనిజం	anger	0.531
whip	విప్	anger	0.531
intruder	అక్రమంగా	anger	0.531
dispute	వివాదం	anger	0.531
belittle	చులకన	anger	0.531
bigoted	సంకుచిత	anger	0.530
offender	నిందితుడి	anger	0.530
hassle	అవాంతరం	anger	0.530
dissonance	వైరుధ్యం	anger	0.530
unjust	అన్యాయ	anger	0.530
dictatorial	నియంతృత్వ	anger	0.530
unjustifiable	సమర్థించలేనిదని	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	వక్రబుద్ధి	anger	0.530
tackled	మరొకటి	anger	0.530
renegade	రేనీగ్రేడ్	anger	0.529
hot	వేడి	anger	0.529
prison	జైలు	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	అపరాధ పరిహారార్థ	anger	0.529
suicide	ఆత్మాహుతి	anger	0.521
annoy	బాధించు	anger	0.520
leavemealone	నన్ను ఒంటరిగా వదిలేయ్	anger	0.517
idiotic	idiotic	anger	0.516
distrust	అపనమ్మకం	anger	0.516
depravity	దుర్మార్గం	anger	0.516
cretins	Crétins	anger	0.516
divorce	విడాకులు	anger	0.516
broil	అఱపులతో కూడిన తగాదా	anger	0.516
grrr	గుర్	anger	0.516
venting	venting	anger	0.516
inimical	వ్యతిరేకమైన	anger	0.516
duress	బలప్రయోగ	anger	0.516
disrespectful	అగౌరవంగా	anger	0.516
tortious	తోర్శియాస్	anger	0.516
criticize	విమర్శించడానికి	anger	0.516
prisoner	ఖైదీ	anger	0.516
dishonest	నిజాయితీ	anger	0.516
treason	రాజద్రోహం	anger	0.516
victimized	బాధితురాలి	anger	0.515
bile	పైత్య	anger	0.515
unkind	నిర్దయగా	anger	0.515
