word	Armenian-hy	emotion	emotion-intensity-score
deplore	դավաճանություն	anger	0.734
warfare	պատերազմը	anger	0.734
fedup	կշտացած	anger	0.734
vehement	հալածանք	anger	0.734
riotous	կոպիտ	anger	0.734
altercation	խառնաշփոթություն	anger	0.729
warlike	պատերազմական	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	կոտորածը	anger	0.727
castrate	գցել	anger	0.727
sabotage	դիվերսիա	anger	0.727
malevolent	չարամիտ	anger	0.721
strike	գործադուլ	anger	0.721
disaster	աղետ	anger	0.721
disastrous	աղետալի	anger	0.720
tumult	աղմկոտ	anger	0.719
madden	madden	anger	0.719
devil	Սատանա	anger	0.719
scream	ցնցող	anger	0.719
brutal	դաժան	anger	0.719
treachery	դավաճանություն	anger	0.719
scorching	կարկտահարություն	anger	0.719
vermin	վնասատու	anger	0.719
arseholes	արշալույսներ	anger	0.719
horseshit	ձիավարություն	anger	0.719
aggravates	խորացնում է	anger	0.719
spiteful	ցնցող	anger	0.719
slay	սպանություն	anger	0.719
disdain	անհանգստություն	anger	0.719
choke	խեղդել	anger	0.719
bastarding	անպիտան	anger	0.719
mangle	մանգաղ	anger	0.714
anarchism	անարխիզմ	anger	0.714
mutilation	վնասվածքներ	anger	0.714
criminal	քրեական	anger	0.714
denunciation	չեղյալ հայտարարություն	anger	0.713
punch	դակիչ	anger	0.713
crucifixion	խաչելություն	anger	0.712
virulence	վիրավորանք	anger	0.712
battled	բախվելով	anger	0.712
fatal	ճակատագրական	anger	0.712
holocaust	Հոլոքոստ	anger	0.712
blasphemous	հայհոյանքներ	anger	0.712
hurting	վնասված	anger	0.712
dumbasses	դամբարաններ	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ծնված	anger	0.706
atrocious	հեգնանքով	anger	0.706
evil	չարիք	anger	0.706
irritated	նյարդայնացած	anger	0.706
assassin	մարդասպան	anger	0.703
dicks	դիկս	anger	0.703
persecution	հալածանք	anger	0.703
slayer	մարդասպան	anger	0.703
kidnap	առեւանգել	anger	0.703
scolding	զրպարտություն	anger	0.703
intimidation	ահաբեկում	anger	0.703
aggravated	ծանրացվեց	anger	0.703
aggression	ագրեսիա	anger	0.702
armed	զինված	anger	0.700
poison	թույնը	anger	0.697
snarling	ստրկացում	anger	0.697
venom	թունավոր	anger	0.697
battle	ճակատամարտը	anger	0.697
disgruntled	դժգոհ	anger	0.693
insidious	նողկալի	anger	0.691
assailant	հարձակվողը	anger	0.691
resentment	Զայրույթ	anger	0.691
lynch	lynch	anger	0.690
contemptuous	արհամարհական	anger	0.690
temper	բնավորություն	anger	0.688
imprisonment	ազատազրկում	anger	0.688
disparage	անհամապատասխանություն	anger	0.688
bully	բուլղա	anger	0.688
terrible	սարսափելի	anger	0.688
lunatic	զարմանալի	anger	0.688
curse	անիծել	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	փեսացուն	anger	0.688
domination	տիրապետություն	anger	0.688
mad	խելագար	anger	0.688
infanticide	մանկատուն	anger	0.688
volatility	անկայունություն	anger	0.687
eradication	վերացմանը	anger	0.685
tantrum	տոնակատարություն	anger	0.682
devastate	կործանարար	anger	0.682
eradicate	վերացնելը	anger	0.682
scoundrel	ցնցող	anger	0.682
aggressively	ագրեսիվորեն	anger	0.680
agitation	քարոզչություն	anger	0.680
dictatorship	դիկտատուրա	anger	0.676
irritates	նյարդայնացնում է	anger	0.676
profanity	անպարկեշտություն	anger	0.673
egregious	բռնակալ	anger	0.672
expletive	բացարձակ	anger	0.672
nasty	կոպիտ	anger	0.672
shove	խոթել	anger	0.672
shot	կրակոց	anger	0.672
harmful	վնասակար	anger	0.672
aggravation	ուժեղացում	anger	0.672
contempt	արհամարհանք	anger	0.672
poisonous	թունավոր	anger	0.672
dastardly	դաժանորեն	anger	0.672
shoot	կրակել	anger	0.672
corrupting	կոռումպացված	anger	0.672
condemnation	դատապարտում	anger	0.672
wreak	լարվածություն	anger	0.672
crushed	մանրացված	anger	0.672
cruelly	դաժանորեն	anger	0.672
crime	հանցանք	anger	0.672
maniac	մոլագար	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ժայթքում	anger	0.667
odious	կոպիտ	anger	0.667
shooting	կրակոցներ	anger	0.667
kick	քացի	anger	0.667
aggressive	ագրեսիվ	anger	0.667
combat	մարտական	anger	0.667
shout	բղավում	anger	0.667
hit	հարվածել է	anger	0.667
fight	պայքարը	anger	0.667
cutthroat	կոտլետ	anger	0.667
enemy	թշնամին	anger	0.667
irritable	գրգռված	anger	0.667
punished	պատժվում	anger	0.662
ambush	դարանակալ	anger	0.661
yell	գոռալ	anger	0.661
harass	ոտնահարել	anger	0.659
malignant	չարորակ	anger	0.656
aggressor	ագրեսոր	anger	0.656
antichrist	նեռ	anger	0.656
gore	գոռում	anger	0.656
incense	խունկ	anger	0.656
expel	հեռացնել	anger	0.656
destruction	ոչնչացում	anger	0.656
grudge	խայտառակություն	anger	0.656
cranky	խելագար	anger	0.653
offended	վիրավորվել	anger	0.652
spank	սպանդ	anger	0.652
growl	աճել	anger	0.652
insurrection	կոտորածը	anger	0.652
reprisal	ռեպրեսիան	anger	0.652
slave	ստրուկ	anger	0.652
denounce	դատապարտում	anger	0.652
animosity	թշնամություն	anger	0.652
insulting	վիրավորական	anger	0.652
clashing	ծեծկռտուք	anger	0.652
growls	աճել	anger	0.649
executioner	դահիճ	anger	0.644
twat	թռիչք	anger	0.644
doomsday	կեսօրին	anger	0.643
daemon	օր	anger	0.641
obscenity	անպարկեշտություն	anger	0.641
bombard	ռմբակոծություն	anger	0.641
spat	սպա	anger	0.641
havoc	կործանում	anger	0.641
feud	թշնամանք	anger	0.641
grr	grr	anger	0.641
arson	հրդեհը	anger	0.641
reprimand	խայտառակություն	anger	0.641
expulsion	արտաքսումը	anger	0.641
inexcusable	անպարտելի	anger	0.641
accused	մեղադրյալը	anger	0.641
indignant	վրդովված	anger	0.641
shackle	հոլլ	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	վերքը	anger	0.636
suicidal	ինքնասպանություն	anger	0.636
poisoned	թունավորվել	anger	0.636
batter	խառնուրդը	anger	0.636
kicking	համբուրեց	anger	0.636
hanging	կախված	anger	0.636
spanking	Սպեկուլում	anger	0.636
disgusting	զզվելի	anger	0.636
combatant	մարտիկ	anger	0.636
frustrated	հիասթափված	anger	0.636
anarchy	անարխիա	anger	0.636
glaring	գոռում	anger	0.636
inflict	պատճառել	anger	0.633
wrecked	վթարված	anger	0.633
grievous	ծանր	anger	0.632
prosecute	հետապնդում	anger	0.630
agitated	ցնցված	anger	0.630
cheat	խաբել	anger	0.630
swastika	սվաստիկա	anger	0.627
defamatory	զրպարտություն	anger	0.625
suffocation	խեղդում	anger	0.625
strife	հակամարտություն	anger	0.625
provocation	սադրանք	anger	0.625
injure	վնասը	anger	0.625
harassing	ոտնահարում	anger	0.625
scourge	խայտառակություն	anger	0.625
cursing	անեծք	anger	0.625
betray	դավաճանել	anger	0.625
indict	մեղադրանք	anger	0.625
raid	արշավանք	anger	0.625
thundering	գիշատիչը	anger	0.625
enslaved	ստրուկը	anger	0.625
arsehole	արշալույս	anger	0.624
insane	խելագար	anger	0.621
fiend	ջահել	anger	0.621
irritate	նյարդայնացնում	anger	0.621
convict	դատապարտյալ	anger	0.621
jerk	բռնել	anger	0.621
theft	գողությունը	anger	0.621
retaliation	հակահարված	anger	0.621
deprivation	զրկանք	anger	0.621
cussed	խելագարված	anger	0.619
turmoil	ցնցում	anger	0.618
smack	ծուխը	anger	0.615
retribution	պատիժը	anger	0.614
twats	բեւեռներ	anger	0.609
intolerable	անհանդուրժող	anger	0.609
rebellion	ապստամբություն	anger	0.609
injurious	վնասակար	anger	0.609
oppressor	ճնշողներ	anger	0.609
slavery	ստրկություն	anger	0.609
irritability	անհանգստություն	anger	0.609
collision	բախում	anger	0.609
bitterly	դառնությամբ	anger	0.609
gang	խմբավորումը	anger	0.609
antagonism	հակադեոիզմ	anger	0.609
battery	մարտկոցը	anger	0.609
adverse	անբարենպաստ	anger	0.609
disgraced	խանդավառությամբ	anger	0.608
irritating	նյարդայնացնում	anger	0.606
revolution	հեղափոխություն	anger	0.606
thug	գողություն	anger	0.606
diatribe	դիաթրիբե	anger	0.606
bombardment	ռմբակոծություն	anger	0.606
blast	պայթյուն	anger	0.606
irks	Իռս	anger	0.606
sickening	հիվանդություն	anger	0.606
discrimination	խտրականություն	anger	0.606
antagonistic	հակադեոնտիվ	anger	0.606
ranting	ռինգում	anger	0.606
asshole	Փրչոտ	anger	0.606
frustrate	զզվանք	anger	0.604
manipulation	մանիպուլյացիա	anger	0.603
tension	լարում	anger	0.603
insult	վիրավորանք	anger	0.603
bigot	բլոկ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	վնասակար	anger	0.603
oppression	ճնշումը	anger	0.603
disgust	ցնցում	anger	0.602
spite	չնայած	anger	0.600
intrusive	միջամտող	anger	0.598
harshness	կոպիտություն	anger	0.597
slur	slur	anger	0.596
wretch	ցեխ	anger	0.594
inferno	ինֆլյո	anger	0.594
invasion	ներխուժում	anger	0.594
puncture	պոկելը	anger	0.594
miserable	թշվառ	anger	0.594
assail	հարձակման	anger	0.594
storming	փոթորկին	anger	0.594
casualty	դժբախտ պատահար	anger	0.594
bitterness	դառնություն	anger	0.594
morbidity	հիվանդություն	anger	0.594
tempest	շոգին	anger	0.594
consternation	ցնծություն	anger	0.592
depraved	անմարդկային	anger	0.591
raving	գայթակղություն	anger	0.591
guillotine	գիլյոտինը	anger	0.591
guilty	մեղավոր	anger	0.591
immoral	անբարոյական	anger	0.591
forcibly	բռնի	anger	0.591
overpowering	գերակշռում	anger	0.591
accursed	անիծված	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	վերահաշվարկիչ	anger	0.588
invader	զավթիչ	anger	0.588
scare	վախեցնել	anger	0.588
screwed	պտուտակով	anger	0.588
indignation	վրդովմունք	anger	0.587
jealousy	խանդը	anger	0.587
vexed	զայրացած	anger	0.586
confront	դիմակայելու համար	anger	0.582
brute	կոպիտ	anger	0.581
throttle	շնչափող	anger	0.579
wreck	վթար	anger	0.578
revolver	ատրճանակ	anger	0.578
slut	Ֆանտազիա	anger	0.578
yousuck	yousuck	anger	0.578
damage	վնաս	anger	0.578
butcher	մսագործ	anger	0.578
conflict	կոնֆլիկտ	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	հանցագործություն	anger	0.578
bickering	բախվելով	anger	0.578
pillage	թալան	anger	0.578
blaze	ալիքը	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	հեղաշրջում	anger	0.578
contentious	վիճելի	anger	0.578
incarceration	կալանավորումը	anger	0.578
defiant	հանդուգն	anger	0.578
provoking	հրահրում	anger	0.578
lash	ծածկոց	anger	0.578
cancer	քաղցկեղ	anger	0.577
frustration	վրդովմունքն է	anger	0.576
gory	գորշ	anger	0.576
alienation	օտարումը	anger	0.576
discord	անհամաձայնություն	anger	0.576
disturbance	խանգարում	anger	0.576
grope	grope	anger	0.576
condescension	գաղտնալսումը	anger	0.576
pernicious	վնասակար	anger	0.576
blasphemy	հայհոյանք	anger	0.576
discriminate	խտրականություն	anger	0.576
chaotic	քաոսային	anger	0.576
gun	հրացանը	anger	0.576
standoff	դիմակայություն	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	խայտառակություն	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	ճնշող	anger	0.574
death	մահ	anger	0.574
jab	ժապ	anger	0.574
cursed	անիծված	anger	0.574
scandalous	սկանդալային	anger	0.574
monstrosity	հրեշավորություն	anger	0.574
shit	բլիթ	anger	0.573
disparaging	անհանգստացնող	anger	0.571
slash	կտրատել	anger	0.571
unfair	անարդար	anger	0.571
gallows	ծակոտկեն	anger	0.570
escalate	աճել	anger	0.569
intolerant	անհանդուրժող	anger	0.564
lawlessness	անօրինականություն	anger	0.563
bluddy	մռայլ	anger	0.562
perdition	կորուստը	anger	0.562
taunt	խայտառակություն	anger	0.562
grouchy	տխուր	anger	0.562
torpedo	torpedo	anger	0.562
deceived	խաբված	anger	0.562
slander	զրպարտություն	anger	0.562
retards	հետաձգումներ	anger	0.562
bearish	կրծքավանդակը	anger	0.562
invade	ներխուժել	anger	0.562
bellows	բլիթներ	anger	0.562
beast	գազան	anger	0.562
frightful	սարսափելի	anger	0.562
derogatory	հերքող	anger	0.562
glare	շողալ	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	սարսափելի	anger	0.562
traitor	դավաճան	anger	0.562
malign	չարորակ	anger	0.562
wrangling	վախկոտություն	anger	0.562
dissension	հակասություն	anger	0.561
banshee	banshee	anger	0.561
shatter	ջարդվել	anger	0.561
conflagration	բռնկում	anger	0.561
jeopardize	վտանգավոր է	anger	0.561
thief	գող	anger	0.561
rave	խթանել	anger	0.561
grating	grating	anger	0.561
devastating	կործանարար	anger	0.561
idiots	ապուշներ	anger	0.561
betrayal	դավաճանություն	anger	0.561
uncontrollable	անվերահսկելի	anger	0.561
fits	համապատասխանում է	anger	0.561
cross	Խաչ	anger	0.561
hurt	վիրավորվել	anger	0.561
disturbed	անհանգստացած է	anger	0.559
subjugation	ենթադրություն	anger	0.559
stomped	դադարեցրեց	anger	0.557
grab	կողոպտել	anger	0.557
ticked	տված	anger	0.556
masochism	մազոխիզմ	anger	0.556
grievance	դժգոհությունը	anger	0.556
defiance	դավաճանություն	anger	0.552
blackmail	շանտաժը	anger	0.550
offensive	վիրավորական	anger	0.549
decry	հեգնանքով	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	խախտում	anger	0.547
punishment	պատիժը	anger	0.547
shrill	շրիլ	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	մութ կողմ	anger	0.547
misery	թշվառություն	anger	0.547
frustrates	խանգարում է	anger	0.547
disgraceful	խայտառակություն	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ուժեղացում	anger	0.547
disparity	անհավասարություն	anger	0.547
confine	սահմանափակել	anger	0.547
firearms	հրազեն	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	անբարոյական	anger	0.547
rebel	ապստամբություն	anger	0.547
deceive	խաբել	anger	0.547
stolen	գողացել	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	ջեռուցվում է	anger	0.545
ruined	ավերված	anger	0.545
menace	սպառնալիք	anger	0.545
humiliate	նվաստացնելը	anger	0.545
tackle	լուծում	anger	0.545
conspirator	դավադիրը	anger	0.545
foul	մազերը	anger	0.545
antagonist	հակառակորդը	anger	0.545
resentful	դժգոհ	anger	0.545
prejudice	նախապաշարմունքը	anger	0.545
adversary	հակառակորդին	anger	0.545
argument	փաստարկ	anger	0.545
skirmish	թռիչք	anger	0.545
callous	քաղցրավենիք	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	խճճված	anger	0.544
robbery	կողոպտում	anger	0.544
sting	սթինգ	anger	0.544
outcry	աղաղակ	anger	0.544
grumble	հեգնանքով	anger	0.544
irreconcilable	անհաշտ	anger	0.543
resistance	դիմադրություն	anger	0.543
obstructive	խանգարող	anger	0.542
dismay	անհանգստություն	anger	0.540
mob	ամբոխը	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	վատություն	anger	0.536
ridicule	Ծիծաղում	anger	0.534
incendiary	հուզիչ	anger	0.533
flares	բռնկումներ	anger	0.532
degeneracy	անպտղություն	anger	0.531
confinement	ազատազրկում	anger	0.531
exacerbation	ալեկոծություն	anger	0.531
prejudicial	վնասակար	anger	0.531
uprising	ապստամբություն	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	անխոհեմ	anger	0.531
unbridled	անսասան	anger	0.531
allegation	մեղադրանք	anger	0.531
communism	կոմունիզմ	anger	0.531
whip	բռունցք	anger	0.531
intruder	ներխուժում	anger	0.531
dispute	վեճ	anger	0.531
belittle	գայթակղիչ	anger	0.531
bigoted	բիոտոներ	anger	0.530
offender	հանցագործին	anger	0.530
hassle	Հեշտություն	anger	0.530
dissonance	անհամապատասխանություն	anger	0.530
unjust	անարդարություն	anger	0.530
dictatorial	դիկտատորական	anger	0.530
unjustifiable	անհիմն	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	խախտում	anger	0.530
tackled	լուծված	anger	0.530
renegade	ռեգենդի	anger	0.529
hot	տաք	anger	0.529
prison	բանտ	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	հանցագործություն	anger	0.529
suicide	ինքնասպանություն	anger	0.521
annoy	ցնցում	anger	0.520
leavemealone	ինձ մենակ թող	anger	0.517
idiotic	Սխալ	anger	0.516
distrust	անվստահություն, կասկած	anger	0.516
depravity	անբարոյականություն	anger	0.516
cretins	ծաղիկներ	anger	0.516
divorce	ամուսնալուծությունը	anger	0.516
broil	բռունցք	anger	0.516
grrr	grrr	anger	0.516
venting	օդափոխություն	anger	0.516
inimical	անիմաստ	anger	0.516
duress	ճնշում	anger	0.516
disrespectful	անհարգալից վերաբերմունք	anger	0.516
tortious	տխրահռչակ	anger	0.516
criticize	քննադատել	anger	0.516
prisoner	բանտարկյալ	anger	0.516
dishonest	անազնիվ	anger	0.516
treason	դավաճանություն	anger	0.516
victimized	զոհաբերված	anger	0.515
bile	էլ-նամակ	anger	0.515
unkind	անխախտ	anger	0.515
unforgiving	անմոռանալի	anger	0.515
unleash	սանձազերծել	anger	0.515
coercion	հարկադրանքը	anger	0.515
scold	խաբեություն	anger	0.515
chaos	քաոս	anger	0.515
grump	խեղդել	anger	0.515
roar	մռնչյուն	anger	0.515
jerks	ժայռեր	anger	0.515
poaching	որսագողությունը	anger	0.515
hangry	հագնված	anger	0.515
pow	փոփ	anger	0.515
poachers	ոստիկաններ	anger	0.515
argumentation	փաստարկը	anger	0.515
frustrating	զայրացնում է	anger	0.515
tussle	տառապում	anger	0.514
bane	գողանալ	anger	0.511
accusation	մեղադրանք	anger	0.510
repudiation	հրաժարվելով	anger	0.510
enmity	թշնամություն	anger	0.510
banish	հեռացնել	anger	0.509
disfigured	աղքատացած	anger	0.508
storm	փոթորիկ	anger	0.507
shun	խուսափել	anger	0.500
suppression	ճնշումը	anger	0.500
unruly	անխոհեմ	anger	0.500
intractable	անհնար է	anger	0.500
ordeal	փորձություն	anger	0.500
obstruct	խանգարել	anger	0.500
derogation	շեղում	anger	0.500
fervor	տխուր	anger	0.500
foaming	փրփրացող	anger	0.500
derision	հալածանք	anger	0.500
animus	անիմուս	anger	0.500
rejects	մերժում է	anger	0.500
bout	մենամարտը	anger	0.500
spear	նիզակ	anger	0.500
crazy	խելագար	anger	0.500
brazen	խաբեություն	anger	0.500
antithesis	հակաթույն	anger	0.500
injustice	անարդարություն	anger	0.500
banished	հեռացվեց	anger	0.500
confined	սահմանափակված	anger	0.500
frenzied	բախվելով	anger	0.500
dominate	գերիշխող	anger	0.500
disrupting	խանգարելով	anger	0.500
hammering	հարվածելու համար	anger	0.500
fear	վախը	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	տառապանք	anger	0.500
brunt	բրնձով	anger	0.500
possessed	ունեցվածքը	anger	0.500
defy	դեֆի	anger	0.500
scoff	խայտառակություն	anger	0.500
patronising	հովանավորչություն	anger	0.500
delusional	նողկալի	anger	0.500
malpractice	անօրինական գործողություններ	anger	0.500
reject	մերժել	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	կոշտություն	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	խելագարություն	anger	0.491
sinful	մեղավոր	anger	0.491
avarice	ավarice	anger	0.490
