word	Sinhala (Sinhalese)-si	emotion	emotion-intensity-score
venomous	ඊර්ෂ්යාකාරී ය	anger	0.818
threaten	තර්ජනය	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	ත්රස්තවාදී	anger	0.818
abhor	පිළිකුල්	anger	0.816
savage	රෞද්ර වෘකයන්	anger	0.814
atrocity	ම්ලේච්ඡත්වය	anger	0.814
carnage	මිනිස් සංහාරය	anger	0.814
berserk	නරකයි	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	අපයෙදුම්	anger	0.812
tyrant	ටයිග්රන්ට්	anger	0.812
fucksake	ඉස්කෝලෙ	anger	0.812
pissedoff	යන්ට ගියා	anger	0.812
vendetta	පචයකි	anger	0.812
fierce	දරුණු විය	anger	0.812
destroyer	විනාශකාරකය	anger	0.812
pissesmeoff	පිබිදෙව්!	anger	0.812
fuming	ගසාගෙන ඇත	anger	0.812
barbaric	ම්ලේච්ඡය	anger	0.812
anger	කෝපය	anger	0.811
pieceofshit	කවියක්	anger	0.810
slam	පැන්නුවා	anger	0.803
fights	සටන් කරයි	anger	0.803
punched	පයින් ගැසීම	anger	0.803
bitch	බැල්ලි	anger	0.803
punching	සිදුරු කිරීම	anger	0.803
homicide	මිනීමැරුමකට	anger	0.803
destructive	විනාශකාරීයි	anger	0.797
ruthless	අනුකම්පා විරහිත ය	anger	0.797
villainous	දුෂ්ටයි	anger	0.797
slap	බෑගය	anger	0.791
slaughterhouse	සත්ව ඝාතකාගාරය	anger	0.788
punishing	දඬුවම් කිරීම	anger	0.788
destroyed	විනාශ කර ඇත	anger	0.788
retaliatory	ප්රතිප්රහාර එල්ල කරයි	anger	0.788
riot	කැරැල්ල	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	කෑ ගැසූහ	anger	0.788
growthefuckup	වැඩුණත්	anger	0.788
diabolical	ත්රිපිටකය	anger	0.788
manslaughter	මිනීමරුවා	anger	0.783
clash	ගැටුමකි	anger	0.783
bloody	ලේ වැගිරීමකි	anger	0.781
hellish	නිරයට	anger	0.781
loath	පිළිකුලකි	anger	0.781
detonation	පුපුරායාම	anger	0.781
quarrel	රණ්ඩු විය	anger	0.781
sinister	නරකයි	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	චෝදනා කරයි	anger	0.779
treacherous	ද්රෝහී ය	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ප්රතිප්රහාර එල්ල කරනවා	anger	0.773
revulsion	විකාරයකි	anger	0.773
madder	මැඩිය	anger	0.773
horrific	භයානකයි	anger	0.773
scorn	අවමානයක්	anger	0.769
deplorable	නරකයි	anger	0.766
bomb	බෝම්බය	anger	0.766
anarchist	අරාජකවාදී ය	anger	0.765
devastation	ව්යසනය	anger	0.765
resent	අසභ්ය	anger	0.765
firestorm	ගිනි කන්දක්	anger	0.765
contemptible	පිලිකුලකි	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	කුරිරුයි	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	මාරාන්තිකයි	anger	0.758
smash	කඩා බිඳ දමන්න	anger	0.758
rant	බඩගිනි	anger	0.758
outburst	පිපිරීමක්	anger	0.757
snarl	කණගාටුයි	anger	0.754
profane	නරකයි	anger	0.750
offend	වැරදියි	anger	0.750
douchebags	ඩූෂබාබ්	anger	0.750
growling	රස්නෙයි	anger	0.750
stfu	ස්තූතියි	anger	0.750
vulgarity	කෲරත්වය	anger	0.750
dontmesswithme	දන්නේ නැහැ	anger	0.750
crazed	කෙඳිරියක් විය	anger	0.750
despise	අවමන් කරනවා	anger	0.750
horror	භීෂණය	anger	0.750
aggravating	උග්රවීම	anger	0.750
revolting	කැරලිකාර	anger	0.750
fuckedoff	ජිවිතේ	anger	0.742
threat	තර්ජනය	anger	0.742
erupt	පුපුරා ගියේය	anger	0.742
screaming	කෑ ගැසූහ	anger	0.742
violence	ප්රචණ්ඩත්වය	anger	0.742
horrible	භයානකයි	anger	0.742
molestation	ලිංගික අතවර කිරීම	anger	0.742
bastards	අවජාතකයෝ	anger	0.741
revenge	පළිගැනීම	anger	0.738
catastrophe	ව්යසනය	anger	0.735
menacing	තර්ජනාත්මකයි	anger	0.735
demon	යක්ෂයා	anger	0.735
crushing	තැළීම	anger	0.735
damn	අපොයි	anger	0.735
persecute	පීඩා කරන්න	anger	0.734
argue	වාද කරනවා	anger	0.734
flog	බ්ලොග්	anger	0.734
revolt	කැරැල්ල	anger	0.734
thrash	හයිය	anger	0.734
deplore	කනස්සල්ලට	anger	0.734
warfare	යුද්ධයයි	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	වෙහෙසකරයි	anger	0.734
riotous	කැරලිකාර	anger	0.734
altercation	කැරැල්ල	anger	0.729
warlike	යුධබව	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	කැරලිකාරකමයි	anger	0.727
castrate	කැස්ත්රේටය	anger	0.727
sabotage	කඩාකප්පල්	anger	0.727
malevolent	අනර්ථකාරී වේ	anger	0.721
strike	වර්ජනය	anger	0.721
disaster	ව්යසනයයි	anger	0.721
disastrous	ව්යසනකාරී විය	anger	0.720
tumult	කැලඹිලිකමකි	anger	0.719
madden	පිස්සෙක් විය	anger	0.719
devil	යක්ෂයා	anger	0.719
scream	කෑගහන්න	anger	0.719
brutal	කෲර ය	anger	0.719
treachery	ද්රෝහීත්වය	anger	0.719
scorching	උෂ්ණත්වයයි	anger	0.719
vermin	පණුවන්	anger	0.719
arseholes	අයත්වේ	anger	0.719
horseshit	අළුත්කලේය	anger	0.719
aggravates	උග්රවී තිබේ	anger	0.719
spiteful	නරකයි	anger	0.719
slay	වනසනවා	anger	0.719
disdain	අවඥාව	anger	0.719
choke	කුහකය	anger	0.719
bastarding	අවජාතකයෝ ය	anger	0.719
mangle	මිනිහෙක්	anger	0.714
anarchism	අරාජිකය	anger	0.714
mutilation	විරල කිරීම	anger	0.714
criminal	අපරාධ	anger	0.714
denunciation	හෙලාදැකීමයි	anger	0.713
punch	පන්ච්	anger	0.713
crucifixion	කුරුසපත්	anger	0.712
virulence	වෛරයෙන්	anger	0.712
battled	සටන් කළා	anger	0.712
fatal	මාරාන්තිකයි	anger	0.712
holocaust	හොලොකෝස්ටය	anger	0.712
blasphemous	අවමන් කිරීම	anger	0.712
hurting	රිදෙනවා	anger	0.712
dumbasses	ගොළුබෙල්ලන්	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	නරකයි	anger	0.706
atrocious	නරකයි	anger	0.706
evil	නපුරයි	anger	0.706
irritated	නොසන්සුන් විය	anger	0.706
assassin	ඝාතකයා	anger	0.703
dicks	ඩික්ස්	anger	0.703
persecution	පීඩා	anger	0.703
slayer	ඝාතකයා	anger	0.703
kidnap	පැහැරගෙන ගියා	anger	0.703
scolding	අවලාද	anger	0.703
intimidation	බිය ගැන්වීම්	anger	0.703
aggravated	උග්රවී තිබේ	anger	0.703
aggression	ආක්රමණිකය	anger	0.702
armed	සන්නද්ධ විය	anger	0.700
poison	වස	anger	0.697
snarling	ගොරෝසුයි	anger	0.697
venom	සළුවකි	anger	0.697
battle	සටනක්	anger	0.697
disgruntled	නොසිතූ	anger	0.693
insidious	යටහත් පහත්	anger	0.691
assailant	දඩයම	anger	0.691
resentment	අමනාපය	anger	0.691
lynch	ලින්ච්	anger	0.690
contemptuous	අවඥාව	anger	0.690
temper	බඩගිනි	anger	0.688
imprisonment	සිරගත කිරීමයි	anger	0.688
disparage	අවඥාවට ලක්වේ	anger	0.688
bully	අරියාදු කරනවා	anger	0.688
terrible	භයානක ය	anger	0.688
lunatic	ලන්ඩන්	anger	0.688
curse	ශාපය	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	කපයි	anger	0.688
domination	ආධිපත්යය	anger	0.688
mad	පිස්සු	anger	0.688
infanticide	ළදරුවන්	anger	0.688
volatility	විචලනය	anger	0.687
eradication	මර්දනය කිරීමයි	anger	0.685
tantrum	පාත්තයි	anger	0.682
devastate	ව්යසනය	anger	0.682
eradicate	මුලිනුපුටා දැමීමයි	anger	0.682
scoundrel	බොරු	anger	0.682
aggressively	ආක්රමනකාරී ලෙස	anger	0.680
agitation	උද්ඝෝෂණය	anger	0.680
dictatorship	ආඥාදායකත්වය	anger	0.676
irritates	තරහයි	anger	0.676
profanity	අවලස්සන	anger	0.673
egregious	ගැත්තන්	anger	0.672
expletive	පිළිකුලකි	anger	0.672
nasty	මෝඩයි	anger	0.672
shove	ෂෝව්	anger	0.672
shot	වෙඩි තියලා	anger	0.672
harmful	හානිකර වේ	anger	0.672
aggravation	උග්රවීම	anger	0.672
contempt	පිලිකුලකි	anger	0.672
poisonous	විෂ වේ	anger	0.672
dastardly	කෲර ය	anger	0.672
shoot	වෙඩි තියන්න	anger	0.672
corrupting	දූෂිතයි	anger	0.672
condemnation	හෙළා දකිනවා	anger	0.672
wreak	ද්රෝහි වුණා	anger	0.672
crushed	තලා දැමීම	anger	0.672
cruelly	කුරිරුයි	anger	0.672
crime	අපරාධය	anger	0.672
maniac	මිනිහා	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	පුපුරායාමයි	anger	0.667
odious	කණගාටුදායකයි	anger	0.667
shooting	වෙඩි තැබීම	anger	0.667
kick	පොල්ලක්	anger	0.667
aggressive	ආක්රමණශීලී විය	anger	0.667
combat	සටන් කරන්න	anger	0.667
shout	කෑගහන්න	anger	0.667
hit	පහර	anger	0.667
fight	සටන් කරන්න	anger	0.667
cutthroat	කපා	anger	0.667
enemy	සතුරා	anger	0.667
irritable	නොසන්සුන් විය හැකිය	anger	0.667
punished	දඬුවම් ලැබුවා	anger	0.662
ambush	සැඟවී සිටින්න	anger	0.661
yell	කෑගැසුවා	anger	0.661
harass	හිරිහැරයක්	anger	0.659
malignant	පිළිකුල් සහගතය	anger	0.656
aggressor	ආක්රමණිකයා	anger	0.656
antichrist	අන්තක්රිස්තුස්	anger	0.656
gore	ගෝර්	anger	0.656
incense	සුවඳ ද්රව්යය	anger	0.656
expel	නෙරපා හරිනු ඇත	anger	0.656
destruction	විනාශයයි	anger	0.656
grudge	අමනාපය	anger	0.656
cranky	හරිම දුකයි	anger	0.653
offended	සිත් රිදවනු ඇත	anger	0.652
spank	ඉපිලෙන්න	anger	0.652
growl	අඬන්න	anger	0.652
insurrection	නැගිටීම	anger	0.652
reprisal	පළිගැනීමක්	anger	0.652
slave	දාසය	anger	0.652
denounce	හෙලා දැකිය හැකිය	anger	0.652
animosity	එදිරිවාදුකම්	anger	0.652
insulting	අපහාස කිරීමකි	anger	0.652
clashing	ගැටුම	anger	0.652
growls	කෑගහනවා	anger	0.649
executioner	වධකයා	anger	0.644
twat	ටැට්	anger	0.644
doomsday	මරණ දඬුවම	anger	0.643
daemon	ඩීමන්	anger	0.641
obscenity	අසභ්ය වචනයෙන්	anger	0.641
bombard	බෝම්බ හෙලීම	anger	0.641
spat	සුන්බුන්	anger	0.641
havoc	විනාශයයි	anger	0.641
feud	භීතියයි	anger	0.641
grr	ග්රී	anger	0.641
arson	ගිනි තැබීම	anger	0.641
reprimand	බැණුම්	anger	0.641
expulsion	නෙරපා හැරීමයි	anger	0.641
inexcusable	නිදොස් ය	anger	0.641
accused	චෝදනා කළේය	anger	0.641
indignant	කෝපාවිෂ්ටයි	anger	0.641
shackle	විලංගුවේ	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	තුවාලය	anger	0.636
suicidal	සියදිවි නසාගැනීම	anger	0.636
poisoned	විෂ වේ	anger	0.636
batter	තැටිය	anger	0.636
kicking	පයින් ගැසීම	anger	0.636
hanging	එල්ලී	anger	0.636
spanking	ඉඟුරු	anger	0.636
disgusting	පිළිකුල්	anger	0.636
combatant	සටන්කරුවෙකු විය	anger	0.636
frustrated	අපේක්ෂා භංග විය	anger	0.636
anarchy	අරාජිකය	anger	0.636
glaring	පෙනේ	anger	0.636
inflict	තුවාල සිදුකිරීම	anger	0.633
wrecked	විනාශයට පත් විය	anger	0.633
grievous	දුකක්	anger	0.632
prosecute	නඩු පැවරීම	anger	0.630
agitated	උද්වේගකරයි	anger	0.630
cheat	වංචා කරනවා	anger	0.630
swastika	ස්වාසික	anger	0.627
defamatory	අපහාසයකි	anger	0.625
suffocation	සිරවීම	anger	0.625
strife	කඩාකප්පල් වේ	anger	0.625
provocation	ප්රකෝපකරනයකි	anger	0.625
injure	තුවාලයි	anger	0.625
harassing	අඩන්තේට්ටම් කරනවා	anger	0.625
scourge	වසංගතය	anger	0.625
cursing	සාප වේවා	anger	0.625
betray	පාවාදෙනු ඇත	anger	0.625
indict	චෝදනාවකි	anger	0.625
raid	වැටලීම	anger	0.625
thundering	ගිගුරුම් සහිතයි	anger	0.625
enslaved	වහල්කමට පත්විය	anger	0.625
arsehole	සැහැල්ලුයි	anger	0.624
insane	පිස්සු	anger	0.621
fiend	අසරණයි	anger	0.621
irritate	තරහා	anger	0.621
convict	වරදකරු වෙයි	anger	0.621
jerk	කරදරයක්	anger	0.621
theft	සොරකම් කිරීම	anger	0.621
retaliation	ප්රතිප්රහාර එල්ල විය	anger	0.621
deprivation	අහිමි වීම	anger	0.621
cussed	අවුල් ජාලාවක්	anger	0.619
turmoil	කලබැගෑනිය	anger	0.618
smack	අඳුරේ	anger	0.615
retribution	පලිගැනීමකි	anger	0.614
twats	ට්වට්	anger	0.609
intolerable	නොඉවසිය හැකි ය	anger	0.609
rebellion	කැරැල්ල	anger	0.609
injurious	හානිකර වේ	anger	0.609
oppressor	පීඩකයෙක්	anger	0.609
slavery	වහල්භාවයට	anger	0.609
irritability	නුරුස්සන බවය	anger	0.609
collision	ගැටුමයි	anger	0.609
bitterly	තිත්ත වේ	anger	0.609
gang	කල්ලිය	anger	0.609
antagonism	එදිරිවාදිකමකි	anger	0.609
battery	බැටරි	anger	0.609
adverse	අහිතකර ය	anger	0.609
disgraced	ලැජ්ජාව	anger	0.608
irritating	කරදරයක්	anger	0.606
revolution	විප්ලවය	anger	0.606
thug	මැරයා	anger	0.606
diatribe	ඩිමැට්රිබ්	anger	0.606
bombardment	බෝම්බ හෙලීමකි	anger	0.606
blast	පිපිරීමක්	anger	0.606
irks	ඉර්ක්ස්	anger	0.606
sickening	අසනීපයි	anger	0.606
discrimination	වෙනස්කම් කිරීම	anger	0.606
antagonistic	ප්රතිවිරුද්ධ	anger	0.606
ranting	දඩයමයි	anger	0.606
asshole	බූරුවා	anger	0.606
frustrate	කලකිරීමට පත් වේ	anger	0.604
manipulation	හැසිරවීම	anger	0.603
tension	ආතතිය	anger	0.603
insult	අපහාසයකි	anger	0.603
bigot	බල්ලෝ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	වේදනාකාරීයි	anger	0.603
oppression	පීඩාවයි	anger	0.603
disgust	පිලිකුල	anger	0.602
spite	නොසැලකේ	anger	0.600
intrusive	ආක්රමණශීලී ය	anger	0.598
harshness	දරුණුයි	anger	0.597
slur	ද්රාවණය	anger	0.596
wretch	කරදරයකි	anger	0.594
inferno	පැකිලීමකි	anger	0.594
invasion	ආක්රමණය කිරීමයි	anger	0.594
puncture	නෙරපා හැරීම	anger	0.594
miserable	කාලකන්නි	anger	0.594
assail	පහර දෙනවා	anger	0.594
storming	කුඩුපට්ටම්	anger	0.594
casualty	තුවාලකරුවෙකි	anger	0.594
bitterness	තිත්තකම	anger	0.594
morbidity	ලෙඩේ	anger	0.594
tempest	කුණාටුවකි	anger	0.594
consternation	තැතිගැන්මකි	anger	0.592
depraved	දෝෂාරෝපණය කර ඇත	anger	0.591
raving	හිසරදයකි	anger	0.591
guillotine	ගිලෝටීන්	anger	0.591
guilty	වැරදිකාරිය	anger	0.591
immoral	දුරාචාර	anger	0.591
forcibly	බලහත්කාරයෙන්	anger	0.591
overpowering	බලසම්පන්නයි	anger	0.591
accursed	සාප ලද්දෙකි	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	නින්දාසහගත ය	anger	0.588
invader	ආක්රමණිකයෙකි	anger	0.588
scare	බයවෙලා	anger	0.588
screwed	ඉස්කෝලේ යනවා	anger	0.588
indignation	කෝපය	anger	0.587
jealousy	ඊර්ෂ්යාව	anger	0.587
vexed	බය වුණා	anger	0.586
confront	මුහුන දෙනු ඇත	anger	0.582
brute	බෲට්	anger	0.581
throttle	උපත	anger	0.579
wreck	සුන්බුන්	anger	0.578
revolver	රිවෝල්වරය	anger	0.578
slut	සල්ලි	anger	0.578
yousuck	යූ සක්	anger	0.578
damage	හානි	anger	0.578
butcher	මස් වෙළෙන්දා	anger	0.578
conflict	ගැටුම	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	අපරාධකාරීත්වය	anger	0.578
bickering	ඇබ්බැහි වීමයි	anger	0.578
pillage	කයිවාරුව	anger	0.578
blaze	ගින්නක්	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	කුමන්ත්රනය	anger	0.578
contentious	විවාදශීලීයි	anger	0.578
incarceration	සිරගත කිරීමයි	anger	0.578
defiant	අප්රසන්න	anger	0.578
provoking	ප්රකෝප කරනු ලැබීය	anger	0.578
lash	ලැෂ්	anger	0.578
cancer	පිළිකාව	anger	0.577
frustration	කලකිරීමට පත්විය	anger	0.576
gory	කයිවාරු	anger	0.576
alienation	පරාරෝපණය	anger	0.576
discord	විසංවාදය	anger	0.576
disturbance	බාධා කිරීම්	anger	0.576
grope	සුන්දරයි	anger	0.576
condescension	අඩුපාඩුකම්	anger	0.576
pernicious	විසකුරු විය	anger	0.576
blasphemy	බ්ලැසිෆමි	anger	0.576
discriminate	වෙනස්කම් කරන්න	anger	0.576
chaotic	ව්යාකූලයි	anger	0.576
gun	තුවක්කුව	anger	0.576
standoff	තරගයයි	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	අමුතුයි	anger	0.574
lunacy	කමක් නැහැ	anger	0.574
oppressive	පීඩාකාරී වේ	anger	0.574
death	මරණ	anger	0.574
jab	ජබ්	anger	0.574
cursed	සාප ලද්දකි	anger	0.574
scandalous	අපකීර්තිමත් ය	anger	0.574
monstrosity	යල් පැනලා	anger	0.574
shit	ජරාව	anger	0.573
disparaging	අවඥාවට ලක්වේ	anger	0.571
slash	කප්පාදු කිරීම	anger	0.571
unfair	අසාධාරණයි	anger	0.571
gallows	එල්ලුම්	anger	0.570
escalate	උත්සන්න කරයි	anger	0.569
intolerant	ඉවසන්න	anger	0.564
lawlessness	නීතිගරුකභාවය	anger	0.563
bluddy	අඳුරේ	anger	0.562
perdition	විනාශයක් විය	anger	0.562
taunt	නටනවා	anger	0.562
grouchy	ගොරෝසුයි	anger	0.562
torpedo	ටොපිඩෝ	anger	0.562
deceived	රැුවටුණා	anger	0.562
slander	අපහාස කිරීම	anger	0.562
retards	රැඳී සිටියි	anger	0.562
bearish	බීමත්කමයි	anger	0.562
invade	ආක්රමණිකය	anger	0.562
bellows	මයිනහම්	anger	0.562
beast	මෘගයා	anger	0.562
frightful	භයානකයි	anger	0.562
derogatory	පරස්පරයි	anger	0.562
glare	ග්ලාස්	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	භයංකරයි	anger	0.562
traitor	ද්රෝහියෙකි	anger	0.562
malign	නරකයි	anger	0.562
wrangling	දොස් පවරයි	anger	0.562
dissension	විසංවාදය	anger	0.561
banshee	බැන්ෂී	anger	0.561
shatter	කඩන්න	anger	0.561
conflagration	ගිනි තැබීමයි	anger	0.561
jeopardize	අවදානමේ දමයි	anger	0.561
thief	සොරෙකුය	anger	0.561
rave	කතාවයි	anger	0.561
grating	කරමිනි	anger	0.561
devastating	විනාශකාරී ය	anger	0.561
idiots	මෝඩයෝ	anger	0.561
betrayal	පාවාදීමකි	anger	0.561
uncontrollable	පාලනයකින් තොරව විය හැක	anger	0.561
fits	ගැලපෙනවා	anger	0.561
cross	කුරුසය	anger	0.561
hurt	වේදනාව	anger	0.561
disturbed	බාධා ඇති විය	anger	0.559
subjugation	යටපත් කිරීමකි	anger	0.559
stomped	නටනවා	anger	0.557
grab	පැහැර ගන්න	anger	0.557
ticked	ටයිටි	anger	0.556
masochism	ජනප්රවාදය	anger	0.556
grievance	දුක්ගැනවිල්ලයි	anger	0.556
defiance	අධිෂ්ඨානයයි	anger	0.552
blackmail	බියගැන්වීම	anger	0.550
offensive	අප්රසන්න	anger	0.549
decry	වැටෙයි	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	උල්ලංඝනය කිරීමකි	anger	0.547
punishment	දඬුවම් කිරීමයි	anger	0.547
shrill	නටබුන්	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	අදුරු පැත්ත	anger	0.547
misery	කාලකන්නි	anger	0.547
frustrates	කරදරයක්	anger	0.547
disgraceful	නින්දිතය	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	අහුවෙනවා	anger	0.547
disparity	අසමානතාවයි	anger	0.547
confine	සීමා කරන්න	anger	0.547
firearms	ගිනිඅවි	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	අජරාදර දෙයක්	anger	0.547
rebel	කැරලිකාර	anger	0.547
deceive	රැවටුවේය	anger	0.547
stolen	සොරකම් කර ඇත	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	දඩයමයි	anger	0.545
heated	රත් වූ	anger	0.545
ruined	විනාශ වී ඇත	anger	0.545
menace	තර්ජනයක්	anger	0.545
humiliate	අවමන් කිරීම	anger	0.545
tackle	අනුභව කිරීම	anger	0.545
conspirator	කුමන්ත්රණකරුවෙකි	anger	0.545
foul	දුකට	anger	0.545
antagonist	ප්රතිවිරෝධකයෙකි	anger	0.545
resentful	අප්රසන්නයි	anger	0.545
prejudice	අගතියයි	anger	0.545
adversary	විරුද්ධකාරයා	anger	0.545
argument	තර්කය	anger	0.545
skirmish	වෙඩි තැබීමකි	anger	0.545
callous	නොතැකීමයි	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	බැඳී ඇත	anger	0.544
robbery	මංකොල්ලය	anger	0.544
sting	කකුලේ	anger	0.544
outcry	කෑගැසුවා	anger	0.544
grumble	ගොරෝයා	anger	0.544
irreconcilable	අශමනීය	anger	0.543
resistance	ප්රතිරෝධය	anger	0.543
obstructive	බාධකයකි	anger	0.542
dismay	අවාසනාවන්ත ලෙසය	anger	0.540
mob	මැරයන්	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	නරකයි	anger	0.536
ridicule	සමච්චලයට	anger	0.534
incendiary	ගිනි අවුලුවකි	anger	0.533
flares	ගිනි සිළු	anger	0.532
degeneracy	පිරිහීමයි	anger	0.531
confinement	සිරගත කිරීමයි	anger	0.531
exacerbation	උග්රවීමයි	anger	0.531
prejudicial	අගතිගාමී ය	anger	0.531
