word	Azeerbaijani-az	emotion	emotion-intensity-score
desecration	xəcalət	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	qəzəblənmə	anger	0.848
stab	stab	anger	0.844
slaughter	qırğın	anger	0.844
violent	zorakılıq	anger	0.844
destroying	məhv edirlər	anger	0.844
abomination	iyrənclik	anger	0.844
tumultuous	gurultulu	anger	0.844
irate	iradə	anger	0.844
infuriate	qəzəbləndi	anger	0.844
obliterate	yıxmaq	anger	0.843
belligerent	döyüşçü	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	təəssüf	anger	0.838
hostilities	döyüşlər	anger	0.837
prick	bizləmək	anger	0.835
torture	işgəncə	anger	0.833
rabid	quduzluq	anger	0.833
horrid	qorxunc	anger	0.833
rampage	rampage	anger	0.833
cruelty	zülm	anger	0.833
hate	nifrət	anger	0.828
demonic	şeytan	anger	0.828
hating	nifrət	anger	0.828
satanic	satanik	anger	0.828
tyrannical	zülmkar	anger	0.828
ragemode	ragemod	anger	0.828
despicable	hörmətli	anger	0.828
ruinous	məhv	anger	0.825
condemn	qınayırıq	anger	0.825
riots	iğtişaşlar	anger	0.824
demolish	yıxmaq	anger	0.824
angry	qəzəbləndi	anger	0.824
extermination	məhv	anger	0.824
dickhead	Sikkədə	anger	0.824
livid	livid	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	təcavüz	anger	0.818
venomous	zəhərli	anger	0.818
threaten	təhdid edir	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	terrorist	anger	0.818
abhor	abhor	anger	0.816
savage	vahşi	anger	0.814
atrocity	zülm	anger	0.814
carnage	qırğın	anger	0.814
berserk	berserk	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	sui-istifadə	anger	0.812
tyrant	zalım	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	təngə gəlmək	anger	0.812
vendetta	vendetta	anger	0.812
fierce	şiddətli	anger	0.812
destroyer	destroyer	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	fuming	anger	0.812
barbaric	barbar	anger	0.812
anger	hirs	anger	0.811
pieceofshit	paraşüt	anger	0.810
slam	slam	anger	0.803
fights	döyüşlər	anger	0.803
punched	punched	anger	0.803
bitch	kaltak	anger	0.803
punching	punching	anger	0.803
homicide	cinayət	anger	0.803
destructive	dağıdıcı	anger	0.797
ruthless	amansızdır	anger	0.797
villainous	əxlaqsız	anger	0.797
slap	tokat	anger	0.791
slaughterhouse	mezbaha	anger	0.788
punishing	cəzalandırmaq	anger	0.788
destroyed	məhv edildi	anger	0.788
retaliatory	cavabdehlik	anger	0.788
riot	qiyamət	anger	0.788
ragetweet	ragetweet	anger	0.788
yelling	bağırır	anger	0.788
growthefuckup	böyüməkdədir	anger	0.788
diabolical	şiddətli	anger	0.788
manslaughter	adam öldürmə	anger	0.783
clash	qarşıdurma	anger	0.783
bloody	qanlı	anger	0.781
hellish	cəhənnəm	anger	0.781
loath	nifrət	anger	0.781
detonation	detonasiya	anger	0.781
quarrel	mübahisə	anger	0.781
sinister	pis	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	ittiham edir	anger	0.779
treacherous	xain	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	qətiliklə	anger	0.773
revulsion	təzyiq	anger	0.773
madder	madder	anger	0.773
horrific	dəhşətli	anger	0.773
scorn	mədh	anger	0.769
deplorable	acınacaqlıdır	anger	0.766
bomb	bomba	anger	0.766
anarchist	anarxist	anger	0.765
devastation	xarabalıq	anger	0.765
resent	təəssüflər olsun	anger	0.765
firestorm	atəş fırtınası	anger	0.765
contemptible	hörmətsiz	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	zalım	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	ölümcül	anger	0.758
smash	smash	anger	0.758
rant	rant	anger	0.758
outburst	patlama	anger	0.757
snarl	qaçırdı	anger	0.754
profane	küfür	anger	0.750
offend	kədərlənmək	anger	0.750
douchebags	douchebags	anger	0.750
growling	hörmətli	anger	0.750
stfu	stfu	anger	0.750
vulgarity	həssaslıq	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	cırılmış	anger	0.750
despise	nifrət	anger	0.750
horror	dəhşət	anger	0.750
aggravating	ağırlaşdıran	anger	0.750
revolting	qiyamət	anger	0.750
fuckedoff	becərmə	anger	0.742
threat	təhlükə	anger	0.742
erupt	püskürmək	anger	0.742
screaming	qışqırır	anger	0.742
violence	zorakılıq	anger	0.742
horrible	dəhşətli	anger	0.742
molestation	pozğunluq	anger	0.742
bastards	pıçıltılar	anger	0.741
revenge	intiqam	anger	0.738
catastrophe	fəlakət	anger	0.735
menacing	təhlükə	anger	0.735
demon	Şeytan	anger	0.735
crushing	sarsıdıcı	anger	0.735
damn	lanet olsun	anger	0.735
persecute	təqib edin	anger	0.734
argue	iddia edirlər	anger	0.734
flog	flog	anger	0.734
revolt	üsyan	anger	0.734
thrash	Thrash	anger	0.734
deplore	deplore	anger	0.734
warfare	müharibə	anger	0.734
fedup	bezmək	anger	0.734
vehement	qəribədir	anger	0.734
riotous	üsyan	anger	0.734
altercation	altercation	anger	0.729
warlike	savaşçı	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	qiyamət	anger	0.727
castrate	kastrat	anger	0.727
sabotage	sabotaj	anger	0.727
malevolent	zalım	anger	0.721
strike	tətil	anger	0.721
disaster	fəlakət	anger	0.721
disastrous	fəlakətli	anger	0.720
tumult	qarışıqlıq	anger	0.719
madden	maddenin	anger	0.719
devil	şeytan	anger	0.719
scream	fəryad	anger	0.719
brutal	qəddar	anger	0.719
treachery	xəyanət	anger	0.719
scorching	qışqırma	anger	0.719
vermin	həzm	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	ağırlaşır	anger	0.719
spiteful	lütfkar	anger	0.719
slay	öldürmək	anger	0.719
disdain	kədərlənmək	anger	0.719
choke	boğmaq	anger	0.719
bastarding	pərişanlıq	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarxizm	anger	0.714
mutilation	sakatlanma	anger	0.714
criminal	cinayət	anger	0.714
denunciation	denonsasiya	anger	0.713
punch	punch	anger	0.713
crucifixion	çarmıxa çəkilmək	anger	0.712
virulence	xəstəlik	anger	0.712
battled	döyüşdüm	anger	0.712
fatal	ölümcül	anger	0.712
holocaust	soyqırım	anger	0.712
blasphemous	küfr	anger	0.712
hurting	zərər verə bilər	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	dərinləşdi	anger	0.706
atrocious	şiddətli	anger	0.706
evil	pis	anger	0.706
irritated	qəzəbləndi	anger	0.706
assassin	qatil	anger	0.703
dicks	dicks	anger	0.703
persecution	təqib	anger	0.703
slayer	slayer	anger	0.703
kidnap	qaçırmaq	anger	0.703
scolding	hörmətsizlik	anger	0.703
intimidation	qorxu	anger	0.703
aggravated	ağırlaşdı	anger	0.703
aggression	təcavüzkarlıq	anger	0.702
armed	silahlı	anger	0.700
poison	zəhər	anger	0.697
snarling	qaçırma	anger	0.697
venom	zəhər	anger	0.697
battle	döyüş	anger	0.697
disgruntled	təəssüfləndi	anger	0.693
insidious	hiyləgər	anger	0.691
assailant	hücumçu	anger	0.691
resentment	nifrət	anger	0.691
lynch	linç	anger	0.690
contemptuous	hörmətsiz	anger	0.690
temper	həsrət	anger	0.688
imprisonment	həbs cəzası	anger	0.688
disparage	yoxsulluq	anger	0.688
bully	bully	anger	0.688
terrible	qorxunc	anger	0.688
lunatic	lunatic	anger	0.688
curse	lə'nət	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	peeved	anger	0.688
domination	hökmranlıq	anger	0.688
mad	deli	anger	0.688
infanticide	infanticide	anger	0.688
volatility	dəyişkənlik	anger	0.687
eradication	eradikasiya	anger	0.685
tantrum	tantrum	anger	0.682
devastate	dağıdıcı	anger	0.682
eradicate	aradan qaldırmaq	anger	0.682
scoundrel	dəlicəsinə	anger	0.682
aggressively	aqressivdir	anger	0.680
agitation	təşviqat	anger	0.680
dictatorship	diktatorluq	anger	0.676
irritates	qıcıqlandırır	anger	0.676
profanity	küfr	anger	0.673
egregious	yumşaq	anger	0.672
expletive	expletive	anger	0.672
nasty	pis	anger	0.672
shove	çırpın	anger	0.672
shot	vurdu	anger	0.672
harmful	zərərli	anger	0.672
aggravation	ağırlaşması	anger	0.672
contempt	hörmətsizlik	anger	0.672
poisonous	zəhərli	anger	0.672
dastardly	hörmətlə	anger	0.672
shoot	vur	anger	0.672
corrupting	zərər verən	anger	0.672
condemnation	qınama	anger	0.672
wreak	soxmaq	anger	0.672
crushed	əzik	anger	0.672
cruelly	qəddarlıqla	anger	0.672
crime	cinayət	anger	0.672
maniac	manikür	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	püskürmə	anger	0.667
odious	qəzəbli	anger	0.667
shooting	çəkiliş	anger	0.667
kick	kick	anger	0.667
aggressive	təcavüzkar	anger	0.667
combat	döyüş	anger	0.667
shout	qışqırır	anger	0.667
hit	vurdu	anger	0.667
fight	mübarizə	anger	0.667
cutthroat	kəsik	anger	0.667
enemy	düşmən	anger	0.667
irritable	irritable	anger	0.667
punished	cəzalandırdı	anger	0.662
ambush	pusqu	anger	0.661
yell	bağırmaq	anger	0.661
harass	təcavüz edir	anger	0.659
malignant	malign	anger	0.656
aggressor	təcavüzkar	anger	0.656
antichrist	Dəccal	anger	0.656
gore	gore	anger	0.656
incense	buxur	anger	0.656
expel	çıxarmaq	anger	0.656
destruction	məhv	anger	0.656
grudge	kədərlənmək	anger	0.656
cranky	cırıq	anger	0.653
offended	təhqir edildi	anger	0.652
spank	spank	anger	0.652
growl	qəhvəyi	anger	0.652
insurrection	qiyamət	anger	0.652
reprisal	repressiya	anger	0.652
slave	qul	anger	0.652
denounce	cəzalandırmaq	anger	0.652
animosity	hüsumət	anger	0.652
insulting	təhqir edir	anger	0.652
clashing	clashing	anger	0.652
growls	böyüyür	anger	0.649
executioner	cəllad	anger	0.644
twat	twat	anger	0.644
doomsday	qiyamət günü	anger	0.643
daemon	daemon	anger	0.641
obscenity	əxlaqsızlıq	anger	0.641
bombard	bombardman	anger	0.641
spat	spat	anger	0.641
havoc	havoc	anger	0.641
feud	qəsd	anger	0.641
grr	grr	anger	0.641
arson	kundaklama	anger	0.641
reprimand	töhmət	anger	0.641
expulsion	çıxarmaq	anger	0.641
inexcusable	təhqirsizdir	anger	0.641
accused	şübhəli	anger	0.641
indignant	qəzəbləndi	anger	0.641
shackle	qandal	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	yara	anger	0.636
suicidal	intihar	anger	0.636
poisoned	zəhərləndi	anger	0.636
batter	meyilli	anger	0.636
kicking	çarparaq	anger	0.636
hanging	asma	anger	0.636
spanking	spanking	anger	0.636
disgusting	iğrenç	anger	0.636
combatant	döyüşçü	anger	0.636
frustrated	qəzəbləndi	anger	0.636
anarchy	anarxiya	anger	0.636
glaring	gözdən keçir	anger	0.636
inflict	inflict	anger	0.633
wrecked	qəzaya uğrayıb	anger	0.633
grievous	ağrılı	anger	0.632
prosecute	təqib edin	anger	0.630
agitated	həyəcanlı	anger	0.630
cheat	aldatmaq	anger	0.630
swastika	swastika	anger	0.627
defamatory	tənbəllik	anger	0.625
suffocation	boğulma	anger	0.625
strife	fitnə	anger	0.625
provocation	təxribat	anger	0.625
injure	yaralanma	anger	0.625
harassing	təcavüzkar	anger	0.625
scourge	bəlası	anger	0.625
cursing	küfr	anger	0.625
betray	xəyanət	anger	0.625
indict	iddia	anger	0.625
raid	basqın	anger	0.625
thundering	gurultulu	anger	0.625
enslaved	quldur	anger	0.625
arsehole	arsenal	anger	0.624
insane	deli	anger	0.621
fiend	fiend	anger	0.621
irritate	qıcıqlandırmaq	anger	0.621
convict	məhkum	anger	0.621
jerk	sanki	anger	0.621
theft	oğurluq	anger	0.621
retaliation	qətiliklə	anger	0.621
deprivation	məhrumiyyət	anger	0.621
cussed	cussed	anger	0.619
turmoil	qarışıqlıq	anger	0.618
smack	şaxta	anger	0.615
retribution	cəza	anger	0.614
twats	twats	anger	0.609
intolerable	dözülməz	anger	0.609
rebellion	üsyan	anger	0.609
injurious	zərərli	anger	0.609
oppressor	zülmkar	anger	0.609
slavery	köləlik	anger	0.609
irritability	qıcıqlanma	anger	0.609
collision	toqquşma	anger	0.609
bitterly	acı	anger	0.609
gang	Banda	anger	0.609
antagonism	antagonizm	anger	0.609
battery	batareya	anger	0.609
adverse	mənfi	anger	0.609
disgraced	rüsvayedici	anger	0.608
irritating	acışdırıcı	anger	0.606
revolution	inqilab	anger	0.606
thug	haydut	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardman	anger	0.606
blast	partlayış	anger	0.606
irks	irks	anger	0.606
sickening	xəstəlik	anger	0.606
discrimination	ayrılıq	anger	0.606
antagonistic	antaqonist	anger	0.606
ranting	ranting	anger	0.606
asshole	göt	anger	0.606
frustrate	əsassızdır	anger	0.604
manipulation	manipulyasiya	anger	0.603
tension	gərginlik	anger	0.603
insult	təhqir	anger	0.603
bigot	böyük	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	zərərli	anger	0.603
oppression	zülm	anger	0.603
disgust	nifrət	anger	0.602
spite	buna baxmayaraq	anger	0.600
intrusive	müdaxilə	anger	0.598
harshness	sərtlik	anger	0.597
slur	slur	anger	0.596
wretch	wretch	anger	0.594
inferno	inferno	anger	0.594
invasion	işğal	anger	0.594
puncture	pozulması	anger	0.594
miserable	qəzəbli	anger	0.594
assail	hücum	anger	0.594
storming	fırtına	anger	0.594
casualty	zərər çəkmiş	anger	0.594
bitterness	acı	anger	0.594
morbidity	xəstəlik	anger	0.594
tempest	pusqu	anger	0.594
consternation	bədbəxtlik	anger	0.592
depraved	pozulmuşdu	anger	0.591
raving	Çaxnaşma	anger	0.591
guillotine	gilotin	anger	0.591
guilty	günahkar	anger	0.591
immoral	əxlaqsız	anger	0.591
forcibly	zorla	anger	0.591
overpowering	qəsdkarlıq	anger	0.591
accursed	lənətlənmişdir	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	tənəzzülçü	anger	0.588
invader	işğalçı	anger	0.588
scare	qorxutmaq	anger	0.588
screwed	vidalanmış	anger	0.588
indignation	qəzəb	anger	0.587
jealousy	qısqanclıq	anger	0.587
vexed	qəzəbləndi	anger	0.586
confront	üzləşirlər	anger	0.582
brute	kobud	anger	0.581
throttle	dəmir yolu	anger	0.579
wreck	qəza	anger	0.578
revolver	revolver	anger	0.578
slut	fahişə	anger	0.578
yousuck	Sənsən	anger	0.578
damage	ziyan	anger	0.578
butcher	qəssab	anger	0.578
conflict	münaqişə	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	cinayətkarlıq	anger	0.578
bickering	büküş	anger	0.578
pillage	talan	anger	0.578
blaze	yanğın	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	zərbə	anger	0.578
contentious	mübahisəli	anger	0.578
incarceration	həbs	anger	0.578
defiant	qüsurlu	anger	0.578
provoking	provoke edir	anger	0.578
lash	kirpik	anger	0.578
cancer	xərçəng	anger	0.577
frustration	məyusluq	anger	0.576
gory	gory	anger	0.576
alienation	yabancılaşma	anger	0.576
discord	qarşıdurma	anger	0.576
disturbance	narahatlıq	anger	0.576
grope	grope	anger	0.576
condescension	çirkinlik	anger	0.576
pernicious	təhlükəli	anger	0.576
blasphemy	küfr	anger	0.576
discriminate	ayrılıq	anger	0.576
chaotic	xaotik	anger	0.576
gun	silah	anger	0.576
standoff	qarşıdurma	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	kədərlənir	anger	0.574
lunacy	lanet	anger	0.574
oppressive	təzyiqçi	anger	0.574
death	ölüm	anger	0.574
jab	jab	anger	0.574
cursed	lənətlədi	anger	0.574
scandalous	skandalı	anger	0.574
monstrosity	canavarlar	anger	0.574
shit	bok	anger	0.573
disparaging	pozulma	anger	0.571
slash	slash	anger	0.571
unfair	haqsız	anger	0.571
gallows	dəlillər	anger	0.570
escalate	tökmək	anger	0.569
intolerant	dözümsüzdür	anger	0.564
lawlessness	qanunsuzluq	anger	0.563
bluddy	bluddy	anger	0.562
perdition	məhv	anger	0.562
taunt	təlaş	anger	0.562
grouchy	gurultulu	anger	0.562
torpedo	torpedo	anger	0.562
deceived	aldadılmış	anger	0.562
slander	böhtan	anger	0.562
retards	gecikdirir	anger	0.562
bearish	ayıb	anger	0.562
invade	işğal	anger	0.562
bellows	körüklər	anger	0.562
beast	heyvan	anger	0.562
frightful	qorxunc	anger	0.562
derogatory	haqsızlıq	anger	0.562
glare	parıltı	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	qorxunc	anger	0.562
traitor	xain	anger	0.562
malign	malign	anger	0.562
wrangling	qışqırıq	anger	0.562
dissension	qarşıdurma	anger	0.561
banshee	banshee	anger	0.561
shatter	sarsıtmaq	anger	0.561
conflagration	yandırılma	anger	0.561
jeopardize	təhlükə yaradır	anger	0.561
thief	oğru	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	dağıdıcı	anger	0.561
idiots	Sitat gətir	anger	0.561
betrayal	xəyanətdir	anger	0.561
uncontrollable	nəzarətsiz	anger	0.561
fits	uyğun	anger	0.561
cross	xaç	anger	0.561
hurt	incitmək	anger	0.561
disturbed	narahatdır	anger	0.559
subjugation	itaətsizlik	anger	0.559
stomped	stomped	anger	0.557
grab	tutmaq	anger	0.557
ticked	seçilmişdir	anger	0.556
masochism	masochism	anger	0.556
grievance	şikayət	anger	0.556
defiance	itaətsizlik	anger	0.552
blackmail	şantaj	anger	0.550
offensive	hücum	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	pozulması	anger	0.547
punishment	cəza	anger	0.547
shrill	kölgə salmaq	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	qaranlıq tərəf	anger	0.547
misery	qəzəblənmə	anger	0.547
frustrates	əsəbiləşdirir	anger	0.547
disgraceful	rüsvayçı	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	həddindən artıq bərəkət	anger	0.547
disparity	uyğunsuzluq	anger	0.547
confine	məhdudlaşdırmaq	anger	0.547
firearms	odlu silahlar	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	əxlaqsız	anger	0.547
rebel	üsyan	anger	0.547
deceive	aldatmaq	anger	0.547
stolen	oğurlandılar	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	qızdırılmış	anger	0.545
ruined	dağılmış	anger	0.545
menace	təhlükə	anger	0.545
humiliate	alçaltmaq	anger	0.545
tackle	mübarizə	anger	0.545
conspirator	sui-qəsdçi	anger	0.545
foul	faul	anger	0.545
antagonist	antagonist	anger	0.545
resentful	kədərli	anger	0.545
prejudice	önyargı	anger	0.545
adversary	düşmən	anger	0.545
argument	arqument	anger	0.545
skirmish	atışma	anger	0.545
callous	çirkin	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	qarışdı	anger	0.544
robbery	soyğun	anger	0.544
sting	sting	anger	0.544
outcry	qışqırıq	anger	0.544
grumble	itaətsizlik	anger	0.544
irreconcilable	uzlaşmaz	anger	0.543
resistance	müqavimət	anger	0.543
obstructive	obstruktiv	anger	0.542
dismay	dəhşət	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	pislik	anger	0.536
ridicule	istehza	anger	0.534
incendiary	qəzəbləndirici	anger	0.533
flares	fişənglər	anger	0.532
degeneracy	degenerasiya	anger	0.531
confinement	həbs	anger	0.531
exacerbation	alovlanma	anger	0.531
prejudicial	zərərli	anger	0.531
uprising	qiyamət	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	qüsursuz	anger	0.531
unbridled	kədərsiz	anger	0.531
allegation	iddiası	anger	0.531
communism	kommunizm	anger	0.531
whip	qamçı	anger	0.531
intruder	intruder	anger	0.531
dispute	münaqişə	anger	0.531
belittle	kədərləndi	anger	0.531
bigoted	Bürclər	anger	0.530
offender	cinayətkar	anger	0.530
hassle	hassle	anger	0.530
dissonance	dissonans	anger	0.530
unjust	ədalətsizdir	anger	0.530
dictatorial	diktatorluq	anger	0.530
unjustifiable	əsassızdır	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	sapma	anger	0.530
tackled	həll etdi	anger	0.530
renegade	Rəqib	anger	0.529
hot	isti	anger	0.529
prison	həbsxana	anger	0.529
cantstandit	cantstandit	anger	0.529
trespass	tövsiyə	anger	0.529
suicide	intihar	anger	0.521
annoy	annoy	anger	0.520
leavemealone	məni tək burax	anger	0.517
idiotic	istehza	anger	0.516
distrust	etibarsızlıq	anger	0.516
depravity	əxlaqsızlıq	anger	0.516
cretins	kriptinlər	anger	0.516
divorce	boşanma	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	havalandırma	anger	0.516
inimical	inimik	anger	0.516
duress	zorla	anger	0.516
disrespectful	hörmətsizlik	anger	0.516
tortious	təvazökar	anger	0.516
criticize	tənqid edin	anger	0.516
prisoner	məhbus	anger	0.516
dishonest	xəyanətsizdir	anger	0.516
treason	xəyanətdir	anger	0.516
victimized	zərər çəkmiş	anger	0.515
bile	safra	anger	0.515
unkind	hüznsiz	anger	0.515
unforgiving	mərhəmətsizdir	anger	0.515
unleash	buraxın	anger	0.515
coercion	zorla	anger	0.515
scold	dəlil	anger	0.515
chaos	xaos	anger	0.515
grump	cırmaq	anger	0.515
roar	nərilti	anger	0.515
jerks	kərtənkələlər	anger	0.515
poaching	brakonerlik	anger	0.515
hangry	asma	anger	0.515
pow	pow	anger	0.515
poachers	brakonerlər	anger	0.515
argumentation	arqument	anger	0.515
frustrating	sinir bozucu	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	ittiham	anger	0.510
repudiation	imtina etmə	anger	0.510
enmity	düşmənçilik	anger	0.510
banish	çıxmaq	anger	0.509
disfigured	xəyanət etdi	anger	0.508
storm	fırtına	anger	0.507
shun	qaçmaq	anger	0.500
suppression	təzyiq	anger	0.500
unruly	itaətsiz	anger	0.500
intractable	çətin	anger	0.500
ordeal	imtahan	anger	0.500
obstruct	maneə	anger	0.500
derogation	derogasiya	anger	0.500
fervor	şövq	anger	0.500
foaming	köpüklənir	anger	0.500
derision	dərman	anger	0.500
animus	animus	anger	0.500
rejects	rədd edir	anger	0.500
bout	bout	anger	0.500
spear	nizə	anger	0.500
crazy	dəli	anger	0.500
brazen	xəyanət	anger	0.500
antithesis	antithesis	anger	0.500
injustice	ədalətsizlik	anger	0.500
banished	əsir düşdü	anger	0.500
confined	məhdudlaşdırılıb	anger	0.500
frenzied	qəzəbləndi	anger	0.500
dominate	hakim	anger	0.500
disrupting	pozdu	anger	0.500
hammering	hammering	anger	0.500
fear	qorxu	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	qəzəblənmə	anger	0.500
brunt	hörmətli	anger	0.500
possessed	sahib olduq	anger	0.500
defy	təhqir edir	anger	0.500
scoff	istehza	anger	0.500
patronising	patronlaşdırma	anger	0.500
delusional	delusional	anger	0.500
malpractice	malpractice	anger	0.500
reject	rədd et	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	sərtlik	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	dəlilik	anger	0.491
sinful	günahkar	anger	0.491
avarice	avarice	anger	0.490
oppress	zülm edin	anger	0.490
disapproved	təsdiq edilmədi	anger	0.485
inhuman	qeyri-insani	anger	0.485
demand	tələb	anger	0.485
abolish	ləğv et	anger	0.485
anathema	anathema	anger	0.485
fricking	fırçalama	anger	0.485
complaint	şikayət	anger	0.485
disservice	imtiyaz	anger	0.485
smuggler	qaçaqçı	anger	0.485
revoke	ləğv et	anger	0.485
infraction	pozulması	anger	0.485
claw	cəza	anger	0.485
dissident	müxalifət	anger	0.485
pervert	sapma	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	itaətsiz	anger	0.485
usurp	qəsbkarlıq	anger	0.485
alienate	yabancılaşmaq	anger	0.485
avenger	avenger	anger	0.485
annoyed	rahatsız edici	anger	0.485
cutting	kəsmə	anger	0.485
disgrace	rüsvayçılıq	anger	0.484
deceit	aldatma	anger	0.484
suspicious	şübhəli	anger	0.484
thresh	tresh	anger	0.484
sucker	sucker	anger	0.484
strained	gərginləşmişdi	anger	0.484
blame	günahlandırma	anger	0.484
upheaval	qiyamət	anger	0.484
renounce	imtina etmə	anger	0.484
obnoxious	təəccüblü	anger	0.484
restrain	məhdudlaşdırmaq	anger	0.484
oust	boşaltmaq	anger	0.484
litigious	mühakimə	anger	0.484
rivalry	rəqabət	anger	0.484
penalty	cəza	anger	0.484
imprisoned	həbs olundu	anger	0.484
mocking	istehza	anger	0.484
opposed	qarşı çıxdı	anger	0.484
turbulence	turbulentlik	anger	0.483
pound	funt	anger	0.481
