word	Romanian-ro	emotion	emotion-intensity-score
aggressor	agresor	anger	0.656
antichrist	antihrist	anger	0.656
gore	împunge	anger	0.656
incense	tămâia	anger	0.656
expel	expulza	anger	0.656
destruction	distrugere	anger	0.656
grudge	pică	anger	0.656
cranky	capricios	anger	0.653
offended	ofensat	anger	0.652
spank	chelfăni	anger	0.652
growl	hârâit	anger	0.652
insurrection	insurecţie	anger	0.652
reprisal	represalie	anger	0.652
slave	sclav	anger	0.652
denounce	denunţa	anger	0.652
animosity	animozitate	anger	0.652
insulting	insultător	anger	0.652
clashing	discordanță	anger	0.652
growls	mârâituri	anger	0.649
executioner	călău	anger	0.644
twat	pizdă	anger	0.644
doomsday	judecata de apoi	anger	0.643
daemon	daemon	anger	0.641
obscenity	obscenitate	anger	0.641
bombard	bombarda	anger	0.641
spat	ghetră	anger	0.641
havoc	prăpăd	anger	0.641
feud	feudă	anger	0.641
grr	GRR	anger	0.641
arson	incendiere	anger	0.641
reprimand	mustrare	anger	0.641
expulsion	expulzare	anger	0.641
inexcusable	de neiertat	anger	0.641
accused	acuzat	anger	0.641
indignant	indignat	anger	0.641
shackle	toartă	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	răni	anger	0.636
suicidal	suicidară	anger	0.636
poisoned	otrăvit	anger	0.636
batter	aluat	anger	0.636
kicking	lovituri cu piciorul	anger	0.636
hanging	agăţat	anger	0.636
spanking	chelfăneală	anger	0.636
disgusting	dezgustător	anger	0.636
combatant	combatant	anger	0.636
frustrated	frustrat	anger	0.636
anarchy	anarhie	anger	0.636
glaring	bătător la ochi	anger	0.636
inflict	cauza	anger	0.633
wrecked	naufragiat	anger	0.633
grievous	dureros	anger	0.632
prosecute	urmări în justiție	anger	0.630
agitated	agitat	anger	0.630
cheat	trișa	anger	0.630
swastika	zvastică	anger	0.627
defamatory	defăimător	anger	0.625
suffocation	sufocare	anger	0.625
strife	ceartă	anger	0.625
provocation	provocare	anger	0.625
injure	răni	anger	0.625
harassing	hărțuitor	anger	0.625
scourge	flagel	anger	0.625
cursing	blestemare	anger	0.625
betray	trăda	anger	0.625
indict	inculpa	anger	0.625
raid	raid	anger	0.625
thundering	fulminant	anger	0.625
enslaved	înrobit	anger	0.625
arsehole	nenorocit	anger	0.624
insane	nebun	anger	0.621
fiend	satana	anger	0.621
irritate	irita	anger	0.621
convict	condamna	anger	0.621
jerk	smucitură	anger	0.621
theft	furt	anger	0.621
retaliation	represalii	anger	0.621
deprivation	privațiune	anger	0.621
cussed	îndărătnic	anger	0.619
turmoil	tumult	anger	0.618
smack	jart	anger	0.615
retribution	pedeapsă	anger	0.614
twats	twats	anger	0.609
intolerable	intolerabil	anger	0.609
rebellion	rebeliune	anger	0.609
injurious	vătămător	anger	0.609
oppressor	asupritor	anger	0.609
slavery	robie	anger	0.609
irritability	iritabilitate	anger	0.609
collision	coliziune	anger	0.609
bitterly	amar	anger	0.609
gang	bandă	anger	0.609
antagonism	antagonism	anger	0.609
battery	baterie	anger	0.609
adverse	advers	anger	0.609
disgraced	compromis	anger	0.608
irritating	enervant	anger	0.606
revolution	revoluţie	anger	0.606
thug	asasin	anger	0.606
diatribe	diatribă	anger	0.606
bombardment	bombardament	anger	0.606
blast	explozie	anger	0.606
irks	irks	anger	0.606
sickening	grețos	anger	0.606
discrimination	discriminare	anger	0.606
antagonistic	antagonic	anger	0.606
ranting	ranting	anger	0.606
asshole	Idiotule	anger	0.606
frustrate	zădărnici	anger	0.604
manipulation	manipulare	anger	0.603
tension	tensiune	anger	0.603
insult	insultă	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	supărător	anger	0.603
oppression	asuprire	anger	0.603
disgust	dezgust	anger	0.602
spite	ciudă	anger	0.600
intrusive	intruziv	anger	0.598
harshness	asprime	anger	0.597
slur	legato	anger	0.596
wretch	nenorocit	anger	0.594
inferno	infern	anger	0.594
invasion	invazie	anger	0.594
puncture	străpungere	anger	0.594
miserable	mizerabil	anger	0.594
assail	asalta	anger	0.594
storming	asalt	anger	0.594
casualty	victimă	anger	0.594
bitterness	amărăciune	anger	0.594
morbidity	morbiditate	anger	0.594
tempest	furtună	anger	0.594
consternation	consternare	anger	0.592
depraved	depravat	anger	0.591
raving	aiureală	anger	0.591
guillotine	ghilotină	anger	0.591
guilty	vinovat	anger	0.591
immoral	imoral	anger	0.591
forcibly	cu forţa	anger	0.591
overpowering	copleșitor	anger	0.591
accursed	blestemat	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	invadator	anger	0.588
scare	a speria	anger	0.588
screwed	înșurubate	anger	0.588
indignation	indignare	anger	0.587
jealousy	gelozie	anger	0.587
vexed	contrariat	anger	0.586
confront	confrunta	anger	0.582
brute	brută	anger	0.581
throttle	regulator	anger	0.579
wreck	distruge	anger	0.578
revolver	revolver	anger	0.578
slut	curvă	anger	0.578
yousuck	eşti naşpa	anger	0.578
damage	deteriora	anger	0.578
butcher	măcelar	anger	0.578
conflict	conflict	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	criminalitate	anger	0.578
bickering	ciorovăială	anger	0.578
pillage	prădare	anger	0.578
blaze	foc	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	lovitură	anger	0.578
contentious	litigios	anger	0.578
incarceration	încarcerare	anger	0.578
defiant	sfidător	anger	0.578
provoking	provocator	anger	0.578
lash	geană	anger	0.578
cancer	cancer	anger	0.577
frustration	frustrare	anger	0.576
gory	sângerat	anger	0.576
alienation	alienare	anger	0.576
discord	discordie	anger	0.576
disturbance	tulburare	anger	0.576
grope	bâjbâi	anger	0.576
condescension	condescendenţă	anger	0.576
pernicious	pernicios	anger	0.576
blasphemy	blasfemie	anger	0.576
discriminate	deosebi	anger	0.576
chaotic	haotic	anger	0.576
gun	armă	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	insinuare	anger	0.574
lunacy	nebunie	anger	0.574
oppressive	apăsător	anger	0.574
death	moarte	anger	0.574
jab	împunsătură	anger	0.574
cursed	blestemat	anger	0.574
scandalous	scandalos	anger	0.574
monstrosity	monstruozitate	anger	0.574
shit	rahat	anger	0.573
disparaging	peiorativ	anger	0.571
slash	bară oblică	anger	0.571
unfair	nedrept	anger	0.571
gallows	spânzurătoare	anger	0.570
escalate	escalada	anger	0.569
intolerant	intolerant	anger	0.564
lawlessness	anarhie	anger	0.563
bluddy	bluddy	anger	0.562
perdition	pierzanie	anger	0.562
taunt	batjocură	anger	0.562
grouchy	morocănos	anger	0.562
torpedo	torpilă	anger	0.562
deceived	înșelat	anger	0.562
slander	calomnie	anger	0.562
retards	retardati	anger	0.562
bearish	de urs	anger	0.562
invade	a invada	anger	0.562
bellows	burduf	anger	0.562
beast	fiară	anger	0.562
frightful	înspăimântător	anger	0.562
derogatory	peiorativ	anger	0.562
glare	orbi	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	îngrozitor	anger	0.562
traitor	trădător	anger	0.562
malign	bârfi	anger	0.562
wrangling	wrangling	anger	0.562
dissension	disensiune	anger	0.561
banshee	Banshee	anger	0.561
shatter	sfărâma	anger	0.561
conflagration	conflagraţie	anger	0.561
jeopardize	periclita	anger	0.561
thief	hoţ	anger	0.561
rave	rave	anger	0.561
grating	grații	anger	0.561
devastating	devastator	anger	0.561
idiots	idioți	anger	0.561
betrayal	trădare	anger	0.561
uncontrollable	necontrolabil	anger	0.561
fits	se potrivește	anger	0.561
cross	cruce	anger	0.561
hurt	rănit	anger	0.561
disturbed	deranjat	anger	0.559
subjugation	subjugare	anger	0.559
stomped	stomped	anger	0.557
grab	apuca	anger	0.557
ticked	bifează	anger	0.556
masochism	masochismul	anger	0.556
grievance	plângere	anger	0.556
defiance	sfidare	anger	0.552
blackmail	şantaj	anger	0.550
offensive	ofensator	anger	0.549
decry	bârfi	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	încălcare	anger	0.547
punishment	pedeapsă	anger	0.547
shrill	strident	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	DarkSide	anger	0.547
misery	mizerie	anger	0.547
frustrates	frustrează	anger	0.547
disgraceful	ruşinos	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	arogant	anger	0.547
disparity	disparitate	anger	0.547
confine	limita	anger	0.547
firearms	arme de foc	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	absurd	anger	0.547
rebel	rebel	anger	0.547
deceive	înşela	anger	0.547
stolen	furat	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	labagiu	anger	0.545
heated	încălzit	anger	0.545
ruined	ruinat	anger	0.545
menace	ameninţare	anger	0.545
humiliate	umili	anger	0.545
tackle	aborda	anger	0.545
conspirator	conspirator	anger	0.545
foul	fault	anger	0.545
antagonist	antagonist	anger	0.545
resentful	indignat	anger	0.545
prejudice	prejudecată	anger	0.545
adversary	adversar	anger	0.545
argument	argument	anger	0.545
skirmish	încăierare	anger	0.545
callous	dur	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	obscur	anger	0.544
robbery	jaf	anger	0.544
sting	ustura	anger	0.544
outcry	țipăt	anger	0.544
grumble	bâzâi	anger	0.544
irreconcilable	ireconciliabil	anger	0.543
resistance	rezistenţă	anger	0.543
obstructive	obstructiv	anger	0.542
dismay	spaimă	anger	0.540
mob	gloată	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	proastă calitate	anger	0.536
ridicule	ridicol	anger	0.534
incendiary	incendiar	anger	0.533
flares	rachete de semnalizare	anger	0.532
degeneracy	degenerare	anger	0.531
confinement	naștere	anger	0.531
exacerbation	exacerbare	anger	0.531
prejudicial	prejudiciabil	anger	0.531
uprising	răscoală	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	nesăbuit	anger	0.531
unbridled	neînfrânat	anger	0.531
allegation	afirmaţie	anger	0.531
communism	comunism	anger	0.531
whip	bici	anger	0.531
intruder	intrus	anger	0.531
dispute	disputa	anger	0.531
belittle	deprecia	anger	0.531
bigoted	bigot	anger	0.530
offender	contravenient	anger	0.530
hassle	bătaie de cap	anger	0.530
dissonance	disonanţă	anger	0.530
unjust	nedrept	anger	0.530
dictatorial	dictatorial	anger	0.530
unjustifiable	nejustificabil	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversiune	anger	0.530
tackled	abordate	anger	0.530
renegade	renegat	anger	0.529
hot	Fierbinte	anger	0.529
prison	închisoare	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	fărădelege	anger	0.529
suicide	sinucidere	anger	0.521
annoy	deranja	anger	0.520
leavemealone	lasa-ma in pace	anger	0.517
idiotic	idiot	anger	0.516
distrust	neîncredere	anger	0.516
depravity	depravare	anger	0.516
cretins	cretinilor	anger	0.516
divorce	divorț	anger	0.516
broil	se emoţiona	anger	0.516
grrr	Grrr	anger	0.516
venting	ventilare	anger	0.516
inimical	dușmănos	anger	0.516
duress	lipsirea de libertate	anger	0.516
disrespectful	nerespectuos	anger	0.516
tortious	tortionara	anger	0.516
criticize	a critica	anger	0.516
prisoner	prizonier	anger	0.516
dishonest	necinstit	anger	0.516
treason	trădare	anger	0.516
victimized	victimizat	anger	0.515
bile	bilă	anger	0.515
unkind	aspru	anger	0.515
unforgiving	neiertat	anger	0.515
unleash	dezlănțui	anger	0.515
coercion	constrângere	anger	0.515
scold	certa	anger	0.515
chaos	haos	anger	0.515
grump	morăcănos	anger	0.515
roar	hohote	anger	0.515
jerks	labagii	anger	0.515
poaching	braconaj	anger	0.515
hangry	hangry	anger	0.515
pow	pow	anger	0.515
poachers	braconierii	anger	0.515
argumentation	argumentare	anger	0.515
frustrating	frustrant	anger	0.515
tussle	încăierare	anger	0.514
bane	nenorocire	anger	0.511
accusation	acuzare	anger	0.510
repudiation	repudiere	anger	0.510
enmity	antipatie	anger	0.510
banish	alunga	anger	0.509
disfigured	desfigurat	anger	0.508
storm	furtună	anger	0.507
shun	se feri	anger	0.500
suppression	suprimare	anger	0.500
unruly	nesupus	anger	0.500
intractable	intratabil	anger	0.500
ordeal	chin	anger	0.500
obstruct	împiedica	anger	0.500
derogation	derogare	anger	0.500
fervor	fervoare	anger	0.500
foaming	spumare	anger	0.500
derision	bătaie de joc	anger	0.500
animus	dușmănie	anger	0.500
rejects	respinge	anger	0.500
bout	rând	anger	0.500
spear	suliţă	anger	0.500
crazy	nebun	anger	0.500
brazen	deșănțat	anger	0.500
antithesis	antiteză	anger	0.500
injustice	nedreptate	anger	0.500
banished	alungat	anger	0.500
confined	limitat	anger	0.500
frenzied	frenetic	anger	0.500
dominate	domina	anger	0.500
disrupting	dislocare	anger	0.500
hammering	ciocănitură	anger	0.500
fear	frică	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	chin	anger	0.500
brunt	dârdoră	anger	0.500
possessed	posedat	anger	0.500
defy	sfida	anger	0.500
scoff	sfida	anger	0.500
patronising	ocrotitoare	anger	0.500
delusional	delirante	anger	0.500
malpractice	incompetenţă	anger	0.500
reject	respinge	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	rezistență	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	nebunie	anger	0.491
sinful	păcătos	anger	0.491
avarice	avariție	anger	0.490
oppress	asupri	anger	0.490
disapproved	respins	anger	0.485
inhuman	inuman	anger	0.485
demand	cerere	anger	0.485
abolish	aboli	anger	0.485
anathema	anatemă	anger	0.485
fricking	fricking	anger	0.485
complaint	plângere	anger	0.485
disservice	deserviciu	anger	0.485
smuggler	contrabandist	anger	0.485
revoke	revoca	anger	0.485
infraction	încălcare	anger	0.485
claw	Gheară	anger	0.485
dissident	disident	anger	0.485
pervert	perverti	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neascultător	anger	0.485
usurp	uzurpa	anger	0.485
alienate	aliena	anger	0.485
avenger	răzbunător	anger	0.485
annoyed	contrariat	anger	0.485
cutting	tăiere	anger	0.485
disgrace	ruşine	anger	0.484
deceit	înşelăciune	anger	0.484
suspicious	suspicios	anger	0.484
thresh	treiera	anger	0.484
sucker	fraier	anger	0.484
strained	încordat	anger	0.484
blame	vină	anger	0.484
upheaval	răsturnare	anger	0.484
renounce	renunța la	anger	0.484
obnoxious	respingător	anger	0.484
restrain	reține	anger	0.484
oust	da afară	anger	0.484
litigious	litigios	anger	0.484
rivalry	rivalitate	anger	0.484
penalty	penalizare	anger	0.484
imprisoned	întemnițat	anger	0.484
mocking	batjocoritor	anger	0.484
opposed	opus	anger	0.484
turbulence	turbulenţă	anger	0.483
pound	livră	anger	0.481
coldness	frig	anger	0.477
ungrateful	nerecunoscător	anger	0.472
battalion	batalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	ostatic	anger	0.470
infidel	necredincios	anger	0.470
ram	Berbec	anger	0.470
accuser	acuzator	anger	0.470
gall	fiere	anger	0.470
subversion	subversiune	anger	0.470
annoying	enervant	anger	0.470
adversity	adversitate	anger	0.470
dispossessed	deposedați	anger	0.470
friction	frecare	anger	0.470
jealous	gelos	anger	0.470
feudalism	feudalism	anger	0.470
armament	armament	anger	0.470
thump	tronc	anger	0.469
complain	plânge	anger	0.469
incite	incita	anger	0.469
steal	fura	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	nu se supune	anger	0.469
injury	rănire	anger	0.469
simmer	fierbe	anger	0.469
distress	suferință	anger	0.469
insanity	nebunie	anger	0.469
selfish	egoist	anger	0.469
huff	acces de furie	anger	0.469
selfishness	egoism	anger	0.469
backoff	retrage-te	anger	0.469
plunder	jaf	anger	0.469
stifled	asfixiat	anger	0.469
subversive	subversiv	anger	0.469
exile	exil	anger	0.469
offense	delict	anger	0.469
objection	obiecţie	anger	0.469
recidivism	recidivei	anger	0.469
smother	sufoca	anger	0.469
perpetrator	autor	anger	0.469
dislike	nu-i plăcea	anger	0.469
disruption	perturbare	anger	0.469
intolerance	intoleranţă	anger	0.469
opposition	opoziţie	anger	0.469
areyoukidding	NO TRANSLATION	anger	0.468
mug	halbă	anger	0.467
agony	agonie	anger	0.465
arrogant	arogant	anger	0.461
sux	NO TRANSLATION	anger	0.456
vent	orificiu	anger	0.456
elimination	eliminare	anger	0.456
picketing	pichetare	anger	0.456
haughty	trufaş	anger	0.456
