word	Russian-ru	emotion	emotion-intensity-score
catastrophe	катастрофа	anger	0.735
menacing	угрожающий	anger	0.735
demon	демон	anger	0.735
crushing	дробление	anger	0.735
damn	черт	anger	0.735
persecute	преследовать	anger	0.734
argue	спорить	anger	0.734
flog	сечь	anger	0.734
revolt	восстание	anger	0.734
thrash	молотить	anger	0.734
deplore	оплакивать	anger	0.734
warfare	военное дело	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	неистовый	anger	0.734
riotous	буйный	anger	0.734
altercation	перебранка	anger	0.729
warlike	воинственный	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	бунт	anger	0.727
castrate	кастрировать	anger	0.727
sabotage	саботаж	anger	0.727
malevolent	недоброжелательный	anger	0.721
strike	забастовка	anger	0.721
disaster	катастрофа	anger	0.721
disastrous	гибельный	anger	0.720
tumult	буйство	anger	0.719
madden	бесить	anger	0.719
devil	дьявол	anger	0.719
scream	орать	anger	0.719
brutal	зверский	anger	0.719
treachery	вероломство	anger	0.719
scorching	палящий	anger	0.719
vermin	вредители	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	собачье	anger	0.719
aggravates	усугубляет	anger	0.719
spiteful	злобный	anger	0.719
slay	сражать	anger	0.719
disdain	презирать	anger	0.719
choke	удушение	anger	0.719
bastarding	bastarding	anger	0.719
mangle	калечить	anger	0.714
anarchism	анархизм	anger	0.714
mutilation	увечье	anger	0.714
criminal	преступник	anger	0.714
denunciation	денонсация	anger	0.713
punch	перфоратор	anger	0.713
crucifixion	распятие на кресте	anger	0.712
virulence	вирулентность	anger	0.712
battled	боролись	anger	0.712
fatal	фатальный	anger	0.712
holocaust	истребление	anger	0.712
blasphemous	богохульный	anger	0.712
hurting	больно	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ненормальный	anger	0.706
atrocious	отвратительный	anger	0.706
evil	зло	anger	0.706
irritated	раздраженный	anger	0.706
assassin	убийца	anger	0.703
dicks	Дикс	anger	0.703
persecution	преследование	anger	0.703
slayer	убийца	anger	0.703
kidnap	похищать	anger	0.703
scolding	нагоняй	anger	0.703
intimidation	устрашение	anger	0.703
aggravated	усугубленный	anger	0.703
aggression	агрессия	anger	0.702
armed	вооруженный	anger	0.700
poison	яд	anger	0.697
snarling	рычание	anger	0.697
venom	яд	anger	0.697
battle	боевой	anger	0.697
disgruntled	раздраженный	anger	0.693
insidious	коварный	anger	0.691
assailant	зачинщик	anger	0.691
resentment	чувство обиды	anger	0.691
lynch	линчевать	anger	0.690
contemptuous	презрительный	anger	0.690
temper	характер	anger	0.688
imprisonment	лишение свободы	anger	0.688
disparage	принижать	anger	0.688
bully	задира	anger	0.688
terrible	ужасный	anger	0.688
lunatic	помешанный	anger	0.688
curse	проклятие	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	раздраженный	anger	0.688
domination	доминирование	anger	0.688
mad	Сумасшедший	anger	0.688
infanticide	детоубийство	anger	0.688
volatility	летучесть	anger	0.687
eradication	искоренение	anger	0.685
tantrum	вспышка гнева	anger	0.682
devastate	опустошать	anger	0.682
eradicate	искоренять	anger	0.682
scoundrel	негодяй	anger	0.682
aggressively	агрессивно	anger	0.680
agitation	агитация	anger	0.680
dictatorship	диктатура	anger	0.676
irritates	раздражает	anger	0.676
profanity	профанация	anger	0.673
egregious	вопиющий	anger	0.672
expletive	бранное слово	anger	0.672
nasty	противный	anger	0.672
shove	совать	anger	0.672
shot	выстрел	anger	0.672
harmful	вредный	anger	0.672
aggravation	усугубление	anger	0.672
contempt	презрение	anger	0.672
poisonous	ядовитый	anger	0.672
dastardly	подлый	anger	0.672
shoot	стрелять	anger	0.672
corrupting	развращать	anger	0.672
condemnation	осуждение	anger	0.672
wreak	посеять	anger	0.672
crushed	раздавленный	anger	0.672
cruelly	жестоко	anger	0.672
crime	преступление	anger	0.672
maniac	маньяк	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	извержение	anger	0.667
odious	одиозный	anger	0.667
shooting	стрельба	anger	0.667
kick	удар	anger	0.667
aggressive	агрессивный	anger	0.667
combat	бой	anger	0.667
shout	окрик	anger	0.667
hit	удар	anger	0.667
fight	борьба	anger	0.667
cutthroat	беспощадный	anger	0.667
enemy	враг	anger	0.667
irritable	раздражительный	anger	0.667
punished	наказали	anger	0.662
ambush	засада	anger	0.661
yell	вопить	anger	0.661
harass	изводить	anger	0.659
malignant	злокачественный	anger	0.656
aggressor	агрессор	anger	0.656
antichrist	антихрист	anger	0.656
gore	ластовица	anger	0.656
incense	ладан	anger	0.656
expel	высылать	anger	0.656
destruction	разрушение	anger	0.656
grudge	недоброжелательство	anger	0.656
cranky	капризный	anger	0.653
offended	обижаться	anger	0.652
spank	шлепок	anger	0.652
growl	рычание	anger	0.652
insurrection	восстание	anger	0.652
reprisal	расправа	anger	0.652
slave	рабыня	anger	0.652
denounce	денонсировать	anger	0.652
animosity	злоба	anger	0.652
insulting	оскорбительный	anger	0.652
clashing	сталкивающихся	anger	0.652
growls	рычание	anger	0.649
executioner	палач	anger	0.644
twat	пизда	anger	0.644
doomsday	конец света	anger	0.643
daemon	демон	anger	0.641
obscenity	непристойность	anger	0.641
bombard	бомбардировать	anger	0.641
spat	размолвка	anger	0.641
havoc	опустошение	anger	0.641
feud	междоусобица	anger	0.641
grr	ГРР	anger	0.641
arson	поджог	anger	0.641
reprimand	выговор	anger	0.641
expulsion	высылка	anger	0.641
inexcusable	непростительный	anger	0.641
accused	обвиняемый	anger	0.641
indignant	возмущенный	anger	0.641
shackle	дужка	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	рана	anger	0.636
suicidal	самоубийственный	anger	0.636
poisoned	отравленный	anger	0.636
batter	долбить	anger	0.636
kicking	пиная	anger	0.636
hanging	подвешивание	anger	0.636
spanking	трепка	anger	0.636
disgusting	отвратительный	anger	0.636
combatant	строевой	anger	0.636
frustrated	несостоявшийся	anger	0.636
anarchy	анархия	anger	0.636
glaring	вопиющий	anger	0.636
inflict	причинить	anger	0.633
wrecked	разрушенный	anger	0.633
grievous	мучительный	anger	0.632
prosecute	преследовать в судебном порядке	anger	0.630
agitated	взволнованный	anger	0.630
cheat	мошенничать	anger	0.630
swastika	свастика	anger	0.627
defamatory	клеветнический	anger	0.625
suffocation	удушение	anger	0.625
strife	раздор	anger	0.625
provocation	провокация	anger	0.625
injure	ранить	anger	0.625
harassing	беспокоящие	anger	0.625
scourge	бич	anger	0.625
cursing	чертыхаясь	anger	0.625
betray	предавать	anger	0.625
indict	предъявлять обвинение	anger	0.625
raid	набег	anger	0.625
thundering	громоподобный	anger	0.625
enslaved	порабощенный	anger	0.625
arsehole	задница	anger	0.624
insane	ненормальный	anger	0.621
fiend	изверг	anger	0.621
irritate	раздражать	anger	0.621
convict	осужденный	anger	0.621
jerk	придурок	anger	0.621
theft	кража	anger	0.621
retaliation	воздаяние	anger	0.621
deprivation	лишение	anger	0.621
cussed	упрямый	anger	0.619
turmoil	смятение	anger	0.618
smack	хлопать	anger	0.615
retribution	воздаяние	anger	0.614
twats	twats	anger	0.609
intolerable	невыносимый	anger	0.609
rebellion	бунт	anger	0.609
injurious	вредный	anger	0.609
oppressor	угнетатель	anger	0.609
slavery	рабство	anger	0.609
irritability	раздражительность	anger	0.609
collision	столкновение	anger	0.609
bitterly	горько	anger	0.609
gang	банда	anger	0.609
antagonism	антагонизм	anger	0.609
battery	аккумулятор	anger	0.609
adverse	неблагоприятный	anger	0.609
disgraced	опальный	anger	0.608
irritating	раздражающий	anger	0.606
revolution	революция	anger	0.606
thug	головорез	anger	0.606
diatribe	диатриба	anger	0.606
bombardment	бомбардировка	anger	0.606
blast	взрыв	anger	0.606
irks	докучает	anger	0.606
sickening	тошнотворный	anger	0.606
discrimination	дискриминация	anger	0.606
antagonistic	антагонистический	anger	0.606
ranting	разглагольствовать	anger	0.606
asshole	Мудак	anger	0.606
frustrate	срывать	anger	0.604
manipulation	манипуляция	anger	0.603
tension	напряженность	anger	0.603
insult	оскорбление	anger	0.603
bigot	изувер	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	вредный	anger	0.603
oppression	угнетение	anger	0.603
disgust	отвращение	anger	0.602
spite	озлобленность	anger	0.600
intrusive	назойливый	anger	0.598
harshness	резкость	anger	0.597
slur	марашка	anger	0.596
wretch	негодяй	anger	0.594
inferno	ад	anger	0.594
invasion	вторжение	anger	0.594
puncture	прокол	anger	0.594
miserable	несчастный	anger	0.594
assail	нападать	anger	0.594
storming	штурмуя	anger	0.594
casualty	несчастный случай	anger	0.594
bitterness	горечь	anger	0.594
morbidity	заболеваемость	anger	0.594
tempest	буря	anger	0.594
consternation	испуг	anger	0.592
depraved	развращенный	anger	0.591
raving	бесноватый	anger	0.591
guillotine	гильотина	anger	0.591
guilty	виновный	anger	0.591
immoral	аморальный	anger	0.591
forcibly	принудительно	anger	0.591
overpowering	непреодолимый	anger	0.591
accursed	проклятый	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	непокорный	anger	0.588
invader	захватчик	anger	0.588
scare	попугать	anger	0.588
screwed	пьяный	anger	0.588
indignation	возмущение	anger	0.587
jealousy	ревность	anger	0.587
vexed	раздосадованный	anger	0.586
confront	противостоять	anger	0.582
brute	скотина	anger	0.581
throttle	дроссель	anger	0.579
wreck	развалина	anger	0.578
revolver	револьвер	anger	0.578
slut	шлюха	anger	0.578
yousuck	ты полный отстой	anger	0.578
damage	наносить ущерб	anger	0.578
butcher	мясник	anger	0.578
conflict	конфликт	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	преступность	anger	0.578
bickering	ссора	anger	0.578
pillage	мародерство	anger	0.578
blaze	полыхать	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	переворот	anger	0.578
contentious	сварливый	anger	0.578
incarceration	лишение свободы	anger	0.578
defiant	дерзкий	anger	0.578
provoking	провоцирующий	anger	0.578
lash	плеть	anger	0.578
cancer	рак	anger	0.577
frustration	разочарование	anger	0.576
gory	окровавленный	anger	0.576
alienation	отчуждение	anger	0.576
discord	диссонанс	anger	0.576
disturbance	нарушение	anger	0.576
grope	нащупывать	anger	0.576
condescension	снисходительность	anger	0.576
pernicious	пагубный	anger	0.576
blasphemy	богохульство	anger	0.576
discriminate	дискриминировать	anger	0.576
chaotic	хаотичный	anger	0.576
gun	пистолет	anger	0.576
standoff	тупик	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	насмешка	anger	0.574
lunacy	невменяемость	anger	0.574
oppressive	гнетущий	anger	0.574
death	смерть	anger	0.574
jab	прививка	anger	0.574
cursed	проклят	anger	0.574
scandalous	скандальный	anger	0.574
monstrosity	уродство	anger	0.574
shit	дерьмо	anger	0.573
disparaging	пренебрежительный	anger	0.571
slash	слэш	anger	0.571
unfair	недобросовестный	anger	0.571
gallows	виселица	anger	0.570
escalate	обострять	anger	0.569
intolerant	нетерпимый	anger	0.564
lawlessness	бесправие	anger	0.563
bluddy	bluddy	anger	0.562
perdition	погибель	anger	0.562
taunt	шпилька	anger	0.562
grouchy	ворчливый	anger	0.562
torpedo	торпеда	anger	0.562
deceived	обманутый	anger	0.562
slander	клевета	anger	0.562
retards	тормозит	anger	0.562
bearish	медвежий	anger	0.562
invade	вторгаться	anger	0.562
bellows	сильфон	anger	0.562
beast	зверь	anger	0.562
frightful	ужасный	anger	0.562
derogatory	уничижительный	anger	0.562
glare	яркий свет	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ужасный	anger	0.562
traitor	изменник	anger	0.562
malign	злокачественный	anger	0.562
wrangling	пререкаться	anger	0.562
dissension	разногласие	anger	0.561
banshee	сирена воздушной тревоги	anger	0.561
shatter	раздробить	anger	0.561
conflagration	пожарище	anger	0.561
jeopardize	подвергать опасности	anger	0.561
thief	вор	anger	0.561
rave	рейв	anger	0.561
grating	решетка	anger	0.561
devastating	разрушительный	anger	0.561
idiots	идиоты	anger	0.561
betrayal	предательство	anger	0.561
uncontrollable	неконтролируемый	anger	0.561
fits	припадки	anger	0.561
cross	пересекать	anger	0.561
hurt	причинить боль	anger	0.561
disturbed	нарушенный	anger	0.559
subjugation	покорение	anger	0.559
stomped	топали	anger	0.557
grab	грейфер	anger	0.557
ticked	тикали	anger	0.556
masochism	мазохизм	anger	0.556
grievance	обида	anger	0.556
defiance	неповиновение	anger	0.552
blackmail	шантажировать	anger	0.550
offensive	наступление	anger	0.549
decry	порицать	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	нарушение	anger	0.547
punishment	наказание	anger	0.547
shrill	пронзительный	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	темная сторона	anger	0.547
misery	нищета	anger	0.547
frustrates	расстраивает	anger	0.547
disgraceful	позорный	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	властный	anger	0.547
disparity	несоответствие	anger	0.547
confine	ограничивать	anger	0.547
firearms	огнестрельное оружие	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	нелепый	anger	0.547
rebel	бунтарь	anger	0.547
deceive	обманывать	anger	0.547
stolen	похищенный	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	идиот	anger	0.545
heated	с подогревом	anger	0.545
ruined	разрушенный	anger	0.545
menace	угроза	anger	0.545
humiliate	унижать	anger	0.545
tackle	снасти	anger	0.545
conspirator	заговорщик	anger	0.545
foul	фол	anger	0.545
antagonist	антагонист	anger	0.545
resentful	обиженный	anger	0.545
prejudice	предубеждение	anger	0.545
adversary	состязательный	anger	0.545
argument	аргумент	anger	0.545
skirmish	перестрелка	anger	0.545
callous	черствый	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	запутанный	anger	0.544
robbery	грабеж	anger	0.544
sting	ужалить	anger	0.544
outcry	выкрик	anger	0.544
grumble	ворчать	anger	0.544
irreconcilable	непримиримый	anger	0.543
resistance	сопротивление	anger	0.543
obstructive	обструктивный	anger	0.542
dismay	испуг	anger	0.540
mob	чернь	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	негодность	anger	0.536
ridicule	осмеяние	anger	0.534
incendiary	зажигательный	anger	0.533
flares	факелы	anger	0.532
degeneracy	вырождение	anger	0.531
confinement	лишение свободы	anger	0.531
exacerbation	обострение	anger	0.531
prejudicial	пагубный	anger	0.531
uprising	восстание	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	опрометчивый	anger	0.531
unbridled	разнузданный	anger	0.531
allegation	утверждение	anger	0.531
communism	коммунизм	anger	0.531
whip	кнут	anger	0.531
intruder	нарушитель	anger	0.531
dispute	спор	anger	0.531
belittle	умалить	anger	0.531
bigoted	нетерпимый	anger	0.530
offender	правонарушитель	anger	0.530
hassle	стычка	anger	0.530
dissonance	диссонанс	anger	0.530
unjust	несправедливый	anger	0.530
dictatorial	диктаторский	anger	0.530
unjustifiable	неоправданный	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	извращение	anger	0.530
tackled	решать	anger	0.530
renegade	ренегат	anger	0.529
hot	горячий	anger	0.529
prison	тюрьма	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	прегрешение	anger	0.529
suicide	самоубийство	anger	0.521
annoy	раздражать	anger	0.520
leavemealone	Оставь меня в покое	anger	0.517
idiotic	идиотский	anger	0.516
distrust	недоверие	anger	0.516
depravity	развращенность	anger	0.516
cretins	кретины	anger	0.516
divorce	развод	anger	0.516
broil	жариться	anger	0.516
grrr	гррр	anger	0.516
venting	вентиляционный	anger	0.516
inimical	враждебный	anger	0.516
duress	принуждение	anger	0.516
disrespectful	непочтительный	anger	0.516
tortious	деликтный	anger	0.516
criticize	критиковать	anger	0.516
prisoner	заключенный	anger	0.516
dishonest	нечестный	anger	0.516
treason	измена	anger	0.516
victimized	виктимизации	anger	0.515
bile	желчь	anger	0.515
unkind	недобрый	anger	0.515
unforgiving	неумолимый	anger	0.515
unleash	развязать	anger	0.515
coercion	принуждение	anger	0.515
scold	ругать	anger	0.515
chaos	хаос	anger	0.515
grump	Grump	anger	0.515
roar	рев	anger	0.515
jerks	конвульсии	anger	0.515
poaching	браконьерство	anger	0.515
hangry	Hangry	anger	0.515
pow	бух	anger	0.515
poachers	браконьеры	anger	0.515
argumentation	аргументация	anger	0.515
frustrating	разочаровывающий	anger	0.515
tussle	драка	anger	0.514
bane	отрава	anger	0.511
accusation	обвинение	anger	0.510
repudiation	отречение	anger	0.510
enmity	враждебность	anger	0.510
banish	отгонять	anger	0.509
disfigured	изуродованный	anger	0.508
storm	буря	anger	0.507
shun	гнушаться	anger	0.500
suppression	подавление	anger	0.500
unruly	непокорный	anger	0.500
intractable	неподатливый	anger	0.500
ordeal	тяжелое испытание	anger	0.500
obstruct	препятствовать	anger	0.500
derogation	умаление	anger	0.500
fervor	горячность	anger	0.500
foaming	вспенивание	anger	0.500
derision	осмеяние	anger	0.500
animus	предубеждение	anger	0.500
rejects	отвергает	anger	0.500
bout	бой	anger	0.500
spear	копье	anger	0.500
crazy	псих	anger	0.500
brazen	наглый	anger	0.500
antithesis	антитеза	anger	0.500
injustice	несправедливость	anger	0.500
banished	изгнанный	anger	0.500
confined	ограниченный	anger	0.500
frenzied	взбешенный	anger	0.500
dominate	доминировать	anger	0.500
disrupting	срывающее	anger	0.500
hammering	чеканка	anger	0.500
fear	страх	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	мучение	anger	0.500
brunt	главный удар	anger	0.500
possessed	одержимый	anger	0.500
defy	игнорировать	anger	0.500
scoff	издеваться	anger	0.500
patronising	покровительствующий	anger	0.500
delusional	бредовый	anger	0.500
malpractice	злоупотребление доверием	anger	0.500
reject	отклонять	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	прочность	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	безумие	anger	0.491
sinful	грешный	anger	0.491
avarice	алчность	anger	0.490
oppress	угнетать	anger	0.490
disapproved	отклоненные	anger	0.485
inhuman	нечеловеческий	anger	0.485
demand	спрос	anger	0.485
abolish	упразднять	anger	0.485
anathema	анафема	anger	0.485
fricking	fricking	anger	0.485
complaint	жалоба	anger	0.485
disservice	вред	anger	0.485
smuggler	контрабандист	anger	0.485
revoke	отзывать	anger	0.485
infraction	нарушение	anger	0.485
claw	коготь	anger	0.485
dissident	диссидент	anger	0.485
pervert	извращенец	anger	0.485
incest	кровосмешение	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	непослушный	anger	0.485
usurp	узурпировать	anger	0.485
alienate	отчуждать	anger	0.485
avenger	мститель	anger	0.485
annoyed	раздраженный	anger	0.485
cutting	резка	anger	0.485
disgrace	бесчестие	anger	0.484
deceit	обман	anger	0.484
suspicious	подозрительный	anger	0.484
thresh	молотить	anger	0.484
sucker	присоска	anger	0.484
strained	натянутый	anger	0.484
blame	вина	anger	0.484
upheaval	переворот	anger	0.484
renounce	отрекаться	anger	0.484
obnoxious	противный	anger	0.484
restrain	сдерживать	anger	0.484
oust	вытеснять	anger	0.484
litigious	сутяжнический	anger	0.484
rivalry	соперничество	anger	0.484
penalty	штраф	anger	0.484
imprisoned	в заключении	anger	0.484
mocking	осмеяние	anger	0.484
opposed	против	anger	0.484
turbulence	турбулентность	anger	0.483
pound	фунт	anger	0.481
coldness	холодность	anger	0.477
ungrateful	неблагодарный	anger	0.472
battalion	батальон	anger	0.471
stoopid	Stoopid	anger	0.471
hostage	заложник	anger	0.470
infidel	неверующий	anger	0.470
ram	ОЗУ	anger	0.470
accuser	обвинитель	anger	0.470
gall	желчь	anger	0.470
subversion	диверсия	anger	0.470
annoying	раздражающий	anger	0.470
adversity	напасти	anger	0.470
dispossessed	обездоленные	anger	0.470
friction	трение	anger	0.470
jealous	ревнивый	anger	0.470
feudalism	феодализм	anger	0.470
armament	вооружение	anger	0.470
thump	колотить	anger	0.469
complain	жаловаться	anger	0.469
incite	подстрекать	anger	0.469
steal	украсть	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	не слушаться	anger	0.469
injury	травма	anger	0.469
simmer	кипятить на медленном огне	anger	0.469
distress	бедствие	anger	0.469
insanity	невменяемость	anger	0.469
selfish	эгоистичный	anger	0.469
huff	фуканье	anger	0.469
selfishness	эгоизм	anger	0.469
backoff	отвали	anger	0.469
plunder	расхищение	anger	0.469
stifled	подавила	anger	0.469
subversive	подрывной	anger	0.469
exile	ссыльный	anger	0.469
offense	преступление	anger	0.469
objection	возражение	anger	0.469
recidivism	рецидив	anger	0.469
smother	душить	anger	0.469
perpetrator	нарушитель	anger	0.469
dislike	нелюбовь	anger	0.469
disruption	нарушение	anger	0.469
intolerance	непереносимость	anger	0.469
opposition	оппозиция	anger	0.469
