word	Scots Gaelic-gd	emotion	emotion-intensity-score
expulsion	sgaoileadh	anger	0.641
inexcusable	neo-chràbhach	anger	0.641
accused	a chaidh a chasaid	anger	0.641
indignant	indignach	anger	0.641
shackle	geallan	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	leòn	anger	0.636
suicidal	suicidal	anger	0.636
poisoned	puinnseanachadh	anger	0.636
batter	batter	anger	0.636
kicking	a 'bualadh	anger	0.636
hanging	crochadh	anger	0.636
spanking	sgaoileadh	anger	0.636
disgusting	sgreamhail	anger	0.636
combatant	sabaid	anger	0.636
frustrated	mì-fhortanach	anger	0.636
anarchy	anarchy	anger	0.636
glaring	a 'glaring	anger	0.636
inflict	sgaoileadh	anger	0.633
wrecked	air an sgrios	anger	0.633
grievous	gràineil	anger	0.632
prosecute	casaid	anger	0.630
agitated	sgaoileadh	anger	0.630
cheat	caoidh	anger	0.630
swastika	s an Iar-	anger	0.627
defamatory	smear	anger	0.625
suffocation	fulang	anger	0.625
strife	strì	anger	0.625
provocation	brònadh	anger	0.625
injure	leòn	anger	0.625
harassing	sàrachadh	anger	0.625
scourge	bualadh	anger	0.625
cursing	mallachadh	anger	0.625
betray	brathadh	anger	0.625
indict	a dhìteadh	anger	0.625
raid	creach	anger	0.625
thundering	tàirneadh	anger	0.625
enslaved	saoradh	anger	0.625
arsehole	arsehole	anger	0.624
insane	mì-chinnteach	anger	0.621
fiend	fiend	anger	0.621
irritate	èibhinn	anger	0.621
convict	ciontach	anger	0.621
jerk	jerk	anger	0.621
theft	goid	anger	0.621
retaliation	dìoghaltas	anger	0.621
deprivation	bochdainn	anger	0.621
cussed	sgaoileadh	anger	0.619
turmoil	sabaid	anger	0.618
smack	smack	anger	0.615
retribution	ath-dhìoladh	anger	0.614
twats	twats	anger	0.609
intolerable	annasach	anger	0.609
rebellion	ar-a-mach	anger	0.609
injurious	truailleachail	anger	0.609
oppressor	èiginn	anger	0.609
slavery	tràilleachd	anger	0.609
irritability	irritability	anger	0.609
collision	sabaid	anger	0.609
bitterly	gu searbh	anger	0.609
gang	gang	anger	0.609
antagonism	an-aghaidh	anger	0.609
battery	bataraidh	anger	0.609
adverse	dona	anger	0.609
disgraced	dìomhaireachd	anger	0.608
irritating	èibhinn	anger	0.606
revolution	ar-a-mach	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bombardment	anger	0.606
blast	sgaoileadh	anger	0.606
irks	sneachda	anger	0.606
sickening	tinneas	anger	0.606
discrimination	lethbhreith	anger	0.606
antagonistic	eachdraidheil	anger	0.606
ranting	ranting	anger	0.606
asshole	asshole	anger	0.606
frustrate	sàrachadh	anger	0.604
manipulation	cleachdadh	anger	0.603
tension	teannachadh	anger	0.603
insult	sàrachadh	anger	0.603
bigot	mòr-bhualadh	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	gortach	anger	0.603
oppression	sàrachadh	anger	0.603
disgust	dìomhaireachd	anger	0.602
spite	a dh'aindeoin	anger	0.600
intrusive	sgaoileadh	anger	0.598
harshness	cruaidh	anger	0.597
slur	slur	anger	0.596
wretch	bana-bhuidseach	anger	0.594
inferno	inferno	anger	0.594
invasion	ionnsaigh	anger	0.594
puncture	puncture	anger	0.594
miserable	bròineach	anger	0.594
assail	sàbhaladh	anger	0.594
storming	s an Iar-	anger	0.594
casualty	leòintich	anger	0.594
bitterness	searbh	anger	0.594
morbidity	morbidity	anger	0.594
tempest	sìde	anger	0.594
consternation	dragh	anger	0.592
depraved	mì-fhortanach	anger	0.591
raving	rabhaidh	anger	0.591
guillotine	guillotine	anger	0.591
guilty	ciontach	anger	0.591
immoral	mì-laghail	anger	0.591
forcibly	sìor fhàs	anger	0.591
overpowering	sgaoileadh	anger	0.591
accursed	mallaichte	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	sàmhach	anger	0.588
invader	ionnsaigh	anger	0.588
scare	eagal	anger	0.588
screwed	s an Iar-	anger	0.588
indignation	indign	anger	0.587
jealousy	eud	anger	0.587
vexed	èibhinn	anger	0.586
confront	aghaidh	anger	0.582
brute	brute	anger	0.581
throttle	throttle	anger	0.579
wreck	long-bhriseadh	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	Tha thu grod	anger	0.578
damage	milleadh	anger	0.578
butcher	bùidsear	anger	0.578
conflict	còmhstri	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	eucorach	anger	0.578
bickering	sneachda	anger	0.578
pillage	sgaoileadh	anger	0.578
blaze	sgaoileadh	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	còmhstri	anger	0.578
incarceration	a 'losgadh	anger	0.578
defiant	mì-thoilichte	anger	0.578
provoking	brosnachail	anger	0.578
lash	lash	anger	0.578
cancer	aillse	anger	0.577
frustration	frustrachas	anger	0.576
gory	gory	anger	0.576
alienation	coimheachadh	anger	0.576
discord	dragh	anger	0.576
disturbance	dragh	anger	0.576
grope	grope	anger	0.576
condescension	dìomhaireachd	anger	0.576
pernicious	mì-chinnteach	anger	0.576
blasphemy	blasphemy	anger	0.576
discriminate	lethbhreith	anger	0.576
chaotic	chaotic	anger	0.576
gun	gunna	anger	0.576
standoff	s an Iar-	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lòin	anger	0.574
oppressive	èiginneach	anger	0.574
death	bàs	anger	0.574
jab	jab	anger	0.574
cursed	mallachd	anger	0.574
scandalous	smearrach	anger	0.574
monstrosity	mìorbhaileach	anger	0.574
shit	shit	anger	0.573
disparaging	sàmhach	anger	0.571
slash	slash	anger	0.571
unfair	neo-chothromach	anger	0.571
gallows	croich	anger	0.570
escalate	àrdachadh	anger	0.569
intolerant	neo-fhulangach	anger	0.564
lawlessness	gun lagh	anger	0.563
bluddy	bluddy	anger	0.562
perdition	milleadh	anger	0.562
taunt	miannachadh	anger	0.562
grouchy	sgaoileadh	anger	0.562
torpedo	torpedo	anger	0.562
deceived	meallta	anger	0.562
slander	cràdh	anger	0.562
retards	dìoladh	anger	0.562
bearish	s an Iar-	anger	0.562
invade	ionnsaigh	anger	0.562
bellows	sneachda	anger	0.562
beast	beathach	anger	0.562
frightful	eagalach	anger	0.562
derogatory	mì-riaghailteach	anger	0.562
glare	glare	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	eagalach	anger	0.562
traitor	saoghail	anger	0.562
malign	aodach	anger	0.562
wrangling	sgaoileadh	anger	0.562
dissension	an-aghaidh	anger	0.561
banshee	banshee	anger	0.561
shatter	sgaradh	anger	0.561
conflagration	mì-chliù	anger	0.561
jeopardize	cunnartach	anger	0.561
thief	mèirleach	anger	0.561
rave	rave	anger	0.561
grating	gràdh	anger	0.561
devastating	tubaisteach	anger	0.561
idiots	gnàthasan-cainnt	anger	0.561
betrayal	brathadh	anger	0.561
uncontrollable	neo-chùramach	anger	0.561
fits	a rèir	anger	0.561
cross	crois	anger	0.561
hurt	air a ghoirteachadh	anger	0.561
disturbed	dragh air	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	caoidh	anger	0.557
ticked	tic	anger	0.556
masochism	bochdaidheachd	anger	0.556
grievance	gearan	anger	0.556
defiance	aimhreit	anger	0.552
blackmail	ceal dubh	anger	0.550
offensive	ionnsaigh	anger	0.549
decry	deiseil	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	sàrachadh	anger	0.547
punishment	peanasachadh	anger	0.547
shrill	sgillinn	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	air falbh	anger	0.547
misery	truagh	anger	0.547
frustrates	mì-fhulangas	anger	0.547
disgraceful	nàireil	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	s an Iar-	anger	0.547
disparity	neo-ionannachd	anger	0.547
confine	sgaoileadh	anger	0.547
firearms	gunnaichean	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	neo-shoilleir	anger	0.547
rebel	reubaltaich	anger	0.547
deceive	meallta	anger	0.547
stolen	air a ghoid	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	buidheadair	anger	0.545
heated	teasachadh	anger	0.545
ruined	tobhta	anger	0.545
menace	bòidhchead	anger	0.545
humiliate	ìosal	anger	0.545
tackle	ionnsaigh	anger	0.545
conspirator	co-cheannaiche	anger	0.545
foul	bòidheach	anger	0.545
antagonist	an-aghaidh	anger	0.545
resentful	èibhinn	anger	0.545
prejudice	claon-bhreith	anger	0.545
adversary	adversary	anger	0.545
argument	argamaid	anger	0.545
skirmish	strìoghan	anger	0.545
callous	callous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	steach	anger	0.544
robbery	mèirle	anger	0.544
sting	sgoltadh	anger	0.544
outcry	èisdeachd	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	mì-chinnteach	anger	0.543
resistance	sneachda	anger	0.543
obstructive	bacaidh	anger	0.542
dismay	sàrachadh	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	bochdainn	anger	0.536
ridicule	èibhinn	anger	0.534
incendiary	fiadhaich	anger	0.533
flares	sgàilean	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	cuingealachadh	anger	0.531
exacerbation	sìor fhàs	anger	0.531
prejudicial	truailleadh	anger	0.531
uprising	ar-a-mach	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	neo-chùramach	anger	0.531
unbridled	neo-bhrìgheil	anger	0.531
allegation	casaid	anger	0.531
communism	comannachd	anger	0.531
whip	cuip	anger	0.531
intruder	ionnsaigh	anger	0.531
dispute	deasbad	anger	0.531
belittle	brònach	anger	0.531
bigoted	mòr-thionndadh	anger	0.530
offender	ciontach	anger	0.530
hassle	duilgheadas	anger	0.530
dissonance	sgaoileadh	anger	0.530
unjust	neo-iomchaidh	anger	0.530
dictatorial	deachdaire	anger	0.530
unjustifiable	mì-fhreagarrach	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	aimhreit	anger	0.530
tackled	dèiligeadh ris	anger	0.530
renegade	renegade	anger	0.529
hot	teth	anger	0.529
prison	prìosan	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	ciontach	anger	0.529
suicide	fèin-mharbhadh	anger	0.521
annoy	duilich	anger	0.520
leavemealone	Fàg mi leam fhìn	anger	0.517
idiotic	iongantach	anger	0.516
distrust	mì-earbsa	anger	0.516
depravity	dealachaidh	anger	0.516
cretins	cretairean	anger	0.516
divorce	sgaradh	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	sìde	anger	0.516
inimical	inimical	anger	0.516
duress	tubaist	anger	0.516
disrespectful	mì-thoilichte	anger	0.516
tortious	èibhinn	anger	0.516
criticize	càineadh	anger	0.516
prisoner	prìosanach	anger	0.516
dishonest	neo-onarach	anger	0.516
treason	treason	anger	0.516
victimized	fulang	anger	0.515
bile	bile	anger	0.515
unkind	unkind	anger	0.515
unforgiving	neo-dhreuchdail	anger	0.515
unleash	unleash	anger	0.515
coercion	coercion	anger	0.515
scold	sgillinn	anger	0.515
chaos	chaos	anger	0.515
grump	grump	anger	0.515
roar	roar	anger	0.515
jerks	seallaidhean	anger	0.515
poaching	poidseadh	anger	0.515
hangry	crochte	anger	0.515
pow	pow	anger	0.515
poachers	poidsearan	anger	0.515
argumentation	argamaid	anger	0.515
frustrating	mì-thoilichte	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	casaid	anger	0.510
repudiation	ath-dhìoladh	anger	0.510
enmity	iomadachd	anger	0.510
banish	crìonadh	anger	0.509
disfigured	neo-fhoirmeil	anger	0.508
storm	stoirm	anger	0.507
shun	shun	anger	0.500
suppression	sguabadh às	anger	0.500
unruly	neo-chràbhach	anger	0.500
intractable	neo-fhaicsinneach	anger	0.500
ordeal	s an Iar-	anger	0.500
obstruct	bacadh a chur air	anger	0.500
derogation	maoidheadh	anger	0.500
fervor	fervor	anger	0.500
foaming	sgoltadh	anger	0.500
derision	milleadh	anger	0.500
animus	beothalachd	anger	0.500
rejects	dhiùlt	anger	0.500
bout	bout	anger	0.500
spear	sleagh	anger	0.500
crazy	crazy	anger	0.500
brazen	sgaoileadh	anger	0.500
antithesis	s an Iar-	anger	0.500
injustice	mì-cheartas	anger	0.500
banished	air fhuadach	anger	0.500
confined	sgaoileadh	anger	0.500
frenzied	fiadhaich	anger	0.500
dominate	gu mòr	anger	0.500
disrupting	a 'cur dragh air	anger	0.500
hammering	aodach	anger	0.500
fear	eagal	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	anguish	anger	0.500
brunt	brunt	anger	0.500
possessed	seilbh	anger	0.500
defy	dùbhlan	anger	0.500
scoff	sabaid	anger	0.500
patronising	s an Iar-	anger	0.500
delusional	deònach	anger	0.500
malpractice	dhuilgheadas	anger	0.500
reject	dhiùlt	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	cruaidh	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	cuthach	anger	0.491
sinful	peacach	anger	0.491
avarice	gàire	anger	0.490
oppress	sguabadh	anger	0.490
disapproved	mì-fhreagarrach	anger	0.485
inhuman	neo-dhaonna	anger	0.485
demand	iarrtas	anger	0.485
abolish	cur às dha	anger	0.485
anathema	anathema	anger	0.485
fricking	s an Iar-	anger	0.485
complaint	gearan	anger	0.485
disservice	mì-thoilichte	anger	0.485
smuggler	smùladair	anger	0.485
revoke	ath-ghairm	anger	0.485
infraction	smachd	anger	0.485
claw	claw	anger	0.485
dissident	dissident	anger	0.485
pervert	mì-fhortanach	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	neo-eisimeileach	anger	0.485
usurp	usurp	anger	0.485
alienate	eilthireachd	anger	0.485
avenger	dìoghaltas	anger	0.485
annoyed	eagal	anger	0.485
cutting	gearradh	anger	0.485
disgrace	nàire	anger	0.484
deceit	meallta	anger	0.484
suspicious	amharasach	anger	0.484
thresh	thresh	anger	0.484
sucker	siùcair	anger	0.484
strained	sneachda	anger	0.484
blame	coire	anger	0.484
upheaval	àrdachadh	anger	0.484
renounce	ceadaich	anger	0.484
obnoxious	duilich	anger	0.484
restrain	stad	anger	0.484
oust	oust	anger	0.484
litigious	s an Iar-	anger	0.484
rivalry	co-rèiteachadh	anger	0.484
penalty	peanas	anger	0.484
imprisoned	sa phrìosan	anger	0.484
mocking	a 'magadh	anger	0.484
opposed	an aghaidh	anger	0.484
turbulence	tubaist	anger	0.483
pound	punnd	anger	0.481
coldness	fuachdachd	anger	0.477
ungrateful	neo-thlachdmhor	anger	0.472
battalion	batalion	anger	0.471
