word	Sesotho-st	emotion	emotion-intensity-score
resent	ho hlonama	anger	0.765
firestorm	sefefo sa mollo	anger	0.765
contemptible	e nyonyehang	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	sehlōhō	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	e bolaeang	anger	0.758
smash	tsuba	anger	0.758
rant	sehlabelo	anger	0.758
outburst	ho phatloha	anger	0.757
snarl	ho ruruha	anger	0.754
profane	ea silafetseng	anger	0.750
offend	ho khopisa	anger	0.750
douchebags	li-douchebags	anger	0.750
growling	ho lla	anger	0.750
stfu	stfu	anger	0.750
vulgarity	bolotsana	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	e tsositse	anger	0.750
despise	nyelisa	anger	0.750
horror	ho tšosa	anger	0.750
aggravating	ho mpefatsa	anger	0.750
revolting	ho fetohela	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	kotsi	anger	0.742
erupt	ho fofa	anger	0.742
screaming	ho hoeletsa	anger	0.742
violence	pefo	anger	0.742
horrible	e tšabehang	anger	0.742
molestation	ho hlekefetsoa	anger	0.742
bastards	bastards	anger	0.741
revenge	phetetsa	anger	0.738
catastrophe	tlokotsi	anger	0.735
menacing	ho tšosa	anger	0.735
demon	bademona	anger	0.735
crushing	ho senya	anger	0.735
damn	Yerrrrrrr	anger	0.735
persecute	ba hlorisa	anger	0.734
argue	pheha khang	anger	0.734
flog	fola	anger	0.734
revolt	bofetoheli	anger	0.734
thrash	hlakola	anger	0.734
deplore	nyenyefatsa	anger	0.734
warfare	ntoa	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	cheseho	anger	0.734
riotous	e tsosang takatso	anger	0.734
altercation	phetoho	anger	0.729
warlike	ntoa	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	e hlakileng	anger	0.727
castrate	castrate	anger	0.727
sabotage	masapo	anger	0.727
malevolent	e mabifi	anger	0.721
strike	otla	anger	0.721
disaster	tlokotsi	anger	0.721
disastrous	tlokotsi	anger	0.720
tumult	morusu	anger	0.719
madden	ho hlanya	anger	0.719
devil	Diabolose	anger	0.719
scream	hoeletsa	anger	0.719
brutal	e sehlōhō	anger	0.719
treachery	bolotsana	anger	0.719
scorching	ho chesa	anger	0.719
vermin	likokoana-hloko	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horsehit	anger	0.719
aggravates	e mpefatsa	anger	0.719
spiteful	ho nyonya	anger	0.719
slay	bolaea	anger	0.719
disdain	nyelisa	anger	0.719
choke	tsuba	anger	0.719
bastarding	ho ipholla	anger	0.719
mangle	mangle	anger	0.714
anarchism	anarchism	anger	0.714
mutilation	ho koaloa	anger	0.714
criminal	senokoane	anger	0.714
denunciation	nyatso	anger	0.713
punch	kotlo	anger	0.713
crucifixion	ho pholloa	anger	0.712
virulence	pefo	anger	0.712
battled	ntoa	anger	0.712
fatal	e bolaeang	anger	0.712
holocaust	holo	anger	0.712
blasphemous	ea nyefolang	anger	0.712
hurting	ho utloisa bohloko	anger	0.712
dumbasses	matšoafo	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ho ferekana	anger	0.706
atrocious	e bohale	anger	0.706
evil	bobe	anger	0.706
irritated	e halefile	anger	0.706
assassin	mothetsi	anger	0.703
dicks	dicks	anger	0.703
persecution	mahloriso	anger	0.703
slayer	'molai	anger	0.703
kidnap	ho tlōla	anger	0.703
scolding	ho phunya	anger	0.703
intimidation	tšoso	anger	0.703
aggravated	e mpefalitsoe	anger	0.703
aggression	pefo	anger	0.702
armed	ba hlometse	anger	0.700
poison	chefo	anger	0.697
snarling	ho lata	anger	0.697
venom	maqeba	anger	0.697
battle	ntoa	anger	0.697
disgruntled	ho se tsotellehe	anger	0.693
insidious	e bolotsana	anger	0.691
assailant	sehlaseli	anger	0.691
resentment	lehloeo	anger	0.691
lynch	lynch	anger	0.690
contemptuous	ho nyenyefatsa	anger	0.690
temper	bohale	anger	0.688
imprisonment	ho koalloa teronkong	anger	0.688
disparage	ho senyeha	anger	0.688
bully	bo-mpoli	anger	0.688
terrible	e tšabehang	anger	0.688
lunatic	lunatic	anger	0.688
curse	thohako	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	e hooa	anger	0.688
domination	taolo	anger	0.688
mad	hlanya	anger	0.688
infanticide	infanticide	anger	0.688
volatility	ho hloka botsitso	anger	0.687
eradication	ho felisoa	anger	0.685
tantrum	ho teneha	anger	0.682
devastate	senyeha	anger	0.682
eradicate	felisa	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	ka mabifi	anger	0.680
agitation	pherekano	anger	0.680
dictatorship	ho busa	anger	0.676
irritates	e halefisa	anger	0.676
profanity	ho nyelisa	anger	0.673
egregious	e tsotehang	anger	0.672
expletive	tlhaloso	anger	0.672
nasty	e mpe	anger	0.672
shove	tsuba	anger	0.672
shot	ho thunngoa	anger	0.672
harmful	kotsi	anger	0.672
aggravation	ho senya	anger	0.672
contempt	nyeliso	anger	0.672
poisonous	e chefo	anger	0.672
dastardly	ho senya	anger	0.672
shoot	thunya	anger	0.672
corrupting	ho senya	anger	0.672
condemnation	ho nyatsuoa	anger	0.672
wreak	wreak	anger	0.672
crushed	e sithabetseng	anger	0.672
cruelly	ka sehlōhō	anger	0.672
crime	tlōlo ea molao	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ho foqoha ha seretse	anger	0.667
odious	e nyonyehang	anger	0.667
shooting	ho thunngoa	anger	0.667
kick	kick	anger	0.667
aggressive	e mabifi	anger	0.667
combat	ntoa	anger	0.667
shout	hoeletsa	anger	0.667
hit	otla	anger	0.667
fight	loana	anger	0.667
cutthroat	khaola	anger	0.667
enemy	sera	anger	0.667
irritable	ho halefa	anger	0.667
punished	a fuoa kotlo	anger	0.662
ambush	ba emetse	anger	0.661
yell	hoeletsa	anger	0.661
harass	ho hlekefetsa	anger	0.659
malignant	e kotsi	anger	0.656
aggressor	mohatelli	anger	0.656
antichrist	mohanyetsi oa Kreste	anger	0.656
gore	selemo	anger	0.656
incense	libano	anger	0.656
expel	leleka	anger	0.656
destruction	timetso	anger	0.656
grudge	bohale	anger	0.656
cranky	cranky	anger	0.653
offended	o khopisitsoe	anger	0.652
spank	ho tsuba	anger	0.652
growl	khalala	anger	0.652
insurrection	bofetoheli	anger	0.652
reprisal	ho iphetetsa	anger	0.652
slave	lekhoba	anger	0.652
denounce	nyatsa	anger	0.652
animosity	lehloeo	anger	0.652
insulting	ho nyefola	anger	0.652
clashing	clashing	anger	0.652
growls	liphala	anger	0.649
executioner	moahloli	anger	0.644
twat	bobeli	anger	0.644
doomsday	doomsday	anger	0.643
daemon	daemon	anger	0.641
obscenity	ho nyenyeha	anger	0.641
bombard	bomoa	anger	0.641
spat	spat	anger	0.641
havoc	kotsi	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	mochopho	anger	0.641
reprimand	khalemela	anger	0.641
expulsion	ho lelekoa	anger	0.641
inexcusable	e se na boikemelo	anger	0.641
accused	ba qosoa	anger	0.641
indignant	o halefile	anger	0.641
shackle	shackle	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	leqeba	anger	0.636
suicidal	ho ipolaea	anger	0.636
poisoned	chefo	anger	0.636
batter	batter	anger	0.636
kicking	ho khaola	anger	0.636
hanging	e leketlile	anger	0.636
spanking	ho hlasela	anger	0.636
disgusting	e nyonyehang	anger	0.636
combatant	mohlabani	anger	0.636
frustrated	ferekane	anger	0.636
anarchy	merusu	anger	0.636
glaring	ho phatloha	anger	0.636
inflict	e ntša	anger	0.633
wrecked	e senyehile	anger	0.633
grievous	e utloisang bohloko	anger	0.632
prosecute	mochochisi	anger	0.630
agitated	ferekane	anger	0.630
cheat	ho kopitsa	anger	0.630
swastika	swastika	anger	0.627
defamatory	ho silafatsa	anger	0.625
suffocation	ho tepella	anger	0.625
strife	ntoa	anger	0.625
provocation	ho halefisoa	anger	0.625
injure	ho ntša kotsi	anger	0.625
harassing	ho hlekefetsa	anger	0.625
scourge	lefu la seoa	anger	0.625
cursing	ho rohaka	anger	0.625
betray	ekahela	anger	0.625
indict	qosa	anger	0.625
raid	ho hlasela	anger	0.625
thundering	ho luma	anger	0.625
enslaved	e le makhoba	anger	0.625
arsehole	ho hlasela	anger	0.624
insane	ho hlanya	anger	0.621
fiend	fiend	anger	0.621
irritate	ho halefisa	anger	0.621
convict	moahloli	anger	0.621
jerk	jerk	anger	0.621
theft	bosholu	anger	0.621
retaliation	ho iphetetsa	anger	0.621
deprivation	ho hloka	anger	0.621
cussed	ho tsekisitsoe	anger	0.619
turmoil	moferefere	anger	0.618
smack	tsuba	anger	0.615
retribution	tefello	anger	0.614
twats	likotoana	anger	0.609
intolerable	e ke keng ea qojoa	anger	0.609
rebellion	bofetoheli	anger	0.609
injurious	kotsi	anger	0.609
oppressor	mohatelli	anger	0.609
slavery	bokhoba	anger	0.609
irritability	ho halefa	anger	0.609
collision	ho thulana	anger	0.609
bitterly	ka bohale	anger	0.609
gang	gang	anger	0.609
antagonism	ho hanyetsa	anger	0.609
battery	betri	anger	0.609
adverse	e mpe	anger	0.609
disgraced	lihlong	anger	0.608
irritating	ho halefisa	anger	0.606
revolution	revolution	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	ho phatloha ha libomo	anger	0.606
blast	ho phatloha	anger	0.606
irks	li-irks	anger	0.606
sickening	e kulang	anger	0.606
discrimination	khethollo	anger	0.606
antagonistic	ho hanyetsa	anger	0.606
ranting	ho halefa	anger	0.606
asshole	Sebono	anger	0.606
frustrate	ferekane	anger	0.604
manipulation	ho qhekella	anger	0.603
tension	tsitsipano	anger	0.603
insult	ho rohaka	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	e utloisang bohloko	anger	0.603
oppression	khatello	anger	0.603
disgust	nyeliso	anger	0.602
spite	hampe	anger	0.600
intrusive	intrusive	anger	0.598
harshness	bohale	anger	0.597
slur	slur	anger	0.596
wretch	bohata	anger	0.594
inferno	inferno	anger	0.594
invasion	tlhaselo	anger	0.594
puncture	ho khabisoa	anger	0.594
miserable	e utloisang bohloko	anger	0.594
assail	ho hlasela	anger	0.594
storming	ho otla	anger	0.594
casualty	ho bolaoa	anger	0.594
bitterness	bohloko	anger	0.594
morbidity	ho kula	anger	0.594
tempest	sefefo	anger	0.594
consternation	ho senya	anger	0.592
depraved	e silafetseng	anger	0.591
raving	ho tsuba	anger	0.591
guillotine	guillotine	anger	0.591
guilty	o molato	anger	0.591
immoral	boitšoaro bo bobe	anger	0.591
forcibly	ho qobella	anger	0.591
overpowering	ho hatella	anger	0.591
accursed	e rohakiloe	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	mohlaseli	anger	0.588
scare	tšosa	anger	0.588
screwed	e hlasetsoeng	anger	0.588
indignation	khalefo	anger	0.587
jealousy	poulelo	anger	0.587
vexed	tšoenyeha	anger	0.586
confront	tobana	anger	0.582
brute	e bobebe	anger	0.581
throttle	throttle	anger	0.579
wreck	ho senyeha	anger	0.578
revolver	mofetoheli	anger	0.578
slut	slut	anger	0.578
yousuck	u sehele	anger	0.578
damage	tšenyo	anger	0.578
butcher	raselakha	anger	0.578
conflict	lintoa	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	tlōlo ea molao	anger	0.578
bickering	ho qabana	anger	0.578
pillage	ho tlatlapuoa	anger	0.578
blaze	hlahisa	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ho loana	anger	0.578
contentious	tsekisano	anger	0.578
incarceration	ho kenngoa chankaneng	anger	0.578
defiant	ho nyatsa	anger	0.578
provoking	e khathatsang	anger	0.578
lash	ho lahla	anger	0.578
cancer	kankere	anger	0.577
frustration	ho tsieleha	anger	0.576
gory	gory	anger	0.576
alienation	ho arohana	anger	0.576
discord	ho hloka kutloano	anger	0.576
disturbance	khathatso	anger	0.576
grope	ho phopholetsa	anger	0.576
condescension	kheloha	anger	0.576
pernicious	e kotsi	anger	0.576
blasphemy	nyeliso	anger	0.576
discriminate	khetholla	anger	0.576
chaotic	moferefere	anger	0.576
gun	sethunya	anger	0.576
standoff	setopo	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	ho iphelisa	anger	0.574
oppressive	khatello	anger	0.574
death	lefu	anger	0.574
jab	jab	anger	0.574
cursed	e rohakiloe	anger	0.574
scandalous	e tšosang	anger	0.574
monstrosity	monstrosity	anger	0.574
shit	shit	anger	0.573
disparaging	ho senya	anger	0.571
slash	senya	anger	0.571
unfair	ho hloka toka	anger	0.571
gallows	e phunyeletsoeng	anger	0.570
escalate	e eketseha	anger	0.569
intolerant	e sa mamelleng	anger	0.564
lawlessness	tlōlo ea molao	anger	0.563
bluddy	bluddy	anger	0.562
perdition	pherekano	anger	0.562
taunt	ho nyelisa	anger	0.562
grouchy	Grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	ba thetsitsoe	anger	0.562
slander	ho etselletsa	anger	0.562
retards	litlhapi	anger	0.562
bearish	bearish	anger	0.562
invade	hlasela	anger	0.562
bellows	li-bellows	anger	0.562
beast	sebata	anger	0.562
frightful	e tšosang	anger	0.562
derogatory	ho nyelisa	anger	0.562
glare	khanya	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	e tšabehang	anger	0.562
traitor	moeki	anger	0.562
malign	ho senya	anger	0.562
wrangling	wrangling	anger	0.562
dissension	ho hloka kutloano	anger	0.561
banshee	banshee	anger	0.561
shatter	shatter	anger	0.561
conflagration	pherekano	anger	0.561
jeopardize	beha kotsing	anger	0.561
thief	lesholu	anger	0.561
rave	hlaba	anger	0.561
grating	ho aroloa	anger	0.561
devastating	e senyang	anger	0.561
idiots	li-idiots	anger	0.561
betrayal	ho eka	anger	0.561
uncontrollable	e sa laoleheng	anger	0.561
fits	e lumellane	anger	0.561
cross	sefapano	anger	0.561
hurt	utloisa bohloko	anger	0.561
disturbed	khathatsoa	anger	0.559
subjugation	tlhōlo	anger	0.559
stomped	e fokotsehile	anger	0.557
grab	tšoara	anger	0.557
ticked	ho khetholloa	anger	0.556
masochism	masochism	anger	0.556
grievance	litletlebo	anger	0.556
defiance	ho nyelisa	anger	0.552
blackmail	ho senya	anger	0.550
offensive	e nyonyehang	anger	0.549
decry	ho senyeha	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	tlōlo ea molao	anger	0.547
punishment	kotlo	anger	0.547
shrill	ho phatloha	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	lefifi	anger	0.547
misery	mahlomola	anger	0.547
frustrates	e ferekanya	anger	0.547
disgraceful	lihlong	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ho mamella	anger	0.547
disparity	ho se tšoane	anger	0.547
confine	koala	anger	0.547
firearms	lithunya	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	ho iketsetsa pele	anger	0.547
rebel	marabele	anger	0.547
deceive	thetsa	anger	0.547
stolen	e utsoitsoeng	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	ho hlasela	anger	0.545
heated	halefile	anger	0.545
ruined	e senyehile	anger	0.545
menace	kotsi	anger	0.545
humiliate	ho tlotlolla	anger	0.545
tackle	sebetsana	anger	0.545
conspirator	moqapi	anger	0.545
foul	e litšila	anger	0.545
antagonist	mohanyetsi	anger	0.545
resentful	ho hlonama	anger	0.545
prejudice	khethollo	anger	0.545
adversary	mohanyetsi	anger	0.545
argument	khang	anger	0.545
skirmish	skirmish	anger	0.545
callous	ho hloka mamello	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ho keneha	anger	0.544
robbery	ho tlatlapa	anger	0.544
sting	ho tsuba	anger	0.544
outcry	ho bokolla	anger	0.544
grumble	ho korotla	anger	0.544
irreconcilable	ho se lumellane	anger	0.543
resistance	ho hanyetsa	anger	0.543
obstructive	e sitisang	anger	0.542
dismay	ho tsieleha	anger	0.540
mob	mokhopi	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	bobe	anger	0.536
ridicule	ho soma	anger	0.534
incendiary	ho chesa	anger	0.533
flares	lipalesa	anger	0.532
degeneracy	ho fokola	anger	0.531
confinement	ho koalloa chankaneng	anger	0.531
exacerbation	ho eketsa matla	anger	0.531
prejudicial	khethollo	anger	0.531
uprising	ho tsosoa	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	ho se tsotelle	anger	0.531
unbridled	e sa laoleheng	anger	0.531
allegation	nyeoe	anger	0.531
communism	bokomonisi	anger	0.531
whip	sephali	anger	0.531
intruder	moqapi	anger	0.531
dispute	phehisano	anger	0.531
belittle	ho nyenyefatsa	anger	0.531
bigoted	e theotsoe	anger	0.530
offender	mofosi	anger	0.530
hassle	khathatso	anger	0.530
dissonance	dissonance	anger	0.530
unjust	ho hloka toka	anger	0.530
dictatorial	taolo	anger	0.530
unjustifiable	ho se na molato	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	ho kheloha	anger	0.530
tackled	ho finyelitsoe	anger	0.530
renegade	litlokotsebe	anger	0.529
hot	chesang	anger	0.529
prison	chankaneng	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	tlōlo	anger	0.529
suicide	ho ipolaea	anger	0.521
annoy	ferekanya	anger	0.520
leavemealone	khaohana le 'na	anger	0.517
idiotic	e ikhethang	anger	0.516
distrust	ho se tšepane	anger	0.516
depravity	boitšoaro bo hlephileng	anger	0.516
cretins	cretins	anger	0.516
divorce	tlhalo	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	ho qala	anger	0.516
inimical	e sa tloaelehang	anger	0.516
duress	khathatseha	anger	0.516
disrespectful	ho hloka tlhompho	anger	0.516
tortious	ho hloka bohloko	anger	0.516
criticize	nyatsa	anger	0.516
prisoner	motšoaruoa	anger	0.516
dishonest	ho se tšepahale	anger	0.516
treason	bolotsana	anger	0.516
victimized	ba hlokofalitsoe	anger	0.515
bile	bile	anger	0.515
unkind	ho hloka mosa	anger	0.515
unforgiving	ho se tšoarele	anger	0.515
unleash	unleash	anger	0.515
coercion	ho qobelloa	anger	0.515
scold	khaola	anger	0.515
chaos	moferefere	anger	0.515
grump	hola	anger	0.515
roar	ho puruma	anger	0.515
jerks	jerks	anger	0.515
poaching	poaching	anger	0.515
hangry	hangry	anger	0.515
pow	pho	anger	0.515
poachers	poachers	anger	0.515
argumentation	phehisano	anger	0.515
frustrating	ho ferekanya	anger	0.515
tussle	tsuba	anger	0.514
bane	bane	anger	0.511
accusation	qoso	anger	0.510
repudiation	ho hana	anger	0.510
enmity	bora	anger	0.510
banish	tlosa	anger	0.509
disfigured	e senyehileng	anger	0.508
storm	sefefo	anger	0.507
shun	qoba	anger	0.500
suppression	ho hatella	anger	0.500
unruly	e sa laoleheng	anger	0.500
intractable	e ke keng ea qojoa	anger	0.500
ordeal	bohloko	anger	0.500
obstruct	thibela	anger	0.500
derogation	ho nyatsuoa	anger	0.500
fervor	ho ba mafolofolo	anger	0.500
foaming	foaming	anger	0.500
derision	ho songoa	anger	0.500
animus	animus	anger	0.500
rejects	o hana	anger	0.500
bout	bout	anger	0.500
spear	lerumo	anger	0.500
crazy	ea hlanya	anger	0.500
brazen	e le masoabi	anger	0.500
antithesis	tšitiso	anger	0.500
injustice	ho hloka toka	anger	0.500
banished	e tlosoa	anger	0.500
confined	koaletsoeng	anger	0.500
frenzied	e fere	anger	0.500
dominate	laola	anger	0.500
disrupting	ho senya	anger	0.500
hammering	ho khabisa	anger	0.500
fear	tšabo	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	bohloko	anger	0.500
brunt	ho se tsotelle	anger	0.500
possessed	e nang le eona	anger	0.500
defy	ho nyefola	anger	0.500
scoff	ho soma	anger	0.500
patronising	patronizing	anger	0.500
delusional	ho thetsa	anger	0.500
malpractice	ho sebetsa hampe	anger	0.500
reject	hana	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	matla	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	bohlanya	anger	0.491
sinful	sebe	anger	0.491
avarice	li-avarice	anger	0.490
oppress	hatella	anger	0.490
disapproved	e sa amohelehe	anger	0.485
inhuman	e se nang botho	anger	0.485
demand	tlhokahalo	anger	0.485
abolish	felisa	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	tletlebo	anger	0.485
disservice	hanela	anger	0.485
smuggler	smuggler	anger	0.485
revoke	khutlisa	anger	0.485
infraction	tlōlo ea molao	anger	0.485
claw	claw	anger	0.485
dissident	ba hanyetsane	anger	0.485
pervert	ho kheloha	anger	0.485
incest	ho nyalana	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	ba sa mameleng	anger	0.485
usurp	ho senya	anger	0.485
alienate	arohana	anger	0.485
avenger	mopheteletsi	anger	0.485
annoyed	a halefile	anger	0.485
cutting	ho khaola	anger	0.485
disgrace	lihlong	anger	0.484
deceit	leshano	anger	0.484
suspicious	ho belaela	anger	0.484
thresh	khaola	anger	0.484
sucker	sucker	anger	0.484
strained	e senyehile	anger	0.484
blame	molato	anger	0.484
upheaval	ho ferekana	anger	0.484
renounce	lahla	anger	0.484
obnoxious	ho tšoenyeha	anger	0.484
restrain	thibela	anger	0.484
oust	khaola	anger	0.484
litigious	e le litakatso	anger	0.484
rivalry	tlhōlisano	anger	0.484
