word	Sindhi-sd	emotion	emotion-intensity-score
punishing	سزا ڏيو	anger	0.788
destroyed	تباهه ٿيو	anger	0.788
retaliatory	سازش	anger	0.788
riot	فساد	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	نڪتل	anger	0.788
growthefuckup	وڌو	anger	0.788
diabolical	ڊاڪٽريٽو	anger	0.788
manslaughter	مئل	anger	0.783
clash	شڪار	anger	0.783
bloody	خوني آهي	anger	0.781
hellish	سهڻ	anger	0.781
loath	loath	anger	0.781
detonation	وهنوار	anger	0.781
quarrel	جھلڻ	anger	0.781
sinister	منشي	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	الزام لڳائڻ	anger	0.779
treacherous	غدار	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	وري رد ڪريو	anger	0.773
revulsion	تعصب	anger	0.773
madder	چريو	anger	0.773
horrific	خوفناڪ	anger	0.773
scorn	پيدا ٿيو	anger	0.769
deplorable	غلط استعمال	anger	0.766
bomb	بم	anger	0.766
anarchist	آرڪيالاسٽ	anger	0.765
devastation	تباهي	anger	0.765
resent	خاموش	anger	0.765
firestorm	چمڪندڙ	anger	0.765
contemptible	سمجھو	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ظلم	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	مقتول	anger	0.758
smash	ڦاٽي	anger	0.758
rant	رهان	anger	0.758
outburst	وابستگي	anger	0.757
snarl	ڦٽيل	anger	0.754
profane	ڄاڻي واڻي	anger	0.750
offend	اجايو	anger	0.750
douchebags	ٻٻر	anger	0.750
growling	وڌندو	anger	0.750
stfu	stfu	anger	0.750
vulgarity	ٻرندڙ	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	ڇڪيل	anger	0.750
despise	ناراض	anger	0.750
horror	افسوس	anger	0.750
aggravating	بگڙيل	anger	0.750
revolting	بغاوت	anger	0.750
fuckedoff	آخرڪار	anger	0.742
threat	خطرو	anger	0.742
erupt	يونٽ	anger	0.742
screaming	پڪاريو	anger	0.742
violence	تشدد	anger	0.742
horrible	چڱيء طرح	anger	0.742
molestation	ٺهيل	anger	0.742
bastards	ڪوڙڙا	anger	0.741
revenge	انتقام	anger	0.738
catastrophe	آفت	anger	0.735
menacing	ماڻهون	anger	0.735
demon	ڀڄڻ	anger	0.735
crushing	پگهار	anger	0.735
damn	ٻوڏ	anger	0.735
persecute	ڪري ٿو	anger	0.734
argue	بحث ڪيو	anger	0.734
flog	ڦڙا	anger	0.734
revolt	بغاوت	anger	0.734
thrash	ڇڪڻ	anger	0.734
deplore	منسٽر	anger	0.734
warfare	جنگجو	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ويچارو	anger	0.734
riotous	ڦٽي	anger	0.734
altercation	ڦير ڦار	anger	0.729
warlike	جنگجو	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	بيوقوف	anger	0.727
castrate	وڌائڻ	anger	0.727
sabotage	سبسڪر	anger	0.727
malevolent	ناپسنديده	anger	0.721
strike	هڙتال	anger	0.721
disaster	آفت	anger	0.721
disastrous	تباهي	anger	0.720
tumult	تاميل	anger	0.719
madden	madden	anger	0.719
devil	شيطان	anger	0.719
scream	چيڀاٽ	anger	0.719
brutal	وحشي	anger	0.719
treachery	غداري ڪندؤ	anger	0.719
scorching	ٻرندڙ	anger	0.719
vermin	ويرين	anger	0.719
arseholes	ارسلاڊس	anger	0.719
horseshit	گھوڙا	anger	0.719
aggravates	بگڙيل	anger	0.719
spiteful	خفيه	anger	0.719
slay	ڇا	anger	0.719
disdain	ناهن	anger	0.719
choke	دٻائڻ	anger	0.719
bastarding	روڪيندڙ	anger	0.719
mangle	ڄاڻي ٿو	anger	0.714
anarchism	انتشار	anger	0.714
mutilation	تڪليف	anger	0.714
criminal	ڏوهاري	anger	0.714
denunciation	شرڪ	anger	0.713
punch	عذاب	anger	0.713
crucifixion	بدمعاشي	anger	0.712
virulence	وائرس	anger	0.712
battled	ويڙهاڪ	anger	0.712
fatal	موٽا	anger	0.712
holocaust	هالوڪسٽ	anger	0.712
blasphemous	بدمعاش	anger	0.712
hurting	ڏکيو	anger	0.712
dumbasses	گونگا	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ويران	anger	0.706
atrocious	ظلم	anger	0.706
evil	برائي	anger	0.706
irritated	ٻيڙ	anger	0.706
assassin	قاتل	anger	0.703
dicks	کاڌا	anger	0.703
persecution	زنده	anger	0.703
slayer	ڪريل	anger	0.703
kidnap	اغوا	anger	0.703
scolding	ٻرندڙ	anger	0.703
intimidation	خوفزده	anger	0.703
aggravated	بگڙيل	anger	0.703
aggression	جارحيت	anger	0.702
armed	هٿياربند	anger	0.700
poison	زهر آهي	anger	0.697
snarling	سنوارڻ	anger	0.697
venom	زهري	anger	0.697
battle	ويڙهه	anger	0.697
disgruntled	مايوسي	anger	0.693
insidious	اندريون	anger	0.691
assailant	حملي ۾	anger	0.691
resentment	استحقاق	anger	0.691
lynch	لين	anger	0.690
contemptuous	بي عزتي	anger	0.690
temper	گرمي	anger	0.688
imprisonment	قيد	anger	0.688
disparage	تفاوت	anger	0.688
bully	بدمعاشي	anger	0.688
terrible	ڀيانڪ	anger	0.688
lunatic	شعر	anger	0.688
curse	لعنت	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	پيدا ٿيو	anger	0.688
domination	تسلط	anger	0.688
mad	چريو	anger	0.688
infanticide	ٻارڙي وارو	anger	0.688
volatility	تڪليف	anger	0.687
eradication	ختم ڪرڻ	anger	0.685
tantrum	پراڻو	anger	0.682
devastate	تباهي	anger	0.682
eradicate	ختم ڪرڻ	anger	0.682
scoundrel	گنجائش	anger	0.682
aggressively	افسوس سان	anger	0.680
agitation	وڳوڙ	anger	0.680
dictatorship	آمريت	anger	0.676
irritates	خوفناڪ آهي	anger	0.676
profanity	احسان	anger	0.673
egregious	اجايو	anger	0.672
expletive	غير معمولي	anger	0.672
nasty	گندو	anger	0.672
shove	ڦاٽيو	anger	0.672
shot	شاٽ	anger	0.672
harmful	نقصانڪار	anger	0.672
aggravation	بگڙيل	anger	0.672
contempt	رعايت	anger	0.672
poisonous	زهريلو	anger	0.672
dastardly	خفيه طور تي	anger	0.672
shoot	فوٽ	anger	0.672
corrupting	خراب ٿيڻ	anger	0.672
condemnation	مذمت	anger	0.672
wreak	ويندڙ	anger	0.672
crushed	وڪوڙي ويو	anger	0.672
cruelly	ظالم	anger	0.672
crime	جرم	anger	0.672
maniac	ماڻهون	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	ختم ڪرڻ	anger	0.667
odious	خوشبو	anger	0.667
shooting	شوٽنگ	anger	0.667
kick	کک	anger	0.667
aggressive	جارحتي	anger	0.667
combat	وڙهڻ	anger	0.667
shout	اچڻو آهي	anger	0.667
hit	اچي ويو آهي	anger	0.667
fight	وڙهو	anger	0.667
cutthroat	ڪٽيل	anger	0.667
enemy	دشمن	anger	0.667
irritable	جلدي	anger	0.667
punished	سزا ڏني	anger	0.662
ambush	منهن ڏيڻ	anger	0.661
yell	نڪ	anger	0.661
harass	ڏڪڻ	anger	0.659
malignant	بدنام	anger	0.656
aggressor	جارحيت	anger	0.656
antichrist	مقتول	anger	0.656
gore	ٻيڙا	anger	0.656
incense	بخشي	anger	0.656
expel	ختم ڪيو	anger	0.656
destruction	تباهي	anger	0.656
grudge	غمگين	anger	0.656
cranky	ڪيو ويندو آهي	anger	0.653
offended	نٿي اچي	anger	0.652
spank	چرچا	anger	0.652
growl	پوڻ	anger	0.652
insurrection	جيئري ٿيڻ	anger	0.652
reprisal	لاڳاپو	anger	0.652
slave	غلام	anger	0.652
denounce	رد ڪيو	anger	0.652
animosity	فلاڻو	anger	0.652
insulting	بي عزتي	anger	0.652
clashing	ويڙهه	anger	0.652
growls	وڌندو آهي	anger	0.649
executioner	عمل ڪندڙ	anger	0.644
twat	ڦاٽ	anger	0.644
doomsday	وقت جو ڏينهن	anger	0.643
daemon	داون	anger	0.641
obscenity	غيرقانوني	anger	0.641
bombard	بمبار	anger	0.641
spat	اسپٽ	anger	0.641
havoc	ويڙهاڪ	anger	0.641
feud	جاگيردار	anger	0.641
grr	گرايو	anger	0.641
arson	ڀڃي	anger	0.641
reprimand	ريپريزينٽ	anger	0.641
expulsion	نوڪري	anger	0.641
inexcusable	بي مثال	anger	0.641
accused	الزام	anger	0.641
indignant	بدنام	anger	0.641
shackle	ڇڪيو	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	زخم	anger	0.636
suicidal	واسي	anger	0.636
poisoned	زهر آهي	anger	0.636
batter	ڳالهايو	anger	0.636
kicking	ڪري رهيو آهي	anger	0.636
hanging	گھڙڻ	anger	0.636
spanking	چمڪندڙ	anger	0.636
disgusting	بيزار ٿي پئي	anger	0.636
combatant	جنگجو	anger	0.636
frustrated	مايوس	anger	0.636
anarchy	انارڪي	anger	0.636
glaring	چمڪندڙ	anger	0.636
inflict	موت	anger	0.633
wrecked	ٻڏل	anger	0.633
grievous	غمگين	anger	0.632
prosecute	عدالتي	anger	0.630
agitated	متحد آهي	anger	0.630
cheat	چٽيو	anger	0.630
swastika	سوٽڪوٽ	anger	0.627
defamatory	افتتاح	anger	0.625
suffocation	ڪافي آهي	anger	0.625
strife	جھيڙو	anger	0.625
provocation	ثابت ٿيو	anger	0.625
injure	زخمي	anger	0.625
harassing	ڏڪيندڙ	anger	0.625
scourge	گروي	anger	0.625
cursing	تيسين	anger	0.625
betray	ڪوڙا	anger	0.625
indict	واقعي	anger	0.625
raid	حملو	anger	0.625
thundering	گوڙيندڙ	anger	0.625
enslaved	غلام بڻيو	anger	0.625
arsehole	arsehole	anger	0.624
insane	چريو	anger	0.621
fiend	ڪوڙا	anger	0.621
irritate	خوفناڪ آهي	anger	0.621
convict	سمجهان ٿو	anger	0.621
jerk	مرض	anger	0.621
theft	چوري	anger	0.621
retaliation	واجبي	anger	0.621
deprivation	محروميت	anger	0.621
cussed	پيش ڪيو	anger	0.619
turmoil	ڦيرو	anger	0.618
smack	مرڪي	anger	0.615
retribution	عذاب	anger	0.614
twats	ڦاٽيون	anger	0.609
intolerable	غير جانبدار	anger	0.609
rebellion	بغاوت	anger	0.609
injurious	شديد	anger	0.609
oppressor	ظلم ڪندڙ	anger	0.609
slavery	غلامي	anger	0.609
irritability	تڪليف	anger	0.609
collision	ڪٽڪ	anger	0.609
bitterly	ڦوڪيو	anger	0.609
gang	گڏوگڏ	anger	0.609
antagonism	دشمنيء	anger	0.609
battery	بيٽري	anger	0.609
adverse	ناپسند	anger	0.609
disgraced	بي شڪر ٿي چڪو آهي	anger	0.608
irritating	ڦڙندا	anger	0.606
revolution	انقلاب	anger	0.606
thug	ڳاڙهو	anger	0.606
diatribe	ڊرامي	anger	0.606
bombardment	بمبار	anger	0.606
blast	ڇوڪريون	anger	0.606
irks	شرڪ	anger	0.606
sickening	بيمارين	anger	0.606
discrimination	امتياز	anger	0.606
antagonistic	غير جانبدار	anger	0.606
ranting	ranting	anger	0.606
asshole	جيترو	anger	0.606
frustrate	مايوسي	anger	0.604
manipulation	هٿ ڪرڻ	anger	0.603
tension	تڪرار	anger	0.603
insult	گاريون	anger	0.603
bigot	چئي ڇڏيو	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	ڏکيو آهي	anger	0.603
oppression	ظلم	anger	0.603
disgust	نفرت	anger	0.602
spite	اڳتي هلي	anger	0.600
intrusive	ٽانڊو	anger	0.598
harshness	سختي	anger	0.597
slur	ٻرندڙ	anger	0.596
wretch	وڇاڻو	anger	0.594
inferno	گڏوگڏ	anger	0.594
invasion	حملي	anger	0.594
puncture	عذاب	anger	0.594
miserable	بدحالي	anger	0.594
assail	ڌيان ڏيڻ	anger	0.594
storming	طوفان	anger	0.594
casualty	زخمي	anger	0.594
bitterness	تڪڙو	anger	0.594
morbidity	زهرت	anger	0.594
tempest	تڪڙ	anger	0.594
consternation	رعايت	anger	0.592
depraved	وهنوار	anger	0.591
raving	هئڻ	anger	0.591
guillotine	گليٽائن	anger	0.591
guilty	ڏوهاري	anger	0.591
immoral	غيرتمند	anger	0.591
forcibly	ممڪن آهي	anger	0.591
overpowering	طاقتور	anger	0.591
accursed	تي لعنت ڪئي وئي	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	واهبي	anger	0.588
invader	حميد	anger	0.588
scare	ناراض ٿيو	anger	0.588
screwed	خراب ڪيو ويو	anger	0.588
indignation	مجبوري	anger	0.587
jealousy	حسد آهي	anger	0.587
vexed	صفا	anger	0.586
confront	منهن ڏيڻ	anger	0.582
brute	برٽ	anger	0.581
throttle	تختو	anger	0.579
wreck	ڇڪ	anger	0.578
revolver	بغاوت	anger	0.578
slut	slut	anger	0.578
yousuck	توهان فضول ماڻهو آهيو	anger	0.578
damage	نقصان	anger	0.578
butcher	ڪاسائي	anger	0.578
conflict	تڪرار	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ڏوھاري	anger	0.578
bickering	ٿڪڻ	anger	0.578
pillage	ٿڪ	anger	0.578
blaze	اڪيلو	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	ٽڪرا	anger	0.578
contentious	مجازي	anger	0.578
incarceration	جهڙا	anger	0.578
defiant	بيوقوف	anger	0.578
provoking	ثابت ٿيو	anger	0.578
lash	ڍڪڻ	anger	0.578
cancer	سرطان	anger	0.577
frustration	مايوسي	anger	0.576
gory	جوري	anger	0.576
alienation	اجايو	anger	0.576
discord	سمجهه	anger	0.576
disturbance	مصيبت	anger	0.576
grope	ڪجه	anger	0.576
condescension	تعزيت	anger	0.576
pernicious	ذلت	anger	0.576
blasphemy	نفرت	anger	0.576
discriminate	سمجهو	anger	0.576
chaotic	انتشار	anger	0.576
gun	بندوق	anger	0.576
standoff	بيڪيد	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	سرء	anger	0.574
lunacy	خوشگوار	anger	0.574
oppressive	ظالم	anger	0.574
death	موت	anger	0.574
jab	جاب	anger	0.574
cursed	لعنت ڪئي	anger	0.574
scandalous	گندو	anger	0.574
monstrosity	ننڍو	anger	0.574
shit	ڦاٽي	anger	0.573
disparaging	ناهي	anger	0.571
slash	سوراخ	anger	0.571
unfair	غير منصفانه	anger	0.571
gallows	ڦاڙا	anger	0.570
escalate	وڌڻ	anger	0.569
intolerant	غير يقيني	anger	0.564
lawlessness	بيقانونيت	anger	0.563
bluddy	اڃان	anger	0.562
perdition	ورهاڱي	anger	0.562
taunt	تتي	anger	0.562
grouchy	ڏکيا	anger	0.562
torpedo	ٽرپوٽو	anger	0.562
deceived	ٺڳي ڇڏيو	anger	0.562
slander	گندو	anger	0.562
retards	رٽائرڊ	anger	0.562
bearish	کڻندو	anger	0.562
invade	تيزي ڪن	anger	0.562
bellows	پيارا	anger	0.562
beast	جانور	anger	0.562
frightful	خوفناڪ آهي	anger	0.562
derogatory	ناپسنديده	anger	0.562
glare	چمڪندڙ	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	خوفناڪ	anger	0.562
traitor	غدار	anger	0.562
malign	گهربل	anger	0.562
wrangling	ونگائڻ	anger	0.562
dissension	تڪرار	anger	0.561
banshee	منشي	anger	0.561
shatter	ڀٽڪيو	anger	0.561
conflagration	تضاد	anger	0.561
jeopardize	خطرناڪ	anger	0.561
thief	چور	anger	0.561
rave	ڳاڙهو	anger	0.561
grating	تڪليف	anger	0.561
devastating	تباهه ڪندڙ	anger	0.561
idiots	محاورا	anger	0.561
betrayal	وفاداري	anger	0.561
uncontrollable	اڻ لامحدود	anger	0.561
fits	قسمت	anger	0.561
cross	پار	anger	0.561
hurt	ڏکيو آهي	anger	0.561
disturbed	ڀريل	anger	0.559
subjugation	حصول	anger	0.559
stomped	ٿڪايو	anger	0.557
grab	تڪليفن	anger	0.557
ticked	ڪيو	anger	0.556
masochism	ماسڪوزم	anger	0.556
grievance	ڏکيو آهي	anger	0.556
defiance	دفاع	anger	0.552
blackmail	ڪاروڪ	anger	0.550
offensive	عڪاسي	anger	0.549
decry	نڪتو	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	خلاف ورزی	anger	0.547
punishment	سزا	anger	0.547
shrill	شيڊل	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	اونداھون رخ	anger	0.547
misery	مصيبت	anger	0.547
frustrates	مايوسي	anger	0.547
disgraceful	خوار ڪندڙ	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	برداشت ڪرڻ	anger	0.547
disparity	تفاوت	anger	0.547
confine	محدود ڪيو	anger	0.547
firearms	هٿيار	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	سازش	anger	0.547
rebel	باغي	anger	0.547
deceive	ٺڳي	anger	0.547
stolen	چوري ڪيو	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	ويندڙ	anger	0.545
heated	گرمي ٿي	anger	0.545
ruined	برباد ٿيو	anger	0.545
menace	مينهن	anger	0.545
humiliate	ذلت ڪيو	anger	0.545
tackle	ڪري ڇڏيو	anger	0.545
conspirator	سازش	anger	0.545
foul	فلاڻي	anger	0.545
antagonist	سامراج پسند	anger	0.545
resentful	خوش ٿيو	anger	0.545
prejudice	تعصب	anger	0.545
adversary	مخالف	anger	0.545
argument	دليل	anger	0.545
skirmish	سميش	anger	0.545
callous	گندو	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	لڌل	anger	0.544
robbery	ڦرلٽ	anger	0.544
sting	ڏنگ	anger	0.544
outcry	هڪٻئي سان	anger	0.544
grumble	ڳڻي	anger	0.544
irreconcilable	غير جانبدار	anger	0.543
resistance	مزاحمت	anger	0.543
obstructive	رڪاوٽ	anger	0.542
dismay	ختم ڪيو	anger	0.540
mob	موٽا	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	خرابي	anger	0.536
ridicule	وجهه	anger	0.534
incendiary	Incendiary	anger	0.533
flares	وهندو	anger	0.532
degeneracy	تخليق	anger	0.531
confinement	تڪرار	anger	0.531
exacerbation	تڪليف	anger	0.531
prejudicial	غير جانبدار	anger	0.531
uprising	بغاوت	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	بي عزتي	anger	0.531
unbridled	اڻ ڳڻي	anger	0.531
allegation	الزام	anger	0.531
communism	ڪميونزم	anger	0.531
whip	ڌوٻي	anger	0.531
intruder	ٽريولر	anger	0.531
dispute	تڪرار	anger	0.531
belittle	ٿلهو	anger	0.531
bigoted	عظيم	anger	0.530
offender	مجرم	anger	0.530
hassle	ٿي چڪو آهي	anger	0.530
dissonance	ناپسنديده	anger	0.530
unjust	ظالم	anger	0.530
dictatorial	آمريت	anger	0.530
unjustifiable	ناحق	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	جزو	anger	0.530
tackled	ڪري ڇڏيو	anger	0.530
renegade	ٻٻر	anger	0.529
hot	گرم	anger	0.529
prison	جيل	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	ٽيسٽ	anger	0.529
suicide	خودڪشي	anger	0.521
annoy	نڀاڳ	anger	0.520
leavemealone	مونکي اڪيلو ڇڏي ڏيو	anger	0.517
idiotic	محاورا	anger	0.516
distrust	بي اعتمادي	anger	0.516
depravity	ذلت	anger	0.516
cretins	تخليق	anger	0.516
divorce	طلاق	anger	0.516
broil	ڪنوڙ	anger	0.516
grrr	گرائونڊ	anger	0.516
venting	ويندڙ	anger	0.516
inimical	ڦيرايو	anger	0.516
duress	استحڪام	anger	0.516
disrespectful	ناپسنديده	anger	0.516
tortious	شديد آهي	anger	0.516
criticize	تنقيد	anger	0.516
prisoner	قيد	anger	0.516
dishonest	بي عزتي آھي	anger	0.516
treason	غداري	anger	0.516
victimized	مقتول	anger	0.515
bile	ٿلهو	anger	0.515
unkind	سختي	anger	0.515
unforgiving	نه مڃيندا	anger	0.515
unleash	اجايو	anger	0.515
coercion	ورزش	anger	0.515
scold	ٻرندڙ	anger	0.515
chaos	افراتفري	anger	0.515
grump	گراپ	anger	0.515
roar	رسي	anger	0.515
jerks	جڪڙا	anger	0.515
poaching	مشغول	anger	0.515
hangry	هلايو	anger	0.515
pow	پائو	anger	0.515
poachers	شاعر	anger	0.515
argumentation	دليل	anger	0.515
frustrating	مايوسي	anger	0.515
tussle	ڪفن	anger	0.514
bane	ڦٽي	anger	0.511
accusation	الزام	anger	0.510
repudiation	تڪرار	anger	0.510
enmity	دشمني	anger	0.510
banish	برش	anger	0.509
disfigured	ويڙهاڪ	anger	0.508
storm	طوفان	anger	0.507
shun	ٿي ويو	anger	0.500
suppression	تڪرار	anger	0.500
unruly	اڻ پڙهيل	anger	0.500
intractable	مصلحت	anger	0.500
ordeal	اڀرندي	anger	0.500
obstruct	کي روڪيو	anger	0.500
derogation	نڪتل	anger	0.500
fervor	ڪوڙا	anger	0.500
foaming	فلاڻي	anger	0.500
derision	نتيجو	anger	0.500
animus	مداخلت	anger	0.500
rejects	انڪار ڪري ٿو	anger	0.500
bout	ڪري رهيو آهي	anger	0.500
spear	اسپيئر	anger	0.500
crazy	چريو	anger	0.500
brazen	برزين	anger	0.500
antithesis	رياستي	anger	0.500
injustice	ناانصافي	anger	0.500
banished	ختم ٿي وئي	anger	0.500
confined	محدود ناهي	anger	0.500
frenzied	ڏاڏي	anger	0.500
dominate	ڇانيل آهي	anger	0.500
disrupting	روڪڻ	anger	0.500
hammering	هميشه	anger	0.500
fear	ڊڄ	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	ويڙهاڪ	anger	0.500
brunt	چاچي	anger	0.500
possessed	ڪيو ويو	anger	0.500
defy	محافظ آهي	anger	0.500
scoff	نڪتو	anger	0.500
patronising	محافظ آهي	anger	0.500
delusional	ڄاڻي واڻي	anger	0.500
malpractice	بگڙيل	anger	0.500
reject	انڪار ڪيو	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	سختي	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	چريو	anger	0.491
sinful	گناهه آهي	anger	0.491
avarice	حصو وٺندو	anger	0.490
oppress	ظلم	anger	0.490
disapproved	ناھي	anger	0.485
inhuman	غير انساني	anger	0.485
