word	Marathi-mr	emotion	emotion-intensity-score
havoc	नाश	anger	0.641
feud	भांडण	anger	0.641
grr	grr	anger	0.641
arson	जाळपोळ	anger	0.641
reprimand	निंदा	anger	0.641
expulsion	हकालपट्टी	anger	0.641
inexcusable	असमर्थनीय	anger	0.641
accused	आरोपी	anger	0.641
indignant	संतप्त	anger	0.641
shackle	बंधारे	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	जखमेच्या	anger	0.636
suicidal	आत्मघाती	anger	0.636
poisoned	विषबाधा	anger	0.636
batter	पिठात लावा	anger	0.636
kicking	लाथ मारणे	anger	0.636
hanging	फाशी	anger	0.636
spanking	स्पॅनिंग	anger	0.636
disgusting	तिरस्कार	anger	0.636
combatant	लढाऊ	anger	0.636
frustrated	निराश	anger	0.636
anarchy	अराजक	anger	0.636
glaring	स्पष्ट	anger	0.636
inflict	लगावणे	anger	0.633
wrecked	मोडलेले	anger	0.633
grievous	गंभीर	anger	0.632
prosecute	फिर्याद	anger	0.630
agitated	उत्तेजित	anger	0.630
cheat	लाटणे	anger	0.630
swastika	स्वस्तिक	anger	0.627
defamatory	बदनामीकारक	anger	0.625
suffocation	गुदमरल्यासारखे	anger	0.625
strife	झगडा	anger	0.625
provocation	उत्तेजना	anger	0.625
injure	इजा	anger	0.625
harassing	त्रास देणे	anger	0.625
scourge	चाबूक	anger	0.625
cursing	शाप	anger	0.625
betray	विश्वासघात करणे	anger	0.625
indict	आक्षेप	anger	0.625
raid	RAID	anger	0.625
thundering	पावसाळी	anger	0.625
enslaved	गुलाम	anger	0.625
arsehole	अरसेहोल	anger	0.624
insane	वेडा	anger	0.621
fiend	प्रिय	anger	0.621
irritate	संतप्त	anger	0.621
convict	दोषी	anger	0.621
jerk	धक्का	anger	0.621
theft	चोरी	anger	0.621
retaliation	जशास तसे	anger	0.621
deprivation	हानी	anger	0.621
cussed	cussed	anger	0.619
turmoil	गडबड	anger	0.618
smack	चापटी	anger	0.615
retribution	बदला	anger	0.614
twats	twats	anger	0.609
intolerable	असह्य	anger	0.609
rebellion	बंड	anger	0.609
injurious	हानीकारक	anger	0.609
oppressor	जुलूम करणारा	anger	0.609
slavery	गुलामगिरी	anger	0.609
irritability	चिडचिड	anger	0.609
collision	टक्कर	anger	0.609
bitterly	कडवटपणे	anger	0.609
gang	टोळी	anger	0.609
antagonism	विरोध	anger	0.609
battery	बॅटरी	anger	0.609
adverse	प्रतिकूल	anger	0.609
disgraced	तिरस्कारयुक्त	anger	0.608
irritating	वाटलं	anger	0.606
revolution	क्रांती	anger	0.606
thug	ठक	anger	0.606
diatribe	दैनंदिन	anger	0.606
bombardment	भडिमार	anger	0.606
blast	स्फोट	anger	0.606
irks	irks	anger	0.606
sickening	खिन्न	anger	0.606
discrimination	भेदभाव	anger	0.606
antagonistic	द्वेष करणारा	anger	0.606
ranting	रॅंटिंग	anger	0.606
asshole	गढवाल	anger	0.606
frustrate	हताश	anger	0.604
manipulation	कुशलतेने हाताळणीत	anger	0.603
tension	ताण	anger	0.603
insult	अपमान	anger	0.603
bigot	बंड्या	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	हानिकारक	anger	0.603
oppression	दडपशाही	anger	0.603
disgust	तिरस्कार	anger	0.602
spite	तरीही	anger	0.600
intrusive	अनाहूत	anger	0.598
harshness	कठोरपणा	anger	0.597
slur	स्लूर	anger	0.596
wretch	वेटचे	anger	0.594
inferno	नरक	anger	0.594
invasion	आक्रमण	anger	0.594
puncture	छिद्र पाडणे	anger	0.594
miserable	दुःखी	anger	0.594
assail	आश्रय देणे	anger	0.594
storming	वादळी	anger	0.594
casualty	दुर्घटना	anger	0.594
bitterness	कटुता	anger	0.594
morbidity	विकृती	anger	0.594
tempest	वादळे	anger	0.594
consternation	भिती	anger	0.592
depraved	भ्रष्ट	anger	0.591
raving	पेंढा	anger	0.591
guillotine	गिलोटिन	anger	0.591
guilty	अपराधी	anger	0.591
immoral	अनैतिक	anger	0.591
forcibly	जबरदस्तीने	anger	0.591
overpowering	जोरदार	anger	0.591
accursed	शापित	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	रद्दबातल	anger	0.588
invader	हल्लेखोर	anger	0.588
scare	घाबरणे	anger	0.588
screwed	खराब	anger	0.588
indignation	आक्रोश	anger	0.587
jealousy	मत्सर	anger	0.587
vexed	vexed	anger	0.586
confront	समोर असणे	anger	0.582
brute	दुष्ट	anger	0.581
throttle	थ्रॉटल	anger	0.579
wreck	जहाजे	anger	0.578
revolver	रिव्हॉल्व्हर	anger	0.578
slut	गचाळ	anger	0.578
yousuck	yousuck	anger	0.578
damage	नुकसान	anger	0.578
butcher	खाटीक	anger	0.578
conflict	संघर्ष	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	अपराधीपणा	anger	0.578
bickering	भांडणे	anger	0.578
pillage	लूट	anger	0.578
blaze	झगमगाट	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	आकस्मिक जोरदार हल्ला	anger	0.578
contentious	विवादास्पद	anger	0.578
incarceration	कारावास	anger	0.578
defiant	उद्धट	anger	0.578
provoking	प्रक्षोभक	anger	0.578
lash	शेपूट	anger	0.578
cancer	कर्करोग	anger	0.577
frustration	निराशा	anger	0.576
gory	भयानक	anger	0.576
alienation	परकीयपणा	anger	0.576
discord	विसंगती	anger	0.576
disturbance	दंगल	anger	0.576
grope	कत्तल करणे	anger	0.576
condescension	विनवणी	anger	0.576
pernicious	अपायकारक	anger	0.576
blasphemy	निंदा	anger	0.576
discriminate	भेदभाव करणे	anger	0.576
chaotic	गोंधळलेला	anger	0.576
gun	तोफा	anger	0.576
standoff	कुंचंबणा	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	नीच	anger	0.574
lunacy	वेडया	anger	0.574
oppressive	दडपशाही	anger	0.574
death	मृत्यू	anger	0.574
jab	जेव्हा	anger	0.574
cursed	शाप	anger	0.574
scandalous	लज्जास्पद	anger	0.574
monstrosity	राक्षसीपणा	anger	0.574
shit	कचरा	anger	0.573
disparaging	तिरस्कारयुक्त	anger	0.571
slash	स्लॅश	anger	0.571
unfair	अनुचित	anger	0.571
gallows	फाशीची शिक्षा	anger	0.570
escalate	उत्तरोत्तर वाढत जाणे	anger	0.569
intolerant	असहिष्णु	anger	0.564
lawlessness	स्वैराचारी	anger	0.563
bluddy	ब्लग्डी	anger	0.562
perdition	विनाश	anger	0.562
taunt	टोना	anger	0.562
grouchy	गोंधळ	anger	0.562
torpedo	टारपीडो	anger	0.562
deceived	फसविले	anger	0.562
slander	निंदा करणे	anger	0.562
retards	मागे	anger	0.562
bearish	मंदीचा	anger	0.562
invade	आक्रमण	anger	0.562
bellows	ध्रुव	anger	0.562
beast	पशू	anger	0.562
frightful	भयावह	anger	0.562
derogatory	अपमानकारक	anger	0.562
glare	चमक	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	भितीदायक	anger	0.562
traitor	देशद्रोही	anger	0.562
malign	द्वेष	anger	0.562
wrangling	चिंतन	anger	0.562
dissension	मतभेद	anger	0.561
banshee	बन्सी	anger	0.561
shatter	ढासळून टाकणे	anger	0.561
conflagration	स्फोट	anger	0.561
jeopardize	धोक्यात आणणे	anger	0.561
thief	चोर	anger	0.561
rave	बरळणे	anger	0.561
grating	झोंबाण	anger	0.561
devastating	विनाशकारी	anger	0.561
idiots	मूर्ख	anger	0.561
betrayal	विश्वासघात	anger	0.561
uncontrollable	अनियंत्रित	anger	0.561
fits	बसत	anger	0.561
cross	क्रॉस	anger	0.561
hurt	जखमी	anger	0.561
disturbed	अस्वस्थ	anger	0.559
subjugation	पश्चात्ताप	anger	0.559
stomped	दबलेला	anger	0.557
grab	झडप घालणे	anger	0.557
ticked	चेक केले	anger	0.556
masochism	मासोचिझ	anger	0.556
grievance	तक्रार	anger	0.556
defiance	अवज्ञा	anger	0.552
blackmail	ब्लॅकमेल	anger	0.550
offensive	आक्षेपार्ह	anger	0.549
decry	कसूर करा	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	उल्लंघन	anger	0.547
punishment	दंड	anger	0.547
shrill	कर्कश	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	काळी बाजू	anger	0.547
misery	दुर्दशा	anger	0.547
frustrates	निराशा	anger	0.547
disgraceful	लज्जास्पद	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	घमेंड	anger	0.547
disparity	असमानता	anger	0.547
confine	मर्यादित करणे	anger	0.547
firearms	बंदुक	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	विसंगत	anger	0.547
rebel	बंडखोर	anger	0.547
deceive	फसवा	anger	0.547
stolen	चोरीला गेले	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	विक्षिप्त	anger	0.545
heated	गरम पाण्याची सोय	anger	0.545
ruined	देशोधडीस	anger	0.545
menace	धोका	anger	0.545
humiliate	अपमान करणे	anger	0.545
tackle	हाताळणी	anger	0.545
conspirator	कट रचणारा	anger	0.545
foul	बेकायदा	anger	0.545
antagonist	विरोधक	anger	0.545
resentful	संतप्त	anger	0.545
prejudice	गाठ	anger	0.545
adversary	शत्रू	anger	0.545
argument	युक्तिवाद	anger	0.545
skirmish	चकमकीत	anger	0.545
callous	असभ्य	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	अडकलेले	anger	0.544
robbery	दरोडा	anger	0.544
sting	नांगी	anger	0.544
outcry	आक्रोश	anger	0.544
grumble	खडखडाट	anger	0.544
irreconcilable	विकोपाला गेलेला	anger	0.543
resistance	प्रतिकार	anger	0.543
obstructive	अडथळा	anger	0.542
dismay	दहशत	anger	0.540
mob	जमावटोळी	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	वाईटपणा	anger	0.536
ridicule	उपहास	anger	0.534
incendiary	आग लावणारा	anger	0.533
flares	flares	anger	0.532
degeneracy	निकृष्टावस्था	anger	0.531
confinement	कैद	anger	0.531
exacerbation	तीव्रता	anger	0.531
prejudicial	पूर्वग्रहदूषित	anger	0.531
uprising	उठाव	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	बेपर्वा	anger	0.531
unbridled	बेलगाम	anger	0.531
allegation	आरोप	anger	0.531
communism	साम्यवाद	anger	0.531
whip	चाबूक	anger	0.531
intruder	घुसखोर	anger	0.531
dispute	विवाद	anger	0.531
belittle	क्षुल्लक	anger	0.531
bigoted	धर्मोपदेशक	anger	0.530
offender	अपराधी	anger	0.530
hassle	भांडण	anger	0.530
dissonance	विसंगती	anger	0.530
unjust	अन्यायकारक	anger	0.530
dictatorial	हुकूमशहा	anger	0.530
unjustifiable	असमर्थनीय	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	विकृती	anger	0.530
tackled	घेरले	anger	0.530
renegade	विश्वासघात करणे	anger	0.529
hot	गरम	anger	0.529
prison	तुरुंगात	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	अतिक्रमण	anger	0.529
suicide	आत्महत्या	anger	0.521
annoy	चिडवणे	anger	0.520
leavemealone	सोडियमॅलोन	anger	0.517
idiotic	मूर्खपणाचा	anger	0.516
distrust	अविश्वास	anger	0.516
depravity	भ्रष्टता	anger	0.516
cretins	क्रेतिन	anger	0.516
divorce	घटस्फोट	anger	0.516
broil	भांडण	anger	0.516
grrr	grrr	anger	0.516
venting	वेंटिंग	anger	0.516
inimical	अननुभवी	anger	0.516
duress	पळवून नेणे	anger	0.516
disrespectful	अनादरशील	anger	0.516
tortious	उत्पीड़न	anger	0.516
criticize	टीका	anger	0.516
prisoner	कैदी	anger	0.516
dishonest	अप्रामाणिक	anger	0.516
treason	देशद्रोह	anger	0.516
victimized	पिडीत	anger	0.515
bile	पित्त	anger	0.515
unkind	निर्दय	anger	0.515
unforgiving	माफ	anger	0.515
unleash	मुक्त करा	anger	0.515
coercion	जबरदस्ती	anger	0.515
scold	ओरडणे	anger	0.515
chaos	अंदाधुंदी	anger	0.515
grump	चिडचिड	anger	0.515
roar	गर्जना करणे	anger	0.515
jerks	मूर्ख माणसे	anger	0.515
poaching	शिकार	anger	0.515
hangry	हँडी	anger	0.515
pow	पाउ	anger	0.515
poachers	शिकार करणार्या	anger	0.515
argumentation	वाद घालणे	anger	0.515
frustrating	डोकेदुखी	anger	0.515
tussle	झगडा	anger	0.514
bane	विष	anger	0.511
accusation	आरोप	anger	0.510
repudiation	अस्वीकार	anger	0.510
enmity	शत्रुत्व	anger	0.510
banish	मनातून काढून टाकणे	anger	0.509
disfigured	विघटित	anger	0.508
storm	वादळ	anger	0.507
shun	थांबा	anger	0.500
suppression	दडपशाही	anger	0.500
unruly	बेलगाम	anger	0.500
intractable	असभ्य	anger	0.500
ordeal	अग्नि परीक्षा	anger	0.500
obstruct	अडथळा	anger	0.500
derogation	औदासिन्य	anger	0.500
fervor	आवेश	anger	0.500
foaming	फोमिंग	anger	0.500
derision	उपहास	anger	0.500
animus	द्वेषबुद्धी	anger	0.500
rejects	नाकारतो	anger	0.500
bout	चढाओढ	anger	0.500
spear	भाला	anger	0.500
crazy	वेडा	anger	0.500
brazen	निर्लज्ज	anger	0.500
antithesis	प्रतिवाद	anger	0.500
injustice	अन्याय	anger	0.500
banished	निर्लज्ज	anger	0.500
confined	मर्यादीत	anger	0.500
frenzied	उन्माद	anger	0.500
dominate	वर्चस्व	anger	0.500
disrupting	अडथळा	anger	0.500
hammering	हॅमरिंग	anger	0.500
fear	भीती	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	यातना	anger	0.500
brunt	आघात	anger	0.500
possessed	पछाडले	anger	0.500
defy	विरोध करणे	anger	0.500
scoff	उपहास करणे	anger	0.500
patronising	आश्रय देणारे	anger	0.500
delusional	संभ्रमात्मक	anger	0.500
malpractice	बेकायदेशीरपणा	anger	0.500
reject	नकार द्या	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	कडकपणा	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	वेडेपणा	anger	0.491
sinful	पापी	anger	0.491
avarice	लहरी	anger	0.490
oppress	दडपशाही	anger	0.490
