word	Vietnamese-vi	emotion	emotion-intensity-score
horseshit	móng ngựa	anger	0.719
aggravates	làm trầm trọng thêm	anger	0.719
spiteful	vô cùng	anger	0.719
slay	giết người	anger	0.719
disdain	khinh bỉ	anger	0.719
choke	nghẹt thở	anger	0.719
bastarding	bastarding	anger	0.719
mangle	NO TRANSLATION	anger	0.714
anarchism	chủ nghĩa vô chính phủ	anger	0.714
mutilation	cắt xén	anger	0.714
criminal	tội phạm	anger	0.714
denunciation	tố cáo	anger	0.713
punch	cú đấm	anger	0.713
crucifixion	đóng đinh	anger	0.712
virulence	độc lực	anger	0.712
battled	chiến đấu	anger	0.712
fatal	chết người	anger	0.712
holocaust	thiêu hủy	anger	0.712
blasphemous	báng bổ	anger	0.712
hurting	làm tổn thương	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	bị quấy rầy	anger	0.706
atrocious	gớm ghiếc	anger	0.706
evil	tà ác	anger	0.706
irritated	bị kích thích	anger	0.706
assassin	kẻ ám sát	anger	0.703
dicks	dicks	anger	0.703
persecution	bức hại	anger	0.703
slayer	slayer	anger	0.703
kidnap	bắt cóc	anger	0.703
scolding	la mắng	anger	0.703
intimidation	sự hăm doạ	anger	0.703
aggravated	trầm trọng hơn	anger	0.703
aggression	Hiếu chiến	anger	0.702
armed	vũ trang	anger	0.700
poison	chất độc	anger	0.697
snarling	gắt gỏng	anger	0.697
venom	nọc độc	anger	0.697
battle	trận chiến	anger	0.697
disgruntled	bất mãn	anger	0.693
insidious	xảo quyệt	anger	0.691
assailant	kẻ tấn công	anger	0.691
resentment	oán giận	anger	0.691
lynch	lynch	anger	0.690
contemptuous	khinh thường	anger	0.690
temper	ôn hòa	anger	0.688
imprisonment	sự bỏ tù	anger	0.688
disparage	sự phẫn nộ	anger	0.688
bully	đầu gấu	anger	0.688
terrible	khủng khiếp	anger	0.688
lunatic	lunatic	anger	0.688
curse	nguyền rủa	anger	0.688
makesmemad	Khiến tôi phát điên	anger	0.688
peeved	nhăn nhó	anger	0.688
domination	sự thống trị	anger	0.688
mad	điên	anger	0.688
infanticide	infanticide	anger	0.688
volatility	sự biến động	anger	0.687
eradication	diệt trừ	anger	0.685
tantrum	cơn giận dữ	anger	0.682
devastate	tàn phá	anger	0.682
eradicate	diệt trừ	anger	0.682
scoundrel	scoundrel	anger	0.682
aggressively	tích cực	anger	0.680
agitation	kích động	anger	0.680
dictatorship	chế độ độc tài	anger	0.676
irritates	kích thích	anger	0.676
profanity	lời tục tĩu	anger	0.673
egregious	nghiêm trọng	anger	0.672
expletive	khám phá	anger	0.672
nasty	bẩn thỉu	anger	0.672
shove	xô	anger	0.672
shot	bắn	anger	0.672
harmful	có hại	anger	0.672
aggravation	tình tiết tăng nặng	anger	0.672
contempt	khinh miệt	anger	0.672
poisonous	độc	anger	0.672
dastardly	dastardly	anger	0.672
shoot	bắn	anger	0.672
corrupting	hư hỏng	anger	0.672
condemnation	lên án	anger	0.672
wreak	tàn phá	anger	0.672
crushed	nghiền	anger	0.672
cruelly	tàn nhẫn	anger	0.672
crime	tội ác	anger	0.672
maniac	maniac	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	phun trào	anger	0.667
odious	đáng ghét	anger	0.667
shooting	chụp	anger	0.667
kick	đá	anger	0.667
aggressive	xâm lược	anger	0.667
combat	chống lại	anger	0.667
shout	kêu la	anger	0.667
hit	đánh	anger	0.667
fight	chiến đấu	anger	0.667
cutthroat	đau đớn	anger	0.667
enemy	kẻ thù	anger	0.667
irritable	Cáu kỉnh	anger	0.667
punished	bị phạt	anger	0.662
ambush	phục kích	anger	0.661
yell	la lên	anger	0.661
harass	quấy rối	anger	0.659
malignant	độc ác	anger	0.656
aggressor	kẻ xâm lăng	anger	0.656
antichrist	antichrist	anger	0.656
gore	gore	anger	0.656
incense	hương	anger	0.656
expel	trục xuất	anger	0.656
destruction	sự phá hủy	anger	0.656
grudge	hận thù	anger	0.656
cranky	cáu kỉnh	anger	0.653
offended	bị xúc phạm	anger	0.652
spank	đánh đòn	anger	0.652
growl	gầm gừ	anger	0.652
insurrection	sự nổi loạn	anger	0.652
reprisal	trả thù	anger	0.652
slave	nô lệ	anger	0.652
denounce	tố cáo	anger	0.652
animosity	sự thù địch	anger	0.652
insulting	xúc phạm	anger	0.652
clashing	đụng độ	anger	0.652
growls	gầm gừ	anger	0.649
executioner	đao phủ	anger	0.644
twat	twat	anger	0.644
doomsday	ngày tận thế	anger	0.643
daemon	daemon	anger	0.641
obscenity	tục tĩu	anger	0.641
bombard	bắn phá	anger	0.641
spat	spat	anger	0.641
havoc	sự tàn phá	anger	0.641
feud	mối thù hận	anger	0.641
grr	grr	anger	0.641
arson	arson	anger	0.641
reprimand	khiển trách	anger	0.641
expulsion	trục xuất	anger	0.641
inexcusable	không thể tha thứ	anger	0.641
accused	bị cáo	anger	0.641
indignant	phẫn nộ	anger	0.641
shackle	còng	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	vết thương	anger	0.636
suicidal	tự tử	anger	0.636
poisoned	bị đầu độc	anger	0.636
batter	Bột nhồi	anger	0.636
kicking	đá	anger	0.636
hanging	treo	anger	0.636
spanking	đánh đòn	anger	0.636
disgusting	kinh tởm	anger	0.636
combatant	chiến binh	anger	0.636
frustrated	bực bội	anger	0.636
anarchy	tình trạng hỗn loạn	anger	0.636
glaring	lườm	anger	0.636
inflict	gây thiệt	anger	0.633
wrecked	đắm	anger	0.633
grievous	đau đớn	anger	0.632
prosecute	truy tố	anger	0.630
agitated	kích động	anger	0.630
cheat	lừa đảo	anger	0.630
swastika	hình chữ vạn	anger	0.627
defamatory	phỉ báng	anger	0.625
suffocation	sự nghẹt thở	anger	0.625
strife	xung đột	anger	0.625
provocation	sự khiêu khích	anger	0.625
injure	làm tổn thương	anger	0.625
harassing	quấy rối	anger	0.625
scourge	tai họa	anger	0.625
cursing	chửi rủa	anger	0.625
betray	phản bội	anger	0.625
indict	truy tố	anger	0.625
raid	cuộc đột kích	anger	0.625
thundering	sấm sét	anger	0.625
enslaved	làm nô lệ	anger	0.625
arsehole	arsehole	anger	0.624
insane	điên	anger	0.621
fiend	bạn bè	anger	0.621
irritate	kích thích	anger	0.621
convict	kết án	anger	0.621
jerk	giật	anger	0.621
theft	trộm cắp	anger	0.621
retaliation	sự trả thù	anger	0.621
deprivation	sự thiếu thốn	anger	0.621
cussed	cussed	anger	0.619
turmoil	sự hỗn loạn	anger	0.618
smack	đập	anger	0.615
retribution	sự trừng phạt	anger	0.614
twats	twats	anger	0.609
intolerable	không thể chấp nhận	anger	0.609
rebellion	nổi loạn	anger	0.609
injurious	hư hại	anger	0.609
oppressor	người đàn áp	anger	0.609
slavery	chế độ nô lệ	anger	0.609
irritability	cáu gắt	anger	0.609
collision	va chạm	anger	0.609
bitterly	cay đắng	anger	0.609
gang	băng nhóm	anger	0.609
antagonism	đối kháng	anger	0.609
battery	ắc quy	anger	0.609
adverse	bất lợi	anger	0.609
disgraced	thất vọng	anger	0.608
irritating	khó chịu	anger	0.606
revolution	Cuộc cách mạng	anger	0.606
thug	du côn	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	bắn phá	anger	0.606
blast	vụ nổ	anger	0.606
irks	irks	anger	0.606
sickening	đau ốm	anger	0.606
discrimination	phân biệt đối xử	anger	0.606
antagonistic	phản đối	anger	0.606
ranting	ranting	anger	0.606
asshole	lỗ đít	anger	0.606
frustrate	thất vọng	anger	0.604
manipulation	Thao tác	anger	0.603
tension	sự căng thẳng	anger	0.603
insult	xúc phạm	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	làm tổn thương	anger	0.603
oppression	sự đàn áp	anger	0.603
disgust	ghê tởm	anger	0.602
spite	mặc dù	anger	0.600
intrusive	xâm phạm	anger	0.598
harshness	sự khắc nghiệt	anger	0.597
slur	bùn	anger	0.596
wretch	khốn khổ	anger	0.594
inferno	địa ngục	anger	0.594
invasion	cuộc xâm lăng	anger	0.594
puncture	đâm	anger	0.594
miserable	khổ sở	anger	0.594
assail	tấn công	anger	0.594
storming	bão tố	anger	0.594
casualty	tai nạn	anger	0.594
bitterness	sự cay đắng	anger	0.594
morbidity	bệnh tật	anger	0.594
tempest	tempest	anger	0.594
consternation	sự chói tai	anger	0.592
depraved	depraved	anger	0.591
raving	raving	anger	0.591
guillotine	máy chém	anger	0.591
guilty	tội lỗi	anger	0.591
immoral	vô đạo đức	anger	0.591
forcibly	cưỡng bức	anger	0.591
overpowering	chế ngự	anger	0.591
accursed	bị buộc tội	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	ngoan cố	anger	0.588
invader	kẻ xâm lược	anger	0.588
scare	sợ hãi	anger	0.588
screwed	hơi say	anger	0.588
indignation	sự phẫn nộ	anger	0.587
jealousy	ghen tuông	anger	0.587
vexed	vexed	anger	0.586
confront	đối đầu	anger	0.582
brute	brute	anger	0.581
throttle	ga	anger	0.579
wreck	xác tàu	anger	0.578
revolver	súng lục ổ quay	anger	0.578
slut	đĩ	anger	0.578
yousuck	yousuck	anger	0.578
damage	hư hại	anger	0.578
butcher	người bán thịt	anger	0.578
conflict	cuộc xung đột	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	tội phạm	anger	0.578
bickering	cãi nhau	anger	0.578
pillage	cướp bóc	anger	0.578
blaze	ngọn lửa	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	cuộc đảo chính	anger	0.578
contentious	gây tranh cãi	anger	0.578
incarceration	giam giữ	anger	0.578
defiant	khiêu khích	anger	0.578
provoking	khiêu khích	anger	0.578
lash	dây da roi	anger	0.578
cancer	ung thư	anger	0.577
frustration	thất vọng	anger	0.576
gory	gory	anger	0.576
alienation	sự xa lánh	anger	0.576
discord	bất hòa	anger	0.576
disturbance	xáo trộn	anger	0.576
grope	grope	anger	0.576
condescension	hạ mình	anger	0.576
pernicious	nguy hiểm	anger	0.576
blasphemy	báng bổ	anger	0.576
discriminate	phân biệt	anger	0.576
chaotic	hỗn loạn	anger	0.576
gun	súng	anger	0.576
standoff	bế tắc	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	áp bức	anger	0.574
death	tử vong	anger	0.574
jab	đâm	anger	0.574
cursed	bị nguyền rủa	anger	0.574
scandalous	tai tiếng	anger	0.574
monstrosity	tính quái dị	anger	0.574
shit	shit	anger	0.573
disparaging	làm méo mó	anger	0.571
slash	gạch chéo	anger	0.571
unfair	không công bằng	anger	0.571
gallows	giá treo cổ	anger	0.570
escalate	leo thang	anger	0.569
intolerant	không dung nạp	anger	0.564
lawlessness	vô luật pháp	anger	0.563
bluddy	xanh xao	anger	0.562
perdition	sự hư hỏng	anger	0.562
taunt	chế nhạo	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	ngư lôi	anger	0.562
deceived	bị lừa dối	anger	0.562
slander	vu khống	anger	0.562
retards	làm chậm	anger	0.562
bearish	sự giảm giá	anger	0.562
invade	xâm lược	anger	0.562
bellows	ống thổi	anger	0.562
beast	quái thú	anger	0.562
frightful	đáng sợ	anger	0.562
derogatory	xúc phạm	anger	0.562
glare	chói lóa	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ghê gớm	anger	0.562
traitor	kẻ phản bội	anger	0.562
malign	hung tinh	anger	0.562
wrangling	sự vặn vẹo	anger	0.562
dissension	bất đồng	anger	0.561
banshee	banshee	anger	0.561
shatter	làm vỡ	anger	0.561
conflagration	sự đốt cháy	anger	0.561
jeopardize	gây nguy hiểm	anger	0.561
thief	tên trộm	anger	0.561
rave	rave	anger	0.561
grating	ghê tai	anger	0.561
devastating	tàn phá	anger	0.561
idiots	kẻ ngốc	anger	0.561
betrayal	sự phản bội	anger	0.561
uncontrollable	không kiểm soát được	anger	0.561
fits	phù hợp	anger	0.561
cross	vượt qua	anger	0.561
hurt	đau	anger	0.561
disturbed	bị làm phiền	anger	0.559
subjugation	sự chinh phục	anger	0.559
stomped	dậm chân	anger	0.557
grab	vồ lấy	anger	0.557
ticked	đánh dấu	anger	0.556
masochism	sự đau khổ	anger	0.556
grievance	than phiền	anger	0.556
defiance	sự thách thức	anger	0.552
blackmail	tống tiền	anger	0.550
offensive	phản cảm	anger	0.549
decry	chê bai	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	sự vi phạm	anger	0.547
punishment	sự trừng phạt	anger	0.547
shrill	chói tai	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	bóng tối	anger	0.547
misery	đau khổ	anger	0.547
frustrates	thất vọng	anger	0.547
disgraceful	đáng hổ thẹn	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	hách	anger	0.547
disparity	khác biệt	anger	0.547
confine	giam cầm	anger	0.547
firearms	súng cầm tay	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	vô lý	anger	0.547
rebel	nổi loạn	anger	0.547
deceive	lừa dối	anger	0.547
stolen	ăn cắp	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	đun nóng	anger	0.545
ruined	hủy hoại	anger	0.545
menace	mối đe dọa	anger	0.545
humiliate	làm nhục	anger	0.545
tackle	giải quyết	anger	0.545
conspirator	âm mưu	anger	0.545
foul	Hôi	anger	0.545
antagonist	nhân vật phản diện	anger	0.545
resentful	bực bội	anger	0.545
prejudice	định kiến	anger	0.545
adversary	kẻ thù	anger	0.545
argument	tranh luận	anger	0.545
skirmish	đụng độ	anger	0.545
callous	sự nhẫn nại	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	vướng vào	anger	0.544
robbery	cướp	anger	0.544
sting	sting	anger	0.544
outcry	phản đối kịch liệt	anger	0.544
grumble	càu nhàu	anger	0.544
irreconcilable	không thể hòa giải	anger	0.543
resistance	sức đề kháng	anger	0.543
obstructive	tắc nghẽn	anger	0.542
dismay	thất vọng	anger	0.540
mob	đám đông	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	sự xấu xa	anger	0.536
ridicule	chế nhạo	anger	0.534
incendiary	gây cháy	anger	0.533
flares	pháo sáng	anger	0.532
degeneracy	sự thoái hóa	anger	0.531
confinement	giam giữ	anger	0.531
exacerbation	sự trầm trọng	anger	0.531
prejudicial	thành kiến	anger	0.531
uprising	cuộc nổi dậy	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	liều lĩnh	anger	0.531
unbridled	không bị kiềm chế	anger	0.531
allegation	cáo buộc	anger	0.531
communism	chủ nghĩa cộng sản	anger	0.531
whip	roi da	anger	0.531
intruder	kẻ đột nhập	anger	0.531
dispute	tranh chấp	anger	0.531
belittle	chê	anger	0.531
bigoted	to lớn	anger	0.530
offender	người phạm tội	anger	0.530
hassle	rắc rối	anger	0.530
dissonance	bất hòa	anger	0.530
unjust	bất công	anger	0.530
dictatorial	độc tài	anger	0.530
unjustifiable	không thể điều chỉnh được	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	sự đảo lộn	anger	0.530
tackled	giải quyết	anger	0.530
renegade	renegade	anger	0.529
hot	nóng bức	anger	0.529
prison	nhà tù	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	xâm phạm	anger	0.529
suicide	tự tử	anger	0.521
annoy	làm phiền	anger	0.520
leavemealone	để tôi yên	anger	0.517
idiotic	ngu ngốc	anger	0.516
distrust	không tin tưởng	anger	0.516
depravity	suy nhược	anger	0.516
cretins	cretin	anger	0.516
divorce	ly hôn	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	trút ra	anger	0.516
inimical	vô lý	anger	0.516
duress	cưỡng bách	anger	0.516
disrespectful	không tôn trọng	anger	0.516
tortious	có hại	anger	0.516
criticize	chỉ trích	anger	0.516
prisoner	Tù nhân	anger	0.516
dishonest	Không trung thực	anger	0.516
treason	phản quốc	anger	0.516
victimized	nạn nhân	anger	0.515
bile	mật	anger	0.515
unkind	không tốt	anger	0.515
unforgiving	không tha thứ	anger	0.515
unleash	mở ra	anger	0.515
coercion	ép buộc	anger	0.515
scold	mắng	anger	0.515
chaos	hỗn loạn	anger	0.515
grump	gắt gỏng	anger	0.515
roar	kêu la	anger	0.515
jerks	jerks	anger	0.515
poaching	săn trộm	anger	0.515
hangry	NO TRANSLATION	anger	0.515
pow	pow	anger	0.515
poachers	người săn trộm	anger	0.515
argumentation	sự tranh luận	anger	0.515
frustrating	bực bội	anger	0.515
tussle	cuộc tranh luận	anger	0.514
bane	tai ương	anger	0.511
accusation	tố cáo	anger	0.510
repudiation	sự từ bỏ	anger	0.510
enmity	thù hận	anger	0.510
banish	trục xuất	anger	0.509
disfigured	bị biến dạng	anger	0.508
storm	bão táp	anger	0.507
shun	tránh xa	anger	0.500
suppression	sự đàn áp	anger	0.500
unruly	ngỗ nghịch	anger	0.500
intractable	khó nhọc	anger	0.500
ordeal	thử thách	anger	0.500
obstruct	cản trở	anger	0.500
derogation	sự xúc phạm	anger	0.500
fervor	hăng hái	anger	0.500
foaming	tạo bọt	anger	0.500
derision	sự cắt bỏ	anger	0.500
animus	animus	anger	0.500
rejects	từ chối	anger	0.500
bout	bout	anger	0.500
spear	thương	anger	0.500
crazy	khùng	anger	0.500
brazen	brazen	anger	0.500
antithesis	phản đối	anger	0.500
injustice	bất công	anger	0.500
banished	bị trục xuất	anger	0.500
confined	hạn chế	anger	0.500
frenzied	điên cuồng	anger	0.500
dominate	thống trị	anger	0.500
disrupting	làm gián đoạn	anger	0.500
hammering	búa	anger	0.500
fear	nỗi sợ	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	đau khổ	anger	0.500
brunt	brunt	anger	0.500
possessed	sở hữu	anger	0.500
defy	thách thức	anger	0.500
scoff	chế nhạo	anger	0.500
patronising	bảo trợ	anger	0.500
delusional	ảo tưởng	anger	0.500
malpractice	sơ suất	anger	0.500
reject	Từ chối	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	độ dẻo dai	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	điên cuồng	anger	0.491
sinful	tội lỗi	anger	0.491
avarice	avarice	anger	0.490
oppress	đàn áp	anger	0.490
disapproved	bị từ chối	anger	0.485
inhuman	vô nhân đạo	anger	0.485
demand	nhu cầu	anger	0.485
abolish	bỏ	anger	0.485
anathema	thuốc anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	lời phàn nàn	anger	0.485
disservice	làm hại	anger	0.485
smuggler	người buôn lậu	anger	0.485
revoke	thu hồi	anger	0.485
infraction	vi phạm	anger	0.485
claw	móng vuốt	anger	0.485
dissident	bất đồng chính kiến	anger	0.485
pervert	biến thái	anger	0.485
incest	tội loạn luân	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	không vâng lời	anger	0.485
usurp	usurp	anger	0.485
alienate	xa lánh	anger	0.485
avenger	avenger	anger	0.485
annoyed	khó chịu	anger	0.485
cutting	sự cắt	anger	0.485
disgrace	nhục nhã	anger	0.484
deceit	lừa dối	anger	0.484
suspicious	đáng ngờ	anger	0.484
