word	Icelandic-is	emotion	emotion-intensity-score
grievous	grievous	anger	0.632
prosecute	ákæra	anger	0.630
agitated	órólegur	anger	0.630
cheat	svindla	anger	0.630
swastika	swastika	anger	0.627
defamatory	ærumeiðandi	anger	0.625
suffocation	köfnun	anger	0.625
strife	stríð	anger	0.625
provocation	provocation	anger	0.625
injure	meiða	anger	0.625
harassing	áreita	anger	0.625
scourge	svitahola	anger	0.625
cursing	bölvun	anger	0.625
betray	svíkja	anger	0.625
indict	ákærður	anger	0.625
raid	árás	anger	0.625
thundering	þrumuveður	anger	0.625
enslaved	þjást	anger	0.625
arsehole	arsehle	anger	0.624
insane	geðveikur	anger	0.621
fiend	fiend	anger	0.621
irritate	erting	anger	0.621
convict	dæma	anger	0.621
jerk	skíthæll	anger	0.621
theft	þjófnaður	anger	0.621
retaliation	retaliation	anger	0.621
deprivation	sviptingu	anger	0.621
cussed	cussed	anger	0.619
turmoil	óróa	anger	0.618
smack	slá	anger	0.615
retribution	retribution	anger	0.614
twats	twats	anger	0.609
intolerable	óþolandi	anger	0.609
rebellion	uppreisn	anger	0.609
injurious	skaðleg	anger	0.609
oppressor	kúgari	anger	0.609
slavery	þrælahald	anger	0.609
irritability	pirringur	anger	0.609
collision	árekstur	anger	0.609
bitterly	beiskt	anger	0.609
gang	klíka	anger	0.609
antagonism	mótun	anger	0.609
battery	rafhlaða	anger	0.609
adverse	skaðleg	anger	0.609
disgraced	disgraced	anger	0.608
irritating	ertandi	anger	0.606
revolution	byltingu	anger	0.606
thug	Thug	anger	0.606
diatribe	skýringarmynd	anger	0.606
bombardment	sprengjuárás	anger	0.606
blast	sprengja	anger	0.606
irks	irks	anger	0.606
sickening	veikburða	anger	0.606
discrimination	mismunun	anger	0.606
antagonistic	mótandi	anger	0.606
ranting	ranting	anger	0.606
asshole	rassgat	anger	0.606
frustrate	trufla	anger	0.604
manipulation	meðferð	anger	0.603
tension	spennu	anger	0.603
insult	móðgun	anger	0.603
bigot	bigot	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	sársaukafullt	anger	0.603
oppression	kúgun	anger	0.603
disgust	disgust	anger	0.602
spite	þrátt fyrir það	anger	0.600
intrusive	uppáþrengjandi	anger	0.598
harshness	hörku	anger	0.597
slur	slur	anger	0.596
wretch	illa	anger	0.594
inferno	inferno	anger	0.594
invasion	innrás	anger	0.594
puncture	gata	anger	0.594
miserable	ömurlegt	anger	0.594
assail	assail	anger	0.594
storming	stormast	anger	0.594
casualty	slys	anger	0.594
bitterness	biturð	anger	0.594
morbidity	veikindi	anger	0.594
tempest	stormur	anger	0.594
consternation	skelfing	anger	0.592
depraved	depraved	anger	0.591
raving	raving	anger	0.591
guillotine	guillotín	anger	0.591
guilty	sekur	anger	0.591
immoral	siðlaust	anger	0.591
forcibly	með valdi	anger	0.591
overpowering	yfirþyrmandi	anger	0.591
accursed	bölvaður	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	recalcitrant	anger	0.588
invader	innrásarher	anger	0.588
scare	hræða	anger	0.588
screwed	skrúfað	anger	0.588
indignation	reiði	anger	0.587
jealousy	öfund	anger	0.587
vexed	vexed	anger	0.586
confront	takast á við	anger	0.582
brute	brute	anger	0.581
throttle	inngjöf	anger	0.579
wreck	flak	anger	0.578
revolver	revolver	anger	0.578
slut	druslan	anger	0.578
yousuck	þú sökkar	anger	0.578
damage	tjón	anger	0.578
butcher	slátrari	anger	0.578
conflict	átök	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	glæpastarfsemi	anger	0.578
bickering	bickering	anger	0.578
pillage	pillage	anger	0.578
blaze	blása	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	coup	anger	0.578
contentious	umdeild	anger	0.578
incarceration	fangelsi	anger	0.578
defiant	þreytandi	anger	0.578
provoking	vekja	anger	0.578
lash	lash	anger	0.578
cancer	krabbamein	anger	0.577
frustration	gremju	anger	0.576
gory	gory	anger	0.576
alienation	sölu	anger	0.576
discord	discord	anger	0.576
disturbance	truflun	anger	0.576
grope	grope	anger	0.576
condescension	condescension	anger	0.576
pernicious	pernicious	anger	0.576
blasphemy	guðlast	anger	0.576
discriminate	mismuna	anger	0.576
chaotic	óskipulegur	anger	0.576
gun	byssu	anger	0.576
standoff	standoff	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	sneer	anger	0.574
lunacy	lunacy	anger	0.574
oppressive	kúgandi	anger	0.574
death	dauða	anger	0.574
jab	Jab	anger	0.574
cursed	bölvaður	anger	0.574
scandalous	skammarlegt	anger	0.574
monstrosity	óþægindi	anger	0.574
shit	skít	anger	0.573
disparaging	minnkandi	anger	0.571
slash	rista	anger	0.571
unfair	ósanngjarnt	anger	0.571
gallows	galgar	anger	0.570
escalate	stigmagna	anger	0.569
intolerant	óþol	anger	0.564
lawlessness	lögleysa	anger	0.563
bluddy	bluddy	anger	0.562
perdition	fordition	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	blekkt	anger	0.562
slander	slander	anger	0.562
retards	retards	anger	0.562
bearish	bearish	anger	0.562
invade	ráðast inn	anger	0.562
bellows	belgir	anger	0.562
beast	dýrið	anger	0.562
frightful	hræðilegt	anger	0.562
derogatory	derogatory	anger	0.562
glare	glampi	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	hræðilegt	anger	0.562
traitor	svikari	anger	0.562
malign	illkynja	anger	0.562
wrangling	wrangling	anger	0.562
dissension	upplausn	anger	0.561
banshee	banshee	anger	0.561
shatter	sprengja	anger	0.561
conflagration	árásir	anger	0.561
jeopardize	gera í hættu	anger	0.561
thief	þjófur	anger	0.561
rave	rave	anger	0.561
grating	grating	anger	0.561
devastating	hrikalegt	anger	0.561
idiots	fífl	anger	0.561
betrayal	svik	anger	0.561
uncontrollable	óstjórnandi	anger	0.561
fits	passar	anger	0.561
cross	kross	anger	0.561
hurt	meiða	anger	0.561
disturbed	truflaður	anger	0.559
subjugation	subjugation	anger	0.559
stomped	stomped	anger	0.557
grab	grípa	anger	0.557
ticked	merktur	anger	0.556
masochism	masochism	anger	0.556
grievance	grievance	anger	0.556
defiance	defiance	anger	0.552
blackmail	kúgun	anger	0.550
offensive	móðgandi	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	brot	anger	0.547
punishment	refsing	anger	0.547
shrill	Shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	dökk hlið	anger	0.547
misery	eymd	anger	0.547
frustrates	svekktur	anger	0.547
disgraceful	skammarlegt	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	áberandi	anger	0.547
disparity	misræmi	anger	0.547
confine	takmarka	anger	0.547
firearms	skotvopn	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	preposterous	anger	0.547
rebel	uppreisnarmaður	anger	0.547
deceive	blekkja	anger	0.547
stolen	stolið	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	Wanker	anger	0.545
heated	hitað	anger	0.545
ruined	eyðilagt	anger	0.545
menace	hótun	anger	0.545
humiliate	niðurlægja	anger	0.545
tackle	takast á við	anger	0.545
conspirator	samsæri	anger	0.545
foul	villa	anger	0.545
antagonist	mótmæla	anger	0.545
resentful	gremjulegur	anger	0.545
prejudice	fordómum	anger	0.545
adversary	andstæðingurinn	anger	0.545
argument	rök	anger	0.545
skirmish	skirmish	anger	0.545
callous	kallaous	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	entangled	anger	0.544
robbery	rán	anger	0.544
sting	sting	anger	0.544
outcry	útrýmingu	anger	0.544
grumble	grumble	anger	0.544
irreconcilable	ósamrýmanleg	anger	0.543
resistance	mótstöðu	anger	0.543
obstructive	hindrandi	anger	0.542
dismay	ótti	anger	0.540
mob	Mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	illa	anger	0.536
ridicule	fáránlegt	anger	0.534
incendiary	eldsneyti	anger	0.533
flares	blys	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	ígræðsla	anger	0.531
exacerbation	versnun	anger	0.531
prejudicial	skaðleg	anger	0.531
uprising	uppreisn	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	kærulaus	anger	0.531
unbridled	unbridled	anger	0.531
allegation	ásakanir	anger	0.531
communism	kommúnismi	anger	0.531
whip	svipa	anger	0.531
intruder	boðflenna	anger	0.531
dispute	ágreiningur	anger	0.531
belittle	draga úr	anger	0.531
bigoted	bigoted	anger	0.530
offender	brotamaður	anger	0.530
hassle	þræta	anger	0.530
dissonance	dissonance	anger	0.530
unjust	óréttlátt	anger	0.530
dictatorial	einræðisherra	anger	0.530
unjustifiable	óréttmætar	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	perversion	anger	0.530
tackled	fjallað	anger	0.530
renegade	renegade	anger	0.529
hot	heitt	anger	0.529
prison	fangelsi	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	trespass	anger	0.529
suicide	sjálfsvíg	anger	0.521
annoy	ónáða	anger	0.520
leavemealone	Láttu mig vera	anger	0.517
idiotic	hálfviti	anger	0.516
distrust	vantraust	anger	0.516
depravity	depravity	anger	0.516
cretins	cretins	anger	0.516
divorce	skilnaður	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	venting	anger	0.516
inimical	óeðlilegt	anger	0.516
duress	þunglyndi	anger	0.516
disrespectful	disrespectful	anger	0.516
tortious	tortious	anger	0.516
criticize	gagnrýna	anger	0.516
prisoner	fangi	anger	0.516
dishonest	óheiðarlegur	anger	0.516
treason	landráð	anger	0.516
victimized	fórnarlömb	anger	0.515
bile	galla	anger	0.515
unkind	unkind	anger	0.515
unforgiving	unforgiving	anger	0.515
unleash	lausan tauminn	anger	0.515
coercion	þvingun	anger	0.515
scold	scold	anger	0.515
chaos	óreiðu	anger	0.515
grump	grump	anger	0.515
roar	öskra	anger	0.515
jerks	jerks	anger	0.515
poaching	kúgun	anger	0.515
hangry	hangir	anger	0.515
pow	pow	anger	0.515
poachers	stelpur	anger	0.515
argumentation	rök	anger	0.515
frustrating	pirrandi	anger	0.515
tussle	tussle	anger	0.514
bane	bane	anger	0.511
accusation	ásakanir	anger	0.510
repudiation	afneitun	anger	0.510
enmity	fjandskapur	anger	0.510
banish	banna	anger	0.509
disfigured	disfigured	anger	0.508
storm	stormur	anger	0.507
shun	shun	anger	0.500
suppression	bæling	anger	0.500
unruly	órólegur	anger	0.500
intractable	óviðunandi	anger	0.500
ordeal	ordeal	anger	0.500
obstruct	hindra	anger	0.500
derogation	undanþága	anger	0.500
fervor	fervor	anger	0.500
foaming	froðumyndun	anger	0.500
derision	hindrun	anger	0.500
animus	animus	anger	0.500
rejects	hafnar	anger	0.500
bout	bout	anger	0.500
spear	spjót	anger	0.500
crazy	brjálaður	anger	0.500
brazen	brazen	anger	0.500
antithesis	andstæða	anger	0.500
injustice	óréttlæti	anger	0.500
banished	bannað	anger	0.500
confined	bundin	anger	0.500
frenzied	frenzied	anger	0.500
dominate	ráða yfir	anger	0.500
disrupting	trufla	anger	0.500
hammering	hamar	anger	0.500
fear	ótti	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	angist	anger	0.500
brunt	brunt	anger	0.500
possessed	átti	anger	0.500
defy	defy	anger	0.500
scoff	scoff	anger	0.500
patronising	patronizing	anger	0.500
delusional	villuleit	anger	0.500
malpractice	malpractice	anger	0.500
reject	hafna	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	seigja	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	brjálæði	anger	0.491
sinful	syndug	anger	0.491
avarice	afarice	anger	0.490
oppress	kúgun	anger	0.490
disapproved	hafnað	anger	0.485
inhuman	ómannúðlegur	anger	0.485
demand	eftirspurn	anger	0.485
abolish	afnema	anger	0.485
anathema	anathema	anger	0.485
fricking	fricking	anger	0.485
complaint	kvörtun	anger	0.485
disservice	disservice	anger	0.485
smuggler	smyglara	anger	0.485
revoke	afturkalla	anger	0.485
infraction	brot	anger	0.485
claw	kló	anger	0.485
dissident	dissident	anger	0.485
pervert	öfuguggi	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	óhlýðnir	anger	0.485
usurp	usurp	anger	0.485
alienate	alienate	anger	0.485
avenger	afenger	anger	0.485
annoyed	pirraður	anger	0.485
cutting	klippa	anger	0.485
disgrace	skömm	anger	0.484
deceit	svik	anger	0.484
suspicious	grunsamlegt	anger	0.484
thresh	þreska	anger	0.484
sucker	sogskál	anger	0.484
strained	þvingaður	anger	0.484
blame	kenna	anger	0.484
upheaval	umrót	anger	0.484
renounce	afsala	anger	0.484
obnoxious	óþægilegur	anger	0.484
restrain	afturkalla	anger	0.484
oust	afgangur	anger	0.484
litigious	litigious	anger	0.484
rivalry	samkeppni	anger	0.484
penalty	víti	anger	0.484
imprisoned	fangelsaðir	anger	0.484
mocking	mocking	anger	0.484
opposed	öfugt	anger	0.484
turbulence	óróa	anger	0.483
pound	pund	anger	0.481
coldness	kuldi	anger	0.477
ungrateful	óþolandi	anger	0.472
battalion	battalion	anger	0.471
stoopid	stoopid	anger	0.471
hostage	gíslingu	anger	0.470
infidel	trúleysingi	anger	0.470
ram	Vinnsluminni	anger	0.470
accuser	ákærandi	anger	0.470
gall	gall	anger	0.470
subversion	subversion	anger	0.470
annoying	pirrandi	anger	0.470
adversity	mótlæti	anger	0.470
dispossessed	ráðstafað	anger	0.470
friction	núning	anger	0.470
jealous	öfundsjúkur	anger	0.470
feudalism	feudalism	anger	0.470
armament	vopn	anger	0.470
thump	thump	anger	0.469
complain	kvarta	anger	0.469
incite	hvetja	anger	0.469
steal	stela	anger	0.469
angermanagement	NO TRANSLATION	anger	0.469
disobey	óhlýðnast	anger	0.469
injury	meiðsli	anger	0.469
simmer	látið malla	anger	0.469
distress	neyð	anger	0.469
insanity	geðveiki	anger	0.469
selfish	eigingirni	anger	0.469
huff	huff	anger	0.469
selfishness	eigingirni	anger	0.469
backoff	backoff	anger	0.469
plunder	ræna	anger	0.469
stifled	stifled	anger	0.469
subversive	subversive	anger	0.469
exile	útlegð	anger	0.469
offense	móðgun	anger	0.469
objection	mótmæli	anger	0.469
recidivism	recidivism	anger	0.469
smother	mýkja	anger	0.469
perpetrator	geranda	anger	0.469
dislike	mislíkar	anger	0.469
disruption	röskun	anger	0.469
intolerance	óþol	anger	0.469
opposition	andstöðu	anger	0.469
