word	Nepali-ne	emotion	emotion-intensity-score
hell	नरक	anger	0.853
murderous	हत्यारा	anger	0.853
attack	आक्रमण	anger	0.853
malice	NO TRANSLATION	anger	0.852
terrorism	आतंकवाद	anger	0.851
beating	मारियो	anger	0.849
desecration	अपघटन	anger	0.848
pissingmeoff	pissingmeoff	anger	0.848
outrage	घृणा	anger	0.848
stab	आँसु	anger	0.844
slaughter	हत्या	anger	0.844
violent	हिंसक	anger	0.844
destroying	नष्ट गर्दै	anger	0.844
abomination	घृणा	anger	0.844
tumultuous	गुमनाम	anger	0.844
irate	चिन्ता गर्नुहोस्	anger	0.844
infuriate	अनियमित	anger	0.844
obliterate	विपरित	anger	0.843
belligerent	उदासीन	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	detest	anger	0.838
hostilities	शत्रुहरू	anger	0.837
prick	prick	anger	0.835
torture	यातना	anger	0.833
rabid	रक्सी	anger	0.833
horrid	घृणा गर्दछ	anger	0.833
rampage	दुर्लभ	anger	0.833
cruelty	क्रूरता	anger	0.833
hate	घृणा गर्छु	anger	0.828
demonic	राक्षस	anger	0.828
hating	घृणित	anger	0.828
satanic	satanic	anger	0.828
tyrannical	अतिक्रमण	anger	0.828
ragemode	ragemode	anger	0.828
despicable	निराश	anger	0.828
ruinous	विनाशकारी	anger	0.825
condemn	दोषी	anger	0.825
riots	दबाइहरु	anger	0.824
demolish	ध्वस्त	anger	0.824
angry	रिस उठ्यो	anger	0.824
extermination	विनाश	anger	0.824
dickhead	Dickhead	anger	0.824
livid	लाभांश	anger	0.821
madman	madman	anger	0.820
vindictive	vindictive	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	फोकस	anger	0.818
venomous	विषम	anger	0.818
threaten	खतरा	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	आतंकवाद	anger	0.818
abhor	abhor	anger	0.816
savage	क्रिश्चियन	anger	0.814
atrocity	अत्याचार	anger	0.814
carnage	नरसंहार	anger	0.814
berserk	उत्तरदायी	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	दुरुपयोग	anger	0.812
tyrant	विवादास्पद	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	pissedoff	anger	0.812
vendetta	vendetta	anger	0.812
fierce	डरलाग्दो	anger	0.812
destroyer	नष्ट गर्ने	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	लुगा लगाउने	anger	0.812
barbaric	बार्बिक	anger	0.812
anger	रिस	anger	0.811
pieceofshit	pantofshit	anger	0.810
slam	slam	anger	0.803
fights	झगडा	anger	0.803
punched	पक्कै	anger	0.803
bitch	कुकिलो	anger	0.803
punching	छिटो	anger	0.803
homicide	आत्महत्या	anger	0.803
destructive	विनाशकारी	anger	0.797
ruthless	निर्दोष	anger	0.797
villainous	अल्पसंख्यक	anger	0.797
slap	थप्पड	anger	0.791
slaughterhouse	हत्या	anger	0.788
punishing	सजाय	anger	0.788
destroyed	नष्ट भयो	anger	0.788
retaliatory	पुनरुत्थान	anger	0.788
riot	दंगा	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	बढ्दो	anger	0.788
diabolical	डायोलिकल	anger	0.788
manslaughter	हत्यारे	anger	0.783
clash	संघर्ष	anger	0.783
bloody	खूनी	anger	0.781
hellish	hellish	anger	0.781
loath	loath	anger	0.781
detonation	detonation	anger	0.781
quarrel	झगडा	anger	0.781
sinister	सिस्टर	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	दोषी	anger	0.779
treacherous	धोखाधडी	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	पुन: दोहोर्याउनुहोस्	anger	0.773
revulsion	पुनरुत्थान	anger	0.773
madder	पागल	anger	0.773
horrific	भयानक	anger	0.773
scorn	डरलाग्दो	anger	0.769
deplorable	भ्रामक	anger	0.766
bomb	बम	anger	0.766
anarchist	अराजकतावादी	anger	0.765
devastation	विनाश	anger	0.765
resent	घृणा गर्नुहोस्	anger	0.765
firestorm	firestorm	anger	0.765
contemptible	घृणात्मक	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	क्रूर	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	घातक	anger	0.758
smash	धुलो	anger	0.758
rant	रैंट	anger	0.758
outburst	विस्फोट	anger	0.757
snarl	snarl	anger	0.754
profane	अभिनय	anger	0.750
offend	असार	anger	0.750
douchebags	douchebags	anger	0.750
growling	खेती गर्दै	anger	0.750
stfu	stfu	anger	0.750
vulgarity	vulgarity	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	crazed	anger	0.750
despise	घृणा गर्नुहोस्	anger	0.750
horror	डराएर	anger	0.750
aggravating	बढ्दो	anger	0.750
revolting	विस्फोट	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	खतरा	anger	0.742
erupt	erupt	anger	0.742
screaming	चिल्लाउँदै	anger	0.742
violence	हिंसा	anger	0.742
horrible	भयानक	anger	0.742
molestation	घिमिरे	anger	0.742
bastards	बेस्टर्ड्स	anger	0.741
revenge	बदला	anger	0.738
catastrophe	विनाश	anger	0.735
menacing	menacing	anger	0.735
demon	राक्षस	anger	0.735
crushing	क्रश	anger	0.735
damn	damn	anger	0.735
persecute	सतावट	anger	0.734
argue	तर्क गर्नुहोस्	anger	0.734
flog	बगैचा	anger	0.734
revolt	विद्रोह	anger	0.734
thrash	बलात्कार	anger	0.734
deplore	डिप्प्ले	anger	0.734
warfare	युद्ध	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	vehement	anger	0.734
riotous	दंगा	anger	0.734
altercation	altercation	anger	0.729
warlike	युद्ध	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	विपरित	anger	0.727
castrate	castrate	anger	0.727
sabotage	सब्जी	anger	0.727
malevolent	अपमानजनक	anger	0.721
strike	स्ट्राइक	anger	0.721
disaster	प्रकोप	anger	0.721
disastrous	विनाशकारी	anger	0.720
tumult	ट्युल्ट गर्नुहोस्	anger	0.719
madden	madden	anger	0.719
devil	राक्षस	anger	0.719
scream	चिल्लायो	anger	0.719
brutal	क्रूर	anger	0.719
treachery	चकलेट	anger	0.719
scorching	झण्डा	anger	0.719
vermin	वरमिन	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	बढ्छ	anger	0.719
spiteful	spiteful	anger	0.719
slay	मारियो	anger	0.719
disdain	असहमत	anger	0.719
choke	चुरोट	anger	0.719
bastarding	बर्बाद	anger	0.719
mangle	माला	anger	0.714
anarchism	अराजकता	anger	0.714
mutilation	उत्तेजना	anger	0.714
criminal	आपराधिक	anger	0.714
denunciation	अस्वीकार	anger	0.713
punch	पंच	anger	0.713
crucifixion	क्रिस्फिक्स	anger	0.712
virulence	विषाणु	anger	0.712
battled	लडाइँ	anger	0.712
fatal	घातक	anger	0.712
holocaust	होलोकस्ट	anger	0.712
blasphemous	घृणात्मक	anger	0.712
hurting	दुखाइ	anger	0.712
dumbasses	डम्बस	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	विकर्ण	anger	0.706
atrocious	अत्याचार	anger	0.706
evil	खराब	anger	0.706
irritated	चिन्ता	anger	0.706
assassin	हत्यारा	anger	0.703
dicks	dicks	anger	0.703
persecution	सतावट	anger	0.703
slayer	ढोका	anger	0.703
kidnap	अपहरण	anger	0.703
scolding	डराउने	anger	0.703
intimidation	डरलाग्दो	anger	0.703
aggravated	बढ्यो	anger	0.703
aggression	आक्रामकता	anger	0.702
armed	सशस्त्र	anger	0.700
poison	विष	anger	0.697
snarling	सार्क	anger	0.697
venom	venom	anger	0.697
battle	युद्ध	anger	0.697
disgruntled	निराश	anger	0.693
insidious	घातक	anger	0.691
assailant	आक्रमणकारी	anger	0.691
resentment	प्रतिबन्ध	anger	0.691
lynch	lynch	anger	0.690
contemptuous	घृणित	anger	0.690
temper	तापनि	anger	0.688
imprisonment	कैद	anger	0.688
disparage	असमान	anger	0.688
bully	धम्की	anger	0.688
terrible	भयानक	anger	0.688
lunatic	पागलपन	anger	0.688
curse	श्राप	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	पनी भयो	anger	0.688
domination	प्रभुत्व	anger	0.688
mad	पागल	anger	0.688
infanticide	शिशुको हत्या	anger	0.688
volatility	अस्थिरता	anger	0.687
eradication	उन्मूलन	anger	0.685
tantrum	tantrum	anger	0.682
devastate	विनाश	anger	0.682
eradicate	उन्मूलन गर्नुहोस्	anger	0.682
scoundrel	घिमिरे	anger	0.682
aggressively	आक्रामक	anger	0.680
agitation	आलोचना	anger	0.680
dictatorship	तानाशाह	anger	0.676
irritates	चिन्ता हुन्छ	anger	0.676
profanity	profanity	anger	0.673
egregious	बहुमूल्य	anger	0.672
expletive	अपूर्ण	anger	0.672
nasty	फोहर	anger	0.672
shove	चिट्नुहोस्	anger	0.672
shot	गोली	anger	0.672
harmful	हानिकारक	anger	0.672
aggravation	बढ्दो	anger	0.672
contempt	घृणा गर्नुहोस्	anger	0.672
poisonous	जहरीला	anger	0.672
dastardly	उदास	anger	0.672
shoot	गोली मार	anger	0.672
corrupting	भ्रष्ट	anger	0.672
condemnation	दोषी	anger	0.672
wreak	wreak	anger	0.672
crushed	कुचल	anger	0.672
cruelly	क्रूरता	anger	0.672
crime	अपराध	anger	0.672
maniac	पागल	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	विष्फोट	anger	0.667
odious	अजीब	anger	0.667
shooting	शूटिंग	anger	0.667
kick	लात	anger	0.667
aggressive	आक्रामक	anger	0.667
combat	लडाई	anger	0.667
shout	चिन्ता	anger	0.667
hit	हिट	anger	0.667
fight	लड्न	anger	0.667
cutthroat	cutthroat	anger	0.667
enemy	दुश्मन	anger	0.667
irritable	चिन्ताजनक	anger	0.667
punished	दण्डित	anger	0.662
ambush	अटूट	anger	0.661
yell	yell	anger	0.661
harass	ह्रास	anger	0.659
malignant	घातक	anger	0.656
aggressor	आक्रामक	anger	0.656
antichrist	विरोधी	anger	0.656
gore	गोरखा	anger	0.656
incense	धूप	anger	0.656
expel	निष्कासन गर्नुहोस्	anger	0.656
destruction	विनाश	anger	0.656
grudge	कुकुर	anger	0.656
cranky	क्रेन	anger	0.653
offended	अपमानित	anger	0.652
spank	स्पैंक	anger	0.652
growl	growl	anger	0.652
insurrection	विद्रोह	anger	0.652
reprisal	प्रत्याशित	anger	0.652
slave	दास	anger	0.652
denounce	अस्वीकार	anger	0.652
animosity	animosity	anger	0.652
insulting	अपमानजनक	anger	0.652
clashing	संघर्ष	anger	0.652
growls	बढ्छ	anger	0.649
executioner	निष्पादक	anger	0.644
twat	twat	anger	0.644
doomsday	दिनदिनै	anger	0.643
daemon	डेमन	anger	0.641
obscenity	अभिप्राय	anger	0.641
bombard	बमबारी	anger	0.641
spat	spat	anger	0.641
havoc	विनाश	anger	0.641
feud	feud	anger	0.641
grr	grr	anger	0.641
arson	चकलेट	anger	0.641
reprimand	चकलेट	anger	0.641
expulsion	निष्कर्ष	anger	0.641
inexcusable	अयोग्य	anger	0.641
accused	आरोप लगाए	anger	0.641
indignant	अपमानजनक	anger	0.641
shackle	झ्यालखाना	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	घाउ	anger	0.636
suicidal	आत्मिक	anger	0.636
poisoned	जहर	anger	0.636
batter	बिटर	anger	0.636
kicking	लात	anger	0.636
hanging	फागुन	anger	0.636
spanking	पिसाब	anger	0.636
disgusting	घृणित	anger	0.636
combatant	लडाकू	anger	0.636
frustrated	निराश	anger	0.636
anarchy	अराजकता	anger	0.636
glaring	चमकदार	anger	0.636
inflict	चकित	anger	0.633
wrecked	बिग्रेको छ	anger	0.633
grievous	दुखी	anger	0.632
prosecute	अभियोग	anger	0.630
agitated	उत्तेजित भयो	anger	0.630
cheat	धोखा	anger	0.630
swastika	swastika	anger	0.627
defamatory	विनाशकारी	anger	0.625
suffocation	गुप्तचर	anger	0.625
strife	संघर्ष	anger	0.625
provocation	उत्तेजना	anger	0.625
injure	घाइते	anger	0.625
harassing	उत्पीडन	anger	0.625
scourge	खरानी	anger	0.625
cursing	क्रस गर्दै	anger	0.625
betray	धोखा दिनु	anger	0.625
indict	अभियोग	anger	0.625
raid	आक्रमण	anger	0.625
thundering	गोरखा	anger	0.625
enslaved	गल्ती गरे	anger	0.625
arsehole	arsehole	anger	0.624
insane	पागल	anger	0.621
fiend	प्रशंसक	anger	0.621
irritate	चिन्ता गर्नुहोस्	anger	0.621
convict	दोषी	anger	0.621
jerk	झटका	anger	0.621
theft	चोरी	anger	0.621
retaliation	पुनरावृत्ति	anger	0.621
deprivation	बेरोजगारी	anger	0.621
cussed	घटेको छ	anger	0.619
turmoil	विफलता	anger	0.618
smack	smack	anger	0.615
retribution	दुर्व्यवहार	anger	0.614
twats	twats	anger	0.609
intolerable	असंग्य	anger	0.609
rebellion	विराटनगर	anger	0.609
injurious	घनिष्ठ	anger	0.609
oppressor	अत्याचार	anger	0.609
slavery	दासत्व	anger	0.609
irritability	चिन्ताजनक	anger	0.609
collision	टक्कर	anger	0.609
bitterly	कडा	anger	0.609
gang	गिरोह	anger	0.609
antagonism	विरोधाभास	anger	0.609
battery	ब्याट्री	anger	0.609
adverse	प्रतिकूल	anger	0.609
disgraced	घृणित	anger	0.608
irritating	चिन्ता	anger	0.606
revolution	क्रान्ति	anger	0.606
thug	thug	anger	0.606
diatribe	diatribe	anger	0.606
bombardment	बमबारी	anger	0.606
blast	विस्फोट	anger	0.606
irks	irks	anger	0.606
sickening	बिरामी	anger	0.606
discrimination	भेदभाव	anger	0.606
antagonistic	विरोधी	anger	0.606
ranting	रङ्गीन	anger	0.606
asshole	गधे	anger	0.606
frustrate	निराश	anger	0.604
manipulation	हेरफेर	anger	0.603
tension	तनाव	anger	0.603
insult	अपमान	anger	0.603
bigot	बिहे	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	हानिकारक	anger	0.603
oppression	दमन	anger	0.603
disgust	घृणा	anger	0.602
spite	बाबा	anger	0.600
intrusive	घुसपैठ	anger	0.598
harshness	कठोरता	anger	0.597
slur	खरानी	anger	0.596
wretch	wretch	anger	0.594
inferno	न्यानो	anger	0.594
invasion	आक्रमण	anger	0.594
puncture	पंचचर	anger	0.594
miserable	दुर्व्यवहार	anger	0.594
assail	गल्ती	anger	0.594
storming	आँसु	anger	0.594
casualty	सतावट	anger	0.594
bitterness	बिचरा	anger	0.594
morbidity	मस्तिष्क	anger	0.594
tempest	टेस्ट	anger	0.594
consternation	सहमति	anger	0.592
depraved	बिग्रिएको	anger	0.591
raving	बसाल्दै	anger	0.591
guillotine	guillotine	anger	0.591
guilty	दोषी	anger	0.591
immoral	अनैतिक	anger	0.591
forcibly	जबरजस्ती	anger	0.591
overpowering	अधिक शक्ति	anger	0.591
accursed	दुर्घटना भयो	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	पुनर्निर्माण	anger	0.588
invader	आक्रमणकारी	anger	0.588
scare	डराउनुहोस्	anger	0.588
screwed	खराब	anger	0.588
indignation	अपमान	anger	0.587
jealousy	ईर्ष्या	anger	0.587
vexed	vexed	anger	0.586
confront	सामना गर्नुहोस्	anger	0.582
brute	ब्रेट	anger	0.581
throttle	थोरै	anger	0.579
wreck	झण्डा	anger	0.578
revolver	revolver	anger	0.578
slut	slut	anger	0.578
yousuck	yousuck	anger	0.578
damage	क्षति	anger	0.578
butcher	कसाई	anger	0.578
conflict	विवाद	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	अपराध	anger	0.578
bickering	bickering	anger	0.578
pillage	चिसो	anger	0.578
blaze	धुलो	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	कुपोषण	anger	0.578
contentious	विवादास्पद	anger	0.578
incarceration	गिरफ्तार	anger	0.578
defiant	defiant	anger	0.578
provoking	provoking	anger	0.578
lash	लाश	anger	0.578
cancer	क्यान्सर	anger	0.577
frustration	निराशा	anger	0.576
gory	gory	anger	0.576
alienation	अलगाव	anger	0.576
discord	असहमत	anger	0.576
disturbance	अशांति	anger	0.576
grope	गुप्त	anger	0.576
condescension	condescension	anger	0.576
pernicious	घृणात्मक	anger	0.576
blasphemy	निन्दा	anger	0.576
discriminate	भेदभाव	anger	0.576
chaotic	अराजकता	anger	0.576
gun	बन्दूक	anger	0.576
standoff	अवरोध	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	स्वर	anger	0.574
lunacy	लुम्बिनी	anger	0.574
oppressive	दमनकारी	anger	0.574
death	मृत्यु	anger	0.574
jab	jab	anger	0.574
cursed	शापित	anger	0.574
scandalous	घोटाला	anger	0.574
monstrosity	विवेकता	anger	0.574
shit	shit	anger	0.573
disparaging	असमान	anger	0.571
slash	स्लैश	anger	0.571
unfair	अनुचित	anger	0.571
gallows	गेलोहरू	anger	0.570
escalate	बढावा	anger	0.569
intolerant	असंतोष	anger	0.564
lawlessness	अराजकता	anger	0.563
bluddy	उदास	anger	0.562
perdition	perdition	anger	0.562
taunt	taunt	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	torpedo	anger	0.562
deceived	धोका दिए	anger	0.562
slander	खतरनाक	anger	0.562
retards	रिटर्ड्स	anger	0.562
bearish	भालू	anger	0.562
invade	आक्रमण	anger	0.562
bellows	क्यान्सर	anger	0.562
beast	जनावर	anger	0.562
frightful	डरलाग्दो	anger	0.562
derogatory	व्युत्पन्न	anger	0.562
glare	चमक	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	डरलाग्दो	anger	0.562
traitor	गुप्तचर	anger	0.562
malign	विलय	anger	0.562
wrangling	हाँस्दै	anger	0.562
dissension	विघटन	anger	0.561
banshee	banshee	anger	0.561
shatter	भाँचिएको छ	anger	0.561
conflagration	कन्फ्लग्रेसन	anger	0.561
jeopardize	खतरा	anger	0.561
thief	चोर	anger	0.561
rave	राइभ	anger	0.561
grating	झिक्दै	anger	0.561
devastating	विनाशकारी	anger	0.561
idiots	बेवकूफहरू	anger	0.561
betrayal	धोखा	anger	0.561
uncontrollable	अनियमित	anger	0.561
fits	फिट हुन्छ	anger	0.561
cross	क्रस	anger	0.561
hurt	दुखाइ	anger	0.561
disturbed	विचलित	anger	0.559
subjugation	उपज	anger	0.559
stomped	stomped	anger	0.557
grab	पकड	anger	0.557
ticked	टाउको	anger	0.556
masochism	मास्लोवाद	anger	0.556
grievance	समस्या	anger	0.556
defiance	बेवास्ता गर्नुहोस्	anger	0.552
blackmail	ब्ल्याकमेल	anger	0.550
offensive	आक्रामक	anger	0.549
decry	decry	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	उल्लङ्घन	anger	0.547
punishment	सजाय	anger	0.547
shrill	shrill	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	गाढाको छेउमा	anger	0.547
misery	दुखाइ	anger	0.547
frustrates	निराश	anger	0.547
disgraceful	घृणित	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ओभरबियरिंग	anger	0.547
disparity	असमानता	anger	0.547
confine	बन्द गर्नुहोस्	anger	0.547
firearms	फायरहाउसहरू	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	पूर्वनिर्धारित	anger	0.547
rebel	विद्रोही	anger	0.547
deceive	ठग्नु	anger	0.547
stolen	चोरी	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	गरम	anger	0.545
ruined	बर्बाद भयो	anger	0.545
menace	हिंड्ने	anger	0.545
humiliate	अपमानित	anger	0.545
tackle	टेलले	anger	0.545
conspirator	साजिशकर्ता	anger	0.545
foul	फुल	anger	0.545
antagonist	विरोधी	anger	0.545
resentful	घृणित	anger	0.545
prejudice	पूर्वाग्रह	anger	0.545
adversary	विपक्षी	anger	0.545
argument	तर्क	anger	0.545
skirmish	skirmish	anger	0.545
callous	धैर्य	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	बिग्रिएको	anger	0.544
robbery	चुरोट	anger	0.544
sting	स्टिंग	anger	0.544
outcry	outcry	anger	0.544
grumble	नरम	anger	0.544
irreconcilable	अपरिहार्य	anger	0.543
resistance	प्रतिरोध	anger	0.543
obstructive	अवरोधक	anger	0.542
dismay	निराश	anger	0.540
mob	mob	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	बुराई	anger	0.536
ridicule	झलक	anger	0.534
incendiary	incendiary	anger	0.533
flares	flares	anger	0.532
degeneracy	degeneracy	anger	0.531
confinement	बन्द	anger	0.531
exacerbation	exacerbation	anger	0.531
prejudicial	prejudicial	anger	0.531
uprising	विद्रोही	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	बेकार	anger	0.531
unbridled	बेग्लै	anger	0.531
allegation	आरोप	anger	0.531
communism	communism	anger	0.531
whip	स्याम्प	anger	0.531
intruder	घुसाउनुहोस्	anger	0.531
dispute	विवाद	anger	0.531
belittle	belittle	anger	0.531
bigoted	ठूलो	anger	0.530
offender	अपराधी	anger	0.530
hassle	परेशानी	anger	0.530
dissonance	विपरित	anger	0.530
unjust	अन्याय	anger	0.530
dictatorial	आकांक्षात्मक	anger	0.530
unjustifiable	अयोग्य	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	प्रवर्तन	anger	0.530
tackled	टक गरिएको छ	anger	0.530
renegade	पनीर	anger	0.529
hot	तातो	anger	0.529
prison	जेल	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	टेसपास	anger	0.529
suicide	आत्महत्या	anger	0.521
annoy	घृणा गर्नुहोस्	anger	0.520
leavemealone	मलाई एक्लै छाडिदेउ	anger	0.517
idiotic	idiotic	anger	0.516
distrust	अविश्वास	anger	0.516
depravity	अतिक्रमण	anger	0.516
cretins	cretins	anger	0.516
divorce	तलाक	anger	0.516
broil	broil	anger	0.516
grrr	grrr	anger	0.516
venting	ओभरिंग	anger	0.516
inimical	inimical	anger	0.516
duress	duress	anger	0.516
disrespectful	अनादर	anger	0.516
tortious	आक्रामक	anger	0.516
criticize	आलोचना	anger	0.516
prisoner	कैदी	anger	0.516
dishonest	बेइमानी	anger	0.516
treason	खजाना	anger	0.516
victimized	पीडित	anger	0.515
bile	टाइल	anger	0.515
unkind	निर्दोष	anger	0.515
unforgiving	माफ गर्नुहोला	anger	0.515
unleash	खाली गर्नुहोस्	anger	0.515
coercion	सहन	anger	0.515
scold	डराउँछ	anger	0.515
chaos	अराजकता	anger	0.515
grump	ग्रम्प	anger	0.515
roar	गर्जन	anger	0.515
jerks	जर्स	anger	0.515
poaching	चकलेट	anger	0.515
hangry	ह्याङ्ग्री	anger	0.515
pow	पाउ	anger	0.515
poachers	शंकास्पद	anger	0.515
argumentation	तर्क	anger	0.515
frustrating	निराशा	anger	0.515
tussle	tussle	anger	0.514
bane	बेन	anger	0.511
accusation	आरोप	anger	0.510
repudiation	सम्झौता	anger	0.510
enmity	दुश्मन	anger	0.510
banish	बनी	anger	0.509
disfigured	विचलित	anger	0.508
storm	तूफान	anger	0.507
shun	शान्त	anger	0.500
suppression	दमन	anger	0.500
unruly	अनौपचारिक	anger	0.500
intractable	भ्रामक	anger	0.500
ordeal	ओडल	anger	0.500
obstruct	बाधा	anger	0.500
derogation	विकृति	anger	0.500
fervor	डरलाग्दो	anger	0.500
foaming	फोमिंग	anger	0.500
derision	व्युत्पन्न	anger	0.500
animus	एनिमस	anger	0.500
rejects	अस्वीकार गर्दछ	anger	0.500
bout	बुट	anger	0.500
spear	भाला	anger	0.500
crazy	पागल	anger	0.500
brazen	ब्राजिल	anger	0.500
antithesis	antithesis	anger	0.500
injustice	अन्याय	anger	0.500
banished	बहाली	anger	0.500
confined	सीमित	anger	0.500
frenzied	frenzied	anger	0.500
dominate	हावी	anger	0.500
disrupting	अवरोध	anger	0.500
hammering	घृणित	anger	0.500
fear	डर	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	दु: खी	anger	0.500
brunt	ब्रेक	anger	0.500
possessed	छ	anger	0.500
defy	दोषी	anger	0.500
scoff	उकालो	anger	0.500
patronising	संरक्षक	anger	0.500
delusional	delusional	anger	0.500
malpractice	क्यान्सर	anger	0.500
reject	अस्वीकार गर्नुहोस्	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	कठोरता	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	पागलपन	anger	0.491
sinful	पापी	anger	0.491
avarice	avarice	anger	0.490
oppress	दमन	anger	0.490
disapproved	अस्वीकृत	anger	0.485
inhuman	अमानवीय	anger	0.485
demand	माग	anger	0.485
abolish	समाप्त गर्न्	anger	0.485
anathema	anathema	anger	0.485
fricking	चिट्ठी	anger	0.485
complaint	उजुरी	anger	0.485
disservice	घृणा गर्नुहोस्	anger	0.485
smuggler	तस्कर	anger	0.485
revoke	रद्द गर्नुहोस्	anger	0.485
infraction	संक्रमण	anger	0.485
claw	पंजाब	anger	0.485
dissident	विरोधाभास	anger	0.485
pervert	विपरित	anger	0.485
incest	incest	anger	0.485
stayaway	NO TRANSLATION	anger	0.485
disobedient	अनाज्ञाकारी	anger	0.485
usurp	usurp	anger	0.485
alienate	अठोट	anger	0.485
avenger	avenger	anger	0.485
