word	Gujarati-gu	emotion	emotion-intensity-score
stab	થાકી ગઈ	anger	0.844
slaughter	કતલ	anger	0.844
violent	હિંસક	anger	0.844
destroying	નાશ	anger	0.844
abomination	નફરત	anger	0.844
tumultuous	તોફાની	anger	0.844
irate	અસંદિગ્ધ	anger	0.844
infuriate	ગુસ્સે થવું	anger	0.844
obliterate	નાબૂદ કરો	anger	0.843
belligerent	યુદ્ધરત	anger	0.841
dumbbitch	NO TRANSLATION	anger	0.841
detest	નિંદા	anger	0.838
hostilities	દુશ્મનાવટ	anger	0.837
prick	પ્રિક	anger	0.835
torture	ત્રાસ	anger	0.833
rabid	હડકાયું	anger	0.833
horrid	ભયંકર	anger	0.833
rampage	ક્રોધાવેશ	anger	0.833
cruelty	ક્રૂરતા	anger	0.833
hate	નફરત	anger	0.828
demonic	શૈતાની	anger	0.828
hating	નફરત	anger	0.828
satanic	શૈતાની	anger	0.828
tyrannical	જુલમી	anger	0.828
ragemode	રેજમોડ	anger	0.828
despicable	ધિક્કારપાત્ર	anger	0.828
ruinous	વિનાશક	anger	0.825
condemn	તિરસ્કાર	anger	0.825
riots	હુલ્લડો	anger	0.824
demolish	તોડી પાડવું	anger	0.824
angry	ગુસ્સો	anger	0.824
extermination	સંહાર	anger	0.824
dickhead	ડિકહેડ	anger	0.824
livid	આબેહૂબ	anger	0.821
madman	પાગલ માણસ	anger	0.820
vindictive	દંડાત્મક	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	ક્રૂરતા	anger	0.818
venomous	ઝેરી	anger	0.818
threaten	ધમકી	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	આતંકવાદી	anger	0.818
abhor	તિરસ્કારવું	anger	0.816
savage	ક્રૂર	anger	0.814
atrocity	અત્યાચાર	anger	0.814
carnage	હત્યાકાંડ	anger	0.814
berserk	જંગલી	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	ગા ળ	anger	0.812
tyrant	જુલમી	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	પિઝાફૉફ	anger	0.812
vendetta	વેન્ડેટા	anger	0.812
fierce	ભીષણ	anger	0.812
destroyer	વિનાશક	anger	0.812
pissesmeoff	પિસીસ્મેઓફ	anger	0.812
fuming	ધુમ્રપાન	anger	0.812
barbaric	નિષ્ઠુર	anger	0.812
anger	ગુસ્સો	anger	0.811
pieceofshit	ભાગફિલ્ટ	anger	0.810
slam	સ્લૅમ	anger	0.803
fights	ઝઘડા	anger	0.803
punched	નહીં	anger	0.803
bitch	કૂતરી	anger	0.803
punching	છિદ્રણ	anger	0.803
homicide	મનુષ્યવધ	anger	0.803
destructive	વિનાશક	anger	0.797
ruthless	ક્રૂર	anger	0.797
villainous	વિલન	anger	0.797
slap	થપ્પડ	anger	0.791
slaughterhouse	કતલખાના	anger	0.788
punishing	સજા	anger	0.788
destroyed	નાશ	anger	0.788
retaliatory	પ્રતિકારી	anger	0.788
riot	હુલ્લડ	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	yelling	anger	0.788
growthefuckup	ફૂલો	anger	0.788
diabolical	શેતાની	anger	0.788
manslaughter	માનવવધ	anger	0.783
clash	અથડામણ	anger	0.783
bloody	લોહિયાળ	anger	0.781
hellish	નર્ક જેવું યાતનામય	anger	0.781
loath	નિંદા	anger	0.781
detonation	વિસ્ફોટ	anger	0.781
quarrel	ઝગડો	anger	0.781
sinister	એકદમ વિચિત્ર	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	આક્ષેપ કર્યો	anger	0.779
treacherous	વિશ્વાસઘાત	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	ફરી બદલો	anger	0.773
revulsion	રદ	anger	0.773
madder	મદ્યપાન	anger	0.773
horrific	ભયાનક	anger	0.773
scorn	નિંદા	anger	0.769
deplorable	ખેદજનક	anger	0.766
bomb	બૉમ્બ	anger	0.766
anarchist	અરાજકતાવાદી	anger	0.765
devastation	બરબાદી	anger	0.765
resent	ગુસ્સે થવું	anger	0.765
firestorm	ફાયરસ્ટોર્મ	anger	0.765
contemptible	તિરસ્કારપાત્ર	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	ક્રૂર	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	જીવલેણ	anger	0.758
smash	સ્મેશ	anger	0.758
rant	શેનન્ટ	anger	0.758
outburst	વિસ્ફોટ	anger	0.757
snarl	સ્નર્લ	anger	0.754
profane	અપવિત્ર	anger	0.750
offend	અપરાધ	anger	0.750
douchebags	ડૌશેબેગ્સ	anger	0.750
growling	વૃષભ	anger	0.750
stfu	સ્ટેફ્યુ	anger	0.750
vulgarity	અશિષ્ટતા	anger	0.750
dontmesswithme	dontmesswithme	anger	0.750
crazed	ગાંડું - ઘેલું	anger	0.750
despise	ધિક્કારવું	anger	0.750
horror	હોરર	anger	0.750
aggravating	બગાડવું	anger	0.750
revolting	બળવો	anger	0.750
fuckedoff	ગ્રીનઓફ	anger	0.742
threat	ધમકી	anger	0.742
erupt	ફૂટે છે	anger	0.742
screaming	ચીસો	anger	0.742
violence	હિંસા	anger	0.742
horrible	ભયાનક	anger	0.742
molestation	છેડતી	anger	0.742
bastards	bastards	anger	0.741
revenge	વેર	anger	0.738
catastrophe	આપત્તિ	anger	0.735
menacing	ભયાવહ	anger	0.735
demon	રાક્ષસ	anger	0.735
crushing	શરમજનક	anger	0.735
damn	ખરેખર	anger	0.735
persecute	સતાવણી	anger	0.734
argue	દલીલ કરો	anger	0.734
flog	ચાબુક મારવાં	anger	0.734
revolt	બળવો	anger	0.734
thrash	થ્રેશ	anger	0.734
deplore	પજવવું	anger	0.734
warfare	યુદ્ધ	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	ઉત્સાહ	anger	0.734
riotous	તોફાની	anger	0.734
altercation	ઝગડો	anger	0.729
warlike	લડાયક	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	બળવો	anger	0.727
castrate	અદ્રશ્ય	anger	0.727
sabotage	ભાંગફોડ	anger	0.727
malevolent	ઈર્ષાળુ	anger	0.721
strike	હડતાલ	anger	0.721
disaster	આપત્તિ	anger	0.721
disastrous	વિનાશક	anger	0.720
tumult	તોફાન	anger	0.719
madden	માદક	anger	0.719
devil	શેતાન	anger	0.719
scream	ચીસો	anger	0.719
brutal	ઘાતકી	anger	0.719
treachery	વિસ્વાસઘાત	anger	0.719
scorching	ચમકતા	anger	0.719
vermin	જીવાણુ	anger	0.719
arseholes	આર્કેહોલ્સ	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	બગાડે છે	anger	0.719
spiteful	દ્વેષપૂર્ણ	anger	0.719
slay	હત્યા	anger	0.719
disdain	અણગમો	anger	0.719
choke	ચોક	anger	0.719
bastarding	શાનદાર	anger	0.719
mangle	મેન્ગલ	anger	0.714
anarchism	અરાજ્યવાદ	anger	0.714
mutilation	અંગછેદન	anger	0.714
criminal	ફોજદારી	anger	0.714
denunciation	તિરસ્કાર	anger	0.713
punch	પંચ	anger	0.713
crucifixion	તીવ્ર દુઃખ	anger	0.712
virulence	તીવ્રતા	anger	0.712
battled	લડ્યા	anger	0.712
fatal	જીવલેણ	anger	0.712
holocaust	હોલોકોસ્ટ	anger	0.712
blasphemous	નિંદા	anger	0.712
hurting	અસર	anger	0.712
dumbasses	ડમ્બસ	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	ઉદ્ધત	anger	0.706
atrocious	ઘાતકી	anger	0.706
evil	દુષ્ટ	anger	0.706
irritated	ઇજાગ્રસ્ત	anger	0.706
assassin	હત્યારો	anger	0.703
dicks	ડિકસ	anger	0.703
persecution	સતાવણી	anger	0.703
slayer	સ્લેયર	anger	0.703
kidnap	અપહરણ	anger	0.703
scolding	ઠપકો	anger	0.703
intimidation	ધાકધમકી	anger	0.703
aggravated	બઢતી	anger	0.703
aggression	આક્રમકતા	anger	0.702
armed	સશસ્ત્ર	anger	0.700
poison	ઝેર	anger	0.697
snarling	સ્નર્લિંગ	anger	0.697
venom	ઝેર	anger	0.697
battle	યુદ્ધ	anger	0.697
disgruntled	અસંતુષ્ટ	anger	0.693
insidious	પ્રપંચી	anger	0.691
assailant	હુમલો કરનાર	anger	0.691
resentment	રોષ	anger	0.691
lynch	લિન્ચ	anger	0.690
contemptuous	ધિક્કારપાત્ર	anger	0.690
temper	સ્વભાવ	anger	0.688
imprisonment	કેદ	anger	0.688
disparage	બદનામ	anger	0.688
bully	બદમાશ	anger	0.688
terrible	ભયંકર	anger	0.688
lunatic	પાગલ	anger	0.688
curse	શાપ	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	પેઇવ્ડ	anger	0.688
domination	વર્ચસ્વ	anger	0.688
mad	પાગલ	anger	0.688
infanticide	બાળહત્યા	anger	0.688
volatility	વોલેટિલિટી	anger	0.687
eradication	નિવારણ	anger	0.685
tantrum	ક્રોધાવેશ	anger	0.682
devastate	વેર્યો	anger	0.682
eradicate	નાબૂદ કરો	anger	0.682
scoundrel	નીચ	anger	0.682
aggressively	આક્રમક રીતે	anger	0.680
agitation	આંદોલન	anger	0.680
dictatorship	સરમુખત્યારશાહી	anger	0.676
irritates	બળતરા	anger	0.676
profanity	અસભ્યતા	anger	0.673
egregious	પ્રચંડ	anger	0.672
expletive	નિરર્થક	anger	0.672
nasty	બીભત્સ	anger	0.672
shove	ધક્કો પહોંચાડવો	anger	0.672
shot	શોટ	anger	0.672
harmful	હાનિકારક	anger	0.672
aggravation	ઉગ્રતા	anger	0.672
contempt	તિરસ્કાર	anger	0.672
poisonous	ઝેરી	anger	0.672
dastardly	નિસ્તેજ	anger	0.672
shoot	શૂટ	anger	0.672
corrupting	ભ્રષ્ટ	anger	0.672
condemnation	નિંદા	anger	0.672
wreak	લૂંટવું	anger	0.672
crushed	કચડી	anger	0.672
cruelly	અણઘડપણે	anger	0.672
crime	અપરાધ	anger	0.672
maniac	ધૂની	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	વિસ્ફોટથી	anger	0.667
odious	ઘૃણાસ્પદ	anger	0.667
shooting	શૂટિંગ	anger	0.667
kick	કિક	anger	0.667
aggressive	આક્રમક	anger	0.667
combat	લડાઇ	anger	0.667
shout	પોકાર	anger	0.667
hit	હિટ	anger	0.667
fight	લડાઈ	anger	0.667
cutthroat	કટથ્થુ	anger	0.667
enemy	દુશ્મન	anger	0.667
irritable	તામસી	anger	0.667
punished	સજા	anger	0.662
ambush	ઓચિંતા	anger	0.661
yell	કિકિયારી	anger	0.661
harass	પ રે શા ન	anger	0.659
malignant	જીવલેણ	anger	0.656
aggressor	આક્રમણખોર	anger	0.656
antichrist	એન્ટિક્રાઇસ્ટ	anger	0.656
gore	ગોર	anger	0.656
incense	ધૂપ	anger	0.656
expel	કાઢી મૂકવું	anger	0.656
destruction	વિનાશ	anger	0.656
grudge	રોષ	anger	0.656
cranky	તરંગી	anger	0.653
offended	નારાજ	anger	0.652
spank	સ્પાન્ક	anger	0.652
growl	ઘુરકાટ	anger	0.652
insurrection	બંડ	anger	0.652
reprisal	બદનક્ષી	anger	0.652
slave	ગુલામ	anger	0.652
denounce	નિંદા	anger	0.652
animosity	દુશ્મનાવટ	anger	0.652
insulting	અપમાનજનક	anger	0.652
clashing	અથડામણ	anger	0.652
growls	ઘી	anger	0.649
executioner	જલ્લાદ	anger	0.644
twat	ટ્વાટ	anger	0.644
doomsday	કયામતનો દિવસ	anger	0.643
daemon	ડિમન	anger	0.641
obscenity	અશ્લીલતા	anger	0.641
bombard	દારૂગોળા ફેંકવા	anger	0.641
spat	છૂટાછવાયા	anger	0.641
havoc	પાયમાલી	anger	0.641
feud	સંઘર્ષ	anger	0.641
grr	grr	anger	0.641
arson	ગુનાહિત આગ	anger	0.641
reprimand	ઠપકો	anger	0.641
expulsion	હકાલપટ્ટી	anger	0.641
inexcusable	અક્ષમ્ય	anger	0.641
accused	આરોપી	anger	0.641
indignant	ગુસ્સે	anger	0.641
shackle	હાથકડી	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	ઘા	anger	0.636
suicidal	આત્મઘાતી	anger	0.636
poisoned	ઝેર	anger	0.636
batter	સખત મારપીટ	anger	0.636
kicking	લાત	anger	0.636
hanging	અટકી	anger	0.636
spanking	સ્પાકિંગ	anger	0.636
disgusting	ઘૃણાસ્પદ	anger	0.636
combatant	લડાકુ	anger	0.636
frustrated	હતાશ	anger	0.636
anarchy	અરાજકતા	anger	0.636
glaring	ભયંકર	anger	0.636
inflict	લાદવું	anger	0.633
wrecked	ભાંગી પડ્યા	anger	0.633
grievous	ભારરૂપ	anger	0.632
prosecute	ફરિયાદ	anger	0.630
agitated	ઉશ્કેરાયેલી	anger	0.630
cheat	ઠગ	anger	0.630
swastika	સ્વસ્તિક	anger	0.627
defamatory	બદનક્ષીભર્યું	anger	0.625
suffocation	ગૂંગળામણ	anger	0.625
strife	ઝઘડો	anger	0.625
provocation	ઉશ્કેરણી	anger	0.625
injure	ઇજા કરવી	anger	0.625
harassing	સતામણી	anger	0.625
scourge	શાપ	anger	0.625
cursing	શ્રાપ	anger	0.625
betray	દગો	anger	0.625
indict	આરોપ મૂકવો	anger	0.625
raid	ધાડ	anger	0.625
thundering	ગર્જના	anger	0.625
enslaved	ગુલામ	anger	0.625
arsehole	આર્સશેલ	anger	0.624
insane	પાગલ	anger	0.621
fiend	અંધકાર	anger	0.621
irritate	ખીજવવું	anger	0.621
convict	ગુનેગાર	anger	0.621
jerk	આંચકો	anger	0.621
theft	ચોરી	anger	0.621
retaliation	પ્રતિશોધ	anger	0.621
deprivation	વંચિતતા	anger	0.621
cussed	ગુસ્સે થયેલું	anger	0.619
turmoil	ગરબડ	anger	0.618
smack	સ્મેક	anger	0.615
retribution	પ્રતિશોધ	anger	0.614
twats	twats	anger	0.609
intolerable	અસહ્ય	anger	0.609
rebellion	બળવો	anger	0.609
injurious	હાનિકારક	anger	0.609
oppressor	જુલમી	anger	0.609
slavery	ગુલામી	anger	0.609
irritability	ચીડિયાપણું	anger	0.609
collision	અથડામણ	anger	0.609
bitterly	કડવું	anger	0.609
gang	ટોળી	anger	0.609
antagonism	વિરોધાભાસ	anger	0.609
battery	બેટરી	anger	0.609
adverse	પ્રતિકૂળ	anger	0.609
disgraced	કલંકિત	anger	0.608
irritating	ચિડવવું	anger	0.606
revolution	ક્રાંતિ	anger	0.606
thug	ઠગ	anger	0.606
diatribe	ડાયથરી	anger	0.606
bombardment	તોપમારો	anger	0.606
blast	વિસ્ફોટ	anger	0.606
irks	irks	anger	0.606
sickening	ઘૃણાજનક	anger	0.606
discrimination	ભેદભાવ	anger	0.606
antagonistic	પ્રતિસ્પર્ધી	anger	0.606
ranting	રૅંટિંગ	anger	0.606
asshole	ગધેડો	anger	0.606
frustrate	નિરાશ કરવું	anger	0.604
manipulation	મેનીપ્યુલેશન	anger	0.603
tension	તણાવ	anger	0.603
insult	અપમાન	anger	0.603
bigot	બાયોટ	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	હાનિકારક	anger	0.603
oppression	જુલમ	anger	0.603
disgust	અરુચિ	anger	0.602
spite	હોવા છતાં	anger	0.600
intrusive	કર્કશ	anger	0.598
harshness	કઠોરતા	anger	0.597
slur	સ્લર	anger	0.596
wretch	ઉન્માદ	anger	0.594
inferno	નર્ક	anger	0.594
invasion	આક્રમણ	anger	0.594
puncture	પંચર	anger	0.594
miserable	કંગાળ	anger	0.594
assail	હુમલો કરવો	anger	0.594
storming	તોફાન	anger	0.594
casualty	અકસ્માત	anger	0.594
bitterness	કડવાશ	anger	0.594
morbidity	રોગિષ્ઠતા	anger	0.594
tempest	તોફાન	anger	0.594
consternation	ભડક	anger	0.592
depraved	બદનક્ષીભર્યું	anger	0.591
raving	ગાંડુંઘેલું	anger	0.591
guillotine	ગિલોટિન	anger	0.591
guilty	દોષિત	anger	0.591
immoral	અનૈતિક	anger	0.591
forcibly	બળજબરીથી	anger	0.591
overpowering	અતિપ્રબળ	anger	0.591
accursed	શાપિત	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	અવિનયી	anger	0.588
invader	હુમલાખોર	anger	0.588
scare	બીક	anger	0.588
screwed	ખરાબ	anger	0.588
indignation	રોષ	anger	0.587
jealousy	ઈર્ષ્યા	anger	0.587
vexed	વેદના	anger	0.586
confront	મુકાબલો	anger	0.582
brute	જડ	anger	0.581
throttle	થ્રોટલ	anger	0.579
wreck	નંખાઈ	anger	0.578
revolver	રિવોલ્વર	anger	0.578
slut	slut	anger	0.578
yousuck	yousuck	anger	0.578
damage	નુકસાન	anger	0.578
butcher	કસાઈ	anger	0.578
conflict	સંઘર્ષ	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	ગુનાખોરી	anger	0.578
bickering	ઝઘડો	anger	0.578
pillage	લૂંટફાટ	anger	0.578
blaze	ઝગડો	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	બળવો	anger	0.578
contentious	વિવાદાસ્પદ	anger	0.578
incarceration	કારાવાસ	anger	0.578
defiant	માથાભારે	anger	0.578
provoking	પ્રકોપક	anger	0.578
lash	ફટકો	anger	0.578
cancer	કેન્સર	anger	0.577
frustration	હતાશા	anger	0.576
gory	લોહીલુહાણ	anger	0.576
alienation	ઈનામ	anger	0.576
discord	વિરામ	anger	0.576
disturbance	ખલેલ	anger	0.576
grope	ઢાંકપિછોડો	anger	0.576
condescension	નમ્રતા	anger	0.576
pernicious	ઘાતક	anger	0.576
blasphemy	બદબોઈ	anger	0.576
discriminate	ભેદભાવ	anger	0.576
chaotic	અસ્તવ્યસ્ત	anger	0.576
gun	બંદૂક	anger	0.576
standoff	મડાગાંઠ	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	સખત	anger	0.574
lunacy	ગાંડપણ	anger	0.574
oppressive	દમનકારી	anger	0.574
death	મૃત્યુ	anger	0.574
jab	જયારે	anger	0.574
cursed	શ્રાપ	anger	0.574
scandalous	નિંદ્ય	anger	0.574
monstrosity	નિષ્ઠુરતા	anger	0.574
shit	છી	anger	0.573
disparaging	નફરત કરનારા	anger	0.571
slash	સ્લેશ	anger	0.571
unfair	અન્યાયી	anger	0.571
gallows	ફાંસી	anger	0.570
escalate	ઉતાવળ કરવી	anger	0.569
intolerant	અસહિષ્ણુ	anger	0.564
lawlessness	અંધેર	anger	0.563
bluddy	મૂર્ખ	anger	0.562
perdition	વિનાશ	anger	0.562
taunt	ટોણો	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	ટોરપિડો	anger	0.562
deceived	છેતરતી	anger	0.562
slander	નિંદા	anger	0.562
retards	retards	anger	0.562
bearish	મંદી	anger	0.562
invade	આક્રમણ કરવું	anger	0.562
bellows	ધમણ	anger	0.562
beast	પશુ	anger	0.562
frightful	ભયાનક	anger	0.562
derogatory	અપમાનજનક	anger	0.562
glare	ઝગઝગાટ	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	ત્રાસદાયક	anger	0.562
traitor	વિશ્વાસઘાતી	anger	0.562
malign	ખરાબ	anger	0.562
wrangling	રાંઝડવું	anger	0.562
dissension	મતભેદ	anger	0.561
banshee	બાન્શી	anger	0.561
shatter	તોડી પાડવું	anger	0.561
conflagration	ગૂંચવણ	anger	0.561
jeopardize	સંકટમાં મૂકવું	anger	0.561
thief	ચોર	anger	0.561
rave	રેવ	anger	0.561
grating	ઝૂલતી	anger	0.561
devastating	વિનાશક	anger	0.561
idiots	ઇડિઅટ્સ	anger	0.561
betrayal	વિશ્વાસઘાત	anger	0.561
uncontrollable	બેકાબૂ	anger	0.561
fits	બંધબેસતુ	anger	0.561
cross	ક્રોસ	anger	0.561
hurt	નુકસાન	anger	0.561
disturbed	વ્યગ્ર	anger	0.559
subjugation	પરાજય	anger	0.559
stomped	stomped	anger	0.557
grab	ગ્રેબ	anger	0.557
ticked	ચેક કરેલું	anger	0.556
masochism	મહોત્સવ	anger	0.556
grievance	ફરિયાદ	anger	0.556
defiance	અવજ્ઞા	anger	0.552
blackmail	બ્લેક મેઇલ	anger	0.550
offensive	આક્રમક	anger	0.549
decry	ક્ષોભજનક	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	ઉલ્લંઘન	anger	0.547
punishment	શિક્ષા	anger	0.547
shrill	કર્કશ	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	કાળી બાજુ	anger	0.547
misery	દુઃખ	anger	0.547
frustrates	નિરાશા	anger	0.547
disgraceful	શરમજનક	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	ઘમંડી	anger	0.547
disparity	અસમાનતા	anger	0.547
confine	મર્યાદા	anger	0.547
firearms	હથિયારો	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	અસંબદ્ધ	anger	0.547
rebel	બળવાખોર	anger	0.547
deceive	છેતરવું	anger	0.547
stolen	ચોરી	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	ગરમ	anger	0.545
ruined	બગાડ્યા	anger	0.545
menace	જોખમ	anger	0.545
humiliate	અપમાન કરવું	anger	0.545
tackle	સામનો કરવો	anger	0.545
conspirator	કાવતરાખોર	anger	0.545
foul	ફાઉલ	anger	0.545
antagonist	પ્રતિસ્પર્ધી	anger	0.545
resentful	રોષની	anger	0.545
prejudice	પૂર્વગ્રહ	anger	0.545
adversary	વિરોધી	anger	0.545
argument	દલીલ	anger	0.545
skirmish	અથડામણમાં	anger	0.545
callous	નિષ્ઠુર	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	ગૂંચવણભર્યા	anger	0.544
robbery	લૂંટ	anger	0.544
sting	સ્ટિંગ	anger	0.544
outcry	બેદરકારી	anger	0.544
grumble	બડબડાટ કરવો	anger	0.544
irreconcilable	અસંબદ્ધ	anger	0.543
resistance	પ્રતિકાર	anger	0.543
obstructive	અવરોધક	anger	0.542
dismay	નિરાશા	anger	0.540
mob	ટોળું	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	દુષ્ટતા	anger	0.536
ridicule	ઉપહાસ	anger	0.534
incendiary	આગ લગાડનાર વ્યક્તિ	anger	0.533
flares	જ્વાળાઓ	anger	0.532
degeneracy	અધોગતિ	anger	0.531
confinement	કેદ	anger	0.531
exacerbation	તીવ્રતા	anger	0.531
prejudicial	પૂર્વગ્રહયુક્ત	anger	0.531
uprising	બળવો	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	અવિચારી	anger	0.531
unbridled	નિરંકુશ	anger	0.531
allegation	આક્ષેપ	anger	0.531
communism	સામ્યવાદ	anger	0.531
whip	ચાબુક	anger	0.531
intruder	ઘુસણખોર	anger	0.531
dispute	વિવાદ	anger	0.531
belittle	નાનું	anger	0.531
bigoted	ધર્માંધ	anger	0.530
offender	ગુનેગાર	anger	0.530
hassle	જોયા	anger	0.530
dissonance	વિસંવાદિતા	anger	0.530
unjust	અન્યાયી	anger	0.530
dictatorial	સરમુખત્યારશાહી	anger	0.530
unjustifiable	અન્યાયી	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	વિકૃતિ	anger	0.530
tackled	નાથવામાં	anger	0.530
renegade	શરમજનક	anger	0.529
hot	ગરમ	anger	0.529
prison	જેલ	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	અપરાધ	anger	0.529
suicide	આત્મહત્યા	anger	0.521
annoy	હેરાન	anger	0.520
leavemealone	મને ઍકલો મુકી દો	anger	0.517
idiotic	મૂર્ખાઈભર્યું	anger	0.516
distrust	અવિશ્વાસ	anger	0.516
depravity	દુષ્ટતા	anger	0.516
cretins	ક્રેટીન	anger	0.516
divorce	છૂટાછેડા	anger	0.516
broil	ઝઘડો	anger	0.516
grrr	grrr	anger	0.516
venting	વેન્ટિંગ	anger	0.516
inimical	વિરોધી	anger	0.516
duress	દમન	anger	0.516
disrespectful	અવિનયી	anger	0.516
tortious	ત્રાસદાયક	anger	0.516
criticize	ટીકા	anger	0.516
prisoner	કેદી	anger	0.516
dishonest	અપ્રમાણિક	anger	0.516
treason	રાજદ્રોહ	anger	0.516
victimized	ભોગ બન્યા	anger	0.515
bile	પિત્ત	anger	0.515
unkind	અનૈતિક	anger	0.515
unforgiving	અપ્રગટ	anger	0.515
unleash	છૂટી દો	anger	0.515
coercion	જબરદસ્તી	anger	0.515
scold	ઠપકો	anger	0.515
chaos	અંધાધૂંધી	anger	0.515
grump	ભીડ	anger	0.515
roar	કિકિયારી	anger	0.515
jerks	jerks	anger	0.515
poaching	શિકાર	anger	0.515
hangry	હેંગ્રી	anger	0.515
pow	પો	anger	0.515
