word	Hindi-hi	emotion	emotion-intensity-score
angry	गुस्सा	anger	0.824
extermination	तबाही	anger	0.824
dickhead	गधे	anger	0.824
livid	जर्द	anger	0.821
madman	पागल आदमी	anger	0.820
vindictive	प्रतिशोधी	anger	0.819
hateyou	NO TRANSLATION	anger	0.818
ferocity	क्रूरता	anger	0.818
venomous	विषैला	anger	0.818
threaten	धमकाना	anger	0.818
effyou	NO TRANSLATION	anger	0.818
terrorist	आतंकवादी	anger	0.818
abhor	घृणा करना	anger	0.816
savage	बर्बर	anger	0.814
atrocity	क्रूरता	anger	0.814
carnage	नरसंहार	anger	0.814
berserk	निडर	anger	0.812
angrytweet	NO TRANSLATION	anger	0.812
abuse	गाली	anger	0.812
tyrant	तानाशाह	anger	0.812
fucksake	fucksake	anger	0.812
pissedoff	यहं से चले जाओ	anger	0.812
vendetta	प्रतिशोध	anger	0.812
fierce	भयंकर	anger	0.812
destroyer	मिटाने वाला	anger	0.812
pissesmeoff	pissesmeoff	anger	0.812
fuming	नाराज	anger	0.812
barbaric	असभ्य	anger	0.812
anger	गुस्सा	anger	0.811
pieceofshit	pieceofshit	anger	0.810
slam	स्लैम	anger	0.803
fights	झगड़े	anger	0.803
punched	मुक्का मारा	anger	0.803
bitch	कुतिया	anger	0.803
punching	पंचिंग	anger	0.803
homicide	मानव हत्या	anger	0.803
destructive	हानिकारक	anger	0.797
ruthless	क्रूर	anger	0.797
villainous	शरारतपूर्ण	anger	0.797
slap	थप्पड़	anger	0.791
slaughterhouse	क़साईख़ाना	anger	0.788
punishing	दंडित	anger	0.788
destroyed	नष्ट किया हुआ	anger	0.788
retaliatory	मुंहतोड़	anger	0.788
riot	दंगा	anger	0.788
ragetweet	NO TRANSLATION	anger	0.788
yelling	चिल्ला	anger	0.788
growthefuckup	growthefuckup	anger	0.788
diabolical	पैशाचिक	anger	0.788
manslaughter	हत्या	anger	0.783
clash	संघर्ष	anger	0.783
bloody	रक्तरंजित	anger	0.781
hellish	नारकीय	anger	0.781
loath	अनिच्छुक	anger	0.781
detonation	विस्फोट	anger	0.781
quarrel	लड़ाई झगड़ा	anger	0.781
sinister	भयावह	anger	0.781
fumin	NO TRANSLATION	anger	0.779
accusing	आरोप लगा	anger	0.779
treacherous	नमक हराम	anger	0.779
hateeee	NO TRANSLATION	anger	0.779
retaliate	प्रतिकार करना	anger	0.773
revulsion	तबदीली	anger	0.773
madder	मजीठ	anger	0.773
horrific	भीषण	anger	0.773
scorn	घिन आना	anger	0.769
deplorable	खेदजनक	anger	0.766
bomb	बम	anger	0.766
anarchist	अराजकतावादी	anger	0.765
devastation	तबाही	anger	0.765
resent	क्रोध करना	anger	0.765
firestorm	अग्नि	anger	0.765
contemptible	घिनौना	anger	0.764
shittest	NO TRANSLATION	anger	0.760
cruel	निर्दयी	anger	0.758
soangry	NO TRANSLATION	anger	0.758
deadly	घातक	anger	0.758
smash	गरज	anger	0.758
rant	शेख़ी	anger	0.758
outburst	विस्फोट	anger	0.757
snarl	गिरह	anger	0.754
profane	अपवित्र	anger	0.750
offend	अपमान	anger	0.750
douchebags	douchebags	anger	0.750
growling	लगाकर गुर्राता	anger	0.750
stfu	STFU	anger	0.750
vulgarity	असभ्यता	anger	0.750
dontmesswithme	अपन से मुॅह मत लगा कर	anger	0.750
crazed	पागल	anger	0.750
despise	घृणा	anger	0.750
horror	डरावनी	anger	0.750
aggravating	उत्तेजक	anger	0.750
revolting	विप्लव करनेवाला	anger	0.750
fuckedoff	fuckedoff	anger	0.742
threat	धमकी	anger	0.742
erupt	फूटना	anger	0.742
screaming	चिल्ला	anger	0.742
violence	हिंसा	anger	0.742
horrible	भयंकर	anger	0.742
molestation	छेड़छाड़	anger	0.742
bastards	कमीने	anger	0.741
revenge	बदला	anger	0.738
catastrophe	तबाही	anger	0.735
menacing	खतरनाक	anger	0.735
demon	राक्षस	anger	0.735
crushing	मुंहतोड़	anger	0.735
damn	अरे नहीं	anger	0.735
persecute	सताना	anger	0.734
argue	लोगों का तर्क है	anger	0.734
flog	चाबुक से मारना	anger	0.734
revolt	विद्रोह	anger	0.734
thrash	गाहना	anger	0.734
deplore	विलाप करना	anger	0.734
warfare	युद्ध	anger	0.734
fedup	NO TRANSLATION	anger	0.734
vehement	लवलीन	anger	0.734
riotous	उपद्रवी	anger	0.734
altercation	तकरार	anger	0.729
warlike	जंगी	anger	0.728
shitday	NO TRANSLATION	anger	0.727
mutiny	गदर	anger	0.727
castrate	नपुंसक	anger	0.727
sabotage	तोड़-फोड़	anger	0.727
malevolent	द्रोही	anger	0.721
strike	धरना	anger	0.721
disaster	आपदा	anger	0.721
disastrous	विनाशकारी	anger	0.720
tumult	कोलाहल	anger	0.719
madden	क्रोधित करना	anger	0.719
devil	शैतान	anger	0.719
scream	चिल्लाना	anger	0.719
brutal	क्रूर	anger	0.719
treachery	द्रऋह	anger	0.719
scorching	झुलसानेवाला	anger	0.719
vermin	दरिंदा	anger	0.719
arseholes	arseholes	anger	0.719
horseshit	horseshit	anger	0.719
aggravates	aggravates	anger	0.719
spiteful	द्वेषपूर्ण	anger	0.719
slay	टूटना	anger	0.719
disdain	तिरस्कार	anger	0.719
choke	गला घोंटना	anger	0.719
bastarding	bastarding	anger	0.719
mangle	वध करना	anger	0.714
anarchism	अराजकतावाद	anger	0.714
mutilation	विकृति	anger	0.714
criminal	अपराधी	anger	0.714
denunciation	निंदा	anger	0.713
punch	पंच	anger	0.713
crucifixion	सूली पर चढ़ाये जाने	anger	0.712
virulence	डाह	anger	0.712
battled	लड़ाई लड़ी	anger	0.712
fatal	घातक	anger	0.712
holocaust	प्रलय	anger	0.712
blasphemous	तिरस्कारी	anger	0.712
hurting	चोट पहुँचाने	anger	0.712
dumbasses	dumbasses	anger	0.712
dontlikeyou	NO TRANSLATION	anger	0.712
deranged	विक्षिप्त	anger	0.706
atrocious	नृशंस	anger	0.706
evil	बुराई	anger	0.706
irritated	खीजा हुआ	anger	0.706
assassin	हत्यारा	anger	0.703
dicks	डिक्स	anger	0.703
persecution	उत्पीड़न	anger	0.703
slayer	बध करनेवाला	anger	0.703
kidnap	अपहरण करना	anger	0.703
scolding	डांट-डपट	anger	0.703
intimidation	धमकी	anger	0.703
aggravated	बहुत बिगड़	anger	0.703
aggression	आक्रमण	anger	0.702
armed	हथियारबंद	anger	0.700
poison	ज़हर	anger	0.697
snarling	snarling	anger	0.697
venom	विष	anger	0.697
battle	लड़ाई	anger	0.697
disgruntled	ख़फ़ा	anger	0.693
insidious	कपटी	anger	0.691
assailant	आक्रमण-संबंधी	anger	0.691
resentment	नाराज़गी	anger	0.691
lynch	वध करना	anger	0.690
contemptuous	तिरस्कारपूर्ण	anger	0.690
temper	स्वभाव	anger	0.688
imprisonment	कैद होना	anger	0.688
disparage	उपेक्षा करना	anger	0.688
bully	धौंसिया	anger	0.688
terrible	भयानक	anger	0.688
lunatic	पागल मनुष्य	anger	0.688
curse	अभिशाप	anger	0.688
makesmemad	NO TRANSLATION	anger	0.688
peeved	नाराज़	anger	0.688
domination	प्रभुत्व	anger	0.688
mad	पागल	anger	0.688
infanticide	भ्रूण हत्या	anger	0.688
volatility	अस्थिरता	anger	0.687
eradication	नाश	anger	0.685
tantrum	गुस्से का आवेश	anger	0.682
devastate	उजाड़ना	anger	0.682
eradicate	उन्मूलन	anger	0.682
scoundrel	दुष्ट	anger	0.682
aggressively	उग्रता के साथ	anger	0.680
agitation	आंदोलन	anger	0.680
dictatorship	अधिनायकत्व	anger	0.676
irritates	परेशान	anger	0.676
profanity	गालियां बकने की क्रिया	anger	0.673
egregious	प्रबल	anger	0.672
expletive	दुर्वचन	anger	0.672
nasty	बुरा	anger	0.672
shove	धक्का	anger	0.672
shot	शॉट	anger	0.672
harmful	नुकसान पहुचने वाला	anger	0.672
aggravation	उत्तेजना	anger	0.672
contempt	निन्दनीय	anger	0.672
poisonous	विषैला	anger	0.672
dastardly	डरपोक	anger	0.672
shoot	गोली मार	anger	0.672
corrupting	भ्रष्ट	anger	0.672
condemnation	निंदा	anger	0.672
wreak	बरपाने	anger	0.672
crushed	कुचल	anger	0.672
cruelly	निर्दयतापूर्वक	anger	0.672
crime	अपराध	anger	0.672
maniac	पागल	anger	0.670
hateeveryone	NO TRANSLATION	anger	0.667
eruption	विस्फोट	anger	0.667
odious	घिनौना	anger	0.667
shooting	शूटिंग	anger	0.667
kick	लात	anger	0.667
aggressive	आक्रामक	anger	0.667
combat	युद्ध	anger	0.667
shout	चिल्लाना	anger	0.667
hit	मारो	anger	0.667
fight	लड़ाई	anger	0.667
cutthroat	गलाकाट	anger	0.667
enemy	दुश्मन	anger	0.667
irritable	चिड़चिड़ा	anger	0.667
punished	दंडित	anger	0.662
ambush	घात लगाना	anger	0.661
yell	चिल्लाना	anger	0.661
harass	परेशान	anger	0.659
malignant	घातक	anger	0.656
aggressor	आक्रामक	anger	0.656
antichrist	ईसा मसीह का शत्रु	anger	0.656
gore	तिकोना कपड़ा	anger	0.656
incense	धूप	anger	0.656
expel	निष्कासित	anger	0.656
destruction	विनाश	anger	0.656
grudge	असन्तोष	anger	0.656
cranky	सठिया	anger	0.653
offended	अपमानित	anger	0.652
spank	झापड़	anger	0.652
growl	बादल की गरज	anger	0.652
insurrection	विद्रोह	anger	0.652
reprisal	प्रतिहिंसा	anger	0.652
slave	दास	anger	0.652
denounce	आरोप लगा देना	anger	0.652
animosity	बैर	anger	0.652
insulting	अपमान	anger	0.652
clashing	टकरा	anger	0.652
growls	गुर्राता	anger	0.649
executioner	जल्लाद	anger	0.644
twat	योनी	anger	0.644
doomsday	कयामत का दिन	anger	0.643
daemon	डेमॉन	anger	0.641
obscenity	बेहूदापन	anger	0.641
bombard	बौछार करना	anger	0.641
spat	झगड़ा	anger	0.641
havoc	नाश	anger	0.641
feud	झगड़ा	anger	0.641
grr	grr	anger	0.641
arson	आगजनी	anger	0.641
reprimand	डांटना	anger	0.641
expulsion	निष्कासन	anger	0.641
inexcusable	अक्षम्य	anger	0.641
accused	अभियुक्त	anger	0.641
indignant	क्रोधित	anger	0.641
shackle	बेड़ी	anger	0.641
somad	NO TRANSLATION	anger	0.637
wound	घाव	anger	0.636
suicidal	आत्मघात	anger	0.636
poisoned	जहर	anger	0.636
batter	बैटर	anger	0.636
kicking	लात	anger	0.636
hanging	फांसी	anger	0.636
spanking	तेज़	anger	0.636
disgusting	घिनौना	anger	0.636
combatant	योद्धा	anger	0.636
frustrated	निराश	anger	0.636
anarchy	अराजकता	anger	0.636
glaring	स्पष्ट	anger	0.636
inflict	थोपना	anger	0.633
wrecked	बर्बाद	anger	0.633
grievous	क्षतिकर	anger	0.632
prosecute	पर मुकदमा चलाने	anger	0.630
agitated	उत्तेजित	anger	0.630
cheat	धोखा	anger	0.630
swastika	स्वस्तिक	anger	0.627
defamatory	अपवादक	anger	0.625
suffocation	घुटन	anger	0.625
strife	कलह	anger	0.625
provocation	उकसावा	anger	0.625
injure	घायल	anger	0.625
harassing	छेड़ छड करना	anger	0.625
scourge	चाबुक से पीटना	anger	0.625
cursing	अपशब्द	anger	0.625
betray	प्रकट करना	anger	0.625
indict	अभियोग लगाना	anger	0.625
raid	छापा	anger	0.625
thundering	गरजनदार	anger	0.625
enslaved	ग़ुलाम बनाया हुआ	anger	0.625
arsehole	arsehole	anger	0.624
insane	पागल	anger	0.621
fiend	राक्षस	anger	0.621
irritate	जलन	anger	0.621
convict	मिद्धदोष अपराधी	anger	0.621
jerk	झटका	anger	0.621
theft	चोरी होना	anger	0.621
retaliation	प्रतिशोध	anger	0.621
deprivation	हानि	anger	0.621
cussed	चर्चा हुई	anger	0.619
turmoil	उथल-पुथल	anger	0.618
smack	एक प्रकार का जहाज़	anger	0.615
retribution	प्रतिकार	anger	0.614
twats	twats	anger	0.609
intolerable	न सहने योग्य	anger	0.609
rebellion	विद्रोह	anger	0.609
injurious	हानिकारक	anger	0.609
oppressor	जालिम	anger	0.609
slavery	गुलामी	anger	0.609
irritability	चिड़चिड़ापन	anger	0.609
collision	टक्कर	anger	0.609
bitterly	कटु	anger	0.609
gang	गिरोह	anger	0.609
antagonism	विरोध	anger	0.609
battery	बैटरी	anger	0.609
adverse	विपरीत	anger	0.609
disgraced	बेआबरू	anger	0.608
irritating	चिड़चिड़ा	anger	0.606
revolution	क्रांति	anger	0.606
thug	हत्यारा	anger	0.606
diatribe	अभियोगात्मक भाषण	anger	0.606
bombardment	बमबारी	anger	0.606
blast	विस्फोट	anger	0.606
irks	irks	anger	0.606
sickening	कुत्सित	anger	0.606
discrimination	भेदभाव	anger	0.606
antagonistic	विरोधी	anger	0.606
ranting	ranting	anger	0.606
asshole	गधे	anger	0.606
frustrate	हराना	anger	0.604
manipulation	जोड़-तोड़	anger	0.603
tension	तनाव	anger	0.603
insult	अपमान	anger	0.603
bigot	कट्टर व्यक्रित	anger	0.603
tiredofit	NO TRANSLATION	anger	0.603
hurtful	हानिकारक	anger	0.603
oppression	उत्पीड़न	anger	0.603
disgust	घृणा	anger	0.602
spite	बावजूद	anger	0.600
intrusive	दखल	anger	0.598
harshness	कठोरता	anger	0.597
slur	कलंक	anger	0.596
wretch	नीच	anger	0.594
inferno	नरक	anger	0.594
invasion	आक्रमण	anger	0.594
puncture	छिद्र	anger	0.594
miserable	दुखी	anger	0.594
assail	आक्रमण करना	anger	0.594
storming	तूफान	anger	0.594
casualty	दुर्घटना	anger	0.594
bitterness	अप्रसन्नता	anger	0.594
morbidity	रोगों की संख्या	anger	0.594
tempest	तूफ़ान	anger	0.594
consternation	आतंक	anger	0.592
depraved	भ्रष्ट	anger	0.591
raving	पागल	anger	0.591
guillotine	गिलोटिन	anger	0.591
guilty	दोषी	anger	0.591
immoral	अनैतिक	anger	0.591
forcibly	बलपूर्वक	anger	0.591
overpowering	जोरदार	anger	0.591
accursed	शापित	anger	0.588
soannoyed	NO TRANSLATION	anger	0.588
recalcitrant	आज्ञा न माननेवाला	anger	0.588
invader	घुसनेवाला	anger	0.588
scare	डराना	anger	0.588
screwed	खराब कर दिया है	anger	0.588
indignation	रोष	anger	0.587
jealousy	ईर्ष्या द्वेष	anger	0.587
vexed	झगड़े का	anger	0.586
confront	सामना करना	anger	0.582
brute	पशु	anger	0.581
throttle	गला घोंटना	anger	0.579
wreck	जहाज के मलबे	anger	0.578
revolver	रिवाल्वर	anger	0.578
slut	फूहड़	anger	0.578
yousuck	बेकार इंसान	anger	0.578
damage	क्षति	anger	0.578
butcher	कसाई	anger	0.578
conflict	संघर्ष	anger	0.578
shutit	NO TRANSLATION	anger	0.578
criminality	अपराधिता	anger	0.578
bickering	कलह	anger	0.578
pillage	लूट का माल	anger	0.578
blaze	ज्वाला	anger	0.578
shutup	NO TRANSLATION	anger	0.578
coup	तख्तापलट	anger	0.578
contentious	विवादास्पद	anger	0.578
incarceration	क़ैद कर देना	anger	0.578
defiant	उपेक्षापूर्ण	anger	0.578
provoking	अफ़सोसनाक	anger	0.578
lash	चाबुक	anger	0.578
cancer	कैंसर	anger	0.577
frustration	निराशा	anger	0.576
gory	रक्तमय	anger	0.576
alienation	अलगाव की भावना	anger	0.576
discord	कलह	anger	0.576
disturbance	अशांति	anger	0.576
grope	अंधे की तरह खोजना	anger	0.576
condescension	रिआयत	anger	0.576
pernicious	तेज़	anger	0.576
blasphemy	ईश - निंदा	anger	0.576
discriminate	भेदभाव	anger	0.576
chaotic	अराजक	anger	0.576
gun	बंदूक	anger	0.576
standoff	गतिरोध	anger	0.576
dontmess	NO TRANSLATION	anger	0.576
friggen	NO TRANSLATION	anger	0.575
sneer	उपहास	anger	0.574
lunacy	पागलपन	anger	0.574
oppressive	दमनकारी	anger	0.574
death	मौत	anger	0.574
jab	प्रहार	anger	0.574
cursed	शापित	anger	0.574
scandalous	लज्जाजनक	anger	0.574
monstrosity	कुरूपता	anger	0.574
shit	मल	anger	0.573
disparaging	उपेक्षा करनेवाला	anger	0.571
slash	स्लेश	anger	0.571
unfair	अनुचित	anger	0.571
gallows	फांसी	anger	0.570
escalate	गहरा बनाना	anger	0.569
intolerant	असहिष्णु	anger	0.564
lawlessness	अराजकता	anger	0.563
bluddy	bluddy	anger	0.562
perdition	तबाही	anger	0.562
taunt	उपहास	anger	0.562
grouchy	grouchy	anger	0.562
torpedo	टारपीडो	anger	0.562
deceived	धोखा	anger	0.562
slander	बदनामी	anger	0.562
retards	retards	anger	0.562
bearish	मंदी	anger	0.562
invade	पर आक्रमण	anger	0.562
bellows	धौंकनी	anger	0.562
beast	जानवर	anger	0.562
frightful	भयंकर	anger	0.562
derogatory	अपमानजनक	anger	0.562
glare	चमक	anger	0.562
arghh	NO TRANSLATION	anger	0.562
dreadful	भयानक	anger	0.562
traitor	गद्दार	anger	0.562
malign	दुष्ट	anger	0.562
wrangling	तकरार	anger	0.562
dissension	कलह	anger	0.561
banshee	banshee	anger	0.561
shatter	टूट	anger	0.561
conflagration	आग	anger	0.561
jeopardize	ख़तरे में डालना	anger	0.561
thief	चुरा लेनेवाला	anger	0.561
rave	बड़बड़ाना	anger	0.561
grating	कर्कश	anger	0.561
devastating	भयानक	anger	0.561
idiots	बेवकूफों	anger	0.561
betrayal	विश्वासघात	anger	0.561
uncontrollable	अवज्ञा का	anger	0.561
fits	फिट	anger	0.561
cross	पार करना	anger	0.561
hurt	चोट	anger	0.561
disturbed	व्याकुल	anger	0.559
subjugation	दमन	anger	0.559
stomped	stomped	anger	0.557
grab	लपकना	anger	0.557
ticked	टिक	anger	0.556
masochism	स्वपीड़न	anger	0.556
grievance	शिकायत	anger	0.556
defiance	आज्ञा का उल्लंघन करना	anger	0.552
blackmail	भयादोहन	anger	0.550
offensive	अपमानजनक	anger	0.549
decry	दोष देना	anger	0.548
sin	NO TRANSLATION	anger	0.547
violation	उल्लंघन	anger	0.547
punishment	सज़ा	anger	0.547
shrill	अनिमेष	anger	0.547
fustrated	NO TRANSLATION	anger	0.547
darkside	अंधेरा पहलू	anger	0.547
misery	कष्ट	anger	0.547
frustrates	को परेशान करता	anger	0.547
disgraceful	शर्मनाक	anger	0.547
arghhhh	NO TRANSLATION	anger	0.547
overbearing	रोबदार	anger	0.547
disparity	असमानता	anger	0.547
confine	सीमित	anger	0.547
firearms	आग्नेयास्त्रों	anger	0.547
ire	NO TRANSLATION	anger	0.547
preposterous	निरर्थक	anger	0.547
rebel	बागी	anger	0.547
deceive	धोखा देना	anger	0.547
stolen	चोरी हो गया	anger	0.546
hadenough	NO TRANSLATION	anger	0.546
wanker	wanker	anger	0.545
heated	तप्त	anger	0.545
ruined	तबाह	anger	0.545
menace	खतरा	anger	0.545
humiliate	अपमानित	anger	0.545
tackle	पकड़ना	anger	0.545
conspirator	षड्यंत्रकारी	anger	0.545
foul	बेईमानी से	anger	0.545
antagonist	प्रतिपक्षी	anger	0.545
resentful	क्रोधित	anger	0.545
prejudice	पक्षपात	anger	0.545
adversary	वैरी	anger	0.545
argument	तर्क	anger	0.545
skirmish	झड़प	anger	0.545
callous	कठोर	anger	0.545
annoyin	NO TRANSLATION	anger	0.545
entangled	फँसा हआ	anger	0.544
robbery	डकैती	anger	0.544
sting	डंक	anger	0.544
outcry	चिल्लाहट	anger	0.544
grumble	बड़बड़ाना	anger	0.544
irreconcilable	कट्टर विरोधी	anger	0.543
resistance	प्रतिरोध	anger	0.543
obstructive	प्रतिरोधी	anger	0.542
dismay	बेचैनी	anger	0.540
mob	भीड़	anger	0.538
juststop	NO TRANSLATION	anger	0.537
badness	बुराई	anger	0.536
ridicule	उपहास	anger	0.534
incendiary	आग लगानेवाला	anger	0.533
flares	फ्लेयर्स	anger	0.532
degeneracy	पतन	anger	0.531
confinement	कारावास	anger	0.531
exacerbation	तेज़ हो जाना	anger	0.531
prejudicial	हानिकारक	anger	0.531
uprising	विद्रोह	anger	0.531
twofaced	NO TRANSLATION	anger	0.531
reckless	लापरवाह	anger	0.531
unbridled	निरंकुश	anger	0.531
allegation	आरोप	anger	0.531
communism	साम्यवाद	anger	0.531
whip	कोड़ा	anger	0.531
intruder	घुसेड़नेवाला	anger	0.531
dispute	विवाद	anger	0.531
belittle	कम हो जाना	anger	0.531
bigoted	धर्माध	anger	0.530
offender	अपराधी	anger	0.530
hassle	परेशानी	anger	0.530
dissonance	मतभेद	anger	0.530
unjust	अन्यायपूर्ण	anger	0.530
dictatorial	तानाशाह का	anger	0.530
unjustifiable	अनुचित	anger	0.530
fiesty	NO TRANSLATION	anger	0.530
perversion	विकृति	anger	0.530
tackled	घेरने की कोशिश की	anger	0.530
renegade	पाखण्डी	anger	0.529
hot	गरम	anger	0.529
prison	जेल व	anger	0.529
cantstandit	NO TRANSLATION	anger	0.529
trespass	अतिचार	anger	0.529
suicide	आत्महत्या	anger	0.521
annoy	झुंझुला देना	anger	0.520
leavemealone	मुझे अकेला छोड़ दो	anger	0.517
idiotic	मूर्खतापूर्ण	anger	0.516
distrust	शक	anger	0.516
depravity	भ्रष्टता	anger	0.516
cretins	cretins	anger	0.516
divorce	तलाक	anger	0.516
broil	विवाद	anger	0.516
grrr	गरर	anger	0.516
venting	उतार	anger	0.516
inimical	विरोधी	anger	0.516
duress	अवरोध	anger	0.516
disrespectful	अनुचित	anger	0.516
tortious	tortious	anger	0.516
criticize	आलोचना करना	anger	0.516
prisoner	बंदी	anger	0.516
dishonest	बेईमान	anger	0.516
treason	राज-द्रोह	anger	0.516
victimized	सताया हुआ	anger	0.515
bile	पित्त	anger	0.515
unkind	निर्दयी	anger	0.515
unforgiving	माफ	anger	0.515
unleash	दिलाने	anger	0.515
coercion	बलात्कार	anger	0.515
scold	डांटना	anger	0.515
chaos	अराजकता	anger	0.515
grump	grump	anger	0.515
roar	गर्जन	anger	0.515
jerks	झटके	anger	0.515
poaching	अवैध शिकार	anger	0.515
hangry	hangry	anger	0.515
pow	पॉव	anger	0.515
poachers	शिकारियों	anger	0.515
argumentation	तर्क	anger	0.515
frustrating	निराशा होती	anger	0.515
tussle	संघर्ष	anger	0.514
bane	फटकार	anger	0.511
accusation	आरोप	anger	0.510
repudiation	परित्याग	anger	0.510
enmity	शत्रुता	anger	0.510
banish	निर्वासित करना	anger	0.509
disfigured	विकृत	anger	0.508
storm	आंधी	anger	0.507
shun	सीधे खड़े हो	anger	0.500
suppression	दमन	anger	0.500
unruly	अनियंत्रित	anger	0.500
intractable	असभ्य	anger	0.500
ordeal	परख	anger	0.500
obstruct	रोकना	anger	0.500
derogation	मानमर्दन	anger	0.500
fervor	जोश	anger	0.500
foaming	झाग	anger	0.500
derision	उपहास	anger	0.500
animus	विरोधपूर्ण भावना	anger	0.500
rejects	को खारिज कर दिया	anger	0.500
bout	बार	anger	0.500
spear	भाला	anger	0.500
crazy	पागल	anger	0.500
brazen	तांबे का	anger	0.500
antithesis	विलोम	anger	0.500
injustice	अन्याय	anger	0.500
banished	निर्वासित	anger	0.500
confined	सिमित	anger	0.500
frenzied	क्रोधित	anger	0.500
dominate	हावी	anger	0.500
disrupting	खलल न डालें	anger	0.500
hammering	टंकण	anger	0.500
fear	डर	anger	0.500
nobodycares	NO TRANSLATION	anger	0.500
anguish	पीड़ा	anger	0.500
brunt	चोट	anger	0.500
possessed	अधीन	anger	0.500
defy	उपेक्षा करना	anger	0.500
scoff	हँसी	anger	0.500
patronising	संरक्षण	anger	0.500
delusional	भ्रम का शिकार हो	anger	0.500
malpractice	कदाचार	anger	0.500
reject	अस्वीकार	anger	0.500
getoveryourself	NO TRANSLATION	anger	0.495
toughness	बेरहमी	anger	0.492
stupidpeople	NO TRANSLATION	anger	0.492
madness	पागलपन	anger	0.491
sinful	पापी	anger	0.491
avarice	लोभ	anger	0.490
oppress	अत्याचार करना	anger	0.490
disapproved	अस्वीकृत कर	anger	0.485
inhuman	अमानवीय	anger	0.485
demand	मांग	anger	0.485
abolish	समाप्त करना	anger	0.485
